date_time,Aimadamodo_maxtempC,Aimadamodo_mintempC,Aimadamodo_totalSnow_cm,Aimadamodo_sunHour,Aimadamodo_uvIndex,Aimadamodo_uvIndex,Aimadamodo_moon_illumination,Aimadamodo_moonrise,Aimadamodo_moonset,Aimadamodo_sunrise,Aimadamodo_sunset,Aimadamodo_DewPointC,Aimadamodo_FeelsLikeC,Aimadamodo_HeatIndexC,Aimadamodo_WindChillC,Aimadamodo_WindGustKmph,Aimadamodo_cloudcover,Aimadamodo_humidity,Aimadamodo_precipMM,Aimadamodo_pressure,Aimadamodo_tempC,Aimadamodo_visibility,Aimadamodo_winddirDegree,Aimadamodo_windspeedKmph
2019-12-04 00:00:00,30,29,0.0,12.8,8,1,48,11:48 AM,No moonset,05:22 AM,06:04 PM,23,29,29,26,22,9,73,0.0,1009,26,10,136,15
2019-12-04 03:00:00,30,29,0.0,12.8,8,1,48,11:48 AM,No moonset,05:22 AM,06:04 PM,24,33,33,29,20,10,74,0.0,1008,29,10,129,14
2019-12-04 06:00:00,30,29,0.0,12.8,8,7,48,11:48 AM,No moonset,05:22 AM,06:04 PM,24,34,34,29,20,14,75,0.0,1009,29,10,109,14
2019-12-04 09:00:00,30,29,0.0,12.8,8,7,48,11:48 AM,No moonset,05:22 AM,06:04 PM,24,35,35,30,16,18,72,0.0,1010,30,10,55,12
2019-12-04 12:00:00,30,29,0.0,12.8,8,8,48,11:48 AM,No moonset,05:22 AM,06:04 PM,24,35,35,30,11,19,69,0.0,1009,30,10,12,9
2019-12-04 15:00:00,30,29,0.0,12.8,8,8,48,11:48 AM,No moonset,05:22 AM,06:04 PM,24,35,35,30,13,13,68,0.0,1008,30,10,54,10
2019-12-04 18:00:00,30,29,0.0,12.8,8,1,48,11:48 AM,No moonset,05:22 AM,06:04 PM,24,35,35,30,15,15,71,0.0,1009,30,10,92,11
2019-12-04 21:00:00,30,29,0.0,12.8,8,1,48,11:48 AM,No moonset,05:22 AM,06:04 PM,24,34,34,29,17,26,74,0.0,1011,29,10,90,12
2019-12-05 00:00:00,30,29,0.0,12.8,7,1,55,12:33 PM,12:24 AM,05:22 AM,06:04 PM,24,34,34,29,20,52,75,0.1,1010,29,10,86,14
2019-12-05 03:00:00,30,29,0.0,12.8,7,1,55,12:33 PM,12:24 AM,05:22 AM,06:04 PM,24,33,33,29,22,17,78,0.0,1009,29,10,94,15
2019-12-05 06:00:00,30,29,0.0,12.8,7,7,55,12:33 PM,12:24 AM,05:22 AM,06:04 PM,24,34,34,29,19,18,78,0.0,1010,29,10,85,14
2019-12-05 09:00:00,30,29,0.0,12.8,7,7,55,12:33 PM,12:24 AM,05:22 AM,06:04 PM,24,34,34,30,18,9,73,0.0,1011,30,10,40,13
2019-12-05 12:00:00,30,29,0.0,12.8,7,7,55,12:33 PM,12:24 AM,05:22 AM,06:04 PM,24,35,35,30,17,10,71,0.0,1010,30,10,14,13
2019-12-05 15:00:00,30,29,0.0,12.8,7,6,55,12:33 PM,12:24 AM,05:22 AM,06:04 PM,24,34,34,30,11,34,70,0.1,1009,30,10,55,8
2019-12-05 18:00:00,30,29,0.0,12.8,7,1,55,12:33 PM,12:24 AM,05:22 AM,06:04 PM,24,34,34,30,11,53,70,0.1,1009,30,9,127,8
2019-12-05 21:00:00,30,29,0.0,12.8,7,1,55,12:33 PM,12:24 AM,05:22 AM,06:04 PM,24,34,34,29,18,8,75,0.0,1011,29,10,117,12
2019-12-06 00:00:00,31,29,0.0,12.8,7,1,62,01:18 PM,01:03 AM,05:22 AM,06:05 PM,25,34,34,29,17,11,78,0.0,1010,29,10,111,12
2019-12-06 03:00:00,31,29,0.0,12.8,7,1,62,01:18 PM,01:03 AM,05:22 AM,06:05 PM,25,34,34,29,15,10,79,0.0,1009,29,10,108,11
2019-12-06 06:00:00,31,29,0.0,12.8,7,7,62,01:18 PM,01:03 AM,05:22 AM,06:05 PM,24,33,33,29,12,9,75,0.0,1010,29,10,104,8
2019-12-06 09:00:00,31,29,0.0,12.8,7,7,62,01:18 PM,01:03 AM,05:22 AM,06:05 PM,24,34,34,30,8,5,71,0.0,1010,30,10,170,6
2019-12-06 12:00:00,31,29,0.0,12.8,7,7,62,01:18 PM,01:03 AM,05:22 AM,06:05 PM,24,35,35,30,9,10,72,0.0,1009,30,10,266,6
