date_time,Alyangula_maxtempC,Alyangula_mintempC,Alyangula_totalSnow_cm,Alyangula_sunHour,Alyangula_uvIndex,Alyangula_uvIndex,Alyangula_moon_illumination,Alyangula_moonrise,Alyangula_moonset,Alyangula_sunrise,Alyangula_sunset,Alyangula_DewPointC,Alyangula_FeelsLikeC,Alyangula_HeatIndexC,Alyangula_WindChillC,Alyangula_WindGustKmph,Alyangula_cloudcover,Alyangula_humidity,Alyangula_precipMM,Alyangula_pressure,Alyangula_tempC,Alyangula_visibility,Alyangula_winddirDegree,Alyangula_windspeedKmph
2019-12-04 00:00:00,33,28,0.0,12.9,8,1,48,12:14 PM,12:18 AM,05:48 AM,06:41 PM,20,30,30,28,22,0,62,0.0,1009,28,10,85,13
2019-12-04 03:00:00,33,28,0.0,12.9,8,1,48,12:14 PM,12:18 AM,05:48 AM,06:41 PM,17,29,29,28,6,0,52,0.0,1008,28,10,173,3
2019-12-04 06:00:00,33,28,0.0,12.9,8,1,48,12:14 PM,12:18 AM,05:48 AM,06:41 PM,19,30,30,28,22,0,59,0.0,1010,28,10,216,14
2019-12-04 09:00:00,33,28,0.0,12.9,8,8,48,12:14 PM,12:18 AM,05:48 AM,06:41 PM,20,34,34,31,18,0,52,0.0,1011,31,10,198,14
2019-12-04 12:00:00,33,28,0.0,12.9,8,8,48,12:14 PM,12:18 AM,05:48 AM,06:41 PM,20,36,36,33,23,0,47,0.0,1010,33,10,167,18
2019-12-04 15:00:00,33,28,0.0,12.9,8,8,48,12:14 PM,12:18 AM,05:48 AM,06:41 PM,20,36,36,33,24,0,46,0.0,1008,33,10,123,17
2019-12-04 18:00:00,33,28,0.0,12.9,8,8,48,12:14 PM,12:18 AM,05:48 AM,06:41 PM,20,33,33,31,27,0,52,0.0,1008,31,10,81,17
2019-12-04 21:00:00,33,28,0.0,12.9,8,1,48,12:14 PM,12:18 AM,05:48 AM,06:41 PM,21,31,31,29,28,0,61,0.0,1010,29,10,61,17
2019-12-05 00:00:00,32,27,0.0,12.9,8,1,55,01:01 PM,12:57 AM,05:48 AM,06:42 PM,21,31,31,29,15,0,62,0.0,1010,29,10,59,9
2019-12-05 03:00:00,32,27,0.0,12.9,8,1,55,01:01 PM,12:57 AM,05:48 AM,06:42 PM,19,30,30,28,8,0,58,0.0,1008,28,10,242,5
2019-12-05 06:00:00,32,27,0.0,12.9,8,1,55,01:01 PM,12:57 AM,05:48 AM,06:42 PM,22,30,30,27,27,0,71,0.0,1011,27,10,250,18
2019-12-05 09:00:00,32,27,0.0,12.9,8,7,55,01:01 PM,12:57 AM,05:48 AM,06:42 PM,19,31,31,30,15,0,52,0.0,1011,30,10,252,12
2019-12-05 12:00:00,32,27,0.0,12.9,8,8,55,01:01 PM,12:57 AM,05:48 AM,06:42 PM,19,33,33,32,7,0,47,0.0,1010,32,10,203,6
2019-12-05 15:00:00,32,27,0.0,12.9,8,8,55,01:01 PM,12:57 AM,05:48 AM,06:42 PM,20,34,34,32,7,0,48,0.0,1007,32,10,165,5
2019-12-05 18:00:00,32,27,0.0,12.9,8,8,55,01:01 PM,12:57 AM,05:48 AM,06:42 PM,21,34,34,31,24,0,55,0.0,1008,31,10,90,15
2019-12-05 21:00:00,32,27,0.0,12.9,8,1,55,01:01 PM,12:57 AM,05:48 AM,06:42 PM,21,32,32,29,33,0,59,0.0,1009,29,10,65,18
2019-12-06 00:00:00,32,27,0.0,12.9,7,1,62,01:47 PM,01:34 AM,05:48 AM,06:42 PM,21,32,32,29,30,0,65,0.0,1009,29,10,31,18
2019-12-06 03:00:00,32,27,0.0,12.9,7,1,62,01:47 PM,01:34 AM,05:48 AM,06:42 PM,22,31,31,28,22,6,71,0.0,1008,28,10,325,14
2019-12-06 06:00:00,32,27,0.0,12.9,7,1,62,01:47 PM,01:34 AM,05:48 AM,06:42 PM,20,29,29,27,15,0,66,0.0,1009,27,10,299,10
2019-12-06 09:00:00,32,27,0.0,12.9,7,7,62,01:47 PM,01:34 AM,05:48 AM,06:42 PM,20,31,31,29,12,0,57,0.0,1011,29,10,319,10
2019-12-06 12:00:00,32,27,0.0,12.9,7,8,62,01:47 PM,01:34 AM,05:48 AM,06:42 PM,20,33,33,31,8,0,52,0.0,1009,31,10,357,6
2019-12-06 15:00:00,32,27,0.0,12.9,7,8,62,01:47 PM,01:34 AM,05:48 AM,06:42 PM,20,35,35,32,24,0,49,0.0,1007,32,10,68,18
2019-12-06 18:00:00,32,27,0.0,12.9,7,7,62,01:47 PM,01:34 AM,05:48 AM,06:42 PM,24,34,34,30,34,0,71,0.0,1008,30,10,65,25
2019-12-06 21:00:00,32,27,0.0,12.9,7,1,62,01:47 PM,01:34 AM,05:48 AM,06:42 PM,24,33,33,29,34,0,79,0.0,1010,29,10,51,24
2019-12-07 00:00:00,31,28,0.0,13.0,7,1,70,02:33 PM,02:10 AM,05:48 AM,06:43 PM,24,33,33,28,33,0,77,0.0,1009,28,10,25,23
2019-12-07 03:00:00,31,28,0.0,13.0,7,1,70,02:33 PM,02:10 AM,05:48 AM,06:43 PM,24,32,32,28,28,6,78,0.0,1009,28,10,348,20
2019-12-07 06:00:00,31,28,0.0,13.0,7,1,70,02:33 PM,02:10 AM,05:48 AM,06:43 PM,23,31,31,28,20,0,73,0.0,1010,28,10,325,14
2019-12-07 09:00:00,31,28,0.0,13.0,7,7,70,02:33 PM,02:10 AM,05:48 AM,06:43 PM,22,33,33,29,9,8,67,0.0,1011,29,10,316,8
2019-12-07 12:00:00,31,28,0.0,13.0,7,8,70,02:33 PM,02:10 AM,05:48 AM,06:43 PM,22,34,34,30,9,2,62,0.0,1009,30,10,14,8
2019-12-07 15:00:00,31,28,0.0,13.0,7,8,70,02:33 PM,02:10 AM,05:48 AM,06:43 PM,23,35,35,31,23,2,60,0.0,1008,31,10,54,19
2019-12-07 18:00:00,31,28,0.0,13.0,7,7,70,02:33 PM,02:10 AM,05:48 AM,06:43 PM,23,34,34,30,34,0,68,0.0,1009,30,10,64,25
2019-12-07 21:00:00,31,28,0.0,13.0,7,1,70,02:33 PM,02:10 AM,05:48 AM,06:43 PM,24,33,33,29,29,4,76,0.0,1011,29,10,43,20
2019-12-08 00:00:00,32,28,0.0,12.9,7,1,77,03:20 PM,02:47 AM,05:49 AM,06:43 PM,24,33,33,28,25,0,80,0.0,1009,28,10,20,17
2019-12-08 03:00:00,32,28,0.0,12.9,7,1,77,03:20 PM,02:47 AM,05:49 AM,06:43 PM,24,32,32,28,30,0,81,0.0,1009,28,10,12,21
2019-12-08 06:00:00,32,28,0.0,12.9,7,1,77,03:20 PM,02:47 AM,05:49 AM,06:43 PM,24,32,32,28,29,0,80,0.0,1010,28,10,337,21
2019-12-08 09:00:00,32,28,0.0,12.9,7,7,77,03:20 PM,02:47 AM,05:49 AM,06:43 PM,23,33,33,29,17,2,69,0.0,1011,29,10,301,15
2019-12-08 12:00:00,32,28,0.0,12.9,7,8,77,03:20 PM,02:47 AM,05:49 AM,06:43 PM,22,34,34,30,6,0,61,0.0,1009,30,10,29,5
2019-12-08 15:00:00,32,28,0.0,12.9,7,8,77,03:20 PM,02:47 AM,05:49 AM,06:43 PM,22,36,36,32,30,3,58,0.0,1008,32,10,62,23
2019-12-08 18:00:00,32,28,0.0,12.9,7,8,77,03:20 PM,02:47 AM,05:49 AM,06:43 PM,23,34,34,30,35,3,64,0.0,1008,30,10,63,24
2019-12-08 21:00:00,32,28,0.0,12.9,7,1,77,03:20 PM,02:47 AM,05:49 AM,06:43 PM,23,33,33,29,31,4,72,0.0,1011,29,10,60,21
2019-12-09 00:00:00,31,28,0.0,11.9,7,1,84,04:09 PM,03:25 AM,05:49 AM,06:44 PM,23,32,32,28,22,2,75,0.0,1010,28,10,50,15
2019-12-09 03:00:00,31,28,0.0,11.9,7,1,84,04:09 PM,03:25 AM,05:49 AM,06:44 PM,23,32,32,28,23,0,73,0.0,1009,28,10,4,15
2019-12-09 06:00:00,31,28,0.0,11.9,7,1,84,04:09 PM,03:25 AM,05:49 AM,06:44 PM,24,32,32,28,23,3,78,0.0,1010,28,10,353,17
2019-12-09 09:00:00,31,28,0.0,11.9,7,7,84,04:09 PM,03:25 AM,05:49 AM,06:44 PM,23,34,34,30,13,5,68,0.0,1012,30,10,345,10
2019-12-09 12:00:00,31,28,0.0,11.9,7,7,84,04:09 PM,03:25 AM,05:49 AM,06:44 PM,24,36,36,31,13,84,66,0.1,1010,31,10,15,12
2019-12-09 15:00:00,31,28,0.0,11.9,7,7,84,04:09 PM,03:25 AM,05:49 AM,06:44 PM,24,36,36,31,11,88,65,0.2,1008,31,10,24,10
2019-12-09 18:00:00,31,28,0.0,11.9,7,7,84,04:09 PM,03:25 AM,05:49 AM,06:44 PM,24,35,35,30,23,2,73,0.0,1008,30,10,70,17
2019-12-09 21:00:00,31,28,0.0,11.9,7,1,84,04:09 PM,03:25 AM,05:49 AM,06:44 PM,24,34,34,29,30,12,77,0.0,1011,29,10,81,21
2019-12-10 00:00:00,31,28,0.0,11.9,8,1,92,05:00 PM,04:05 AM,05:49 AM,06:44 PM,24,32,32,28,12,3,75,0.0,1009,28,10,75,8
2019-12-10 03:00:00,31,28,0.0,11.9,8,1,92,05:00 PM,04:05 AM,05:49 AM,06:44 PM,23,32,32,28,18,0,76,0.0,1008,28,10,19,12
2019-12-10 06:00:00,31,28,0.0,11.9,8,1,92,05:00 PM,04:05 AM,05:49 AM,06:44 PM,24,32,32,28,20,0,75,0.0,1010,28,10,42,14
2019-12-10 09:00:00,31,28,0.0,11.9,8,8,92,05:00 PM,04:05 AM,05:49 AM,06:44 PM,23,35,35,31,18,0,64,0.0,1010,31,10,52,15
2019-12-10 12:00:00,31,28,0.0,11.9,8,7,92,05:00 PM,04:05 AM,05:49 AM,06:44 PM,23,36,36,31,22,77,63,0.3,1009,31,10,31,19
2019-12-10 15:00:00,31,28,0.0,11.9,8,7,92,05:00 PM,04:05 AM,05:49 AM,06:44 PM,24,36,36,31,21,82,64,0.5,1007,31,10,52,17
2019-12-10 18:00:00,31,28,0.0,11.9,8,7,92,05:00 PM,04:05 AM,05:49 AM,06:44 PM,24,34,34,30,22,0,70,0.0,1008,30,10,81,17
2019-12-10 21:00:00,31,28,0.0,11.9,8,1,92,05:00 PM,04:05 AM,05:49 AM,06:44 PM,24,32,32,28,26,0,75,0.0,1009,28,10,63,18
2019-12-11 00:00:00,30,27,0.0,10.7,7,1,99,05:54 PM,04:49 AM,05:50 AM,06:45 PM,24,32,32,28,18,0,78,0.0,1008,28,10,58,12
2019-12-11 03:00:00,30,27,0.0,10.7,7,1,99,05:54 PM,04:49 AM,05:50 AM,06:45 PM,23,30,30,27,9,0,75,0.0,1007,27,10,70,6
2019-12-11 06:00:00,30,27,0.0,10.7,7,1,99,05:54 PM,04:49 AM,05:50 AM,06:45 PM,22,30,30,28,2,3,71,0.0,1009,28,10,50,1
2019-12-11 09:00:00,30,27,0.0,10.7,7,7,99,05:54 PM,04:49 AM,05:50 AM,06:45 PM,23,33,33,29,11,6,66,0.0,1010,29,10,299,9
2019-12-11 12:00:00,30,27,0.0,10.7,7,7,99,05:54 PM,04:49 AM,05:50 AM,06:45 PM,23,34,34,30,14,74,65,1.4,1008,30,9,328,10
2019-12-11 15:00:00,30,27,0.0,10.7,7,7,99,05:54 PM,04:49 AM,05:50 AM,06:45 PM,23,34,34,30,10,84,63,2.3,1007,30,9,45,7
2019-12-11 18:00:00,30,27,0.0,10.7,7,7,99,05:54 PM,04:49 AM,05:50 AM,06:45 PM,24,35,35,30,18,72,67,0.2,1007,30,10,64,13
2019-12-11 21:00:00,30,27,0.0,10.7,7,1,99,05:54 PM,04:49 AM,05:50 AM,06:45 PM,24,34,34,29,18,81,73,0.2,1008,29,10,75,12
2019-12-12 00:00:00,32,28,0.0,13.0,8,1,100,06:50 PM,05:37 AM,05:50 AM,06:46 PM,23,33,33,29,13,7,73,0.0,1007,29,10,38,9
2019-12-12 03:00:00,32,28,0.0,13.0,8,1,100,06:50 PM,05:37 AM,05:50 AM,06:46 PM,24,33,33,29,23,3,76,0.0,1005,29,10,341,15
2019-12-12 06:00:00,32,28,0.0,13.0,8,1,100,06:50 PM,05:37 AM,05:50 AM,06:46 PM,24,32,32,28,21,0,78,0.0,1007,28,10,308,14
2019-12-12 09:00:00,32,28,0.0,13.0,8,7,100,06:50 PM,05:37 AM,05:50 AM,06:46 PM,23,33,33,29,18,9,71,0.0,1009,29,10,311,14
2019-12-12 12:00:00,32,28,0.0,13.0,8,8,100,06:50 PM,05:37 AM,05:50 AM,06:46 PM,23,35,35,31,9,9,61,0.0,1007,31,10,8,8
2019-12-12 15:00:00,32,28,0.0,13.0,8,8,100,06:50 PM,05:37 AM,05:50 AM,06:46 PM,23,38,38,32,21,9,58,0.0,1005,32,10,63,16
2019-12-12 18:00:00,32,28,0.0,13.0,8,8,100,06:50 PM,05:37 AM,05:50 AM,06:46 PM,24,35,35,30,42,3,71,0.0,1006,30,10,31,30
2019-12-12 21:00:00,32,28,0.0,13.0,8,1,100,06:50 PM,05:37 AM,05:50 AM,06:46 PM,25,35,35,30,33,2,74,0.0,1009,30,10,27,23
2019-12-13 00:00:00,32,28,0.0,13.0,8,1,87,07:49 PM,06:29 AM,05:50 AM,06:46 PM,24,33,33,29,28,2,74,0.0,1008,29,10,342,20
2019-12-13 03:00:00,32,28,0.0,13.0,8,1,87,07:49 PM,06:29 AM,05:50 AM,06:46 PM,24,33,33,29,31,2,75,0.0,1007,29,10,319,22
2019-12-13 06:00:00,32,28,0.0,13.0,8,1,87,07:49 PM,06:29 AM,05:50 AM,06:46 PM,24,32,32,28,27,3,75,0.0,1008,28,10,310,19
2019-12-13 09:00:00,32,28,0.0,13.0,8,7,87,07:49 PM,06:29 AM,05:50 AM,06:46 PM,23,34,34,30,19,4,67,0.0,1010,30,10,301,17
2019-12-13 12:00:00,32,28,0.0,13.0,8,8,87,07:49 PM,06:29 AM,05:50 AM,06:46 PM,22,35,35,31,8,5,59,0.0,1008,31,10,7,6
2019-12-13 15:00:00,32,28,0.0,13.0,8,8,87,07:49 PM,06:29 AM,05:50 AM,06:46 PM,22,37,37,32,18,3,55,0.0,1006,32,10,46,14
2019-12-13 18:00:00,32,28,0.0,13.0,8,8,87,07:49 PM,06:29 AM,05:50 AM,06:46 PM,24,36,36,31,28,7,67,0.0,1007,31,10,58,20
2019-12-13 21:00:00,32,28,0.0,13.0,8,1,87,07:49 PM,06:29 AM,05:50 AM,06:46 PM,25,35,35,29,30,3,76,0.0,1010,29,10,40,21
2019-12-14 00:00:00,33,28,0.0,13.0,8,1,79,08:46 PM,07:26 AM,05:51 AM,06:47 PM,25,34,34,29,26,0,77,0.0,1009,29,10,21,18
2019-12-14 03:00:00,33,28,0.0,13.0,8,1,79,08:46 PM,07:26 AM,05:51 AM,06:47 PM,24,32,32,28,21,0,75,0.0,1009,28,10,342,14
2019-12-14 06:00:00,33,28,0.0,13.0,8,1,79,08:46 PM,07:26 AM,05:51 AM,06:47 PM,23,32,32,28,21,0,73,0.0,1010,28,10,308,14
2019-12-14 09:00:00,33,28,0.0,13.0,8,7,79,08:46 PM,07:26 AM,05:51 AM,06:47 PM,24,35,35,30,21,0,71,0.0,1010,30,10,320,18
2019-12-14 12:00:00,33,28,0.0,13.0,8,8,79,08:46 PM,07:26 AM,05:51 AM,06:47 PM,23,36,36,31,6,0,60,0.0,1008,31,10,335,5
2019-12-14 15:00:00,33,28,0.0,13.0,8,8,79,08:46 PM,07:26 AM,05:51 AM,06:47 PM,21,37,37,33,16,0,50,0.0,1006,33,10,56,11
2019-12-14 18:00:00,33,28,0.0,13.0,8,8,79,08:46 PM,07:26 AM,05:51 AM,06:47 PM,24,36,36,31,34,0,67,0.0,1007,31,10,68,24
2019-12-14 21:00:00,33,28,0.0,13.0,8,1,79,08:46 PM,07:26 AM,05:51 AM,06:47 PM,25,34,34,29,37,0,77,0.0,1010,29,10,42,26
2019-12-15 00:00:00,33,28,0.0,13.0,8,1,72,09:43 PM,08:25 AM,05:51 AM,06:47 PM,25,34,34,29,33,3,79,0.0,1008,29,10,3,23
2019-12-15 03:00:00,33,28,0.0,13.0,8,1,72,09:43 PM,08:25 AM,05:51 AM,06:47 PM,25,33,33,28,41,2,81,0.0,1007,28,10,333,30
2019-12-15 06:00:00,33,28,0.0,13.0,8,1,72,09:43 PM,08:25 AM,05:51 AM,06:47 PM,25,33,33,28,33,7,80,0.0,1008,28,10,306,24
2019-12-15 09:00:00,33,28,0.0,13.0,8,8,72,09:43 PM,08:25 AM,05:51 AM,06:47 PM,23,34,34,30,12,4,67,0.0,1010,30,10,228,10
2019-12-15 12:00:00,33,28,0.0,13.0,8,8,72,09:43 PM,08:25 AM,05:51 AM,06:47 PM,22,36,36,32,3,5,57,0.0,1008,32,10,260,3
2019-12-15 15:00:00,33,28,0.0,13.0,8,8,72,09:43 PM,08:25 AM,05:51 AM,06:47 PM,23,38,38,33,17,5,57,0.0,1005,33,10,63,14
2019-12-15 18:00:00,33,28,0.0,13.0,8,8,72,09:43 PM,08:25 AM,05:51 AM,06:47 PM,25,37,37,31,33,6,71,0.0,1006,31,10,55,23
2019-12-15 21:00:00,33,28,0.0,13.0,8,1,72,09:43 PM,08:25 AM,05:51 AM,06:47 PM,24,34,34,29,39,7,74,0.0,1008,29,10,29,27
