date_time,Amberley_maxtempC,Amberley_mintempC,Amberley_totalSnow_cm,Amberley_sunHour,Amberley_uvIndex,Amberley_uvIndex,Amberley_moon_illumination,Amberley_moonrise,Amberley_moonset,Amberley_sunrise,Amberley_sunset,Amberley_DewPointC,Amberley_FeelsLikeC,Amberley_HeatIndexC,Amberley_WindChillC,Amberley_WindGustKmph,Amberley_cloudcover,Amberley_humidity,Amberley_precipMM,Amberley_pressure,Amberley_tempC,Amberley_visibility,Amberley_winddirDegree,Amberley_windspeedKmph
2019-12-04 00:00:00,23,12,0.0,14.5,5,1,48,11:37 AM,01:01 AM,04:44 AM,07:55 PM,4,11,12,11,23,10,60,0.0,998,12,10,35,11
2019-12-04 03:00:00,23,12,0.0,14.5,5,1,48,11:37 AM,01:01 AM,04:44 AM,07:55 PM,6,12,14,12,48,17,58,0.0,998,14,10,32,27
2019-12-04 06:00:00,23,12,0.0,14.5,5,1,48,11:37 AM,01:01 AM,04:44 AM,07:55 PM,7,12,14,12,47,8,62,0.0,997,14,10,19,29
2019-12-04 09:00:00,23,12,0.0,14.5,5,5,48,11:37 AM,01:01 AM,04:44 AM,07:55 PM,8,20,20,20,42,23,47,0.0,997,20,10,343,36
2019-12-04 12:00:00,23,12,0.0,14.5,5,6,48,11:37 AM,01:01 AM,04:44 AM,07:55 PM,8,24,24,23,44,12,40,0.0,995,23,10,326,39
2019-12-04 15:00:00,23,12,0.0,14.5,5,6,48,11:37 AM,01:01 AM,04:44 AM,07:55 PM,9,21,24,21,44,18,46,0.0,995,21,10,314,39
2019-12-04 18:00:00,23,12,0.0,14.5,5,1,48,11:37 AM,01:01 AM,04:44 AM,07:55 PM,6,17,17,17,37,11,48,0.0,996,17,10,291,29
2019-12-04 21:00:00,23,12,0.0,14.5,5,1,48,11:37 AM,01:01 AM,04:44 AM,07:55 PM,5,15,19,15,16,11,70,0.0,1000,15,10,315,8
2019-12-05 00:00:00,21,9,0.0,14.5,5,1,55,12:37 PM,01:28 AM,04:43 AM,07:56 PM,5,8,9,8,13,12,78,0.0,1000,9,10,46,6
2019-12-05 03:00:00,21,9,0.0,14.5,5,1,55,12:37 PM,01:28 AM,04:43 AM,07:56 PM,7,9,11,9,32,64,74,0.0,1000,11,10,41,15
2019-12-05 06:00:00,21,9,0.0,14.5,5,1,55,12:37 PM,01:28 AM,04:43 AM,07:56 PM,8,10,12,10,31,8,74,0.0,999,12,10,17,18
2019-12-05 09:00:00,21,9,0.0,14.5,5,5,55,12:37 PM,01:28 AM,04:43 AM,07:56 PM,6,18,18,18,11,41,46,0.0,1000,18,10,6,10
2019-12-05 12:00:00,21,9,0.0,14.5,5,6,55,12:37 PM,01:28 AM,04:43 AM,07:56 PM,6,21,21,21,13,16,39,0.0,999,21,10,307,11
2019-12-05 15:00:00,21,9,0.0,14.5,5,6,55,12:37 PM,01:28 AM,04:43 AM,07:56 PM,7,21,21,21,27,21,41,0.0,1001,21,10,328,24
2019-12-05 18:00:00,21,9,0.0,14.5,5,1,55,12:37 PM,01:28 AM,04:43 AM,07:56 PM,7,18,18,18,37,18,49,0.0,1001,18,10,342,26
2019-12-05 21:00:00,21,9,0.0,14.5,5,1,55,12:37 PM,01:28 AM,04:43 AM,07:56 PM,6,12,14,12,38,14,60,0.0,1004,14,10,15,18
2019-12-06 00:00:00,24,12,0.0,14.5,6,1,62,01:37 PM,01:52 AM,04:43 AM,07:57 PM,6,11,13,11,40,8,62,0.0,1003,13,10,17,19
2019-12-06 03:00:00,24,12,0.0,14.5,6,1,62,01:37 PM,01:52 AM,04:43 AM,07:57 PM,6,10,12,10,36,10,68,0.0,1004,12,10,15,18
