date_time,Ardrossan_maxtempC,Ardrossan_mintempC,Ardrossan_totalSnow_cm,Ardrossan_sunHour,Ardrossan_uvIndex,Ardrossan_uvIndex,Ardrossan_moon_illumination,Ardrossan_moonrise,Ardrossan_moonset,Ardrossan_sunrise,Ardrossan_sunset,Ardrossan_DewPointC,Ardrossan_FeelsLikeC,Ardrossan_HeatIndexC,Ardrossan_WindChillC,Ardrossan_WindGustKmph,Ardrossan_cloudcover,Ardrossan_humidity,Ardrossan_precipMM,Ardrossan_pressure,Ardrossan_tempC,Ardrossan_visibility,Ardrossan_winddirDegree,Ardrossan_windspeedKmph
2019-12-04 00:00:00,9,8,0.0,1.8,2,1,48,02:42 PM,No moonset,09:28 AM,04:50 PM,5,5,9,5,44,100,77,0.0,1015,9,10,207,30
2019-12-04 03:00:00,9,8,0.0,1.8,2,1,48,02:42 PM,No moonset,09:28 AM,04:50 PM,5,4,8,4,49,87,81,0.0,1013,8,10,207,35
2019-12-04 06:00:00,9,8,0.0,1.8,2,2,48,02:42 PM,No moonset,09:28 AM,04:50 PM,5,3,8,3,59,76,80,0.0,1011,8,10,202,40
2019-12-04 09:00:00,9,8,0.0,1.8,2,2,48,02:42 PM,No moonset,09:28 AM,04:50 PM,6,3,8,3,57,100,84,0.6,1010,8,2,206,41
2019-12-04 12:00:00,9,8,0.0,1.8,2,2,48,02:42 PM,No moonset,09:28 AM,04:50 PM,7,5,9,5,47,100,88,0.0,1011,9,10,239,34
2019-12-04 15:00:00,9,8,0.0,1.8,2,2,48,02:42 PM,No moonset,09:28 AM,04:50 PM,4,5,9,5,46,85,74,0.3,1011,9,9,251,31
2019-12-04 18:00:00,9,8,0.0,1.8,2,2,48,02:42 PM,No moonset,09:28 AM,04:50 PM,4,4,8,4,55,80,74,0.0,1013,8,10,241,37
2019-12-04 21:00:00,9,8,0.0,1.8,2,1,48,02:42 PM,No moonset,09:28 AM,04:50 PM,3,4,8,4,53,100,73,0.4,1013,8,10,243,37
2019-12-05 00:00:00,11,4,0.0,1.8,2,1,55,02:56 PM,01:06 AM,09:30 AM,04:49 PM,4,3,8,3,53,100,74,0.0,1013,8,10,244,38
2019-12-05 03:00:00,11,4,0.0,1.8,2,1,55,02:56 PM,01:06 AM,09:30 AM,04:49 PM,4,4,8,4,54,100,76,0.2,1011,8,10,240,38
