date_time,Armidale_maxtempC,Armidale_mintempC,Armidale_totalSnow_cm,Armidale_sunHour,Armidale_uvIndex,Armidale_uvIndex,Armidale_moon_illumination,Armidale_moonrise,Armidale_moonset,Armidale_sunrise,Armidale_sunset,Armidale_DewPointC,Armidale_FeelsLikeC,Armidale_HeatIndexC,Armidale_WindChillC,Armidale_WindGustKmph,Armidale_cloudcover,Armidale_humidity,Armidale_precipMM,Armidale_pressure,Armidale_tempC,Armidale_visibility,Armidale_winddirDegree,Armidale_windspeedKmph
2019-12-04 00:00:00,24,9,0.0,14.0,6,1,48,11:23 AM,12:06 AM,04:43 AM,06:43 PM,1,10,12,10,27,1,51,0.0,1011,11,10,280,13
2019-12-04 03:00:00,24,9,0.0,14.0,6,1,48,11:23 AM,12:06 AM,04:43 AM,06:43 PM,1,7,9,7,23,0,56,0.0,1011,9,10,275,11
2019-12-04 06:00:00,24,9,0.0,14.0,6,1,48,11:23 AM,12:06 AM,04:43 AM,06:43 PM,2,11,13,11,21,0,48,0.0,1012,13,10,260,15
2019-12-04 09:00:00,24,9,0.0,14.0,6,5,48,11:23 AM,12:06 AM,04:43 AM,06:43 PM,1,19,19,19,21,0,30,0.0,1012,19,10,254,18
2019-12-04 12:00:00,24,9,0.0,14.0,6,6,48,11:23 AM,12:06 AM,04:43 AM,06:43 PM,0,23,23,23,24,0,22,0.0,1010,23,10,259,21
2019-12-04 15:00:00,24,9,0.0,14.0,6,6,48,11:23 AM,12:06 AM,04:43 AM,06:43 PM,0,23,23,24,23,0,22,0.0,1009,24,10,261,20
2019-12-04 18:00:00,24,9,0.0,14.0,6,1,48,11:23 AM,12:06 AM,04:43 AM,06:43 PM,0,21,22,21,22,0,31,0.0,1010,21,10,274,13
2019-12-04 21:00:00,24,9,0.0,14.0,6,1,48,11:23 AM,12:06 AM,04:43 AM,06:43 PM,-2,18,21,18,19,0,38,0.0,1012,18,10,286,9
2019-12-05 00:00:00,26,8,0.0,14.0,6,1,55,12:16 PM,12:39 AM,04:43 AM,06:44 PM,-3,12,14,12,18,0,40,0.0,1013,12,10,290,8
2019-12-05 03:00:00,26,8,0.0,14.0,6,1,55,12:16 PM,12:39 AM,04:43 AM,06:44 PM,-3,8,9,8,14,0,45,0.0,1013,9,10,291,7
2019-12-05 06:00:00,26,8,0.0,14.0,6,1,55,12:16 PM,12:39 AM,04:43 AM,06:44 PM,-1,13,13,13,12,0,39,0.0,1013,13,10,267,9
2019-12-05 09:00:00,26,8,0.0,14.0,6,6,55,12:16 PM,12:39 AM,04:43 AM,06:44 PM,-1,20,20,20,15,0,24,0.0,1013,20,10,252,13
