date_time,Ashburton_maxtempC,Ashburton_mintempC,Ashburton_totalSnow_cm,Ashburton_sunHour,Ashburton_uvIndex,Ashburton_uvIndex,Ashburton_moon_illumination,Ashburton_moonrise,Ashburton_moonset,Ashburton_sunrise,Ashburton_sunset,Ashburton_DewPointC,Ashburton_FeelsLikeC,Ashburton_HeatIndexC,Ashburton_WindChillC,Ashburton_WindGustKmph,Ashburton_cloudcover,Ashburton_humidity,Ashburton_precipMM,Ashburton_pressure,Ashburton_tempC,Ashburton_visibility,Ashburton_winddirDegree,Ashburton_windspeedKmph
2019-12-04 00:00:00,7,1,0.0,8.6,2,1,48,02:27 PM,12:05 AM,08:57 AM,05:13 PM,4,4,5,4,9,0,91,0.0,1022,5,10,142,6
2019-12-04 03:00:00,7,1,0.0,8.6,2,1,48,02:27 PM,12:05 AM,08:57 AM,05:13 PM,3,3,4,3,13,29,91,0.0,1019,4,10,137,7
2019-12-04 06:00:00,7,1,0.0,8.6,2,2,48,02:27 PM,12:05 AM,08:57 AM,05:13 PM,3,4,4,4,5,50,91,0.0,1019,4,10,122,3
2019-12-04 09:00:00,7,1,0.0,8.6,2,2,48,02:27 PM,12:05 AM,08:57 AM,05:13 PM,3,5,5,5,3,33,89,0.0,1019,5,10,83,2
2019-12-04 12:00:00,7,1,0.0,8.6,2,3,48,02:27 PM,12:05 AM,08:57 AM,05:13 PM,3,7,7,7,1,7,76,0.0,1019,7,10,105,1
2019-12-04 15:00:00,7,1,0.0,8.6,2,3,48,02:27 PM,12:05 AM,08:57 AM,05:13 PM,3,6,6,6,3,24,84,0.0,1019,6,10,283,2
2019-12-04 18:00:00,7,1,0.0,8.6,2,2,48,02:27 PM,12:05 AM,08:57 AM,05:13 PM,2,2,4,2,10,16,92,0.0,1021,4,10,324,5
2019-12-04 21:00:00,7,1,0.0,8.6,2,1,48,02:27 PM,12:05 AM,08:57 AM,05:13 PM,3,1,3,1,4,4,92,0.0,1022,1,10,288,3
2019-12-05 00:00:00,7,-0,0.0,6.9,3,1,55,02:45 PM,01:11 AM,08:59 AM,05:12 PM,4,4,5,4,8,23,91,0.0,1023,5,10,273,5
2019-12-05 03:00:00,7,-0,0.0,6.9,3,1,55,02:45 PM,01:11 AM,08:59 AM,05:12 PM,4,3,5,3,13,60,94,0.0,1021,5,10,238,7
2019-12-05 06:00:00,7,-0,0.0,6.9,3,2,55,02:45 PM,01:11 AM,08:59 AM,05:12 PM,5,5,6,5,10,25,96,0.0,1022,6,2,273,6
2019-12-05 09:00:00,7,-0,0.0,6.9,3,2,55,02:45 PM,01:11 AM,08:59 AM,05:12 PM,3,2,4,2,15,15,94,0.0,1022,4,10,233,7
2019-12-05 12:00:00,7,-0,0.0,6.9,3,3,55,02:45 PM,01:11 AM,08:59 AM,05:12 PM,3,3,6,3,39,14,79,0.0,1022,6,10,244,23
2019-12-05 15:00:00,7,-0,0.0,6.9,3,2,55,02:45 PM,01:11 AM,08:59 AM,05:12 PM,3,2,7,2,50,73,80,0.0,1019,7,10,241,28
2019-12-05 18:00:00,7,-0,0.0,6.9,3,1,55,02:45 PM,01:11 AM,08:59 AM,05:12 PM,5,4,8,4,51,100,85,0.0,1018,4,10,239,30
2019-12-05 21:00:00,7,-0,0.0,6.9,3,1,55,02:45 PM,01:11 AM,08:59 AM,05:12 PM,7,-0,2,-0,57,100,94,0.0,1016,-0,10,245,32
2019-12-06 00:00:00,11,6,0.0,3.0,2,1,62,03:03 PM,02:16 AM,09:00 AM,05:12 PM,9,5,9,5,56,100,97,0.0,1014,9,10,242,33
2019-12-06 03:00:00,11,6,0.0,3.0,2,1,62,03:03 PM,02:16 AM,09:00 AM,05:12 PM,9,6,10,6,54,100,97,0.4,1010,10,2,233,32
2019-12-06 06:00:00,11,6,0.0,3.0,2,3,62,03:03 PM,02:16 AM,09:00 AM,05:12 PM,10,7,10,7,60,100,97,2.6,1009,10,7,241,35
2019-12-06 09:00:00,11,6,0.0,3.0,2,3,62,03:03 PM,02:16 AM,09:00 AM,05:12 PM,10,7,10,7,55,100,96,0.9,1008,10,9,255,32
2019-12-06 12:00:00,11,6,0.0,3.0,2,3,62,03:03 PM,02:16 AM,09:00 AM,05:12 PM,8,7,11,7,59,95,86,0.9,1007,11,9,257,36
2019-12-06 15:00:00,11,6,0.0,3.0,2,2,62,03:03 PM,02:16 AM,09:00 AM,05:12 PM,5,4,9,4,62,88,80,0.5,1007,9,9,279,36
2019-12-06 18:00:00,11,6,0.0,3.0,2,3,62,03:03 PM,02:16 AM,09:00 AM,05:12 PM,5,3,7,3,50,45,90,0.0,1010,7,10,280,26
