date_time,Atherton_maxtempC,Atherton_mintempC,Atherton_totalSnow_cm,Atherton_sunHour,Atherton_uvIndex,Atherton_uvIndex,Atherton_moon_illumination,Atherton_moonrise,Atherton_moonset,Atherton_sunrise,Atherton_sunset,Atherton_DewPointC,Atherton_FeelsLikeC,Atherton_HeatIndexC,Atherton_WindChillC,Atherton_WindGustKmph,Atherton_cloudcover,Atherton_humidity,Atherton_precipMM,Atherton_pressure,Atherton_tempC,Atherton_visibility,Atherton_winddirDegree,Atherton_windspeedKmph
2019-12-04 00:00:00,6,1,0.0,3.8,1,1,48,02:28 PM,No moonset,09:07 AM,04:53 PM,2,3,4,3,10,65,85,0.0,1021,4,10,166,7
2019-12-04 03:00:00,6,1,0.0,3.8,1,1,48,02:28 PM,No moonset,09:07 AM,04:53 PM,2,2,4,2,14,14,88,0.0,1019,4,10,171,9
2019-12-04 06:00:00,6,1,0.0,3.8,1,2,48,02:28 PM,No moonset,09:07 AM,04:53 PM,1,1,3,1,12,19,90,0.0,1019,3,10,177,8
2019-12-04 09:00:00,6,1,0.0,3.8,1,2,48,02:28 PM,No moonset,09:07 AM,04:53 PM,1,0,3,0,13,10,87,0.0,1018,3,10,174,8
2019-12-04 12:00:00,6,1,0.0,3.8,1,3,48,02:28 PM,No moonset,09:07 AM,04:53 PM,2,2,5,2,18,42,79,0.0,1018,5,10,190,13
2019-12-04 15:00:00,6,1,0.0,3.8,1,2,48,02:28 PM,No moonset,09:07 AM,04:53 PM,3,4,6,4,16,84,82,0.0,1017,6,10,185,10
2019-12-04 18:00:00,6,1,0.0,3.8,1,1,48,02:28 PM,No moonset,09:07 AM,04:53 PM,3,3,5,3,15,100,89,0.0,1019,5,10,187,9
2019-12-04 21:00:00,6,1,0.0,3.8,1,1,48,02:28 PM,No moonset,09:07 AM,04:53 PM,4,1,3,1,12,81,91,0.0,1019,1,10,200,8
2019-12-05 00:00:00,8,0,0.0,1.9,3,1,55,02:44 PM,01:00 AM,09:08 AM,04:52 PM,6,6,8,6,9,2,92,0.0,1020,8,10,231,8
2019-12-05 03:00:00,8,0,0.0,1.9,3,1,55,02:44 PM,01:00 AM,09:08 AM,04:52 PM,4,2,5,2,19,34,97,0.0,1017,5,2,223,10
2019-12-05 06:00:00,8,0,0.0,1.9,3,2,55,02:44 PM,01:00 AM,09:08 AM,04:52 PM,3,2,5,2,24,43,88,0.0,1018,5,10,232,13
2019-12-05 09:00:00,8,0,0.0,1.9,3,1,55,02:44 PM,01:00 AM,09:08 AM,04:52 PM,3,1,5,1,27,100,86,0.0,1016,5,10,213,16
2019-12-05 12:00:00,8,0,0.0,1.9,3,2,55,02:44 PM,01:00 AM,09:08 AM,04:52 PM,4,4,7,4,27,100,79,0.0,1014,7,10,202,17
2019-12-05 15:00:00,8,0,0.0,1.9,3,2,55,02:44 PM,01:00 AM,09:08 AM,04:52 PM,6,5,8,5,30,100,84,0.2,1009,8,2,206,17
2019-12-05 18:00:00,8,0,0.0,1.9,3,1,55,02:44 PM,01:00 AM,09:08 AM,04:52 PM,8,4,7,4,34,100,87,0.3,1007,4,2,216,19
2019-12-05 21:00:00,8,0,0.0,1.9,3,1,55,02:44 PM,01:00 AM,09:08 AM,04:52 PM,10,0,2,0,39,100,91,3.0,1005,0,7,237,23
2019-12-06 00:00:00,11,1,0.0,3.8,2,1,62,02:59 PM,02:09 AM,09:10 AM,04:52 PM,9,9,11,9,37,100,87,1.4,1005,11,9,242,22
2019-12-06 03:00:00,11,1,0.0,3.8,2,1,62,02:59 PM,02:09 AM,09:10 AM,04:52 PM,9,9,11,9,31,100,87,0.1,1002,11,10,240,18
2019-12-06 06:00:00,11,1,0.0,3.8,2,3,62,02:59 PM,02:09 AM,09:10 AM,04:52 PM,10,9,11,9,31,100,90,0.1,1001,11,10,221,19
2019-12-06 09:00:00,11,1,0.0,3.8,2,3,62,02:59 PM,02:09 AM,09:10 AM,04:52 PM,9,9,11,9,26,100,91,0.8,999,11,10,228,15
2019-12-06 12:00:00,11,1,0.0,3.8,2,3,62,02:59 PM,02:09 AM,09:10 AM,04:52 PM,5,9,11,9,33,56,66,1.6,998,11,10,266,24
2019-12-06 15:00:00,11,1,0.0,3.8,2,2,62,02:59 PM,02:09 AM,09:10 AM,04:52 PM,6,6,9,6,28,100,79,2.5,998,9,9,270,21
2019-12-06 18:00:00,11,1,0.0,3.8,2,2,62,02:59 PM,02:09 AM,09:10 AM,04:52 PM,6,5,7,5,32,100,78,2.3,1002,5,9,286,22
