date_time,Bairnsdale_maxtempC,Bairnsdale_mintempC,Bairnsdale_totalSnow_cm,Bairnsdale_sunHour,Bairnsdale_uvIndex,Bairnsdale_uvIndex,Bairnsdale_moon_illumination,Bairnsdale_moonrise,Bairnsdale_moonset,Bairnsdale_sunrise,Bairnsdale_sunset,Bairnsdale_DewPointC,Bairnsdale_FeelsLikeC,Bairnsdale_HeatIndexC,Bairnsdale_WindChillC,Bairnsdale_WindGustKmph,Bairnsdale_cloudcover,Bairnsdale_humidity,Bairnsdale_precipMM,Bairnsdale_pressure,Bairnsdale_tempC,Bairnsdale_visibility,Bairnsdale_winddirDegree,Bairnsdale_windspeedKmph
2019-12-04 00:00:00,20,12,0.0,12.4,4,1,48,11:30 AM,12:34 AM,04:41 AM,07:19 PM,7,12,13,12,31,68,66,0.1,1006,13,10,272,20
2019-12-04 03:00:00,20,12,0.0,12.4,4,1,48,11:30 AM,12:34 AM,04:41 AM,07:19 PM,7,10,12,10,29,87,73,0.0,1007,12,10,258,19
2019-12-04 06:00:00,20,12,0.0,12.4,4,1,48,11:30 AM,12:34 AM,04:41 AM,07:19 PM,8,11,13,11,27,99,72,0.0,1008,13,10,258,20
2019-12-04 09:00:00,20,12,0.0,12.4,4,3,48,11:30 AM,12:34 AM,04:41 AM,07:19 PM,7,14,14,14,29,61,62,0.0,1009,14,10,260,23
2019-12-04 12:00:00,20,12,0.0,12.4,4,5,48,11:30 AM,12:34 AM,04:41 AM,07:19 PM,7,18,18,18,29,26,48,0.0,1009,18,10,250,25
2019-12-04 15:00:00,20,12,0.0,12.4,4,5,48,11:30 AM,12:34 AM,04:41 AM,07:19 PM,7,20,20,20,29,10,43,0.0,1008,20,10,247,24
2019-12-04 18:00:00,20,12,0.0,12.4,4,1,48,11:30 AM,12:34 AM,04:41 AM,07:19 PM,8,18,18,18,24,7,51,0.0,1009,18,10,242,15
2019-12-04 21:00:00,20,12,0.0,12.4,4,1,48,11:30 AM,12:34 AM,04:41 AM,07:19 PM,8,13,14,13,19,13,66,0.0,1010,14,10,252,10
2019-12-05 00:00:00,23,9,0.0,14.5,5,1,55,12:27 PM,01:03 AM,04:41 AM,07:20 PM,8,10,11,10,17,9,78,0.0,1009,11,10,278,9
2019-12-05 03:00:00,23,9,0.0,14.5,5,1,55,12:27 PM,01:03 AM,04:41 AM,07:20 PM,7,8,9,8,16,28,84,0.0,1008,9,10,319,8
2019-12-05 06:00:00,23,9,0.0,14.5,5,1,55,12:27 PM,01:03 AM,04:41 AM,07:20 PM,7,12,12,12,9,16,70,0.0,1007,12,10,296,6
2019-12-05 09:00:00,23,9,0.0,14.5,5,5,55,12:27 PM,01:03 AM,04:41 AM,07:20 PM,7,18,18,18,9,4,51,0.0,1006,18,10,248,8
2019-12-05 12:00:00,23,9,0.0,14.5,5,6,55,12:27 PM,01:03 AM,04:41 AM,07:20 PM,9,22,23,22,22,9,42,0.0,1005,22,10,234,19
2019-12-05 15:00:00,23,9,0.0,14.5,5,6,55,12:27 PM,01:03 AM,04:41 AM,07:20 PM,8,24,24,23,33,6,40,0.0,1004,23,10,238,26
2019-12-05 18:00:00,23,9,0.0,14.5,5,1,55,12:27 PM,01:03 AM,04:41 AM,07:20 PM,8,20,22,20,37,5,51,0.0,1005,20,10,241,25
2019-12-05 21:00:00,23,9,0.0,14.5,5,1,55,12:27 PM,01:03 AM,04:41 AM,07:20 PM,9,14,16,14,33,68,67,0.0,1007,15,10,248,20
2019-12-06 00:00:00,20,10,0.0,13.5,4,1,62,01:24 PM,01:30 AM,04:40 AM,07:20 PM,9,11,12,11,30,54,78,0.0,1008,12,10,257,17
