date_time,Beaconsfield_maxtempC,Beaconsfield_mintempC,Beaconsfield_totalSnow_cm,Beaconsfield_sunHour,Beaconsfield_uvIndex,Beaconsfield_uvIndex,Beaconsfield_moon_illumination,Beaconsfield_moonrise,Beaconsfield_moonset,Beaconsfield_sunrise,Beaconsfield_sunset,Beaconsfield_DewPointC,Beaconsfield_FeelsLikeC,Beaconsfield_HeatIndexC,Beaconsfield_WindChillC,Beaconsfield_WindGustKmph,Beaconsfield_cloudcover,Beaconsfield_humidity,Beaconsfield_precipMM,Beaconsfield_pressure,Beaconsfield_tempC,Beaconsfield_visibility,Beaconsfield_winddirDegree,Beaconsfield_windspeedKmph
2019-12-04 00:00:00,0,-4,2.2,3.4,1,1,48,02:03 PM,12:09 AM,08:18 AM,05:13 PM,-7,-9,-4,-9,23,23,76,0.0,1000,-4,10,249,15
2019-12-04 03:00:00,0,-4,2.2,3.4,1,1,48,02:03 PM,12:09 AM,08:18 AM,05:13 PM,-7,-9,-4,-9,22,62,79,0.0,999,-4,10,249,14
2019-12-04 06:00:00,0,-4,2.2,3.4,1,2,48,02:03 PM,12:09 AM,08:18 AM,05:13 PM,-6,-8,-3,-8,18,55,85,0.0,998,-3,10,245,12
2019-12-04 09:00:00,0,-4,2.2,3.4,1,1,48,02:03 PM,12:09 AM,08:18 AM,05:13 PM,-4,-6,-3,-6,12,61,89,0.0,997,-3,8,228,8
2019-12-04 12:00:00,0,-4,2.2,3.4,1,1,48,02:03 PM,12:09 AM,08:18 AM,05:13 PM,-2,-4,-1,-4,11,100,91,0.3,997,-1,4,205,8
2019-12-04 15:00:00,0,-4,2.2,3.4,1,1,48,02:03 PM,12:09 AM,08:18 AM,05:13 PM,-1,-3,0,-3,12,100,95,0.6,996,0,2,178,9
2019-12-04 18:00:00,0,-4,2.2,3.4,1,1,48,02:03 PM,12:09 AM,08:18 AM,05:13 PM,0,-2,0,-2,9,100,99,0.7,996,-1,2,170,6
2019-12-04 21:00:00,0,-4,2.2,3.4,1,1,48,02:03 PM,12:09 AM,08:18 AM,05:13 PM,0,-3,0,-3,10,100,99,1.0,997,-3,2,203,6
2019-12-05 00:00:00,-1,-5,3.2,3.4,1,1,55,02:25 PM,01:10 AM,08:19 AM,05:13 PM,-0,-4,-1,-4,12,100,99,0.8,997,-3,2,233,8
2019-12-05 03:00:00,-1,-5,3.2,3.4,1,1,55,02:25 PM,01:10 AM,08:19 AM,05:13 PM,-0,-3,-0,-3,13,100,98,1.1,997,-0,2,247,9
2019-12-05 06:00:00,-1,-5,3.2,3.4,1,1,55,02:25 PM,01:10 AM,08:19 AM,05:13 PM,-1,-4,-1,-4,16,96,97,0.9,998,-1,2,266,11
