date_time,Bega_maxtempC,Bega_mintempC,Bega_totalSnow_cm,Bega_sunHour,Bega_uvIndex,Bega_uvIndex,Bega_moon_illumination,Bega_moonrise,Bega_moonset,Bega_sunrise,Bega_sunset,Bega_DewPointC,Bega_FeelsLikeC,Bega_HeatIndexC,Bega_WindChillC,Bega_WindGustKmph,Bega_cloudcover,Bega_humidity,Bega_precipMM,Bega_pressure,Bega_tempC,Bega_visibility,Bega_winddirDegree,Bega_windspeedKmph
2019-12-04 00:00:00,27,15,0.0,8.7,6,1,48,12:47 PM,No moonset,06:43 AM,05:30 PM,2,18,18,18,16,1,34,0.0,1018,18,10,60,8
2019-12-04 03:00:00,27,15,0.0,8.7,6,1,48,12:47 PM,No moonset,06:43 AM,05:30 PM,2,17,17,17,15,2,37,0.0,1018,17,10,61,8
2019-12-04 06:00:00,27,15,0.0,8.7,6,5,48,12:47 PM,No moonset,06:43 AM,05:30 PM,2,16,16,16,14,2,40,0.0,1019,16,10,58,8
2019-12-04 09:00:00,27,15,0.0,8.7,6,5,48,12:47 PM,No moonset,06:43 AM,05:30 PM,5,20,20,20,13,0,38,0.0,1020,20,10,57,10
2019-12-04 12:00:00,27,15,0.0,8.7,6,6,48,12:47 PM,No moonset,06:43 AM,05:30 PM,7,25,25,25,12,0,31,0.0,1018,25,10,44,10
2019-12-04 15:00:00,27,15,0.0,8.7,6,7,48,12:47 PM,No moonset,06:43 AM,05:30 PM,7,25,25,25,14,0,32,0.0,1016,25,10,24,10
2019-12-04 18:00:00,27,15,0.0,8.7,6,6,48,12:47 PM,No moonset,06:43 AM,05:30 PM,4,21,22,21,20,5,34,0.0,1017,21,10,55,10
2019-12-04 21:00:00,27,15,0.0,8.7,6,1,48,12:47 PM,No moonset,06:43 AM,05:30 PM,0,17,17,17,21,34,31,0.0,1019,17,10,62,10
2019-12-05 00:00:00,25,13,0.0,8.7,5,1,55,01:21 PM,12:29 AM,06:44 AM,05:30 PM,-1,16,16,16,17,57,32,0.0,1019,16,10,59,8
2019-12-05 03:00:00,25,13,0.0,8.7,5,1,55,01:21 PM,12:29 AM,06:44 AM,05:30 PM,-1,14,14,14,15,32,36,0.0,1019,14,10,69,7
2019-12-05 06:00:00,25,13,0.0,8.7,5,4,55,01:21 PM,12:29 AM,06:44 AM,05:30 PM,1,14,14,14,13,25,39,0.0,1020,14,10,69,7
2019-12-05 09:00:00,25,13,0.0,8.7,5,5,55,01:21 PM,12:29 AM,06:44 AM,05:30 PM,3,19,19,19,10,7,34,0.0,1021,19,10,70,8
2019-12-05 12:00:00,25,13,0.0,8.7,5,6,55,01:21 PM,12:29 AM,06:44 AM,05:30 PM,2,24,24,24,12,10,25,0.0,1019,24,10,50,10
2019-12-05 15:00:00,25,13,0.0,8.7,5,6,55,01:21 PM,12:29 AM,06:44 AM,05:30 PM,1,23,23,24,15,26,24,0.0,1017,24,10,38,10
2019-12-05 18:00:00,25,13,0.0,8.7,5,5,55,01:21 PM,12:29 AM,06:44 AM,05:30 PM,2,19,19,19,24,23,32,0.0,1018,19,10,46,11
2019-12-05 21:00:00,25,13,0.0,8.7,5,1,55,01:21 PM,12:29 AM,06:44 AM,05:30 PM,2,16,16,16,23,6,38,0.0,1019,16,10,54,11
2019-12-06 00:00:00,24,13,0.0,7.2,5,1,62,01:53 PM,01:19 AM,06:45 AM,05:30 PM,2,14,14,14,21,11,44,0.0,1019,14,10,61,10
2019-12-06 03:00:00,24,13,0.0,7.2,5,1,62,01:53 PM,01:19 AM,06:45 AM,05:30 PM,3,13,14,13,19,8,48,0.0,1019,14,10,66,9
2019-12-06 06:00:00,24,13,0.0,7.2,5,4,62,01:53 PM,01:19 AM,06:45 AM,05:30 PM,3,13,14,13,16,9,50,0.0,1020,14,10,61,9
2019-12-06 09:00:00,24,13,0.0,7.2,5,4,62,01:53 PM,01:19 AM,06:45 AM,05:30 PM,5,18,18,18,13,40,44,0.0,1021,18,10,59,10
2019-12-06 12:00:00,24,13,0.0,7.2,5,6,62,01:53 PM,01:19 AM,06:45 AM,05:30 PM,4,24,24,23,13,79,30,0.0,1019,23,10,56,12
2019-12-06 15:00:00,24,13,0.0,7.2,5,5,62,01:53 PM,01:19 AM,06:45 AM,05:30 PM,4,22,22,23,16,51,29,0.0,1017,23,10,51,11
2019-12-06 18:00:00,24,13,0.0,7.2,5,5,62,01:53 PM,01:19 AM,06:45 AM,05:30 PM,4,19,19,19,23,50,38,0.0,1018,19,10,32,11
2019-12-06 21:00:00,24,13,0.0,7.2,5,1,62,01:53 PM,01:19 AM,06:45 AM,05:30 PM,3,16,16,16,23,7,41,0.0,1019,16,10,47,11
2019-12-07 00:00:00,25,14,0.0,8.7,5,1,70,02:26 PM,02:08 AM,06:45 AM,05:30 PM,3,15,15,15,19,10,45,0.0,1018,15,10,56,9
