date_time,Beverley_maxtempC,Beverley_mintempC,Beverley_totalSnow_cm,Beverley_sunHour,Beverley_uvIndex,Beverley_uvIndex,Beverley_moon_illumination,Beverley_moonrise,Beverley_moonset,Beverley_sunrise,Beverley_sunset,Beverley_DewPointC,Beverley_FeelsLikeC,Beverley_HeatIndexC,Beverley_WindChillC,Beverley_WindGustKmph,Beverley_cloudcover,Beverley_humidity,Beverley_precipMM,Beverley_pressure,Beverley_tempC,Beverley_visibility,Beverley_winddirDegree,Beverley_windspeedKmph
2019-12-04 00:00:00,6,1,0.0,7.4,2,1,48,02:20 PM,No moonset,09:00 AM,04:43 PM,2,0,3,0,25,34,88,0.0,1021,3,10,215,13
2019-12-04 03:00:00,6,1,0.0,7.4,2,1,48,02:20 PM,No moonset,09:00 AM,04:43 PM,1,-0,3,-0,29,30,85,0.0,1019,3,10,208,15
2019-12-04 06:00:00,6,1,0.0,7.4,2,2,48,02:20 PM,No moonset,09:00 AM,04:43 PM,0,-1,3,-1,31,17,84,0.0,1019,3,10,216,17
2019-12-04 09:00:00,6,1,0.0,7.4,2,2,48,02:20 PM,No moonset,09:00 AM,04:43 PM,1,-1,3,-1,29,11,86,0.0,1018,3,10,217,15
2019-12-04 12:00:00,6,1,0.0,7.4,2,3,48,02:20 PM,No moonset,09:00 AM,04:43 PM,2,2,6,2,28,2,77,0.0,1018,6,10,219,21
2019-12-04 15:00:00,6,1,0.0,7.4,2,3,48,02:20 PM,No moonset,09:00 AM,04:43 PM,3,2,6,2,26,3,81,0.0,1017,6,10,217,15
2019-12-04 18:00:00,6,1,0.0,7.4,2,2,48,02:20 PM,No moonset,09:00 AM,04:43 PM,2,-0,4,-0,34,36,89,0.0,1018,4,10,211,18
2019-12-04 21:00:00,6,1,0.0,7.4,2,1,48,02:20 PM,No moonset,09:00 AM,04:43 PM,3,1,5,1,32,51,90,0.0,1018,1,10,226,18
2019-12-05 00:00:00,8,1,0.0,1.9,3,1,55,02:36 PM,12:51 AM,09:02 AM,04:42 PM,3,1,4,1,28,16,92,0.0,1019,4,10,236,14
2019-12-05 03:00:00,8,1,0.0,1.9,3,1,55,02:36 PM,12:51 AM,09:02 AM,04:42 PM,3,1,4,1,31,18,93,0.0,1016,4,10,234,16
2019-12-05 06:00:00,8,1,0.0,1.9,3,2,55,02:36 PM,12:51 AM,09:02 AM,04:42 PM,3,0,4,0,35,14,90,0.0,1017,4,10,219,18
2019-12-05 09:00:00,8,1,0.0,1.9,3,2,55,02:36 PM,12:51 AM,09:02 AM,04:42 PM,3,0,5,0,39,15,87,0.0,1015,5,10,219,23
2019-12-05 12:00:00,8,1,0.0,1.9,3,2,55,02:36 PM,12:51 AM,09:02 AM,04:42 PM,4,3,8,3,43,75,76,0.0,1014,8,10,223,30
2019-12-05 15:00:00,8,1,0.0,1.9,3,2,55,02:36 PM,12:51 AM,09:02 AM,04:42 PM,5,4,8,4,55,100,80,0.0,1009,8,10,221,35
2019-12-05 18:00:00,8,1,0.0,1.9,3,1,55,02:36 PM,12:51 AM,09:02 AM,04:42 PM,6,4,7,4,63,67,80,0.0,1006,4,10,224,38
2019-12-05 21:00:00,8,1,0.0,1.9,3,1,55,02:36 PM,12:51 AM,09:02 AM,04:42 PM,9,1,3,1,57,100,85,0.3,1004,1,2,230,36
2019-12-06 00:00:00,13,8,0.0,1.8,3,1,62,02:50 PM,02:00 AM,09:03 AM,04:42 PM,10,9,12,9,40,100,88,0.0,1004,12,10,233,24
2019-12-06 03:00:00,13,8,0.0,1.8,3,1,62,02:50 PM,02:00 AM,09:03 AM,04:42 PM,9,9,11,9,33,100,87,0.0,1001,11,10,231,20
2019-12-06 06:00:00,13,8,0.0,1.8,3,3,62,02:50 PM,02:00 AM,09:03 AM,04:42 PM,9,9,11,9,39,100,88,0.0,1001,11,10,214,24
2019-12-06 09:00:00,13,8,0.0,1.8,3,3,62,02:50 PM,02:00 AM,09:03 AM,04:42 PM,9,9,12,9,41,100,84,0.4,998,12,2,227,26
2019-12-06 12:00:00,13,8,0.0,1.8,3,3,62,02:50 PM,02:00 AM,09:03 AM,04:42 PM,8,10,13,10,39,80,73,0.2,997,13,2,247,27
2019-12-06 15:00:00,13,8,0.0,1.8,3,3,62,02:50 PM,02:00 AM,09:03 AM,04:42 PM,6,7,10,7,39,84,75,0.2,996,10,9,262,26
2019-12-06 18:00:00,13,8,0.0,1.8,3,3,62,02:50 PM,02:00 AM,09:03 AM,04:42 PM,6,5,9,5,40,41,82,0.0,999,9,10,271,25
2019-12-06 21:00:00,13,8,0.0,1.8,3,1,62,02:50 PM,02:00 AM,09:03 AM,04:42 PM,5,5,8,5,42,8,82,0.0,1002,8,10,274,25
2019-12-07 00:00:00,10,6,0.0,5.8,3,1,70,03:05 PM,03:09 AM,09:04 AM,04:41 PM,5,5,8,5,40,37,83,0.0,1004,8,10,263,24
2019-12-07 03:00:00,10,6,0.0,5.8,3,1,70,03:05 PM,03:09 AM,09:04 AM,04:41 PM,5,5,8,5,38,19,83,0.0,1006,8,10,266,22
2019-12-07 06:00:00,10,6,0.0,5.8,3,2,70,03:05 PM,03:09 AM,09:04 AM,04:41 PM,5,4,7,4,33,71,87,0.0,1008,7,10,258,19
2019-12-07 09:00:00,10,6,0.0,5.8,3,3,70,03:05 PM,03:09 AM,09:04 AM,04:41 PM,6,4,8,4,34,29,88,0.0,1009,8,10,260,21
