date_time,Biloela_maxtempC,Biloela_mintempC,Biloela_totalSnow_cm,Biloela_sunHour,Biloela_uvIndex,Biloela_uvIndex,Biloela_moon_illumination,Biloela_moonrise,Biloela_moonset,Biloela_sunrise,Biloela_sunset,Biloela_DewPointC,Biloela_FeelsLikeC,Biloela_HeatIndexC,Biloela_WindChillC,Biloela_WindGustKmph,Biloela_cloudcover,Biloela_humidity,Biloela_precipMM,Biloela_pressure,Biloela_tempC,Biloela_visibility,Biloela_winddirDegree,Biloela_windspeedKmph
2019-12-04 00:00:00,35,20,0.0,13.3,8,1,48,11:35 AM,12:03 AM,05:01 AM,06:35 PM,8,24,24,23,17,3,43,0.0,1010,23,10,133,8
2019-12-04 03:00:00,35,20,0.0,13.3,8,1,48,11:35 AM,12:03 AM,05:01 AM,06:35 PM,6,20,20,20,20,2,40,0.0,1011,20,10,154,9
2019-12-04 06:00:00,35,20,0.0,13.3,8,1,48,11:35 AM,12:03 AM,05:01 AM,06:35 PM,5,23,23,23,23,2,31,0.0,1012,23,10,146,16
2019-12-04 09:00:00,35,20,0.0,13.3,8,7,48,11:35 AM,12:03 AM,05:01 AM,06:35 PM,4,27,27,29,20,3,21,0.0,1013,29,10,145,17
2019-12-04 12:00:00,35,20,0.0,13.3,8,8,48,11:35 AM,12:03 AM,05:01 AM,06:35 PM,4,31,31,33,10,2,16,0.0,1011,33,10,204,9
2019-12-04 15:00:00,35,20,0.0,13.3,8,8,48,11:35 AM,12:03 AM,05:01 AM,06:35 PM,3,33,33,35,17,2,13,0.0,1009,35,10,239,15
2019-12-04 18:00:00,35,20,0.0,13.3,8,1,48,11:35 AM,12:03 AM,05:01 AM,06:35 PM,3,34,34,34,23,2,19,0.0,1010,34,10,205,14
2019-12-04 21:00:00,35,20,0.0,13.3,8,1,48,11:35 AM,12:03 AM,05:01 AM,06:35 PM,10,34,34,31,13,2,47,0.0,1012,31,10,78,6
2019-12-05 00:00:00,36,18,0.0,13.3,8,1,55,12:26 PM,12:38 AM,05:01 AM,06:35 PM,14,24,24,23,4,1,69,0.0,1012,23,10,237,2
2019-12-05 03:00:00,36,18,0.0,13.3,8,1,55,12:26 PM,12:38 AM,05:01 AM,06:35 PM,11,18,18,18,5,0,62,0.0,1012,18,10,209,2
2019-12-05 06:00:00,36,18,0.0,13.3,8,1,55,12:26 PM,12:38 AM,05:01 AM,06:35 PM,7,23,23,23,6,0,38,0.0,1013,23,10,152,4
2019-12-05 09:00:00,36,18,0.0,13.3,8,7,55,12:26 PM,12:38 AM,05:01 AM,06:35 PM,2,28,28,30,7,0,18,0.0,1013,30,10,154,6
2019-12-05 12:00:00,36,18,0.0,13.3,8,8,55,12:26 PM,12:38 AM,05:01 AM,06:35 PM,-2,33,33,34,8,0,10,0.0,1011,34,10,229,6
2019-12-05 15:00:00,36,18,0.0,13.3,8,9,55,12:26 PM,12:38 AM,05:01 AM,06:35 PM,-3,35,35,36,11,0,8,0.0,1009,36,10,254,10
2019-12-05 18:00:00,36,18,0.0,13.3,8,1,55,12:26 PM,12:38 AM,05:01 AM,06:35 PM,2,36,36,34,8,0,18,0.0,1009,34,10,199,5
2019-12-05 21:00:00,36,18,0.0,13.3,8,1,55,12:26 PM,12:38 AM,05:01 AM,06:35 PM,13,34,34,30,16,0,54,0.0,1011,30,10,79,8
2019-12-06 00:00:00,36,20,0.0,13.4,8,1,62,01:16 PM,01:11 AM,05:01 AM,06:36 PM,19,27,27,24,14,2,82,0.0,1011,24,10,244,7
2019-12-06 03:00:00,36,20,0.0,13.4,8,1,62,01:16 PM,01:11 AM,05:01 AM,06:36 PM,19,20,21,20,8,10,93,0.0,1011,20,5,127,4
2019-12-06 06:00:00,36,20,0.0,13.4,8,1,62,01:16 PM,01:11 AM,05:01 AM,06:36 PM,19,24,24,23,7,7,80,0.0,1012,23,7,9,5
2019-12-06 09:00:00,36,20,0.0,13.4,8,7,62,01:16 PM,01:11 AM,05:01 AM,06:36 PM,17,30,30,29,12,1,50,0.0,1012,29,10,217,10
2019-12-06 12:00:00,36,20,0.0,13.4,8,8,62,01:16 PM,01:11 AM,05:01 AM,06:36 PM,13,34,34,35,17,23,27,0.0,1009,35,10,313,15
2019-12-06 15:00:00,36,20,0.0,13.4,8,9,62,01:16 PM,01:11 AM,05:01 AM,06:36 PM,11,34,34,35,16,22,23,0.0,1007,35,10,326,14
2019-12-06 18:00:00,36,20,0.0,13.4,8,1,62,01:16 PM,01:11 AM,05:01 AM,06:36 PM,14,34,34,32,26,52,45,0.2,1008,32,10,133,14
2019-12-06 21:00:00,36,20,0.0,13.4,8,1,62,01:16 PM,01:11 AM,05:01 AM,06:36 PM,17,33,33,30,27,80,63,0.3,1010,30,10,15,14
2019-12-07 00:00:00,37,20,0.0,13.4,7,1,70,02:06 PM,01:43 AM,05:02 AM,06:37 PM,17,27,27,24,17,31,73,0.1,1010,24,10,220,9
2019-12-07 03:00:00,37,20,0.0,13.4,7,1,70,02:06 PM,01:43 AM,05:02 AM,06:37 PM,17,21,22,21,15,4,80,0.0,1010,21,10,111,8
2019-12-07 06:00:00,37,20,0.0,13.4,7,1,70,02:06 PM,01:43 AM,05:02 AM,06:37 PM,18,24,24,23,19,4,70,0.0,1012,23,10,229,14
2019-12-07 09:00:00,37,20,0.0,13.4,7,8,70,02:06 PM,01:43 AM,05:02 AM,06:37 PM,17,31,31,30,22,4,46,0.0,1012,30,10,327,19
2019-12-07 12:00:00,37,20,0.0,13.4,7,9,70,02:06 PM,01:43 AM,05:02 AM,06:37 PM,13,35,35,36,19,9,26,0.0,1010,36,10,310,17
2019-12-07 15:00:00,37,20,0.0,13.4,7,9,70,02:06 PM,01:43 AM,05:02 AM,06:37 PM,12,35,35,36,20,8,24,0.0,1008,36,10,104,18
2019-12-07 18:00:00,37,20,0.0,13.4,7,1,70,02:06 PM,01:43 AM,05:02 AM,06:37 PM,15,36,36,34,31,5,44,0.0,1009,34,10,23,22
2019-12-07 21:00:00,37,20,0.0,13.4,7,1,70,02:06 PM,01:43 AM,05:02 AM,06:37 PM,17,35,35,32,25,1,65,0.0,1012,32,10,14,15
2019-12-08 00:00:00,37,20,0.0,13.4,8,1,77,02:57 PM,02:15 AM,05:02 AM,06:37 PM,17,25,25,24,12,2,79,0.0,1013,24,10,223,6
2019-12-08 03:00:00,37,20,0.0,13.4,8,1,77,02:57 PM,02:15 AM,05:02 AM,06:37 PM,17,20,20,20,8,7,85,0.0,1013,20,10,117,4
2019-12-08 06:00:00,37,20,0.0,13.4,8,1,77,02:57 PM,02:15 AM,05:02 AM,06:37 PM,17,24,24,23,13,5,69,0.0,1015,23,10,6,10
2019-12-08 09:00:00,37,20,0.0,13.4,8,7,77,02:57 PM,02:15 AM,05:02 AM,06:37 PM,12,29,29,30,18,3,37,0.0,1015,30,10,225,16
2019-12-08 12:00:00,37,20,0.0,13.4,8,9,77,02:57 PM,02:15 AM,05:02 AM,06:37 PM,9,34,34,35,15,1,20,0.0,1013,35,10,329,13
2019-12-08 15:00:00,37,20,0.0,13.4,8,9,77,02:57 PM,02:15 AM,05:02 AM,06:37 PM,8,35,35,37,14,3,17,0.0,1012,37,10,122,12
2019-12-08 18:00:00,37,20,0.0,13.4,8,1,77,02:57 PM,02:15 AM,05:02 AM,06:37 PM,10,36,36,36,28,4,32,0.0,1013,36,10,23,19
2019-12-08 21:00:00,37,20,0.0,13.4,8,1,77,02:57 PM,02:15 AM,05:02 AM,06:37 PM,14,36,36,32,31,4,58,0.0,1016,32,10,30,19
2019-12-09 00:00:00,35,19,0.0,13.4,8,1,84,03:50 PM,02:49 AM,05:02 AM,06:38 PM,15,25,25,24,16,4,70,0.0,1017,24,10,76,9
2019-12-09 03:00:00,35,19,0.0,13.4,8,1,84,03:50 PM,02:49 AM,05:02 AM,06:38 PM,15,19,19,19,8,6,79,0.0,1017,19,10,107,4
2019-12-09 06:00:00,35,19,0.0,13.4,8,1,84,03:50 PM,02:49 AM,05:02 AM,06:38 PM,16,21,23,21,9,8,73,0.0,1019,21,10,100,7
2019-12-09 09:00:00,35,19,0.0,13.4,8,7,84,03:50 PM,02:49 AM,05:02 AM,06:38 PM,14,28,28,28,15,7,44,0.0,1019,28,10,65,13
2019-12-09 12:00:00,35,19,0.0,13.4,8,8,84,03:50 PM,02:49 AM,05:02 AM,06:38 PM,12,33,33,34,21,7,26,0.0,1018,34,10,53,18
2019-12-09 15:00:00,35,19,0.0,13.4,8,8,84,03:50 PM,02:49 AM,05:02 AM,06:38 PM,12,33,33,34,31,6,27,0.0,1015,34,10,43,27
2019-12-09 18:00:00,35,19,0.0,13.4,8,1,84,03:50 PM,02:49 AM,05:02 AM,06:38 PM,14,33,33,31,31,5,44,0.0,1016,31,10,34,22
2019-12-09 21:00:00,35,19,0.0,13.4,8,1,84,03:50 PM,02:49 AM,05:02 AM,06:38 PM,16,31,31,28,19,5,66,0.0,1018,28,10,34,11
2019-12-10 00:00:00,36,18,0.0,13.4,8,1,92,04:45 PM,03:26 AM,05:02 AM,06:39 PM,16,22,23,22,8,3,76,0.0,1018,22,10,91,4
2019-12-10 03:00:00,36,18,0.0,13.4,8,1,92,04:45 PM,03:26 AM,05:02 AM,06:39 PM,16,18,18,18,6,3,87,0.0,1017,18,10,45,3
2019-12-10 06:00:00,36,18,0.0,13.4,8,1,92,04:45 PM,03:26 AM,05:02 AM,06:39 PM,17,21,22,21,6,5,79,0.0,1017,21,10,63,5
2019-12-10 09:00:00,36,18,0.0,13.4,8,7,92,04:45 PM,03:26 AM,05:02 AM,06:39 PM,13,28,28,28,8,2,45,0.0,1017,28,10,64,7
2019-12-10 12:00:00,36,18,0.0,13.4,8,8,92,04:45 PM,03:26 AM,05:02 AM,06:39 PM,10,33,33,34,13,6,23,0.0,1015,34,10,52,11
