date_time,Birkenhead_maxtempC,Birkenhead_mintempC,Birkenhead_totalSnow_cm,Birkenhead_sunHour,Birkenhead_uvIndex,Birkenhead_uvIndex,Birkenhead_moon_illumination,Birkenhead_moonrise,Birkenhead_moonset,Birkenhead_sunrise,Birkenhead_sunset,Birkenhead_DewPointC,Birkenhead_FeelsLikeC,Birkenhead_HeatIndexC,Birkenhead_WindChillC,Birkenhead_WindGustKmph,Birkenhead_cloudcover,Birkenhead_humidity,Birkenhead_precipMM,Birkenhead_pressure,Birkenhead_tempC,Birkenhead_visibility,Birkenhead_winddirDegree,Birkenhead_windspeedKmph
2019-12-04 00:00:00,8,4,0.0,3.8,3,1,48,02:30 PM,No moonset,09:09 AM,04:56 PM,3,4,6,4,12,43,80,0.0,1021,6,10,176,8
2019-12-04 03:00:00,8,4,0.0,3.8,3,1,48,02:30 PM,No moonset,09:09 AM,04:56 PM,3,3,5,3,20,3,87,0.0,1019,5,10,187,13
2019-12-04 06:00:00,8,4,0.0,3.8,3,2,48,02:30 PM,No moonset,09:09 AM,04:56 PM,3,2,5,2,22,0,86,0.0,1018,5,10,191,14
2019-12-04 09:00:00,8,4,0.0,3.8,3,2,48,02:30 PM,No moonset,09:09 AM,04:56 PM,2,0,4,0,27,28,87,0.0,1018,4,10,177,15
2019-12-04 12:00:00,8,4,0.0,3.8,3,3,48,02:30 PM,No moonset,09:09 AM,04:56 PM,4,4,7,4,23,52,78,0.0,1018,7,10,188,16
2019-12-04 15:00:00,8,4,0.0,3.8,3,2,48,02:30 PM,No moonset,09:09 AM,04:56 PM,5,6,8,6,18,68,81,0.0,1017,8,10,219,11
2019-12-04 18:00:00,8,4,0.0,3.8,3,2,48,02:30 PM,No moonset,09:09 AM,04:56 PM,5,5,8,5,20,100,87,0.0,1019,8,10,227,12
2019-12-04 21:00:00,8,4,0.0,3.8,3,1,48,02:30 PM,No moonset,09:09 AM,04:56 PM,6,4,8,4,22,79,89,0.1,1019,4,10,263,14
2019-12-05 00:00:00,10,4,0.0,1.9,2,1,55,02:46 PM,01:03 AM,09:10 AM,04:55 PM,4,3,6,3,28,71,85,0.1,1020,6,10,237,15
2019-12-05 03:00:00,10,4,0.0,1.9,2,1,55,02:46 PM,01:03 AM,09:10 AM,04:55 PM,4,3,6,3,31,11,85,0.0,1018,6,10,233,17
2019-12-05 06:00:00,10,4,0.0,1.9,2,3,55,02:46 PM,01:03 AM,09:10 AM,04:55 PM,4,2,6,2,35,40,85,0.0,1018,6,10,248,19
2019-12-05 09:00:00,10,4,0.0,1.9,2,2,55,02:46 PM,01:03 AM,09:10 AM,04:55 PM,4,3,6,3,31,100,83,0.0,1016,6,10,208,18
2019-12-05 12:00:00,10,4,0.0,1.9,2,2,55,02:46 PM,01:03 AM,09:10 AM,04:55 PM,5,6,9,6,32,81,80,0.0,1013,9,10,207,19
2019-12-05 15:00:00,10,4,0.0,1.9,2,3,55,02:46 PM,01:03 AM,09:10 AM,04:55 PM,7,7,10,7,46,70,82,0.0,1009,10,10,226,27
2019-12-05 18:00:00,10,4,0.0,1.9,2,2,55,02:46 PM,01:03 AM,09:10 AM,04:55 PM,9,6,8,6,63,65,84,0.2,1007,6,5,235,36
2019-12-05 21:00:00,10,4,0.0,1.9,2,1,55,02:46 PM,01:03 AM,09:10 AM,04:55 PM,10,4,6,4,55,100,88,2.2,1006,4,9,236,32
2019-12-06 00:00:00,11,5,0.0,1.9,2,1,62,03:01 PM,02:11 AM,09:11 AM,04:55 PM,10,9,11,9,48,100,89,2.9,1005,11,7,238,28
2019-12-06 03:00:00,11,5,0.0,1.9,2,1,62,03:01 PM,02:11 AM,09:11 AM,04:55 PM,10,9,12,9,43,60,86,0.1,1002,12,10,233,25
2019-12-06 06:00:00,11,5,0.0,1.9,2,3,62,03:01 PM,02:11 AM,09:11 AM,04:55 PM,10,9,11,9,35,100,90,0.1,1001,11,10,223,20
