date_time,Blackwater_maxtempC,Blackwater_mintempC,Blackwater_totalSnow_cm,Blackwater_sunHour,Blackwater_uvIndex,Blackwater_uvIndex,Blackwater_moon_illumination,Blackwater_moonrise,Blackwater_moonset,Blackwater_sunrise,Blackwater_sunset,Blackwater_DewPointC,Blackwater_FeelsLikeC,Blackwater_HeatIndexC,Blackwater_WindChillC,Blackwater_WindGustKmph,Blackwater_cloudcover,Blackwater_humidity,Blackwater_precipMM,Blackwater_pressure,Blackwater_tempC,Blackwater_visibility,Blackwater_winddirDegree,Blackwater_windspeedKmph
2019-12-04 00:00:00,36,23,0.0,13.3,8,1,48,11:43 AM,12:08 AM,05:09 AM,06:39 PM,5,28,28,27,51,2,25,0.0,1010,27,10,163,27
2019-12-04 03:00:00,36,23,0.0,13.3,8,1,48,11:43 AM,12:08 AM,05:09 AM,06:39 PM,4,24,24,24,53,1,28,0.0,1010,24,10,150,28
2019-12-04 06:00:00,36,23,0.0,13.3,8,1,48,11:43 AM,12:08 AM,05:09 AM,06:39 PM,3,24,24,25,42,0,24,0.0,1012,25,10,147,31
2019-12-04 09:00:00,36,23,0.0,13.3,8,8,48,11:43 AM,12:08 AM,05:09 AM,06:39 PM,3,28,28,30,33,0,19,0.0,1012,30,10,136,28
2019-12-04 12:00:00,36,23,0.0,13.3,8,8,48,11:43 AM,12:08 AM,05:09 AM,06:39 PM,2,32,32,34,19,0,13,0.0,1011,34,10,150,16
2019-12-04 15:00:00,36,23,0.0,13.3,8,9,48,11:43 AM,12:08 AM,05:09 AM,06:39 PM,0,34,34,36,10,0,10,0.0,1008,36,10,155,8
2019-12-04 18:00:00,36,23,0.0,13.3,8,1,48,11:43 AM,12:08 AM,05:09 AM,06:39 PM,-1,36,36,34,18,0,12,0.0,1009,34,10,137,10
2019-12-04 21:00:00,36,23,0.0,13.3,8,1,48,11:43 AM,12:08 AM,05:09 AM,06:39 PM,1,34,34,31,32,0,19,0.0,1011,31,10,101,15
2019-12-05 00:00:00,38,22,0.0,13.3,8,1,55,12:33 PM,12:44 AM,05:10 AM,06:40 PM,13,27,27,25,26,0,58,0.0,1012,25,10,103,13
2019-12-05 03:00:00,38,22,0.0,13.3,8,1,55,12:33 PM,12:44 AM,05:10 AM,06:40 PM,16,25,25,22,24,1,67,0.0,1012,22,10,131,13
2019-12-05 06:00:00,38,22,0.0,13.3,8,1,55,12:33 PM,12:44 AM,05:10 AM,06:40 PM,9,25,25,24,18,3,40,0.0,1013,24,10,135,12
2019-12-05 09:00:00,38,22,0.0,13.3,8,7,55,12:33 PM,12:44 AM,05:10 AM,06:40 PM,12,30,30,30,14,3,33,0.0,1013,30,10,91,12
2019-12-05 12:00:00,38,22,0.0,13.3,8,9,55,12:33 PM,12:44 AM,05:10 AM,06:40 PM,9,34,34,35,8,5,22,0.0,1011,35,10,200,6
2019-12-05 15:00:00,38,22,0.0,13.3,8,9,55,12:33 PM,12:44 AM,05:10 AM,06:40 PM,4,36,36,37,8,3,13,0.0,1008,37,10,248,7
2019-12-05 18:00:00,38,22,0.0,13.3,8,1,55,12:33 PM,12:44 AM,05:10 AM,06:40 PM,2,38,38,36,10,1,15,0.0,1008,36,10,242,6
2019-12-05 21:00:00,38,22,0.0,13.3,8,1,55,12:33 PM,12:44 AM,05:10 AM,06:40 PM,10,36,36,33,30,0,33,0.0,1010,33,10,88,15
2019-12-06 00:00:00,39,24,0.0,13.3,8,1,62,01:23 PM,01:17 AM,05:10 AM,06:41 PM,16,29,29,27,24,0,57,0.0,1010,27,10,7,12
2019-12-06 03:00:00,39,24,0.0,13.3,8,1,62,01:23 PM,01:17 AM,05:10 AM,06:41 PM,18,26,26,24,15,2,68,0.0,1010,24,10,19,8
2019-12-06 06:00:00,39,24,0.0,13.3,8,1,62,01:23 PM,01:17 AM,05:10 AM,06:41 PM,18,27,27,26,14,1,62,0.0,1012,26,10,241,10
2019-12-06 09:00:00,39,24,0.0,13.3,8,8,62,01:23 PM,01:17 AM,05:10 AM,06:41 PM,17,31,31,30,12,3,45,0.0,1012,30,10,338,11
2019-12-06 12:00:00,39,24,0.0,13.3,8,9,62,01:23 PM,01:17 AM,05:10 AM,06:41 PM,11,36,36,36,13,8,23,0.0,1009,36,10,312,12
2019-12-06 15:00:00,39,24,0.0,13.3,8,9,62,01:23 PM,01:17 AM,05:10 AM,06:41 PM,7,38,38,39,11,6,15,0.0,1006,39,10,322,10
2019-12-06 18:00:00,39,24,0.0,13.3,8,1,62,01:23 PM,01:17 AM,05:10 AM,06:41 PM,8,34,34,36,28,4,19,0.0,1007,36,10,130,15
2019-12-06 21:00:00,39,24,0.0,13.3,8,1,62,01:23 PM,01:17 AM,05:10 AM,06:41 PM,14,31,31,31,44,1,37,0.0,1009,31,10,11,26
2019-12-07 00:00:00,39,24,0.0,13.3,8,1,70,02:13 PM,01:50 AM,05:10 AM,06:41 PM,17,29,29,28,36,0,52,0.0,1010,28,10,234,22
2019-12-07 03:00:00,39,24,0.0,13.3,8,1,70,02:13 PM,01:50 AM,05:10 AM,06:41 PM,17,26,26,25,21,0,62,0.0,1010,25,10,356,12
2019-12-07 06:00:00,39,24,0.0,13.3,8,1,70,02:13 PM,01:50 AM,05:10 AM,06:41 PM,17,27,27,26,21,0,59,0.0,1011,26,10,338,17
2019-12-07 09:00:00,39,24,0.0,13.3,8,8,70,02:13 PM,01:50 AM,05:10 AM,06:41 PM,16,32,32,31,19,0,40,0.0,1012,31,10,318,17
2019-12-07 12:00:00,39,24,0.0,13.3,8,9,70,02:13 PM,01:50 AM,05:10 AM,06:41 PM,8,37,37,37,8,2,19,0.0,1009,37,10,285,8
2019-12-07 15:00:00,39,24,0.0,13.3,8,9,70,02:13 PM,01:50 AM,05:10 AM,06:41 PM,2,39,39,39,2,1,10,0.0,1007,39,10,265,2
2019-12-07 18:00:00,39,24,0.0,13.3,8,1,70,02:13 PM,01:50 AM,05:10 AM,06:41 PM,4,40,40,37,20,0,16,0.0,1008,37,10,117,10
2019-12-07 21:00:00,39,24,0.0,13.3,8,1,70,02:13 PM,01:50 AM,05:10 AM,06:41 PM,13,38,38,35,36,0,40,0.0,1011,35,10,41,22
2019-12-08 00:00:00,40,23,0.0,13.3,8,1,77,03:04 PM,02:22 AM,05:10 AM,06:42 PM,17,30,30,28,28,1,56,0.0,1012,28,10,33,18
2019-12-08 03:00:00,40,23,0.0,13.3,8,1,77,03:04 PM,02:22 AM,05:10 AM,06:42 PM,16,25,25,24,22,2,63,0.0,1012,24,10,56,13
2019-12-08 06:00:00,40,23,0.0,13.3,8,1,77,03:04 PM,02:22 AM,05:10 AM,06:42 PM,16,26,26,25,17,4,59,0.0,1014,25,10,48,12
2019-12-08 09:00:00,40,23,0.0,13.3,8,8,77,03:04 PM,02:22 AM,05:10 AM,06:42 PM,13,30,30,30,14,4,38,0.0,1015,30,10,30,12
2019-12-08 12:00:00,40,23,0.0,13.3,8,9,77,03:04 PM,02:22 AM,05:10 AM,06:42 PM,10,35,35,36,14,1,21,0.0,1013,36,10,26,12
2019-12-08 15:00:00,40,23,0.0,13.3,8,9,77,03:04 PM,02:22 AM,05:10 AM,06:42 PM,7,39,39,39,19,3,14,0.0,1010,39,10,49,16
2019-12-08 18:00:00,40,23,0.0,13.3,8,1,77,03:04 PM,02:22 AM,05:10 AM,06:42 PM,8,38,38,37,46,3,20,0.0,1011,37,10,42,30
2019-12-08 21:00:00,40,23,0.0,13.3,8,1,77,03:04 PM,02:22 AM,05:10 AM,06:42 PM,9,36,36,34,45,3,31,0.0,1014,34,10,37,28
2019-12-09 00:00:00,38,22,0.0,13.3,8,1,84,03:56 PM,02:56 AM,05:10 AM,06:43 PM,12,28,28,26,27,4,48,0.0,1015,26,10,31,16
2019-12-09 03:00:00,38,22,0.0,13.3,8,1,84,03:56 PM,02:56 AM,05:10 AM,06:43 PM,16,25,25,22,24,4,67,0.0,1016,22,10,71,14
2019-12-09 06:00:00,38,22,0.0,13.3,8,1,84,03:56 PM,02:56 AM,05:10 AM,06:43 PM,17,25,25,23,24,7,70,0.0,1017,23,10,84,18
2019-12-09 09:00:00,38,22,0.0,13.3,8,7,84,03:56 PM,02:56 AM,05:10 AM,06:43 PM,14,29,29,29,28,6,43,0.0,1018,29,10,70,25
2019-12-09 12:00:00,38,22,0.0,13.3,8,8,84,03:56 PM,02:56 AM,05:10 AM,06:43 PM,11,34,34,35,31,4,24,0.0,1016,35,10,66,27
2019-12-09 15:00:00,38,22,0.0,13.3,8,9,84,03:56 PM,02:56 AM,05:10 AM,06:43 PM,10,36,36,37,34,12,19,0.0,1014,37,10,76,30
2019-12-09 18:00:00,38,22,0.0,13.3,8,1,84,03:56 PM,02:56 AM,05:10 AM,06:43 PM,10,37,37,35,46,10,25,0.0,1014,35,10,71,31
2019-12-09 21:00:00,38,22,0.0,13.3,8,1,84,03:56 PM,02:56 AM,05:10 AM,06:43 PM,13,35,35,32,48,6,42,0.0,1017,32,10,49,30
2019-12-10 00:00:00,38,20,0.0,13.3,8,1,92,04:51 PM,03:33 AM,05:11 AM,06:43 PM,16,28,28,25,31,6,67,0.0,1017,25,10,44,19
2019-12-10 03:00:00,38,20,0.0,13.3,8,1,92,04:51 PM,03:33 AM,05:11 AM,06:43 PM,18,20,21,20,22,43,87,0.0,1016,20,10,58,13
2019-12-10 06:00:00,38,20,0.0,13.3,8,1,92,04:51 PM,03:33 AM,05:11 AM,06:43 PM,18,22,23,22,22,56,82,0.0,1016,22,10,66,17
2019-12-10 09:00:00,38,20,0.0,13.3,8,7,92,04:51 PM,03:33 AM,05:11 AM,06:43 PM,15,28,28,28,26,18,47,0.0,1016,28,10,67,22
2019-12-10 12:00:00,38,20,0.0,13.3,8,9,92,04:51 PM,03:33 AM,05:11 AM,06:43 PM,9,34,34,35,29,0,22,0.0,1014,35,10,73,25
2019-12-10 15:00:00,38,20,0.0,13.3,8,9,92,04:51 PM,03:33 AM,05:11 AM,06:43 PM,6,37,37,38,27,4,15,0.0,1011,38,10,92,24
2019-12-10 18:00:00,38,20,0.0,13.3,8,1,92,04:51 PM,03:33 AM,05:11 AM,06:43 PM,5,38,38,37,38,6,16,0.0,1012,37,10,76,22
2019-12-10 21:00:00,38,20,0.0,13.3,8,1,92,04:51 PM,03:33 AM,05:11 AM,06:43 PM,9,38,38,34,42,2,33,0.0,1014,34,10,40,23
2019-12-11 00:00:00,38,20,0.0,13.3,8,1,99,05:48 PM,04:13 AM,05:11 AM,06:44 PM,13,26,26,25,22,1,59,0.0,1014,25,10,20,12
2019-12-11 03:00:00,38,20,0.0,13.3,8,1,99,05:48 PM,04:13 AM,05:11 AM,06:44 PM,16,20,20,20,19,2,80,0.0,1013,20,10,31,10
2019-12-11 06:00:00,38,20,0.0,13.3,8,1,99,05:48 PM,04:13 AM,05:11 AM,06:44 PM,18,21,23,21,15,27,80,0.0,1014,21,10,46,10
2019-12-11 09:00:00,38,20,0.0,13.3,8,7,99,05:48 PM,04:13 AM,05:11 AM,06:44 PM,14,28,28,28,9,16,48,0.0,1013,28,10,40,8
2019-12-11 12:00:00,38,20,0.0,13.3,8,8,99,05:48 PM,04:13 AM,05:11 AM,06:44 PM,11,34,34,35,15,3,24,0.0,1011,35,10,55,13
2019-12-11 15:00:00,38,20,0.0,13.3,8,9,99,05:48 PM,04:13 AM,05:11 AM,06:44 PM,9,37,37,38,19,7,18,0.0,1009,38,10,76,17
2019-12-11 18:00:00,38,20,0.0,13.3,8,1,99,05:48 PM,04:13 AM,05:11 AM,06:44 PM,10,39,39,36,29,14,23,0.0,1009,36,10,142,17
2019-12-11 21:00:00,38,20,0.0,13.3,8,1,99,05:48 PM,04:13 AM,05:11 AM,06:44 PM,11,36,36,32,42,10,34,0.0,1011,32,10,88,24
2019-12-12 00:00:00,39,20,0.0,13.3,8,1,100,06:47 PM,04:58 AM,05:11 AM,06:45 PM,15,28,28,26,42,4,57,0.0,1011,26,10,50,27
2019-12-12 03:00:00,39,20,0.0,13.3,8,1,100,06:47 PM,04:58 AM,05:11 AM,06:45 PM,17,21,22,21,20,6,79,0.0,1011,21,10,47,13
