date_time,Boggabilla_maxtempC,Boggabilla_mintempC,Boggabilla_totalSnow_cm,Boggabilla_sunHour,Boggabilla_uvIndex,Boggabilla_uvIndex,Boggabilla_moon_illumination,Boggabilla_moonrise,Boggabilla_moonset,Boggabilla_sunrise,Boggabilla_sunset,Boggabilla_DewPointC,Boggabilla_FeelsLikeC,Boggabilla_HeatIndexC,Boggabilla_WindChillC,Boggabilla_WindGustKmph,Boggabilla_cloudcover,Boggabilla_humidity,Boggabilla_precipMM,Boggabilla_pressure,Boggabilla_tempC,Boggabilla_visibility,Boggabilla_winddirDegree,Boggabilla_windspeedKmph
2019-12-04 00:00:00,31,18,0.0,13.9,7,1,48,11:31 AM,12:09 AM,04:53 AM,06:44 PM,3,20,21,20,19,0,32,0.0,1012,20,10,220,9
2019-12-04 03:00:00,31,18,0.0,13.9,7,1,48,11:31 AM,12:09 AM,04:53 AM,06:44 PM,3,19,19,19,17,0,35,0.0,1012,19,10,218,8
2019-12-04 06:00:00,31,18,0.0,13.9,7,1,48,11:31 AM,12:09 AM,04:53 AM,06:44 PM,4,21,22,21,17,0,32,0.0,1013,21,10,198,12
2019-12-04 09:00:00,31,18,0.0,13.9,7,7,48,11:31 AM,12:09 AM,04:53 AM,06:44 PM,3,25,25,26,20,0,22,0.0,1013,26,10,207,17
2019-12-04 12:00:00,31,18,0.0,13.9,7,7,48,11:31 AM,12:09 AM,04:53 AM,06:44 PM,-0,28,28,30,23,0,15,0.0,1012,30,10,228,20
2019-12-04 15:00:00,31,18,0.0,13.9,7,8,48,11:31 AM,12:09 AM,04:53 AM,06:44 PM,-1,29,29,31,24,0,13,0.0,1011,31,10,235,21
2019-12-04 18:00:00,31,18,0.0,13.9,7,1,48,11:31 AM,12:09 AM,04:53 AM,06:44 PM,-1,29,29,29,28,0,15,0.0,1011,29,10,229,17
2019-12-04 21:00:00,31,18,0.0,13.9,7,1,48,11:31 AM,12:09 AM,04:53 AM,06:44 PM,-1,25,25,24,23,0,19,0.0,1013,24,10,212,11
2019-12-05 00:00:00,33,19,0.0,13.9,7,1,55,12:23 PM,12:42 AM,04:53 AM,06:45 PM,-1,22,22,22,21,0,22,0.0,1013,22,10,206,10
2019-12-05 03:00:00,33,19,0.0,13.9,7,1,55,12:23 PM,12:42 AM,04:53 AM,06:45 PM,-1,20,20,20,22,0,24,0.0,1013,20,10,192,11
2019-12-05 06:00:00,33,19,0.0,13.9,7,1,55,12:23 PM,12:42 AM,04:53 AM,06:45 PM,0,22,22,22,14,0,24,0.0,1014,22,10,156,9
2019-12-05 09:00:00,33,19,0.0,13.9,7,7,55,12:23 PM,12:42 AM,04:53 AM,06:45 PM,1,25,25,27,12,0,19,0.0,1014,27,10,185,10
2019-12-05 12:00:00,33,19,0.0,13.9,7,8,55,12:23 PM,12:42 AM,04:53 AM,06:45 PM,-1,29,29,31,19,0,13,0.0,1012,31,10,234,17
2019-12-05 15:00:00,33,19,0.0,13.9,7,8,55,12:23 PM,12:42 AM,04:53 AM,06:45 PM,-2,31,31,33,23,0,11,0.0,1010,33,10,245,20
2019-12-05 18:00:00,33,19,0.0,13.9,7,1,55,12:23 PM,12:42 AM,04:53 AM,06:45 PM,-1,31,31,31,22,0,14,0.0,1010,31,10,245,13
2019-12-05 21:00:00,33,19,0.0,13.9,7,1,55,12:23 PM,12:42 AM,04:53 AM,06:45 PM,0,27,27,27,19,0,19,0.0,1011,27,10,235,9
2019-12-06 00:00:00,36,22,0.0,13.9,8,1,62,01:15 PM,01:14 AM,04:53 AM,06:46 PM,1,24,24,24,17,0,21,0.0,1011,24,10,264,8
2019-12-06 03:00:00,36,22,0.0,13.9,8,1,62,01:15 PM,01:14 AM,04:53 AM,06:46 PM,1,23,23,23,14,0,23,0.0,1010,23,10,319,6
2019-12-06 06:00:00,36,22,0.0,13.9,8,1,62,01:15 PM,01:14 AM,04:53 AM,06:46 PM,2,24,24,25,13,0,21,0.0,1011,25,10,131,9
2019-12-06 09:00:00,36,22,0.0,13.9,8,8,62,01:15 PM,01:14 AM,04:53 AM,06:46 PM,2,29,29,31,12,0,16,0.0,1011,31,10,218,10
2019-12-06 12:00:00,36,22,0.0,13.9,8,9,62,01:15 PM,01:14 AM,04:53 AM,06:46 PM,-0,33,33,35,17,0,11,0.0,1009,35,10,269,15
2019-12-06 15:00:00,36,22,0.0,13.9,8,9,62,01:15 PM,01:14 AM,04:53 AM,06:46 PM,-1,35,35,36,18,0,9,0.0,1007,36,10,253,15
2019-12-06 18:00:00,36,22,0.0,13.9,8,1,62,01:15 PM,01:14 AM,04:53 AM,06:46 PM,-2,37,37,35,22,0,11,0.0,1007,35,10,246,13
2019-12-06 21:00:00,36,22,0.0,13.9,8,1,62,01:15 PM,01:14 AM,04:53 AM,06:46 PM,-2,34,34,32,23,0,13,0.0,1009,32,10,220,11
2019-12-07 00:00:00,36,23,0.0,13.9,8,1,70,02:07 PM,01:44 AM,04:53 AM,06:46 PM,-1,27,27,27,19,0,18,0.0,1009,27,10,174,9
2019-12-07 03:00:00,36,23,0.0,13.9,8,1,70,02:07 PM,01:44 AM,04:53 AM,06:46 PM,1,23,23,23,21,0,23,0.0,1009,23,10,147,10
2019-12-07 06:00:00,36,23,0.0,13.9,8,1,70,02:07 PM,01:44 AM,04:53 AM,06:46 PM,3,24,24,25,15,0,24,0.0,1011,25,10,132,10
2019-12-07 09:00:00,36,23,0.0,13.9,8,8,70,02:07 PM,01:44 AM,04:53 AM,06:46 PM,4,29,29,31,8,0,19,0.0,1011,31,10,171,6
2019-12-07 12:00:00,36,23,0.0,13.9,8,9,70,02:07 PM,01:44 AM,04:53 AM,06:46 PM,2,34,34,36,21,0,12,0.0,1010,36,10,233,18
2019-12-07 15:00:00,36,23,0.0,13.9,8,9,70,02:07 PM,01:44 AM,04:53 AM,06:46 PM,-2,34,34,36,27,0,9,0.0,1009,36,10,244,23
2019-12-07 18:00:00,36,23,0.0,13.9,8,1,70,02:07 PM,01:44 AM,04:53 AM,06:46 PM,-4,35,35,34,28,0,10,0.0,1010,34,10,233,17
2019-12-07 21:00:00,36,23,0.0,13.9,8,1,70,02:07 PM,01:44 AM,04:53 AM,06:46 PM,-5,35,35,31,32,0,12,0.0,1013,31,10,212,15
2019-12-08 00:00:00,37,21,0.0,13.9,8,1,77,03:00 PM,02:14 AM,04:53 AM,06:47 PM,-4,27,27,26,24,0,15,0.0,1013,26,10,173,12
2019-12-08 03:00:00,37,21,0.0,13.9,8,1,77,03:00 PM,02:14 AM,04:53 AM,06:47 PM,4,22,22,22,27,0,34,0.0,1013,22,10,81,13
2019-12-08 06:00:00,37,21,0.0,13.9,8,1,77,03:00 PM,02:14 AM,04:53 AM,06:47 PM,11,24,24,23,21,0,49,0.0,1015,23,10,49,14
2019-12-08 09:00:00,37,21,0.0,13.9,8,7,77,03:00 PM,02:14 AM,04:53 AM,06:47 PM,12,29,29,29,17,0,37,0.0,1016,29,10,47,14
2019-12-08 12:00:00,37,21,0.0,13.9,8,8,77,03:00 PM,02:14 AM,04:53 AM,06:47 PM,7,33,33,35,12,0,19,0.0,1013,35,10,242,10
