date_time,Bombala_maxtempC,Bombala_mintempC,Bombala_totalSnow_cm,Bombala_sunHour,Bombala_uvIndex,Bombala_uvIndex,Bombala_moon_illumination,Bombala_moonrise,Bombala_moonset,Bombala_sunrise,Bombala_sunset,Bombala_DewPointC,Bombala_FeelsLikeC,Bombala_HeatIndexC,Bombala_WindChillC,Bombala_WindGustKmph,Bombala_cloudcover,Bombala_humidity,Bombala_precipMM,Bombala_pressure,Bombala_tempC,Bombala_visibility,Bombala_winddirDegree,Bombala_windspeedKmph
2019-12-04 00:00:00,22,9,0.0,14.5,5,1,48,11:25 AM,12:26 AM,04:37 AM,07:09 PM,4,11,13,11,15,14,68,0.0,1006,12,10,284,7
2019-12-04 03:00:00,22,9,0.0,14.5,5,1,48,11:25 AM,12:26 AM,04:37 AM,07:09 PM,4,8,9,8,15,24,73,0.0,1007,9,10,291,7
2019-12-04 06:00:00,22,9,0.0,14.5,5,1,48,11:25 AM,12:26 AM,04:37 AM,07:09 PM,4,13,14,13,12,25,54,0.0,1008,14,10,264,9
2019-12-04 09:00:00,22,9,0.0,14.5,5,5,48,11:25 AM,12:26 AM,04:37 AM,07:09 PM,4,20,21,20,9,17,36,0.0,1008,20,10,198,8
2019-12-04 12:00:00,22,9,0.0,14.5,5,6,48,11:25 AM,12:26 AM,04:37 AM,07:09 PM,6,22,24,22,17,11,36,0.0,1007,22,10,112,14
2019-12-04 15:00:00,22,9,0.0,14.5,5,6,48,11:25 AM,12:26 AM,04:37 AM,07:09 PM,9,21,21,21,18,9,46,0.0,1007,21,10,71,16
2019-12-04 18:00:00,22,9,0.0,14.5,5,1,48,11:25 AM,12:26 AM,04:37 AM,07:09 PM,10,19,21,19,16,7,65,0.0,1009,19,10,48,11
2019-12-04 21:00:00,22,9,0.0,14.5,5,1,48,11:25 AM,12:26 AM,04:37 AM,07:09 PM,9,16,20,16,13,6,84,0.0,1010,16,10,227,7
2019-12-05 00:00:00,27,9,0.0,14.5,6,1,55,12:21 PM,12:55 AM,04:37 AM,07:10 PM,8,11,12,11,10,8,86,0.0,1010,11,10,292,5
2019-12-05 03:00:00,27,9,0.0,14.5,6,1,55,12:21 PM,12:55 AM,04:37 AM,07:10 PM,5,9,9,9,8,4,79,0.0,1008,9,10,260,4
2019-12-05 06:00:00,27,9,0.0,14.5,6,1,55,12:21 PM,12:55 AM,04:37 AM,07:10 PM,6,14,14,14,4,3,58,0.0,1007,14,10,143,3
2019-12-05 09:00:00,27,9,0.0,14.5,6,6,55,12:21 PM,12:55 AM,04:37 AM,07:10 PM,6,22,22,23,3,3,36,0.0,1006,23,10,104,3
2019-12-05 12:00:00,27,9,0.0,14.5,6,7,55,12:21 PM,12:55 AM,04:37 AM,07:10 PM,8,26,26,26,8,3,31,0.0,1004,26,10,144,7
2019-12-05 15:00:00,27,9,0.0,14.5,6,6,55,12:21 PM,12:55 AM,04:37 AM,07:10 PM,9,22,22,23,14,5,43,0.0,1004,23,10,137,12
2019-12-05 18:00:00,27,9,0.0,14.5,6,1,55,12:21 PM,12:55 AM,04:37 AM,07:10 PM,10,19,21,19,10,13,68,0.0,1005,19,10,106,7
2019-12-05 21:00:00,27,9,0.0,14.5,6,1,55,12:21 PM,12:55 AM,04:37 AM,07:10 PM,10,16,19,16,6,9,86,0.0,1007,16,10,250,3
2019-12-06 00:00:00,23,9,0.0,13.4,6,1,62,01:17 PM,01:23 AM,04:37 AM,07:11 PM,9,12,13,12,8,13,93,0.0,1007,12,10,311,4
2019-12-06 03:00:00,23,9,0.0,13.4,6,1,62,01:17 PM,01:23 AM,04:37 AM,07:11 PM,8,9,9,9,10,14,93,0.0,1007,9,10,290,5
2019-12-06 06:00:00,23,9,0.0,13.4,6,1,62,01:17 PM,01:23 AM,04:37 AM,07:11 PM,9,14,14,14,4,16,72,0.0,1007,14,10,200,2
2019-12-06 09:00:00,23,9,0.0,13.4,6,6,62,01:17 PM,01:23 AM,04:37 AM,07:11 PM,9,21,22,21,8,10,48,0.0,1007,21,10,118,6
2019-12-06 12:00:00,23,9,0.0,13.4,6,6,62,01:17 PM,01:23 AM,04:37 AM,07:11 PM,11,25,25,23,16,4,49,0.0,1006,23,10,83,14
2019-12-06 15:00:00,23,9,0.0,13.4,6,6,62,01:17 PM,01:23 AM,04:37 AM,07:11 PM,12,20,21,20,14,56,61,0.0,1006,20,10,81,12
2019-12-06 18:00:00,23,9,0.0,13.4,6,1,62,01:17 PM,01:23 AM,04:37 AM,07:11 PM,12,16,16,16,10,79,78,0.1,1009,16,10,266,7
