date_time,Bouloupari_maxtempC,Bouloupari_mintempC,Bouloupari_totalSnow_cm,Bouloupari_sunHour,Bouloupari_uvIndex,Bouloupari_uvIndex,Bouloupari_moon_illumination,Bouloupari_moonrise,Bouloupari_moonset,Bouloupari_sunrise,Bouloupari_sunset,Bouloupari_DewPointC,Bouloupari_FeelsLikeC,Bouloupari_HeatIndexC,Bouloupari_WindChillC,Bouloupari_WindGustKmph,Bouloupari_cloudcover,Bouloupari_humidity,Bouloupari_precipMM,Bouloupari_pressure,Bouloupari_tempC,Bouloupari_visibility,Bouloupari_winddirDegree,Bouloupari_windspeedKmph
2019-12-04 00:00:00,26,22,0.0,13.2,7,1,48,11:34 AM,No moonset,05:04 AM,06:27 PM,19,25,25,23,18,2,80,0.0,1013,23,10,42,11
2019-12-04 03:00:00,26,22,0.0,13.2,7,1,48,11:34 AM,No moonset,05:04 AM,06:27 PM,19,25,25,22,13,10,81,0.0,1012,22,10,26,8
2019-12-04 06:00:00,26,22,0.0,13.2,7,1,48,11:34 AM,No moonset,05:04 AM,06:27 PM,18,25,25,23,9,24,75,0.0,1013,23,10,67,6
2019-12-04 09:00:00,26,22,0.0,13.2,7,7,48,11:34 AM,No moonset,05:04 AM,06:27 PM,18,27,27,25,9,24,64,0.0,1013,25,10,155,8
2019-12-04 12:00:00,26,22,0.0,13.2,7,7,48,11:34 AM,No moonset,05:04 AM,06:27 PM,19,27,27,26,21,9,65,0.0,1013,26,10,172,18
2019-12-04 15:00:00,26,22,0.0,13.2,7,7,48,11:34 AM,No moonset,05:04 AM,06:27 PM,19,27,27,25,18,25,68,0.0,1011,25,10,178,15
2019-12-04 18:00:00,26,22,0.0,13.2,7,1,48,11:34 AM,No moonset,05:04 AM,06:27 PM,20,27,27,25,13,37,74,0.0,1012,25,10,146,11
2019-12-04 21:00:00,26,22,0.0,13.2,7,1,48,11:34 AM,No moonset,05:04 AM,06:27 PM,20,26,26,24,9,21,78,0.0,1014,24,10,55,6
2019-12-05 00:00:00,26,22,0.0,13.2,7,1,55,12:23 PM,12:32 AM,05:04 AM,06:28 PM,19,25,25,23,13,13,76,0.0,1013,23,10,25,8
2019-12-05 03:00:00,26,22,0.0,13.2,7,1,55,12:23 PM,12:32 AM,05:04 AM,06:28 PM,18,25,25,22,8,11,78,0.0,1012,22,10,16,5
2019-12-05 06:00:00,26,22,0.0,13.2,7,1,55,12:23 PM,12:32 AM,05:04 AM,06:28 PM,18,25,25,23,7,8,73,0.0,1013,23,10,77,4
2019-12-05 09:00:00,26,22,0.0,13.2,7,7,55,12:23 PM,12:32 AM,05:04 AM,06:28 PM,19,27,27,26,8,11,66,0.0,1013,26,10,173,7
2019-12-05 12:00:00,26,22,0.0,13.2,7,7,55,12:23 PM,12:32 AM,05:04 AM,06:28 PM,20,27,27,25,18,31,71,0.0,1013,25,10,166,15
2019-12-05 15:00:00,26,22,0.0,13.2,7,6,55,12:23 PM,12:32 AM,05:04 AM,06:28 PM,20,27,27,25,22,41,77,0.0,1012,25,10,150,18
2019-12-05 18:00:00,26,22,0.0,13.2,7,1,55,12:23 PM,12:32 AM,05:04 AM,06:28 PM,20,26,26,24,22,15,78,0.0,1012,24,10,136,17
2019-12-05 21:00:00,26,22,0.0,13.2,7,1,55,12:23 PM,12:32 AM,05:04 AM,06:28 PM,20,26,26,23,22,14,82,0.0,1013,23,10,110,15
2019-12-06 00:00:00,27,22,0.0,13.3,6,1,62,01:12 PM,01:06 AM,05:04 AM,06:29 PM,20,25,25,23,18,40,85,0.0,1013,23,10,90,12
2019-12-06 03:00:00,27,22,0.0,13.3,6,1,62,01:12 PM,01:06 AM,05:04 AM,06:29 PM,20,25,25,22,16,67,86,0.0,1012,22,10,77,10
2019-12-06 06:00:00,27,22,0.0,13.3,6,1,62,01:12 PM,01:06 AM,05:04 AM,06:29 PM,20,25,25,23,14,31,81,0.0,1012,23,10,86,10
2019-12-06 09:00:00,27,22,0.0,13.3,6,7,62,01:12 PM,01:06 AM,05:04 AM,06:29 PM,20,28,28,26,20,59,69,0.0,1013,26,10,120,17
2019-12-06 12:00:00,27,22,0.0,13.3,6,6,62,01:12 PM,01:06 AM,05:04 AM,06:29 PM,20,29,29,27,34,25,67,0.0,1013,27,10,138,29
2019-12-06 15:00:00,27,22,0.0,13.3,6,7,62,01:12 PM,01:06 AM,05:04 AM,06:29 PM,20,28,28,26,37,54,70,0.0,1011,26,10,135,31
2019-12-06 18:00:00,27,22,0.0,13.3,6,1,62,01:12 PM,01:06 AM,05:04 AM,06:29 PM,20,27,27,25,34,21,75,0.0,1012,25,10,119,26
2019-12-06 21:00:00,27,22,0.0,13.3,6,1,62,01:12 PM,01:06 AM,05:04 AM,06:29 PM,20,26,26,24,27,10,83,0.0,1014,24,10,100,19
2019-12-07 00:00:00,27,23,0.0,9.5,6,1,70,02:01 PM,01:40 AM,05:05 AM,06:29 PM,21,25,25,23,20,38,87,0.0,1013,23,10,97,13
2019-12-07 03:00:00,27,23,0.0,9.5,6,1,70,02:01 PM,01:40 AM,05:05 AM,06:29 PM,21,25,25,23,18,78,89,0.1,1012,23,10,105,12
2019-12-07 06:00:00,27,23,0.0,9.5,6,1,70,02:01 PM,01:40 AM,05:05 AM,06:29 PM,22,26,26,24,17,67,87,0.1,1013,24,10,113,13
2019-12-07 09:00:00,27,23,0.0,9.5,6,6,70,02:01 PM,01:40 AM,05:05 AM,06:29 PM,23,29,29,26,21,78,79,0.3,1014,26,9,133,18
2019-12-07 12:00:00,27,23,0.0,9.5,6,6,70,02:01 PM,01:40 AM,05:05 AM,06:29 PM,23,30,30,27,27,69,79,0.6,1013,27,9,150,22
2019-12-07 15:00:00,27,23,0.0,9.5,6,6,70,02:01 PM,01:40 AM,05:05 AM,06:29 PM,23,29,29,26,30,63,83,1.5,1012,26,9,146,21
2019-12-07 18:00:00,27,23,0.0,9.5,6,1,70,02:01 PM,01:40 AM,05:05 AM,06:29 PM,23,29,29,26,29,57,85,1.9,1013,26,8,135,18
2019-12-07 21:00:00,27,23,0.0,9.5,6,1,70,02:01 PM,01:40 AM,05:05 AM,06:29 PM,23,27,27,25,18,36,90,0.0,1014,25,10,116,12
2019-12-08 00:00:00,27,23,0.0,12.0,7,1,77,02:51 PM,02:13 AM,05:05 AM,06:30 PM,22,26,26,24,9,49,88,0.1,1014,24,10,88,6
2019-12-08 03:00:00,27,23,0.0,12.0,7,1,77,02:51 PM,02:13 AM,05:05 AM,06:30 PM,21,26,26,24,7,1,87,0.0,1013,24,10,52,4
2019-12-08 06:00:00,27,23,0.0,12.0,7,1,77,02:51 PM,02:13 AM,05:05 AM,06:30 PM,21,26,26,24,8,1,81,0.0,1014,24,10,81,4
2019-12-08 09:00:00,27,23,0.0,12.0,7,7,77,02:51 PM,02:13 AM,05:05 AM,06:30 PM,21,28,28,26,10,4,74,0.0,1016,26,10,193,8
2019-12-08 12:00:00,27,23,0.0,12.0,7,6,77,02:51 PM,02:13 AM,05:05 AM,06:30 PM,22,29,29,26,20,27,78,0.6,1015,26,10,173,15
2019-12-08 15:00:00,27,23,0.0,12.0,7,6,77,02:51 PM,02:13 AM,05:05 AM,06:30 PM,23,30,30,27,23,77,81,1.9,1014,27,9,160,16
