date_time,Bourke_maxtempC,Bourke_mintempC,Bourke_totalSnow_cm,Bourke_sunHour,Bourke_uvIndex,Bourke_uvIndex,Bourke_moon_illumination,Bourke_moonrise,Bourke_moonset,Bourke_sunrise,Bourke_sunset,Bourke_DewPointC,Bourke_FeelsLikeC,Bourke_HeatIndexC,Bourke_WindChillC,Bourke_WindGustKmph,Bourke_cloudcover,Bourke_humidity,Bourke_precipMM,Bourke_pressure,Bourke_tempC,Bourke_visibility,Bourke_winddirDegree,Bourke_windspeedKmph
2019-12-04 00:00:00,32,18,0.0,14.0,7,1,48,11:48 AM,12:29 AM,05:07 AM,07:05 PM,1,21,21,21,30,1,27,0.0,1012,21,10,226,14
2019-12-04 03:00:00,32,18,0.0,14.0,7,1,48,11:48 AM,12:29 AM,05:07 AM,07:05 PM,1,19,19,19,24,0,30,0.0,1012,19,10,202,11
2019-12-04 06:00:00,32,18,0.0,14.0,7,1,48,11:48 AM,12:29 AM,05:07 AM,07:05 PM,2,20,21,20,18,0,30,0.0,1014,20,10,180,12
2019-12-04 09:00:00,32,18,0.0,14.0,7,6,48,11:48 AM,12:29 AM,05:07 AM,07:05 PM,3,24,24,25,16,0,25,0.0,1015,25,10,198,13
2019-12-04 12:00:00,32,18,0.0,14.0,7,7,48,11:48 AM,12:29 AM,05:07 AM,07:05 PM,-2,27,27,29,21,0,14,0.0,1013,29,10,222,18
2019-12-04 15:00:00,32,18,0.0,14.0,7,8,48,11:48 AM,12:29 AM,05:07 AM,07:05 PM,-4,29,29,31,28,0,10,0.0,1011,31,10,231,24
2019-12-04 18:00:00,32,18,0.0,14.0,7,1,48,11:48 AM,12:29 AM,05:07 AM,07:05 PM,-2,27,27,29,33,0,14,0.0,1011,29,10,227,21
2019-12-04 21:00:00,32,18,0.0,14.0,7,1,48,11:48 AM,12:29 AM,05:07 AM,07:05 PM,-1,24,24,25,31,0,18,0.0,1013,25,10,213,15
2019-12-05 00:00:00,35,18,0.0,14.0,8,1,55,12:40 PM,01:02 AM,05:07 AM,07:06 PM,-1,22,22,22,26,0,22,0.0,1013,22,10,196,12
2019-12-05 03:00:00,35,18,0.0,14.0,8,1,55,12:40 PM,01:02 AM,05:07 AM,07:06 PM,-0,19,20,19,18,0,27,0.0,1013,19,10,160,8
2019-12-05 06:00:00,35,18,0.0,14.0,8,1,55,12:40 PM,01:02 AM,05:07 AM,07:06 PM,0,22,22,22,12,0,24,0.0,1013,22,10,79,7
2019-12-05 09:00:00,35,18,0.0,14.0,8,7,55,12:40 PM,01:02 AM,05:07 AM,07:06 PM,1,26,26,28,8,0,18,0.0,1014,28,10,220,6
2019-12-05 12:00:00,35,18,0.0,14.0,8,8,55,12:40 PM,01:02 AM,05:07 AM,07:06 PM,2,30,30,32,10,0,14,0.0,1012,32,10,282,9
2019-12-05 15:00:00,35,18,0.0,14.0,8,8,55,12:40 PM,01:02 AM,05:07 AM,07:06 PM,0,33,33,35,19,1,11,0.0,1009,35,10,266,16
2019-12-05 18:00:00,35,18,0.0,14.0,8,1,55,12:40 PM,01:02 AM,05:07 AM,07:06 PM,-1,30,30,32,22,1,12,0.0,1008,32,10,269,13
2019-12-05 21:00:00,35,18,0.0,14.0,8,1,55,12:40 PM,01:02 AM,05:07 AM,07:06 PM,-3,26,26,28,23,0,13,0.0,1009,28,10,282,11
2019-12-06 00:00:00,36,21,0.0,14.0,8,1,62,01:33 PM,01:33 AM,05:07 AM,07:07 PM,-3,23,23,24,17,0,16,0.0,1009,24,10,205,8
2019-12-06 03:00:00,36,21,0.0,14.0,8,1,62,01:33 PM,01:33 AM,05:07 AM,07:07 PM,-2,22,22,22,18,0,20,0.0,1009,22,10,150,8
2019-12-06 06:00:00,36,21,0.0,14.0,8,1,62,01:33 PM,01:33 AM,05:07 AM,07:07 PM,-1,24,24,25,16,0,18,0.0,1010,25,10,148,10
2019-12-06 09:00:00,36,21,0.0,14.0,8,8,62,01:33 PM,01:33 AM,05:07 AM,07:07 PM,-1,28,28,30,8,0,14,0.0,1010,30,10,176,6
2019-12-06 12:00:00,36,21,0.0,14.0,8,8,62,01:33 PM,01:33 AM,05:07 AM,07:07 PM,-0,33,33,35,18,2,11,0.0,1008,35,10,222,16
2019-12-06 15:00:00,36,21,0.0,14.0,8,9,62,01:33 PM,01:33 AM,05:07 AM,07:07 PM,2,34,34,36,32,4,12,0.0,1007,36,10,231,28
2019-12-06 18:00:00,36,21,0.0,14.0,8,1,62,01:33 PM,01:33 AM,05:07 AM,07:07 PM,3,31,31,33,41,5,15,0.0,1008,33,10,218,28
