date_time,Bowen_maxtempC,Bowen_mintempC,Bowen_totalSnow_cm,Bowen_sunHour,Bowen_uvIndex,Bowen_uvIndex,Bowen_moon_illumination,Bowen_moonrise,Bowen_moonset,Bowen_sunrise,Bowen_sunset,Bowen_DewPointC,Bowen_FeelsLikeC,Bowen_HeatIndexC,Bowen_WindChillC,Bowen_WindGustKmph,Bowen_cloudcover,Bowen_humidity,Bowen_precipMM,Bowen_pressure,Bowen_tempC,Bowen_visibility,Bowen_winddirDegree,Bowen_windspeedKmph
2019-12-04 00:00:00,30,24,0.0,13.2,7,1,48,11:49 AM,12:07 AM,05:19 AM,06:35 PM,22,27,27,25,12,15,88,0.0,1009,25,10,304,7
2019-12-04 03:00:00,30,24,0.0,13.2,7,1,48,11:49 AM,12:07 AM,05:19 AM,06:35 PM,22,26,26,24,12,52,91,0.0,1009,24,10,260,7
2019-12-04 06:00:00,30,24,0.0,13.2,7,1,48,11:49 AM,12:07 AM,05:19 AM,06:35 PM,22,27,27,25,8,55,87,0.0,1010,25,10,245,5
2019-12-04 09:00:00,30,24,0.0,13.2,7,7,48,11:49 AM,12:07 AM,05:19 AM,06:35 PM,22,32,32,29,14,20,70,0.0,1011,29,10,315,12
2019-12-04 12:00:00,30,24,0.0,13.2,7,8,48,11:49 AM,12:07 AM,05:19 AM,06:35 PM,23,35,35,30,27,7,65,0.0,1010,30,10,350,23
2019-12-04 15:00:00,30,24,0.0,13.2,7,7,48,11:49 AM,12:07 AM,05:19 AM,06:35 PM,23,34,34,29,28,7,70,0.0,1008,29,10,354,24
2019-12-04 18:00:00,30,24,0.0,13.2,7,1,48,11:49 AM,12:07 AM,05:19 AM,06:35 PM,24,31,31,27,21,11,81,0.0,1009,27,10,121,15
2019-12-04 21:00:00,30,24,0.0,13.2,7,1,48,11:49 AM,12:07 AM,05:19 AM,06:35 PM,24,29,29,26,19,51,89,0.0,1011,26,10,13,12
2019-12-05 00:00:00,29,26,0.0,12.0,6,1,55,12:38 PM,12:43 AM,05:19 AM,06:36 PM,24,29,29,26,18,70,88,0.1,1011,26,10,17,12
2019-12-05 03:00:00,29,26,0.0,12.0,6,1,55,12:38 PM,12:43 AM,05:19 AM,06:36 PM,23,28,28,26,16,82,87,0.2,1010,26,9,242,10
2019-12-05 06:00:00,29,26,0.0,12.0,6,1,55,12:38 PM,12:43 AM,05:19 AM,06:36 PM,23,30,30,27,14,81,81,0.1,1012,27,10,353,11
2019-12-05 09:00:00,29,26,0.0,12.0,6,6,55,12:38 PM,12:43 AM,05:19 AM,06:36 PM,23,32,32,29,17,82,71,0.1,1013,29,10,124,15
2019-12-05 12:00:00,29,26,0.0,12.0,6,6,55,12:38 PM,12:43 AM,05:19 AM,06:36 PM,22,33,33,29,24,33,67,0.0,1011,29,10,8,21
2019-12-05 15:00:00,29,26,0.0,12.0,6,7,55,12:38 PM,12:43 AM,05:19 AM,06:36 PM,23,32,32,29,26,19,70,0.0,1010,29,10,4,22
