date_time,Braidwood_maxtempC,Braidwood_mintempC,Braidwood_totalSnow_cm,Braidwood_sunHour,Braidwood_uvIndex,Braidwood_uvIndex,Braidwood_moon_illumination,Braidwood_moonrise,Braidwood_moonset,Braidwood_sunrise,Braidwood_sunset,Braidwood_DewPointC,Braidwood_FeelsLikeC,Braidwood_HeatIndexC,Braidwood_WindChillC,Braidwood_WindGustKmph,Braidwood_cloudcover,Braidwood_humidity,Braidwood_precipMM,Braidwood_pressure,Braidwood_tempC,Braidwood_visibility,Braidwood_winddirDegree,Braidwood_windspeedKmph
2019-12-04 00:00:00,21,11,0.0,14.5,5,1,48,11:25 AM,12:21 AM,04:39 AM,07:03 PM,5,13,14,13,19,6,63,0.0,1007,14,10,289,9
2019-12-04 03:00:00,21,11,0.0,14.5,5,1,48,11:25 AM,12:21 AM,04:39 AM,07:03 PM,5,10,11,10,17,2,68,0.0,1007,11,10,301,8
2019-12-04 06:00:00,21,11,0.0,14.5,5,1,48,11:25 AM,12:21 AM,04:39 AM,07:03 PM,5,15,15,15,9,2,54,0.0,1008,15,10,297,6
2019-12-04 09:00:00,21,11,0.0,14.5,5,5,48,11:25 AM,12:21 AM,04:39 AM,07:03 PM,5,20,20,20,12,5,38,0.0,1008,20,10,173,10
2019-12-04 12:00:00,21,11,0.0,14.5,5,6,48,11:25 AM,12:21 AM,04:39 AM,07:03 PM,8,20,20,20,18,3,44,0.0,1007,20,10,96,16
2019-12-04 15:00:00,21,11,0.0,14.5,5,5,48,11:25 AM,12:21 AM,04:39 AM,07:03 PM,10,19,19,19,20,18,56,0.0,1007,19,10,82,16
2019-12-04 18:00:00,21,11,0.0,14.5,5,1,48,11:25 AM,12:21 AM,04:39 AM,07:03 PM,10,16,16,16,19,52,68,0.0,1009,16,10,59,12
2019-12-04 21:00:00,21,11,0.0,14.5,5,1,48,11:25 AM,12:21 AM,04:39 AM,07:03 PM,11,13,14,13,18,35,85,0.0,1011,14,10,250,9
2019-12-05 00:00:00,31,12,0.0,14.5,7,1,55,12:20 PM,12:51 AM,04:38 AM,07:04 PM,10,11,12,11,18,8,88,0.0,1010,12,10,330,8
2019-12-05 03:00:00,31,12,0.0,14.5,7,1,55,12:20 PM,12:51 AM,04:38 AM,07:04 PM,6,11,12,11,17,4,69,0.0,1009,12,10,314,8
2019-12-05 06:00:00,31,12,0.0,14.5,7,1,55,12:20 PM,12:51 AM,04:38 AM,07:04 PM,5,17,18,17,11,3,44,0.0,1008,18,10,313,7
2019-12-05 09:00:00,31,12,0.0,14.5,7,7,55,12:20 PM,12:51 AM,04:38 AM,07:04 PM,5,24,24,25,14,2,28,0.0,1007,25,10,309,12
2019-12-05 12:00:00,31,12,0.0,14.5,7,7,55,12:20 PM,12:51 AM,04:38 AM,07:04 PM,3,28,28,30,24,2,18,0.0,1005,30,10,292,20
2019-12-05 15:00:00,31,12,0.0,14.5,7,7,55,12:20 PM,12:51 AM,04:38 AM,07:04 PM,8,26,26,25,24,4,38,0.0,1003,25,10,211,19
2019-12-05 18:00:00,31,12,0.0,14.5,7,1,55,12:20 PM,12:51 AM,04:38 AM,07:04 PM,12,22,24,22,18,10,71,0.0,1005,22,10,165,12
2019-12-05 21:00:00,31,12,0.0,14.5,7,1,55,12:20 PM,12:51 AM,04:38 AM,07:04 PM,11,19,21,19,10,9,86,0.0,1007,19,10,293,5
2019-12-06 00:00:00,22,12,0.0,10.2,5,1,62,01:16 PM,01:20 AM,04:38 AM,07:05 PM,11,15,15,15,7,6,90,0.0,1007,14,10,321,4
2019-12-06 03:00:00,22,12,0.0,10.2,5,1,62,01:16 PM,01:20 AM,04:38 AM,07:05 PM,11,12,12,12,10,7,92,0.0,1007,12,10,310,5
2019-12-06 06:00:00,22,12,0.0,10.2,5,1,62,01:16 PM,01:20 AM,04:38 AM,07:05 PM,11,15,15,15,6,69,78,0.0,1007,15,10,337,4
2019-12-06 09:00:00,22,12,0.0,10.2,5,5,62,01:16 PM,01:20 AM,04:38 AM,07:05 PM,12,20,22,20,10,79,60,0.0,1007,20,10,175,9
2019-12-06 12:00:00,22,12,0.0,10.2,5,5,62,01:16 PM,01:20 AM,04:38 AM,07:05 PM,13,22,25,22,18,23,58,0.0,1005,22,10,92,15
2019-12-06 15:00:00,22,12,0.0,10.2,5,5,62,01:16 PM,01:20 AM,04:38 AM,07:05 PM,14,20,21,20,19,62,68,0.0,1006,20,10,103,17
2019-12-06 18:00:00,22,12,0.0,10.2,5,1,62,01:16 PM,01:20 AM,04:38 AM,07:05 PM,13,17,17,17,17,86,77,0.1,1009,17,10,84,13
2019-12-06 21:00:00,22,12,0.0,10.2,5,1,62,01:16 PM,01:20 AM,04:38 AM,07:05 PM,13,16,16,16,15,88,82,0.1,1011,16,10,45,10
2019-12-07 00:00:00,21,14,0.0,12.4,4,1,70,02:11 PM,01:47 AM,04:38 AM,07:06 PM,14,16,16,16,13,79,87,0.0,1012,16,10,16,9
2019-12-07 03:00:00,21,14,0.0,12.4,4,1,70,02:11 PM,01:47 AM,04:38 AM,07:06 PM,13,15,14,15,10,59,91,0.1,1012,14,10,219,6
2019-12-07 06:00:00,21,14,0.0,12.4,4,1,70,02:11 PM,01:47 AM,04:38 AM,07:06 PM,13,17,17,17,6,52,79,0.1,1013,17,10,257,5
2019-12-07 09:00:00,21,14,0.0,12.4,4,4,70,02:11 PM,01:47 AM,04:38 AM,07:06 PM,13,19,19,19,12,65,68,0.2,1013,19,10,144,10
2019-12-07 12:00:00,21,14,0.0,12.4,4,5,70,02:11 PM,01:47 AM,04:38 AM,07:06 PM,14,20,20,20,19,28,65,0.1,1012,20,10,101,17
2019-12-07 15:00:00,21,14,0.0,12.4,4,6,70,02:11 PM,01:47 AM,04:38 AM,07:06 PM,14,20,20,20,19,32,68,0.0,1011,20,10,96,17
2019-12-07 18:00:00,21,14,0.0,12.4,4,1,70,02:11 PM,01:47 AM,04:38 AM,07:06 PM,14,18,18,18,19,73,80,0.2,1014,18,10,94,14
2019-12-07 21:00:00,21,14,0.0,12.4,4,1,70,02:11 PM,01:47 AM,04:38 AM,07:06 PM,13,16,16,16,15,95,83,0.4,1017,16,10,62,10
2019-12-08 00:00:00,21,14,0.0,12.4,4,1,77,03:07 PM,02:14 AM,04:38 AM,07:07 PM,13,16,16,16,14,79,80,0.2,1018,16,10,254,10
2019-12-08 03:00:00,21,14,0.0,12.4,4,1,77,03:07 PM,02:14 AM,04:38 AM,07:07 PM,13,14,15,14,15,33,88,0.0,1018,15,10,343,9
2019-12-08 06:00:00,21,14,0.0,12.4,4,1,77,03:07 PM,02:14 AM,04:38 AM,07:07 PM,13,17,17,17,9,14,81,0.0,1019,17,10,252,6
2019-12-08 09:00:00,21,14,0.0,12.4,4,5,77,03:07 PM,02:14 AM,04:38 AM,07:07 PM,13,20,20,20,12,28,67,0.0,1019,20,10,162,10
2019-12-08 12:00:00,21,14,0.0,12.4,4,6,77,03:07 PM,02:14 AM,04:38 AM,07:07 PM,13,20,20,20,16,49,64,0.0,1019,20,10,116,14
2019-12-08 15:00:00,21,14,0.0,12.4,4,5,77,03:07 PM,02:14 AM,04:38 AM,07:07 PM,13,19,19,19,17,62,67,0.0,1018,19,10,101,14
2019-12-08 18:00:00,21,14,0.0,12.4,4,1,77,03:07 PM,02:14 AM,04:38 AM,07:07 PM,14,18,18,18,16,85,76,0.0,1020,18,10,96,11
2019-12-08 21:00:00,21,14,0.0,12.4,4,1,77,03:07 PM,02:14 AM,04:38 AM,07:07 PM,14,17,17,17,12,89,83,0.0,1022,17,10,53,7
2019-12-09 00:00:00,29,15,0.0,14.5,6,1,84,04:05 PM,02:43 AM,04:38 AM,07:07 PM,15,17,17,17,10,74,87,0.0,1022,17,10,244,6
2019-12-09 03:00:00,29,15,0.0,14.5,6,1,84,04:05 PM,02:43 AM,04:38 AM,07:07 PM,15,16,16,16,11,41,93,0.0,1021,16,5,342,6
2019-12-09 06:00:00,29,15,0.0,14.5,6,1,84,04:05 PM,02:43 AM,04:38 AM,07:07 PM,14,18,18,18,12,15,79,0.0,1021,18,7,120,9
2019-12-09 09:00:00,29,15,0.0,14.5,6,6,84,04:05 PM,02:43 AM,04:38 AM,07:07 PM,15,25,25,24,18,6,57,0.0,1019,24,10,36,16
2019-12-09 12:00:00,29,15,0.0,14.5,6,7,84,04:05 PM,02:43 AM,04:38 AM,07:07 PM,16,29,29,28,30,2,48,0.0,1016,28,10,48,26
2019-12-09 15:00:00,29,15,0.0,14.5,6,7,84,04:05 PM,02:43 AM,04:38 AM,07:07 PM,17,28,28,27,31,0,55,0.0,1014,27,10,47,26
2019-12-09 18:00:00,29,15,0.0,14.5,6,1,84,04:05 PM,02:43 AM,04:38 AM,07:07 PM,17,27,27,24,19,1,76,0.0,1015,24,10,38,13
2019-12-09 21:00:00,29,15,0.0,14.5,6,1,84,04:05 PM,02:43 AM,04:38 AM,07:07 PM,17,22,26,22,12,27,93,0.0,1016,22,5,189,6
2019-12-10 00:00:00,24,16,0.0,14.5,5,1,92,05:06 PM,03:14 AM,04:39 AM,07:08 PM,16,19,20,19,9,28,92,0.0,1014,19,7,298,5
2019-12-10 03:00:00,24,16,0.0,14.5,5,1,92,05:06 PM,03:14 AM,04:39 AM,07:08 PM,15,17,17,17,9,10,84,0.0,1013,17,10,329,4
2019-12-10 06:00:00,24,16,0.0,14.5,5,1,92,05:06 PM,03:14 AM,04:39 AM,07:08 PM,13,21,22,21,6,23,64,0.0,1013,21,10,233,4
2019-12-10 09:00:00,24,16,0.0,14.5,5,6,92,05:06 PM,03:14 AM,04:39 AM,07:08 PM,16,25,25,23,13,32,62,0.0,1013,23,10,169,11
2019-12-10 12:00:00,24,16,0.0,14.5,5,6,92,05:06 PM,03:14 AM,04:39 AM,07:08 PM,15,25,25,23,18,12,59,0.0,1012,23,10,146,15
2019-12-10 15:00:00,24,16,0.0,14.5,5,6,92,05:06 PM,03:14 AM,04:39 AM,07:08 PM,14,22,22,22,19,4,61,0.0,1012,22,10,140,16
2019-12-10 18:00:00,24,16,0.0,14.5,5,1,92,05:06 PM,03:14 AM,04:39 AM,07:08 PM,13,18,18,18,18,6,71,0.0,1015,18,10,155,13
2019-12-10 21:00:00,24,16,0.0,14.5,5,1,92,05:06 PM,03:14 AM,04:39 AM,07:08 PM,12,16,16,16,22,6,77,0.0,1017,16,10,178,14
2019-12-11 00:00:00,19,12,0.0,12.4,5,1,99,06:07 PM,03:49 AM,04:39 AM,07:09 PM,12,14,15,14,21,10,83,0.0,1017,15,10,197,13
2019-12-11 03:00:00,19,12,0.0,12.4,5,1,99,06:07 PM,03:49 AM,04:39 AM,07:09 PM,11,12,13,12,14,30,89,0.0,1016,13,10,216,8
2019-12-11 06:00:00,19,12,0.0,12.4,5,1,99,06:07 PM,03:49 AM,04:39 AM,07:09 PM,10,15,15,15,9,52,75,0.0,1016,15,10,226,7
2019-12-11 09:00:00,19,12,0.0,12.4,5,5,99,06:07 PM,03:49 AM,04:39 AM,07:09 PM,11,18,18,18,12,25,64,0.0,1015,18,10,176,10
2019-12-11 12:00:00,19,12,0.0,12.4,5,5,99,06:07 PM,03:49 AM,04:39 AM,07:09 PM,12,19,19,19,15,45,66,0.0,1013,19,10,143,13
2019-12-11 15:00:00,19,12,0.0,12.4,5,4,99,06:07 PM,03:49 AM,04:39 AM,07:09 PM,12,18,18,18,15,88,69,0.0,1012,18,10,150,13
2019-12-11 18:00:00,19,12,0.0,12.4,5,1,99,06:07 PM,03:49 AM,04:39 AM,07:09 PM,12,17,17,17,14,97,73,0.0,1013,17,10,161,12
2019-12-11 21:00:00,19,12,0.0,12.4,5,1,99,06:07 PM,03:49 AM,04:39 AM,07:09 PM,12,16,16,16,11,91,77,0.0,1015,16,10,177,8
2019-12-12 00:00:00,20,13,0.0,12.4,4,1,100,07:10 PM,04:29 AM,04:39 AM,07:10 PM,12,16,16,16,11,82,81,0.0,1015,16,10,201,8
2019-12-12 03:00:00,20,13,0.0,12.4,4,1,100,07:10 PM,04:29 AM,04:39 AM,07:10 PM,12,14,13,14,10,74,89,0.1,1013,13,10,224,6
2019-12-12 06:00:00,20,13,0.0,12.4,4,1,100,07:10 PM,04:29 AM,04:39 AM,07:10 PM,12,15,15,15,4,65,78,0.0,1014,15,10,217,3
2019-12-12 09:00:00,20,13,0.0,12.4,4,5,100,07:10 PM,04:29 AM,04:39 AM,07:10 PM,11,18,18,18,11,47,64,0.0,1013,18,10,156,10
2019-12-12 12:00:00,20,13,0.0,12.4,4,5,100,07:10 PM,04:29 AM,04:39 AM,07:10 PM,10,20,20,20,18,16,55,0.0,1012,20,10,115,15
2019-12-12 15:00:00,20,13,0.0,12.4,4,5,100,07:10 PM,04:29 AM,04:39 AM,07:10 PM,11,19,19,19,20,58,61,0.0,1011,19,10,126,17
2019-12-12 18:00:00,20,13,0.0,12.4,4,1,100,07:10 PM,04:29 AM,04:39 AM,07:10 PM,12,16,16,16,18,92,76,0.2,1014,16,10,129,13
2019-12-12 21:00:00,20,13,0.0,12.4,4,1,100,07:10 PM,04:29 AM,04:39 AM,07:10 PM,12,16,15,16,10,99,82,0.4,1017,15,10,98,6
2019-12-13 00:00:00,17,14,0.0,9.2,4,1,87,08:11 PM,05:17 AM,04:39 AM,07:11 PM,12,16,15,16,5,100,84,0.2,1016,15,10,85,4
2019-12-13 03:00:00,17,14,0.0,9.2,4,1,87,08:11 PM,05:17 AM,04:39 AM,07:11 PM,12,15,15,15,9,100,85,0.2,1015,15,5,109,6
2019-12-13 06:00:00,17,14,0.0,9.2,4,1,87,08:11 PM,05:17 AM,04:39 AM,07:11 PM,12,14,14,14,9,100,87,0.5,1015,14,2,127,6
2019-12-13 09:00:00,17,14,0.0,9.2,4,3,87,08:11 PM,05:17 AM,04:39 AM,07:11 PM,12,15,15,15,9,100,82,0.7,1015,15,2,110,6
2019-12-13 12:00:00,17,14,0.0,9.2,4,4,87,08:11 PM,05:17 AM,04:39 AM,07:11 PM,10,16,16,16,12,89,67,0.2,1013,16,7,89,10
2019-12-13 15:00:00,17,14,0.0,9.2,4,4,87,08:11 PM,05:17 AM,04:39 AM,07:11 PM,9,16,16,16,15,94,64,0.0,1012,16,10,96,11
2019-12-13 18:00:00,17,14,0.0,9.2,4,1,87,08:11 PM,05:17 AM,04:39 AM,07:11 PM,9,15,15,15,10,98,69,0.0,1013,15,10,90,7
2019-12-13 21:00:00,17,14,0.0,9.2,4,1,87,08:11 PM,05:17 AM,04:39 AM,07:11 PM,10,14,14,14,4,99,75,0.0,1014,14,10,247,2
2019-12-14 00:00:00,22,12,0.0,12.4,4,1,79,09:09 PM,06:11 AM,04:39 AM,07:11 PM,11,14,13,14,7,71,83,0.0,1014,13,10,307,4
2019-12-14 03:00:00,22,12,0.0,12.4,4,1,79,09:09 PM,06:11 AM,04:39 AM,07:11 PM,11,12,13,12,13,25,91,0.0,1013,13,10,315,7
2019-12-14 06:00:00,22,12,0.0,12.4,4,1,79,09:09 PM,06:11 AM,04:39 AM,07:11 PM,12,16,16,16,9,7,76,0.0,1012,16,10,331,6
2019-12-14 09:00:00,22,12,0.0,12.4,4,6,79,09:09 PM,06:11 AM,04:39 AM,07:11 PM,12,21,23,21,13,8,56,0.0,1011,21,10,187,11
2019-12-14 12:00:00,22,12,0.0,12.4,4,6,79,09:09 PM,06:11 AM,04:39 AM,07:11 PM,13,21,22,21,16,19,59,0.0,1009,21,10,122,14
2019-12-14 15:00:00,22,12,0.0,12.4,4,5,79,09:09 PM,06:11 AM,04:39 AM,07:11 PM,13,19,19,19,18,74,70,0.0,1009,19,10,120,13
2019-12-14 18:00:00,22,12,0.0,12.4,4,1,79,09:09 PM,06:11 AM,04:39 AM,07:11 PM,13,17,17,17,16,100,76,0.0,1011,17,10,114,10
2019-12-14 21:00:00,22,12,0.0,12.4,4,1,79,09:09 PM,06:11 AM,04:39 AM,07:11 PM,13,16,16,16,15,100,80,0.1,1013,16,10,74,9
2019-12-15 00:00:00,24,15,0.0,13.4,5,1,72,10:01 PM,07:12 AM,04:39 AM,07:12 PM,14,16,16,16,13,100,86,0.2,1013,16,5,21,8
2019-12-15 03:00:00,24,15,0.0,13.4,5,1,72,10:01 PM,07:12 AM,04:39 AM,07:12 PM,14,15,15,15,13,89,92,0.3,1011,15,2,241,8
2019-12-15 06:00:00,24,15,0.0,13.4,5,1,72,10:01 PM,07:12 AM,04:39 AM,07:12 PM,14,18,18,18,11,70,82,0.1,1011,18,7,130,8
2019-12-15 09:00:00,24,15,0.0,13.4,5,5,72,10:01 PM,07:12 AM,04:39 AM,07:12 PM,14,23,23,22,13,42,62,0.0,1010,22,10,45,12
2019-12-15 12:00:00,24,15,0.0,13.4,5,6,72,10:01 PM,07:12 AM,04:39 AM,07:12 PM,15,25,25,24,19,29,58,0.0,1007,24,10,65,17
2019-12-15 15:00:00,24,15,0.0,13.4,5,6,72,10:01 PM,07:12 AM,04:39 AM,07:12 PM,16,25,25,24,19,31,62,0.0,1005,24,10,69,17
2019-12-15 18:00:00,24,15,0.0,13.4,5,1,72,10:01 PM,07:12 AM,04:39 AM,07:12 PM,17,21,22,21,14,38,76,0.0,1006,21,10,66,9
2019-12-15 21:00:00,24,15,0.0,13.4,5,1,72,10:01 PM,07:12 AM,04:39 AM,07:12 PM,17,19,19,19,13,69,91,0.0,1008,19,5,148,8
2019-12-16 00:00:00,21,16,0.0,11.3,4,1,65,10:48 PM,08:18 AM,04:40 AM,07:13 PM,18,18,18,18,14,89,95,0.1,1008,18,2,215,9
2019-12-16 03:00:00,21,16,0.0,11.3,4,1,65,10:48 PM,08:18 AM,04:40 AM,07:13 PM,16,18,18,18,20,67,90,0.2,1008,18,7,203,13
2019-12-16 06:00:00,21,16,0.0,11.3,4,1,65,10:48 PM,08:18 AM,04:40 AM,07:13 PM,13,18,18,18,14,75,74,0.1,1010,18,10,175,11
2019-12-16 09:00:00,21,16,0.0,11.3,4,4,65,10:48 PM,08:18 AM,04:40 AM,07:13 PM,12,20,20,20,16,69,60,0.0,1012,20,10,157,14
2019-12-16 12:00:00,21,16,0.0,11.3,4,6,65,10:48 PM,08:18 AM,04:40 AM,07:13 PM,12,20,20,20,21,72,59,0.0,1013,20,10,149,19
2019-12-16 15:00:00,21,16,0.0,11.3,4,5,65,10:48 PM,08:18 AM,04:40 AM,07:13 PM,12,20,20,20,19,14,60,0.0,1014,20,10,149,17
2019-12-16 18:00:00,21,16,0.0,11.3,4,1,65,10:48 PM,08:18 AM,04:40 AM,07:13 PM,12,17,17,17,16,43,69,0.0,1016,17,10,152,12
2019-12-16 21:00:00,21,16,0.0,11.3,4,1,65,10:48 PM,08:18 AM,04:40 AM,07:13 PM,11,16,16,16,8,75,74,0.0,1018,16,10,178,5
2019-12-17 00:00:00,23,12,0.0,14.5,5,1,58,11:29 PM,09:26 AM,04:40 AM,07:13 PM,11,15,14,15,7,41,81,0.0,1019,14,10,263,4
2019-12-17 03:00:00,23,12,0.0,14.5,5,1,58,11:29 PM,09:26 AM,04:40 AM,07:13 PM,11,13,13,13,10,13,90,0.0,1018,13,10,298,5
2019-12-17 06:00:00,23,12,0.0,14.5,5,1,58,11:29 PM,09:26 AM,04:40 AM,07:13 PM,10,16,16,16,6,6,70,0.0,1019,16,10,316,4
2019-12-17 09:00:00,23,12,0.0,14.5,5,6,58,11:29 PM,09:26 AM,04:40 AM,07:13 PM,11,20,22,20,12,3,54,0.0,1019,20,10,167,10
2019-12-17 12:00:00,23,12,0.0,14.5,5,6,58,11:29 PM,09:26 AM,04:40 AM,07:13 PM,12,25,25,23,18,2,52,0.0,1018,23,10,84,15
2019-12-17 15:00:00,23,12,0.0,14.5,5,6,58,11:29 PM,09:26 AM,04:40 AM,07:13 PM,13,25,25,23,18,5,53,0.0,1017,23,10,75,15
2019-12-17 18:00:00,23,12,0.0,14.5,5,1,58,11:29 PM,09:26 AM,04:40 AM,07:13 PM,13,20,21,20,14,4,66,0.0,1019,20,10,59,11
2019-12-17 21:00:00,23,12,0.0,14.5,5,1,58,11:29 PM,09:26 AM,04:40 AM,07:13 PM,13,16,16,16,13,3,83,0.0,1021,16,10,245,8
2019-12-18 00:00:00,28,14,0.0,14.5,7,1,50,No moonrise,10:34 AM,04:40 AM,07:14 PM,12,15,15,15,12,7,85,0.0,1021,15,10,325,6
2019-12-18 03:00:00,28,14,0.0,14.5,7,1,50,No moonrise,10:34 AM,04:40 AM,07:14 PM,10,15,14,15,12,12,76,0.0,1020,14,10,325,6
2019-12-18 06:00:00,28,14,0.0,14.5,7,1,50,No moonrise,10:34 AM,04:40 AM,07:14 PM,9,19,19,19,10,7,55,0.0,1019,19,10,114,7
2019-12-18 09:00:00,28,14,0.0,14.5,7,7,50,No moonrise,10:34 AM,04:40 AM,07:14 PM,11,25,25,25,15,4,40,0.0,1018,25,10,45,13
2019-12-18 12:00:00,28,14,0.0,14.5,7,7,50,No moonrise,10:34 AM,04:40 AM,07:14 PM,12,27,27,27,22,5,39,0.0,1016,27,10,64,19
2019-12-18 15:00:00,28,14,0.0,14.5,7,7,50,No moonrise,10:34 AM,04:40 AM,07:14 PM,14,26,26,26,21,15,49,0.0,1014,26,10,61,18
2019-12-18 18:00:00,28,14,0.0,14.5,7,1,50,No moonrise,10:34 AM,04:40 AM,07:14 PM,15,22,22,22,17,15,67,0.0,1015,22,10,54,11
2019-12-18 21:00:00,28,14,0.0,14.5,7,1,50,No moonrise,10:34 AM,04:40 AM,07:14 PM,15,18,18,18,13,18,82,0.0,1015,18,10,219,6
2019-12-19 00:00:00,31,15,0.0,14.5,7,1,43,12:05 AM,11:42 AM,04:41 AM,07:14 PM,14,18,18,18,13,25,76,0.0,1014,18,10,325,6
2019-12-19 03:00:00,31,15,0.0,14.5,7,1,43,12:05 AM,11:42 AM,04:41 AM,07:14 PM,12,20,20,20,15,30,60,0.0,1012,20,10,336,7
2019-12-19 06:00:00,31,15,0.0,14.5,7,1,43,12:05 AM,11:42 AM,04:41 AM,07:14 PM,10,26,26,27,18,41,37,0.0,1012,27,10,312,9
2019-12-19 09:00:00,31,15,0.0,14.5,7,8,43,12:05 AM,11:42 AM,04:41 AM,07:14 PM,11,29,29,30,18,30,29,0.0,1012,30,10,212,10
2019-12-19 12:00:00,31,15,0.0,14.5,7,7,43,12:05 AM,11:42 AM,04:41 AM,07:14 PM,12,27,27,27,13,17,40,0.0,1012,27,10,134,9
2019-12-19 15:00:00,31,15,0.0,14.5,7,6,43,12:05 AM,11:42 AM,04:41 AM,07:14 PM,11,25,25,24,14,7,46,0.0,1013,24,10,135,11
2019-12-19 18:00:00,31,15,0.0,14.5,7,1,43,12:05 AM,11:42 AM,04:41 AM,07:14 PM,11,20,20,20,14,1,59,0.0,1016,20,10,174,9
2019-12-19 21:00:00,31,15,0.0,14.5,7,1,43,12:05 AM,11:42 AM,04:41 AM,07:14 PM,12,16,16,16,13,1,76,0.0,1020,16,10,213,6
2019-12-20 00:00:00,24,13,0.0,14.5,6,1,36,12:39 AM,12:48 PM,04:41 AM,07:15 PM,12,15,15,15,12,22,81,0.0,1020,15,10,265,6
2019-12-20 03:00:00,24,13,0.0,14.5,6,1,36,12:39 AM,12:48 PM,04:41 AM,07:15 PM,11,14,14,14,10,18,80,0.0,1019,14,10,291,5
2019-12-20 06:00:00,24,13,0.0,14.5,6,1,36,12:39 AM,12:48 PM,04:41 AM,07:15 PM,10,18,18,18,6,15,62,0.0,1019,18,10,114,4
2019-12-20 09:00:00,24,13,0.0,14.5,6,6,36,12:39 AM,12:48 PM,04:41 AM,07:15 PM,12,22,23,22,12,11,55,0.0,1018,22,10,60,10
2019-12-20 12:00:00,24,13,0.0,14.5,6,6,36,12:39 AM,12:48 PM,04:41 AM,07:15 PM,14,25,25,23,19,8,56,0.0,1017,23,10,71,17
2019-12-20 15:00:00,24,13,0.0,14.5,6,6,36,12:39 AM,12:48 PM,04:41 AM,07:15 PM,15,25,25,23,21,4,58,0.0,1015,23,10,60,18
2019-12-20 18:00:00,24,13,0.0,14.5,6,1,36,12:39 AM,12:48 PM,04:41 AM,07:15 PM,15,21,22,21,22,0,69,0.0,1015,21,10,49,15
