date_time,Bridgetown_maxtempC,Bridgetown_mintempC,Bridgetown_totalSnow_cm,Bridgetown_sunHour,Bridgetown_uvIndex,Bridgetown_uvIndex,Bridgetown_moon_illumination,Bridgetown_moonrise,Bridgetown_moonset,Bridgetown_sunrise,Bridgetown_sunset,Bridgetown_DewPointC,Bridgetown_FeelsLikeC,Bridgetown_HeatIndexC,Bridgetown_WindChillC,Bridgetown_WindGustKmph,Bridgetown_cloudcover,Bridgetown_humidity,Bridgetown_precipMM,Bridgetown_pressure,Bridgetown_tempC,Bridgetown_visibility,Bridgetown_winddirDegree,Bridgetown_windspeedKmph
2019-12-04 00:00:00,28,23,0.0,4.2,6,1,48,12:33 PM,No moonset,06:07 AM,05:31 PM,24,31,31,27,40,57,81,0.3,1013,27,10,82,28
2019-12-04 03:00:00,28,23,0.0,4.2,6,1,48,12:33 PM,No moonset,06:07 AM,05:31 PM,23,30,30,27,38,58,81,0.3,1012,27,10,78,26
2019-12-04 06:00:00,28,23,0.0,4.2,6,6,48,12:33 PM,No moonset,06:07 AM,05:31 PM,23,30,30,27,38,63,80,0.5,1012,27,10,80,27
2019-12-04 09:00:00,28,23,0.0,4.2,6,6,48,12:33 PM,No moonset,06:07 AM,05:31 PM,23,31,31,28,36,70,77,0.3,1014,28,9,81,27
2019-12-04 12:00:00,28,23,0.0,4.2,6,6,48,12:33 PM,No moonset,06:07 AM,05:31 PM,24,32,32,28,35,62,76,0.2,1013,28,10,82,28
2019-12-04 15:00:00,28,23,0.0,4.2,6,6,48,12:33 PM,No moonset,06:07 AM,05:31 PM,24,32,32,28,37,74,78,0.4,1012,28,9,85,29
2019-12-04 18:00:00,28,23,0.0,4.2,6,7,48,12:33 PM,No moonset,06:07 AM,05:31 PM,24,31,31,27,43,66,80,0.5,1012,27,9,85,31
2019-12-04 21:00:00,28,23,0.0,4.2,6,1,48,12:33 PM,No moonset,06:07 AM,05:31 PM,23,29,29,26,48,63,81,0.1,1013,26,10,85,33
2019-12-05 00:00:00,28,26,0.0,8.7,7,1,55,01:11 PM,12:36 AM,06:07 AM,05:31 PM,23,28,28,24,43,71,80,0.1,1013,24,9,82,30
2019-12-05 03:00:00,28,26,0.0,8.7,7,1,55,01:11 PM,12:36 AM,06:07 AM,05:31 PM,23,30,30,27,45,64,82,0.6,1012,27,10,77,31
2019-12-05 06:00:00,28,26,0.0,8.7,7,7,55,01:11 PM,12:36 AM,06:07 AM,05:31 PM,23,30,30,27,45,49,79,1.3,1013,27,9,80,32
2019-12-05 09:00:00,28,26,0.0,8.7,7,7,55,01:11 PM,12:36 AM,06:07 AM,05:31 PM,23,31,31,27,40,9,75,0.0,1015,27,10,85,30
2019-12-05 12:00:00,28,26,0.0,8.7,7,7,55,01:11 PM,12:36 AM,06:07 AM,05:31 PM,23,32,32,28,36,23,74,0.0,1015,28,10,89,28
2019-12-05 15:00:00,28,26,0.0,8.7,7,7,55,01:11 PM,12:36 AM,06:07 AM,05:31 PM,23,31,31,28,36,31,77,0.0,1013,28,10,89,28
2019-12-05 18:00:00,28,26,0.0,8.7,7,7,55,01:11 PM,12:36 AM,06:07 AM,05:31 PM,23,30,30,27,38,26,78,0.0,1013,27,10,85,27
2019-12-05 21:00:00,28,26,0.0,8.7,7,1,55,01:11 PM,12:36 AM,06:07 AM,05:31 PM,23,30,30,27,41,41,80,0.1,1014,27,10,80,28
2019-12-06 00:00:00,28,24,0.0,7.2,6,1,62,01:47 PM,01:22 AM,06:08 AM,05:31 PM,23,30,30,27,42,71,81,0.6,1014,27,10,76,30
2019-12-06 03:00:00,28,24,0.0,7.2,6,1,62,01:47 PM,01:22 AM,06:08 AM,05:31 PM,23,30,30,27,42,82,80,0.7,1013,27,10,71,30
2019-12-06 06:00:00,28,24,0.0,7.2,6,6,62,01:47 PM,01:22 AM,06:08 AM,05:31 PM,23,30,30,27,41,74,77,0.1,1014,27,10,71,28
2019-12-06 09:00:00,28,24,0.0,7.2,6,7,62,01:47 PM,01:22 AM,06:08 AM,05:31 PM,23,31,31,28,36,69,75,0.1,1015,28,10,76,27
2019-12-06 12:00:00,28,24,0.0,7.2,6,7,62,01:47 PM,01:22 AM,06:08 AM,05:31 PM,23,32,32,28,34,57,75,0.0,1014,28,10,75,27
2019-12-06 15:00:00,28,24,0.0,7.2,6,7,62,01:47 PM,01:22 AM,06:08 AM,05:31 PM,23,31,31,28,33,45,76,0.0,1012,28,10,80,26
2019-12-06 18:00:00,28,24,0.0,7.2,6,7,62,01:47 PM,01:22 AM,06:08 AM,05:31 PM,23,30,30,27,34,39,78,0.0,1013,27,10,76,24
2019-12-06 21:00:00,28,24,0.0,7.2,6,1,62,01:47 PM,01:22 AM,06:08 AM,05:31 PM,23,29,29,26,40,54,79,0.1,1014,26,10,73,27
2019-12-07 00:00:00,28,23,0.0,7.2,7,1,70,02:24 PM,02:08 AM,06:08 AM,05:32 PM,23,27,27,25,40,64,78,0.1,1013,25,9,75,27
2019-12-07 03:00:00,28,23,0.0,7.2,7,1,70,02:24 PM,02:08 AM,06:08 AM,05:32 PM,22,29,29,26,37,53,80,0.1,1012,26,10,76,26
2019-12-07 06:00:00,28,23,0.0,7.2,7,6,70,02:24 PM,02:08 AM,06:08 AM,05:32 PM,23,29,29,26,37,73,80,0.1,1013,26,9,78,26
2019-12-07 09:00:00,28,23,0.0,7.2,7,6,70,02:24 PM,02:08 AM,06:08 AM,05:32 PM,23,30,30,27,35,72,79,0.1,1014,27,10,77,27
2019-12-07 12:00:00,28,23,0.0,7.2,7,7,70,02:24 PM,02:08 AM,06:08 AM,05:32 PM,23,31,31,28,36,58,75,0.2,1014,28,9,81,29
2019-12-07 15:00:00,28,23,0.0,7.2,7,7,70,02:24 PM,02:08 AM,06:08 AM,05:32 PM,23,31,31,28,35,26,75,0.0,1012,28,10,80,27
2019-12-07 18:00:00,28,23,0.0,7.2,7,7,70,02:24 PM,02:08 AM,06:08 AM,05:32 PM,23,30,30,27,35,36,78,0.0,1012,27,10,78,24
2019-12-07 21:00:00,28,23,0.0,7.2,7,1,70,02:24 PM,02:08 AM,06:08 AM,05:32 PM,23,28,28,25,39,60,79,0.0,1013,25,10,77,26
2019-12-08 00:00:00,27,22,0.0,5.7,7,1,77,03:02 PM,02:55 AM,06:09 AM,05:32 PM,22,27,27,24,40,59,77,0.1,1013,24,10,79,27
2019-12-08 03:00:00,27,22,0.0,5.7,7,1,77,03:02 PM,02:55 AM,06:09 AM,05:32 PM,22,29,29,26,41,20,77,0.0,1012,26,10,78,28
2019-12-08 06:00:00,27,22,0.0,5.7,7,7,77,03:02 PM,02:55 AM,06:09 AM,05:32 PM,22,29,29,26,41,19,77,0.0,1012,26,10,78,28
2019-12-08 09:00:00,27,22,0.0,5.7,7,6,77,03:02 PM,02:55 AM,06:09 AM,05:32 PM,22,30,30,27,37,40,75,0.0,1014,27,10,74,28
2019-12-08 12:00:00,27,22,0.0,5.7,7,6,77,03:02 PM,02:55 AM,06:09 AM,05:32 PM,22,30,30,27,35,82,72,0.1,1013,27,10,77,28
2019-12-08 15:00:00,27,22,0.0,5.7,7,7,77,03:02 PM,02:55 AM,06:09 AM,05:32 PM,21,29,29,27,36,75,71,0.1,1012,27,10,83,28
2019-12-08 18:00:00,27,22,0.0,5.7,7,7,77,03:02 PM,02:55 AM,06:09 AM,05:32 PM,22,29,29,26,35,40,75,0.0,1012,26,10,82,24
2019-12-08 21:00:00,27,22,0.0,5.7,7,1,77,03:02 PM,02:55 AM,06:09 AM,05:32 PM,22,27,27,25,37,37,76,0.1,1013,25,10,80,25
2019-12-09 00:00:00,27,22,0.0,8.7,7,1,84,03:43 PM,03:43 AM,06:09 AM,05:32 PM,22,26,26,24,40,51,77,0.1,1013,24,9,77,28
