date_time,Broome_maxtempC,Broome_mintempC,Broome_totalSnow_cm,Broome_sunHour,Broome_uvIndex,Broome_uvIndex,Broome_moon_illumination,Broome_moonrise,Broome_moonset,Broome_sunrise,Broome_sunset,Broome_DewPointC,Broome_FeelsLikeC,Broome_HeatIndexC,Broome_WindChillC,Broome_WindGustKmph,Broome_cloudcover,Broome_humidity,Broome_precipMM,Broome_pressure,Broome_tempC,Broome_visibility,Broome_winddirDegree,Broome_windspeedKmph
2019-12-04 00:00:00,31,29,0.0,13.1,8,1,48,11:39 AM,No moonset,05:07 AM,06:15 PM,26,36,36,30,25,6,82,0.0,1009,30,10,306,17
2019-12-04 03:00:00,31,29,0.0,13.1,8,1,48,11:39 AM,No moonset,05:07 AM,06:15 PM,26,35,35,29,22,8,82,0.0,1008,29,10,313,16
2019-12-04 06:00:00,31,29,0.0,13.1,8,1,48,11:39 AM,No moonset,05:07 AM,06:15 PM,25,35,35,29,18,8,79,0.0,1009,29,10,292,13
2019-12-04 09:00:00,31,29,0.0,13.1,8,8,48,11:39 AM,No moonset,05:07 AM,06:15 PM,24,35,35,30,17,7,72,0.0,1010,30,10,295,13
2019-12-04 12:00:00,31,29,0.0,13.1,8,8,48,11:39 AM,No moonset,05:07 AM,06:15 PM,24,35,35,30,25,9,68,0.0,1010,30,10,276,19
2019-12-04 15:00:00,31,29,0.0,13.1,8,8,48,11:39 AM,No moonset,05:07 AM,06:15 PM,24,36,36,31,23,15,66,0.0,1008,31,10,289,17
2019-12-04 18:00:00,31,29,0.0,13.1,8,1,48,11:39 AM,No moonset,05:07 AM,06:15 PM,24,36,36,31,17,13,67,0.0,1009,31,10,321,12
2019-12-04 21:00:00,31,29,0.0,13.1,8,1,48,11:39 AM,No moonset,05:07 AM,06:15 PM,25,36,36,30,28,9,73,0.0,1010,30,10,292,18
2019-12-05 00:00:00,31,29,0.0,13.1,8,1,55,12:27 PM,12:28 AM,05:07 AM,06:16 PM,25,36,36,30,29,9,75,0.0,1010,30,10,304,19
2019-12-05 03:00:00,31,29,0.0,13.1,8,1,55,12:27 PM,12:28 AM,05:07 AM,06:16 PM,25,36,36,30,27,6,78,0.0,1009,30,10,301,19
2019-12-05 06:00:00,31,29,0.0,13.1,8,1,55,12:27 PM,12:28 AM,05:07 AM,06:16 PM,25,36,36,30,20,8,78,0.0,1011,30,10,262,14
2019-12-05 09:00:00,31,29,0.0,13.1,8,8,55,12:27 PM,12:28 AM,05:07 AM,06:16 PM,25,36,36,30,19,9,75,0.0,1012,30,10,234,15
2019-12-05 12:00:00,31,29,0.0,13.1,8,8,55,12:27 PM,12:28 AM,05:07 AM,06:16 PM,25,37,37,30,23,6,75,0.0,1010,30,10,251,18
2019-12-05 15:00:00,31,29,0.0,13.1,8,7,55,12:27 PM,12:28 AM,05:07 AM,06:16 PM,25,36,36,31,26,33,70,0.0,1009,31,10,291,20
2019-12-05 18:00:00,31,29,0.0,13.1,8,1,55,12:27 PM,12:28 AM,05:07 AM,06:16 PM,23,35,35,31,22,65,65,0.1,1010,31,10,250,15
2019-12-05 21:00:00,31,29,0.0,13.1,8,1,55,12:27 PM,12:28 AM,05:07 AM,06:16 PM,23,34,34,30,20,12,64,0.0,1010,30,10,125,13
2019-12-06 00:00:00,31,27,0.0,13.1,8,1,62,01:15 PM,01:04 AM,05:07 AM,06:16 PM,24,34,34,30,30,6,71,0.0,1010,30,10,289,20
2019-12-06 03:00:00,31,27,0.0,13.1,8,1,62,01:15 PM,01:04 AM,05:07 AM,06:16 PM,25,35,35,30,30,6,75,0.0,1009,30,10,267,21
2019-12-06 06:00:00,31,27,0.0,13.1,8,1,62,01:15 PM,01:04 AM,05:07 AM,06:16 PM,25,35,35,30,29,5,75,0.0,1010,30,10,228,21
2019-12-06 09:00:00,31,27,0.0,13.1,8,8,62,01:15 PM,01:04 AM,05:07 AM,06:16 PM,23,35,35,30,28,6,66,0.0,1011,30,10,222,21
2019-12-06 12:00:00,31,27,0.0,13.1,8,8,62,01:15 PM,01:04 AM,05:07 AM,06:16 PM,23,35,35,31,28,6,62,0.0,1009,31,10,265,21
2019-12-06 15:00:00,31,27,0.0,13.1,8,8,62,01:15 PM,01:04 AM,05:07 AM,06:16 PM,24,36,36,31,34,4,67,0.0,1008,31,10,268,26
2019-12-06 18:00:00,31,27,0.0,13.1,8,1,62,01:15 PM,01:04 AM,05:07 AM,06:16 PM,24,36,36,30,39,5,71,0.0,1008,30,10,269,28
2019-12-06 21:00:00,31,27,0.0,13.1,8,1,62,01:15 PM,01:04 AM,05:07 AM,06:16 PM,25,34,34,29,40,5,72,0.0,1009,29,10,272,27
2019-12-07 00:00:00,31,28,0.0,13.1,8,1,70,02:02 PM,01:39 AM,05:07 AM,06:17 PM,25,33,33,28,37,4,72,0.0,1008,28,10,253,24
2019-12-07 03:00:00,31,28,0.0,13.1,8,1,70,02:02 PM,01:39 AM,05:07 AM,06:17 PM,25,35,35,30,36,4,73,0.0,1008,30,10,221,24
2019-12-07 06:00:00,31,28,0.0,13.1,8,1,70,02:02 PM,01:39 AM,05:07 AM,06:17 PM,24,35,35,30,32,4,70,0.0,1009,30,10,205,22
2019-12-07 09:00:00,31,28,0.0,13.1,8,8,70,02:02 PM,01:39 AM,05:07 AM,06:17 PM,23,35,35,31,28,5,64,0.0,1010,31,10,216,21
2019-12-07 12:00:00,31,28,0.0,13.1,8,8,70,02:02 PM,01:39 AM,05:07 AM,06:17 PM,24,37,37,31,33,6,65,0.0,1008,31,10,255,24
2019-12-07 15:00:00,31,28,0.0,13.1,8,8,70,02:02 PM,01:39 AM,05:07 AM,06:17 PM,24,37,37,31,36,5,65,0.0,1007,31,10,265,26
2019-12-07 18:00:00,31,28,0.0,13.1,8,1,70,02:02 PM,01:39 AM,05:07 AM,06:17 PM,24,37,37,31,36,4,67,0.0,1007,31,10,267,23
2019-12-07 21:00:00,31,28,0.0,13.1,8,1,70,02:02 PM,01:39 AM,05:07 AM,06:17 PM,25,35,35,30,42,3,70,0.0,1008,30,10,255,25
2019-12-08 00:00:00,32,30,0.0,13.1,8,1,77,02:51 PM,02:13 AM,05:08 AM,06:18 PM,25,33,33,29,39,3,69,0.0,1007,29,10,231,24
2019-12-08 03:00:00,32,30,0.0,13.1,8,1,77,02:51 PM,02:13 AM,05:08 AM,06:18 PM,24,36,36,31,31,3,70,0.0,1006,31,10,213,20
2019-12-08 06:00:00,32,30,0.0,13.1,8,1,77,02:51 PM,02:13 AM,05:08 AM,06:18 PM,24,36,36,30,27,2,69,0.0,1007,30,10,202,18
2019-12-08 09:00:00,32,30,0.0,13.1,8,8,77,02:51 PM,02:13 AM,05:08 AM,06:18 PM,24,36,36,31,27,1,66,0.0,1008,31,10,237,20
2019-12-08 12:00:00,32,30,0.0,13.1,8,8,77,02:51 PM,02:13 AM,05:08 AM,06:18 PM,24,36,36,31,25,4,65,0.0,1007,31,10,291,17
2019-12-08 15:00:00,32,30,0.0,13.1,8,8,77,02:51 PM,02:13 AM,05:08 AM,06:18 PM,23,36,36,31,42,4,63,0.0,1006,31,10,291,23
2019-12-08 18:00:00,32,30,0.0,13.1,8,1,77,02:51 PM,02:13 AM,05:08 AM,06:18 PM,23,37,37,32,43,3,61,0.0,1006,32,10,267,21
2019-12-08 21:00:00,32,30,0.0,13.1,8,1,77,02:51 PM,02:13 AM,05:08 AM,06:18 PM,24,37,37,31,39,4,64,0.0,1007,31,10,272,19
