date_time,Bulls_maxtempC,Bulls_mintempC,Bulls_totalSnow_cm,Bulls_sunHour,Bulls_uvIndex,Bulls_uvIndex,Bulls_moon_illumination,Bulls_moonrise,Bulls_moonset,Bulls_sunrise,Bulls_sunset,Bulls_DewPointC,Bulls_FeelsLikeC,Bulls_HeatIndexC,Bulls_WindChillC,Bulls_WindGustKmph,Bulls_cloudcover,Bulls_humidity,Bulls_precipMM,Bulls_pressure,Bulls_tempC,Bulls_visibility,Bulls_winddirDegree,Bulls_windspeedKmph
2019-12-04 00:00:00,38,21,0.0,12.2,7,1,48,11:50 AM,12:34 AM,05:03 AM,07:09 PM,9,30,30,26,4,23,41,0.0,1011,26,10,127,2
2019-12-04 03:00:00,38,21,0.0,12.2,7,1,48,11:50 AM,12:34 AM,05:03 AM,07:09 PM,8,21,23,21,5,68,42,0.0,1010,21,10,110,3
2019-12-04 06:00:00,38,21,0.0,12.2,7,1,48,11:50 AM,12:34 AM,05:03 AM,07:09 PM,8,23,23,23,5,80,39,0.0,1011,23,10,152,3
2019-12-04 09:00:00,38,21,0.0,12.2,7,8,48,11:50 AM,12:34 AM,05:03 AM,07:09 PM,9,30,30,31,11,68,25,0.0,1012,31,10,202,9
2019-12-04 12:00:00,38,21,0.0,12.2,7,9,48,11:50 AM,12:34 AM,05:03 AM,07:09 PM,8,36,36,37,20,10,17,0.0,1011,37,10,226,17
2019-12-04 15:00:00,38,21,0.0,12.2,7,9,48,11:50 AM,12:34 AM,05:03 AM,07:09 PM,7,36,36,37,26,20,16,0.0,1010,37,10,230,23
2019-12-04 18:00:00,38,21,0.0,12.2,7,1,48,11:50 AM,12:34 AM,05:03 AM,07:09 PM,7,33,33,33,28,17,22,0.0,1010,33,10,211,21
2019-12-04 21:00:00,38,21,0.0,12.2,7,1,48,11:50 AM,12:34 AM,05:03 AM,07:09 PM,10,31,31,29,33,9,34,0.0,1013,29,10,172,17
2019-12-05 00:00:00,40,22,0.0,14.1,9,1,55,12:43 PM,01:06 AM,05:03 AM,07:10 PM,11,26,26,26,39,8,38,0.0,1014,26,10,118,23
2019-12-05 03:00:00,40,22,0.0,14.1,9,1,55,12:43 PM,01:06 AM,05:03 AM,07:10 PM,9,25,25,24,36,5,40,0.0,1013,24,10,114,22
2019-12-05 06:00:00,40,22,0.0,14.1,9,1,55,12:43 PM,01:06 AM,05:03 AM,07:10 PM,10,25,25,24,28,0,43,0.0,1014,24,10,105,19
2019-12-05 09:00:00,40,22,0.0,14.1,9,8,55,12:43 PM,01:06 AM,05:03 AM,07:10 PM,9,30,30,31,24,0,28,0.0,1014,31,10,98,21
2019-12-05 12:00:00,40,22,0.0,14.1,9,9,55,12:43 PM,01:06 AM,05:03 AM,07:10 PM,6,37,37,38,21,1,14,0.0,1013,38,10,100,18
2019-12-05 15:00:00,40,22,0.0,14.1,9,9,55,12:43 PM,01:06 AM,05:03 AM,07:10 PM,5,39,39,39,17,2,12,0.0,1010,39,10,136,15
2019-12-05 18:00:00,40,22,0.0,14.1,9,1,55,12:43 PM,01:06 AM,05:03 AM,07:10 PM,6,37,37,37,29,1,17,0.0,1009,37,10,191,20
2019-12-05 21:00:00,40,22,0.0,14.1,9,1,55,12:43 PM,01:06 AM,05:03 AM,07:10 PM,6,38,38,34,35,4,23,0.0,1010,34,10,140,17
2019-12-06 00:00:00,38,24,0.0,13.4,8,1,62,01:37 PM,01:36 AM,05:03 AM,07:11 PM,7,32,32,30,39,11,27,0.0,1011,30,10,73,22
2019-12-06 03:00:00,38,24,0.0,13.4,8,1,62,01:37 PM,01:36 AM,05:03 AM,07:11 PM,10,27,27,27,49,18,35,0.0,1009,27,10,79,31
2019-12-06 06:00:00,38,24,0.0,13.4,8,1,62,01:37 PM,01:36 AM,05:03 AM,07:11 PM,11,27,27,28,44,14,36,0.0,1009,28,10,67,31
2019-12-06 09:00:00,38,24,0.0,13.4,8,8,62,01:37 PM,01:36 AM,05:03 AM,07:11 PM,10,32,32,33,30,17,26,0.0,1008,33,10,40,26
2019-12-06 12:00:00,38,24,0.0,13.4,8,9,62,01:37 PM,01:36 AM,05:03 AM,07:11 PM,9,37,37,38,21,39,18,0.0,1007,38,10,92,18
2019-12-06 15:00:00,38,24,0.0,13.4,8,7,62,01:37 PM,01:36 AM,05:03 AM,07:11 PM,10,33,33,34,26,42,24,0.0,1005,34,10,266,22
2019-12-06 18:00:00,38,24,0.0,13.4,8,1,62,01:37 PM,01:36 AM,05:03 AM,07:11 PM,12,29,29,28,19,77,40,0.1,1006,28,10,264,14
2019-12-06 21:00:00,38,24,0.0,13.4,8,1,62,01:37 PM,01:36 AM,05:03 AM,07:11 PM,13,30,30,26,18,57,60,0.1,1008,26,10,262,9
2019-12-07 00:00:00,28,16,0.0,12.2,6,1,70,02:30 PM,02:04 AM,05:03 AM,07:11 PM,15,25,25,22,15,3,75,0.0,1009,22,10,295,7
2019-12-07 03:00:00,28,16,0.0,12.2,6,1,70,02:30 PM,02:04 AM,05:03 AM,07:11 PM,15,18,18,18,15,4,82,0.0,1008,18,10,350,8
2019-12-07 06:00:00,28,16,0.0,12.2,6,1,70,02:30 PM,02:04 AM,05:03 AM,07:11 PM,13,19,19,19,17,8,71,0.0,1009,19,10,335,10
2019-12-07 09:00:00,28,16,0.0,12.2,6,7,70,02:30 PM,02:04 AM,05:03 AM,07:11 PM,12,26,26,25,24,7,45,0.0,1009,25,10,306,21
2019-12-07 12:00:00,28,16,0.0,12.2,6,6,70,02:30 PM,02:04 AM,05:03 AM,07:11 PM,14,27,27,27,35,34,45,0.1,1010,27,10,276,30
2019-12-07 15:00:00,28,16,0.0,12.2,6,5,70,02:30 PM,02:04 AM,05:03 AM,07:11 PM,15,26,26,24,33,87,56,0.2,1010,24,10,261,28
2019-12-07 18:00:00,28,16,0.0,12.2,6,1,70,02:30 PM,02:04 AM,05:03 AM,07:11 PM,12,20,22,20,27,79,61,0.2,1012,20,9,253,21
2019-12-07 21:00:00,28,16,0.0,12.2,6,1,70,02:30 PM,02:04 AM,05:03 AM,07:11 PM,12,17,17,17,20,80,74,0.2,1014,17,9,247,12
2019-12-08 00:00:00,25,14,0.0,14.1,5,1,77,03:25 PM,02:33 AM,05:04 AM,07:12 PM,12,16,16,16,15,81,81,0.1,1015,16,10,232,8
2019-12-08 03:00:00,25,14,0.0,14.1,5,1,77,03:25 PM,02:33 AM,05:04 AM,07:12 PM,12,15,15,15,16,58,85,0.1,1015,15,10,190,9
2019-12-08 06:00:00,25,14,0.0,14.1,5,1,77,03:25 PM,02:33 AM,05:04 AM,07:12 PM,10,15,15,15,14,26,75,0.0,1016,15,10,172,9
2019-12-08 09:00:00,25,14,0.0,14.1,5,6,77,03:25 PM,02:33 AM,05:04 AM,07:12 PM,8,20,21,20,17,10,47,0.0,1018,20,10,196,15
2019-12-08 12:00:00,25,14,0.0,14.1,5,6,77,03:25 PM,02:33 AM,05:04 AM,07:12 PM,8,25,25,24,21,0,35,0.0,1018,24,10,222,18
2019-12-08 15:00:00,25,14,0.0,14.1,5,6,77,03:25 PM,02:33 AM,05:04 AM,07:12 PM,9,25,25,24,29,0,39,0.0,1017,24,10,230,25
2019-12-08 18:00:00,25,14,0.0,14.1,5,1,77,03:25 PM,02:33 AM,05:04 AM,07:12 PM,10,21,24,21,27,1,52,0.0,1018,21,10,219,21
2019-12-08 21:00:00,25,14,0.0,14.1,5,1,77,03:25 PM,02:33 AM,05:04 AM,07:12 PM,10,18,20,18,24,1,65,0.0,1019,18,10,206,13
2019-12-09 00:00:00,31,14,0.0,14.1,7,1,84,04:21 PM,03:04 AM,05:04 AM,07:13 PM,9,15,15,15,19,0,67,0.0,1020,15,10,174,10
2019-12-09 03:00:00,31,14,0.0,14.1,7,1,84,04:21 PM,03:04 AM,05:04 AM,07:13 PM,8,14,14,14,20,0,69,0.0,1020,14,10,118,10
2019-12-09 06:00:00,31,14,0.0,14.1,7,1,84,04:21 PM,03:04 AM,05:04 AM,07:13 PM,9,15,16,15,26,0,63,0.0,1021,16,10,97,16
2019-12-09 09:00:00,31,14,0.0,14.1,7,6,84,04:21 PM,03:04 AM,05:04 AM,07:13 PM,7,22,22,22,19,0,40,0.0,1022,22,10,102,17
2019-12-09 12:00:00,31,14,0.0,14.1,7,7,84,04:21 PM,03:04 AM,05:04 AM,07:13 PM,4,27,27,29,14,0,21,0.0,1020,29,10,139,12
2019-12-09 15:00:00,31,14,0.0,14.1,7,7,84,04:21 PM,03:04 AM,05:04 AM,07:13 PM,4,28,28,29,19,0,21,0.0,1018,29,10,172,16
2019-12-09 18:00:00,31,14,0.0,14.1,7,1,84,04:21 PM,03:04 AM,05:04 AM,07:13 PM,8,26,26,25,33,0,36,0.0,1018,25,10,202,24
2019-12-09 21:00:00,31,14,0.0,14.1,7,1,84,04:21 PM,03:04 AM,05:04 AM,07:13 PM,8,26,26,22,31,0,49,0.0,1019,22,10,186,15
