date_time,Bundamba_maxtempC,Bundamba_mintempC,Bundamba_totalSnow_cm,Bundamba_sunHour,Bundamba_uvIndex,Bundamba_uvIndex,Bundamba_moon_illumination,Bundamba_moonrise,Bundamba_moonset,Bundamba_sunrise,Bundamba_sunset,Bundamba_DewPointC,Bundamba_FeelsLikeC,Bundamba_HeatIndexC,Bundamba_WindChillC,Bundamba_WindGustKmph,Bundamba_cloudcover,Bundamba_humidity,Bundamba_precipMM,Bundamba_pressure,Bundamba_tempC,Bundamba_visibility,Bundamba_winddirDegree,Bundamba_windspeedKmph
2019-12-04 00:00:00,38,18,0.0,13.9,8,1,48,11:22 AM,No moonset,04:45 AM,06:32 PM,6,22,23,22,7,0,38,0.0,1011,22,10,262,4
2019-12-04 03:00:00,38,18,0.0,13.9,8,1,48,11:22 AM,No moonset,04:45 AM,06:32 PM,6,19,19,19,7,0,43,0.0,1011,19,10,269,4
2019-12-04 06:00:00,38,18,0.0,13.9,8,1,48,11:22 AM,No moonset,04:45 AM,06:32 PM,7,22,22,22,6,0,39,0.0,1012,22,10,285,5
2019-12-04 09:00:00,38,18,0.0,13.9,8,8,48,11:22 AM,No moonset,04:45 AM,06:32 PM,8,30,30,31,4,0,25,0.0,1013,31,10,254,4
2019-12-04 12:00:00,38,18,0.0,13.9,8,9,48,11:22 AM,No moonset,04:45 AM,06:32 PM,5,36,36,37,3,0,14,0.0,1011,37,10,108,3
2019-12-04 15:00:00,38,18,0.0,13.9,8,9,48,11:22 AM,No moonset,04:45 AM,06:32 PM,3,35,35,37,9,0,12,0.0,1009,37,10,210,8
2019-12-04 18:00:00,38,18,0.0,13.9,8,1,48,11:22 AM,No moonset,04:45 AM,06:32 PM,9,36,36,34,13,0,36,0.0,1010,34,10,139,10
2019-12-04 21:00:00,38,18,0.0,13.9,8,1,48,11:22 AM,No moonset,04:45 AM,06:32 PM,15,34,34,31,6,0,62,0.0,1012,31,10,128,4
2019-12-05 00:00:00,37,18,0.0,13.9,8,1,55,12:14 PM,12:31 AM,04:45 AM,06:33 PM,15,24,24,23,4,0,71,0.0,1012,23,10,224,3
2019-12-05 03:00:00,37,18,0.0,13.9,8,1,55,12:14 PM,12:31 AM,04:45 AM,06:33 PM,12,19,19,19,6,0,66,0.0,1012,19,10,283,4
2019-12-05 06:00:00,37,18,0.0,13.9,8,1,55,12:14 PM,12:31 AM,04:45 AM,06:33 PM,9,22,22,22,6,0,45,0.0,1013,22,10,286,5
2019-12-05 09:00:00,37,18,0.0,13.9,8,8,55,12:14 PM,12:31 AM,04:45 AM,06:33 PM,5,30,30,32,6,0,21,0.0,1013,32,10,274,5
2019-12-05 12:00:00,37,18,0.0,13.9,8,9,55,12:14 PM,12:31 AM,04:45 AM,06:33 PM,0,35,35,36,11,0,11,0.0,1011,36,10,267,10
2019-12-05 15:00:00,37,18,0.0,13.9,8,9,55,12:14 PM,12:31 AM,04:45 AM,06:33 PM,-0,35,35,37,14,0,10,0.0,1008,37,10,261,12
2019-12-05 18:00:00,37,18,0.0,13.9,8,1,55,12:14 PM,12:31 AM,04:45 AM,06:33 PM,5,36,36,35,9,0,21,0.0,1009,35,10,175,7
2019-12-05 21:00:00,37,18,0.0,13.9,8,1,55,12:14 PM,12:31 AM,04:45 AM,06:33 PM,9,35,35,32,5,0,37,0.0,1011,32,10,211,3
