date_time,Bungendore_maxtempC,Bungendore_mintempC,Bungendore_totalSnow_cm,Bungendore_sunHour,Bungendore_uvIndex,Bungendore_uvIndex,Bungendore_moon_illumination,Bungendore_moonrise,Bungendore_moonset,Bungendore_sunrise,Bungendore_sunset,Bungendore_DewPointC,Bungendore_FeelsLikeC,Bungendore_HeatIndexC,Bungendore_WindChillC,Bungendore_WindGustKmph,Bungendore_cloudcover,Bungendore_humidity,Bungendore_precipMM,Bungendore_pressure,Bungendore_tempC,Bungendore_visibility,Bungendore_winddirDegree,Bungendore_windspeedKmph
2019-12-04 00:00:00,20,5,0.0,14.5,5,1,48,11:27 AM,12:22 AM,04:40 AM,07:04 PM,3,5,8,5,25,7,82,0.0,1009,6,10,280,12
2019-12-04 03:00:00,20,5,0.0,14.5,5,1,48,11:27 AM,12:22 AM,04:40 AM,07:04 PM,3,2,5,2,24,5,87,0.0,1009,5,10,290,12
2019-12-04 06:00:00,20,5,0.0,14.5,5,1,48,11:27 AM,12:22 AM,04:40 AM,07:04 PM,2,6,8,6,25,2,67,0.0,1010,8,10,291,16
2019-12-04 09:00:00,20,5,0.0,14.5,5,4,48,11:27 AM,12:22 AM,04:40 AM,07:04 PM,0,14,15,14,26,2,39,0.0,1010,15,10,287,21
2019-12-04 12:00:00,20,5,0.0,14.5,5,5,48,11:27 AM,12:22 AM,04:40 AM,07:04 PM,-0,19,19,19,28,3,27,0.0,1008,19,10,285,25
2019-12-04 15:00:00,20,5,0.0,14.5,5,5,48,11:27 AM,12:22 AM,04:40 AM,07:04 PM,0,20,20,20,30,3,27,0.0,1007,20,10,279,26
2019-12-04 18:00:00,20,5,0.0,14.5,5,1,48,11:27 AM,12:22 AM,04:40 AM,07:04 PM,1,17,20,17,30,3,40,0.0,1009,17,10,280,18
2019-12-04 21:00:00,20,5,0.0,14.5,5,1,48,11:27 AM,12:22 AM,04:40 AM,07:04 PM,2,14,18,14,15,2,57,0.0,1011,14,10,289,7
2019-12-05 00:00:00,24,6,0.0,14.5,6,1,55,12:22 PM,12:53 AM,04:40 AM,07:05 PM,1,8,10,8,10,3,67,0.0,1011,9,10,295,5
2019-12-05 03:00:00,24,6,0.0,14.5,6,1,55,12:22 PM,12:53 AM,04:40 AM,07:05 PM,1,5,6,5,13,5,69,0.0,1010,6,10,293,6
2019-12-05 06:00:00,24,6,0.0,14.5,6,1,55,12:22 PM,12:53 AM,04:40 AM,07:05 PM,2,10,11,10,21,2,54,0.0,1009,11,10,297,14
2019-12-05 09:00:00,24,6,0.0,14.5,6,5,55,12:22 PM,12:53 AM,04:40 AM,07:05 PM,1,19,20,19,32,2,31,0.0,1008,19,10,293,27
2019-12-05 12:00:00,24,6,0.0,14.5,6,6,55,12:22 PM,12:53 AM,04:40 AM,07:05 PM,-2,23,23,23,37,2,19,0.0,1006,23,10,284,32
2019-12-05 15:00:00,24,6,0.0,14.5,6,6,55,12:22 PM,12:53 AM,04:40 AM,07:05 PM,-1,23,23,24,35,5,19,0.0,1005,24,10,278,31
2019-12-05 18:00:00,24,6,0.0,14.5,6,1,55,12:22 PM,12:53 AM,04:40 AM,07:05 PM,1,22,23,22,30,23,28,0.0,1006,22,10,278,19
2019-12-05 21:00:00,24,6,0.0,14.5,6,1,55,12:22 PM,12:53 AM,04:40 AM,07:05 PM,2,19,21,19,19,16,42,0.0,1007,19,10,293,9
2019-12-06 00:00:00,26,9,0.0,10.2,6,1,62,01:17 PM,01:21 AM,04:40 AM,07:06 PM,3,13,14,13,15,5,55,0.0,1007,13,10,309,8
2019-12-06 03:00:00,26,9,0.0,10.2,6,1,62,01:17 PM,01:21 AM,04:40 AM,07:06 PM,4,8,9,8,17,7,67,0.0,1007,9,10,320,8
2019-12-06 06:00:00,26,9,0.0,10.2,6,1,62,01:17 PM,01:21 AM,04:40 AM,07:06 PM,3,11,12,11,15,69,56,0.0,1008,12,10,314,10
2019-12-06 09:00:00,26,9,0.0,10.2,6,5,62,01:17 PM,01:21 AM,04:40 AM,07:06 PM,-2,20,20,20,20,74,26,0.0,1008,20,10,296,17
2019-12-06 12:00:00,26,9,0.0,10.2,6,7,62,01:17 PM,01:21 AM,04:40 AM,07:06 PM,-4,24,24,25,28,20,14,0.0,1006,25,10,278,25
2019-12-06 15:00:00,26,9,0.0,10.2,6,6,62,01:17 PM,01:21 AM,04:40 AM,07:06 PM,-3,24,24,25,29,66,16,0.0,1006,25,10,269,26
2019-12-06 18:00:00,26,9,0.0,10.2,6,1,62,01:17 PM,01:21 AM,04:40 AM,07:06 PM,-1,22,23,22,32,100,28,0.0,1009,22,10,276,19
2019-12-06 21:00:00,26,9,0.0,10.2,6,1,62,01:17 PM,01:21 AM,04:40 AM,07:06 PM,0,18,20,18,22,38,44,0.0,1011,18,10,275,11
2019-12-07 00:00:00,26,6,0.0,14.5,6,1,70,02:12 PM,01:48 AM,04:40 AM,07:07 PM,2,11,12,11,10,2,62,0.0,1012,11,10,222,5
2019-12-07 03:00:00,26,6,0.0,14.5,6,1,70,02:12 PM,01:48 AM,04:40 AM,07:07 PM,2,7,7,7,4,0,71,0.0,1012,7,10,206,2
2019-12-07 06:00:00,26,6,0.0,14.5,6,1,70,02:12 PM,01:48 AM,04:40 AM,07:07 PM,1,12,12,12,3,0,51,0.0,1013,12,10,254,3
2019-12-07 09:00:00,26,6,0.0,14.5,6,5,70,02:12 PM,01:48 AM,04:40 AM,07:07 PM,-2,20,20,20,7,2,25,0.0,1013,19,10,279,6
2019-12-07 12:00:00,26,6,0.0,14.5,6,6,70,02:12 PM,01:48 AM,04:40 AM,07:07 PM,-2,24,24,24,18,4,17,0.0,1011,24,10,269,15
2019-12-07 15:00:00,26,6,0.0,14.5,6,6,70,02:12 PM,01:48 AM,04:40 AM,07:07 PM,-1,24,24,25,27,6,18,0.0,1011,25,10,265,22
2019-12-07 18:00:00,26,6,0.0,14.5,6,1,70,02:12 PM,01:48 AM,04:40 AM,07:07 PM,3,24,24,23,11,6,36,0.0,1014,23,10,234,8
2019-12-07 21:00:00,26,6,0.0,14.5,6,1,70,02:12 PM,01:48 AM,04:40 AM,07:07 PM,8,21,24,21,13,30,78,0.0,1017,21,5,135,6
2019-12-08 00:00:00,29,10,0.0,14.5,5,1,77,03:09 PM,02:16 AM,04:40 AM,07:08 PM,9,14,15,14,9,57,92,0.0,1018,14,7,99,5
2019-12-08 03:00:00,29,10,0.0,14.5,5,1,77,03:09 PM,02:16 AM,04:40 AM,07:08 PM,9,10,10,10,5,49,92,0.0,1018,10,10,101,2
2019-12-08 06:00:00,29,10,0.0,14.5,5,1,77,03:09 PM,02:16 AM,04:40 AM,07:08 PM,9,13,13,13,5,39,80,0.0,1018,13,10,82,4
2019-12-08 09:00:00,29,10,0.0,14.5,5,6,77,03:09 PM,02:16 AM,04:40 AM,07:08 PM,8,22,21,22,3,16,45,0.0,1018,22,10,61,2
2019-12-08 12:00:00,29,10,0.0,14.5,5,7,77,03:09 PM,02:16 AM,04:40 AM,07:08 PM,6,26,26,28,4,5,25,0.0,1017,28,10,219,3
2019-12-08 15:00:00,29,10,0.0,14.5,5,7,77,03:09 PM,02:16 AM,04:40 AM,07:08 PM,5,27,27,29,4,8,22,0.0,1016,29,10,124,4
2019-12-08 18:00:00,29,10,0.0,14.5,5,1,77,03:09 PM,02:16 AM,04:40 AM,07:08 PM,9,29,29,27,21,6,53,0.0,1018,27,10,72,13
2019-12-08 21:00:00,29,10,0.0,14.5,5,1,77,03:09 PM,02:16 AM,04:40 AM,07:08 PM,12,28,28,25,18,44,86,0.0,1020,25,5,119,10
2019-12-09 00:00:00,32,14,0.0,14.5,6,1,84,04:06 PM,02:44 AM,04:40 AM,07:08 PM,13,18,19,18,8,71,90,0.0,1021,18,7,112,6
2019-12-09 03:00:00,32,14,0.0,14.5,6,1,84,04:06 PM,02:44 AM,04:40 AM,07:08 PM,13,15,14,15,6,55,90,0.0,1020,14,10,107,4
2019-12-09 06:00:00,32,14,0.0,14.5,6,1,84,04:06 PM,02:44 AM,04:40 AM,07:08 PM,12,17,17,17,5,16,77,0.0,1020,17,10,66,4
2019-12-09 09:00:00,32,14,0.0,14.5,6,6,84,04:06 PM,02:44 AM,04:40 AM,07:08 PM,8,23,23,23,12,1,42,0.0,1018,23,10,224,10
2019-12-09 12:00:00,32,14,0.0,14.5,6,7,84,04:06 PM,02:44 AM,04:40 AM,07:08 PM,4,28,28,29,19,0,20,0.0,1016,29,10,308,17
