date_time,Buxton_maxtempC,Buxton_mintempC,Buxton_totalSnow_cm,Buxton_sunHour,Buxton_uvIndex,Buxton_uvIndex,Buxton_moon_illumination,Buxton_moonrise,Buxton_moonset,Buxton_sunrise,Buxton_sunset,Buxton_DewPointC,Buxton_FeelsLikeC,Buxton_HeatIndexC,Buxton_WindChillC,Buxton_WindGustKmph,Buxton_cloudcover,Buxton_humidity,Buxton_precipMM,Buxton_pressure,Buxton_tempC,Buxton_visibility,Buxton_winddirDegree,Buxton_windspeedKmph
2019-12-04 00:00:00,4,-2,0.0,5.8,2,1,48,02:25 PM,No moonset,09:03 AM,04:52 PM,0,-1,2,-1,21,46,87,0.0,1021,2,10,208,10
2019-12-04 03:00:00,4,-2,0.0,5.8,2,1,48,02:25 PM,No moonset,09:03 AM,04:52 PM,1,-1,2,-1,23,2,90,0.0,1019,2,10,196,12
2019-12-04 06:00:00,4,-2,0.0,5.8,2,2,48,02:25 PM,No moonset,09:03 AM,04:52 PM,-0,-2,1,-2,22,3,91,0.0,1019,1,10,205,11
2019-12-04 09:00:00,4,-2,0.0,5.8,2,2,48,02:25 PM,No moonset,09:03 AM,04:52 PM,0,-2,2,-2,23,2,90,0.0,1019,2,10,208,12
2019-12-04 12:00:00,4,-2,0.0,5.8,2,2,48,02:25 PM,No moonset,09:03 AM,04:52 PM,2,-0,4,-0,28,32,86,0.0,1019,4,10,227,19
2019-12-04 15:00:00,4,-2,0.0,5.8,2,2,48,02:25 PM,No moonset,09:03 AM,04:52 PM,2,-0,3,-0,26,26,92,0.0,1018,3,10,219,15
2019-12-04 18:00:00,4,-2,0.0,5.8,2,2,48,02:25 PM,No moonset,09:03 AM,04:52 PM,2,-1,2,-1,27,43,94,0.0,1020,2,10,211,14
2019-12-04 21:00:00,4,-2,0.0,5.8,2,1,48,02:25 PM,No moonset,09:03 AM,04:52 PM,2,-2,2,-2,21,100,94,0.1,1019,-2,2,223,12
2019-12-05 00:00:00,6,0,0.0,1.9,1,1,55,02:41 PM,12:58 AM,09:05 AM,04:51 PM,3,-0,3,-0,22,14,97,0.0,1021,3,2,251,12
2019-12-05 03:00:00,6,0,0.0,1.9,1,1,55,02:41 PM,12:58 AM,09:05 AM,04:51 PM,2,-2,3,-2,33,84,99,0.0,1018,3,10,243,17
2019-12-05 06:00:00,6,0,0.0,1.9,1,2,55,02:41 PM,12:58 AM,09:05 AM,04:51 PM,2,-2,3,-2,36,45,93,0.0,1019,3,10,239,19
2019-12-05 09:00:00,6,0,0.0,1.9,1,1,55,02:41 PM,12:58 AM,09:05 AM,04:51 PM,2,-2,3,-2,42,65,92,0.0,1017,3,10,223,24
2019-12-05 12:00:00,6,0,0.0,1.9,1,2,55,02:41 PM,12:58 AM,09:05 AM,04:51 PM,4,1,6,1,52,100,85,0.0,1015,6,10,231,36
2019-12-05 15:00:00,6,0,0.0,1.9,1,2,55,02:41 PM,12:58 AM,09:05 AM,04:51 PM,5,1,6,1,58,100,90,0.7,1011,6,2,227,38
2019-12-05 18:00:00,6,0,0.0,1.9,1,1,55,02:41 PM,12:58 AM,09:05 AM,04:51 PM,7,4,6,4,65,100,90,0.0,1008,4,10,224,40
2019-12-05 21:00:00,6,0,0.0,1.9,1,1,55,02:41 PM,12:58 AM,09:05 AM,04:51 PM,8,0,4,0,57,100,93,1.4,1007,0,9,238,36
2019-12-06 00:00:00,10,2,0.0,3.8,2,1,62,02:56 PM,02:06 AM,09:06 AM,04:51 PM,9,6,10,6,56,100,93,1.2,1006,10,9,245,36
2019-12-06 03:00:00,10,2,0.0,3.8,2,1,62,02:56 PM,02:06 AM,09:06 AM,04:51 PM,9,6,10,6,52,89,93,0.2,1003,10,2,246,33
2019-12-06 06:00:00,10,2,0.0,3.8,2,3,62,02:56 PM,02:06 AM,09:06 AM,04:51 PM,9,7,10,7,51,100,93,0.0,1002,10,10,235,33
2019-12-06 09:00:00,10,2,0.0,3.8,2,3,62,02:56 PM,02:06 AM,09:06 AM,04:51 PM,9,7,10,7,50,74,92,0.4,999,10,10,235,31
2019-12-06 12:00:00,10,2,0.0,3.8,2,3,62,02:56 PM,02:06 AM,09:06 AM,04:51 PM,7,6,10,6,46,29,80,0.0,998,10,10,256,31
2019-12-06 15:00:00,10,2,0.0,3.8,2,2,62,02:56 PM,02:06 AM,09:06 AM,04:51 PM,5,2,6,2,36,100,92,3.2,998,6,7,273,26
2019-12-06 18:00:00,10,2,0.0,3.8,2,1,62,02:56 PM,02:06 AM,09:06 AM,04:51 PM,5,4,8,4,42,100,89,2.4,1002,4,9,287,28
2019-12-06 21:00:00,10,2,0.0,3.8,2,1,62,02:56 PM,02:06 AM,09:06 AM,04:51 PM,6,2,6,2,43,100,90,0.2,1005,2,10,283,29
2019-12-07 00:00:00,7,3,0.0,5.8,2,1,70,03:11 PM,03:15 AM,09:07 AM,04:50 PM,5,2,7,2,41,89,91,0.0,1007,7,10,280,27
2019-12-07 03:00:00,7,3,0.0,5.8,2,1,70,03:11 PM,03:15 AM,09:07 AM,04:50 PM,5,2,6,2,40,90,94,0.1,1009,6,10,271,27
2019-12-07 06:00:00,7,3,0.0,5.8,2,2,70,03:11 PM,03:15 AM,09:07 AM,04:50 PM,5,2,6,2,33,97,93,0.0,1010,6,10,262,22
2019-12-07 09:00:00,7,3,0.0,5.8,2,2,70,03:11 PM,03:15 AM,09:07 AM,04:50 PM,5,2,5,2,28,75,95,0.0,1010,5,10,251,18
2019-12-07 12:00:00,7,3,0.0,5.8,2,3,70,03:11 PM,03:15 AM,09:07 AM,04:50 PM,5,3,7,3,32,51,88,0.0,1011,7,10,251,23
2019-12-07 15:00:00,7,3,0.0,5.8,2,3,70,03:11 PM,03:15 AM,09:07 AM,04:50 PM,5,4,7,4,34,46,88,0.0,1009,7,10,222,22
2019-12-07 18:00:00,7,3,0.0,5.8,2,2,70,03:11 PM,03:15 AM,09:07 AM,04:50 PM,7,5,9,5,42,80,94,0.0,1006,5,10,211,27
2019-12-07 21:00:00,7,3,0.0,5.8,2,1,70,03:11 PM,03:15 AM,09:07 AM,04:50 PM,7,3,6,3,54,96,94,0.0,1002,3,10,202,35
2019-12-08 00:00:00,6,4,0.0,1.9,1,1,77,03:28 PM,04:24 AM,09:09 AM,04:50 PM,6,3,8,3,66,100,86,0.0,996,8,10,200,43
2019-12-08 03:00:00,6,4,0.0,1.9,1,1,77,03:28 PM,04:24 AM,09:09 AM,04:50 PM,9,7,11,7,61,100,92,1.4,992,11,9,260,41
2019-12-08 06:00:00,6,4,0.0,1.9,1,2,77,03:28 PM,04:24 AM,09:09 AM,04:50 PM,3,1,6,1,55,95,83,0.0,995,6,10,258,35
2019-12-08 09:00:00,6,4,0.0,1.9,1,1,77,03:28 PM,04:24 AM,09:09 AM,04:50 PM,2,-1,4,-1,51,100,82,0.1,995,4,10,246,31
2019-12-08 12:00:00,6,4,0.0,1.9,1,2,77,03:28 PM,04:24 AM,09:09 AM,04:50 PM,1,0,6,0,58,90,74,0.0,995,6,10,251,41
2019-12-08 15:00:00,6,4,0.0,1.9,1,1,77,03:28 PM,04:24 AM,09:09 AM,04:50 PM,1,-1,5,-1,57,100,75,0.8,992,5,10,249,39
2019-12-08 18:00:00,6,4,0.0,1.9,1,1,77,03:28 PM,04:24 AM,09:09 AM,04:50 PM,1,-2,4,-2,51,100,80,0.0,990,4,9,238,33
2019-12-08 21:00:00,6,4,0.0,1.9,1,1,77,03:28 PM,04:24 AM,09:09 AM,04:50 PM,3,-2,4,-2,52,100,93,0.5,986,4,9,238,35
2019-12-09 00:00:00,4,2,0.0,5.8,1,1,84,03:46 PM,05:35 AM,09:10 AM,04:50 PM,3,-2,4,-2,45,100,95,0.5,986,4,9,256,30
2019-12-09 03:00:00,4,2,0.0,5.8,1,1,84,03:46 PM,05:35 AM,09:10 AM,04:50 PM,4,0,5,0,39,100,93,0.3,990,5,10,302,26
2019-12-09 06:00:00,4,2,0.0,5.8,1,1,84,03:46 PM,05:35 AM,09:10 AM,04:50 PM,1,-1,4,-1,60,78,78,0.3,999,4,2,323,38
2019-12-09 09:00:00,4,2,0.0,5.8,1,2,84,03:46 PM,05:35 AM,09:10 AM,04:50 PM,0,-2,4,-2,46,25,79,0.0,1007,4,10,323,29
2019-12-09 12:00:00,4,2,0.0,5.8,1,2,84,03:46 PM,05:35 AM,09:10 AM,04:50 PM,-1,-0,4,-0,36,4,69,0.0,1014,4,10,326,26
2019-12-09 15:00:00,4,2,0.0,5.8,1,2,84,03:46 PM,05:35 AM,09:10 AM,04:50 PM,-2,-1,4,-1,33,1,69,0.0,1018,4,10,317,21
2019-12-09 18:00:00,4,2,0.0,5.8,1,2,84,03:46 PM,05:35 AM,09:10 AM,04:50 PM,-1,1,3,1,12,3,76,0.0,1021,3,10,319,8
2019-12-09 21:00:00,4,2,0.0,5.8,1,1,84,03:46 PM,05:35 AM,09:10 AM,04:50 PM,-0,0,2,0,13,12,86,0.0,1023,2,10,212,7
2019-12-10 00:00:00,11,2,0.0,1.8,3,1,92,04:08 PM,06:48 AM,09:11 AM,04:49 PM,0,-1,2,-1,20,3,89,0.0,1022,2,10,205,11
2019-12-10 03:00:00,11,2,0.0,1.8,3,1,92,04:08 PM,06:48 AM,09:11 AM,04:49 PM,1,-3,2,-3,38,16,89,0.0,1019,2,10,191,21
2019-12-10 06:00:00,11,2,0.0,1.8,3,1,92,04:08 PM,06:48 AM,09:11 AM,04:49 PM,2,-3,3,-3,53,100,94,0.0,1014,3,10,195,33
2019-12-10 09:00:00,11,2,0.0,1.8,3,2,92,04:08 PM,06:48 AM,09:11 AM,04:49 PM,4,0,6,0,67,100,91,0.3,1008,6,2,187,44
2019-12-10 12:00:00,11,2,0.0,1.8,3,2,92,04:08 PM,06:48 AM,09:11 AM,04:49 PM,7,3,8,3,76,100,92,0.0,1002,8,10,195,49
2019-12-10 15:00:00,11,2,0.0,1.8,3,3,92,04:08 PM,06:48 AM,09:11 AM,04:49 PM,9,7,11,7,76,100,90,0.6,994,11,2,205,50
2019-12-10 18:00:00,11,2,0.0,1.8,3,2,92,04:08 PM,06:48 AM,09:11 AM,04:49 PM,5,8,10,8,63,100,93,0.0,996,8,10,275,45
2019-12-10 21:00:00,11,2,0.0,1.8,3,1,92,04:08 PM,06:48 AM,09:11 AM,04:49 PM,1,-2,4,-2,52,100,80,1.2,1001,4,9,256,35
2019-12-11 00:00:00,4,1,0.2,3.8,2,1,99,04:36 PM,08:03 AM,09:12 AM,04:49 PM,0,-2,3,-2,46,21,81,0.0,1003,3,10,252,28
