date_time,Cambridge_maxtempC,Cambridge_mintempC,Cambridge_totalSnow_cm,Cambridge_sunHour,Cambridge_uvIndex,Cambridge_uvIndex,Cambridge_moon_illumination,Cambridge_moonrise,Cambridge_moonset,Cambridge_sunrise,Cambridge_sunset,Cambridge_DewPointC,Cambridge_FeelsLikeC,Cambridge_HeatIndexC,Cambridge_WindChillC,Cambridge_WindGustKmph,Cambridge_cloudcover,Cambridge_humidity,Cambridge_precipMM,Cambridge_pressure,Cambridge_tempC,Cambridge_visibility,Cambridge_winddirDegree,Cambridge_windspeedKmph
2019-12-04 00:00:00,8,4,0.0,1.8,2,1,48,02:33 PM,No moonset,09:20 AM,04:41 PM,3,0,5,0,50,73,89,0.0,1017,5,10,222,26
2019-12-04 03:00:00,8,4,0.0,1.8,2,1,48,02:33 PM,No moonset,09:20 AM,04:41 PM,4,2,6,2,38,63,88,0.0,1014,6,10,217,23
2019-12-04 06:00:00,8,4,0.0,1.8,2,3,48,02:33 PM,No moonset,09:20 AM,04:41 PM,4,1,6,1,40,43,90,0.0,1014,6,10,216,22
2019-12-04 09:00:00,8,4,0.0,1.8,2,3,48,02:33 PM,No moonset,09:20 AM,04:41 PM,4,2,6,2,41,16,87,0.0,1012,6,10,218,24
2019-12-04 12:00:00,8,4,0.0,1.8,2,3,48,02:33 PM,No moonset,09:20 AM,04:41 PM,5,4,8,4,45,60,79,0.0,1012,8,10,221,32
2019-12-04 15:00:00,8,4,0.0,1.8,2,2,48,02:33 PM,No moonset,09:20 AM,04:41 PM,5,4,7,4,34,96,86,0.2,1011,7,2,235,21
2019-12-04 18:00:00,8,4,0.0,1.8,2,2,48,02:33 PM,No moonset,09:20 AM,04:41 PM,2,0,4,0,35,4,88,0.0,1013,4,10,235,19
2019-12-04 21:00:00,8,4,0.0,1.8,2,1,48,02:33 PM,No moonset,09:20 AM,04:41 PM,1,-1,4,-1,40,7,84,0.0,1013,4,10,233,21
2019-12-05 00:00:00,9,4,0.0,1.8,3,1,55,02:47 PM,12:57 AM,09:22 AM,04:40 PM,1,-1,4,-1,50,16,82,0.0,1014,4,10,234,28
2019-12-05 03:00:00,9,4,0.0,1.8,3,1,55,02:47 PM,12:57 AM,09:22 AM,04:40 PM,2,-1,4,-1,50,30,82,0.0,1011,4,10,239,29
2019-12-05 06:00:00,9,4,0.0,1.8,3,2,55,02:47 PM,12:57 AM,09:22 AM,04:40 PM,2,0,5,0,41,61,84,0.0,1011,5,10,232,24
