date_time,Canala_maxtempC,Canala_mintempC,Canala_totalSnow_cm,Canala_sunHour,Canala_uvIndex,Canala_uvIndex,Canala_moon_illumination,Canala_moonrise,Canala_moonset,Canala_sunrise,Canala_sunset,Canala_DewPointC,Canala_FeelsLikeC,Canala_HeatIndexC,Canala_WindChillC,Canala_WindGustKmph,Canala_cloudcover,Canala_humidity,Canala_precipMM,Canala_pressure,Canala_tempC,Canala_visibility,Canala_winddirDegree,Canala_windspeedKmph
2019-12-04 00:00:00,26,24,0.0,12.0,6,1,48,11:34 AM,No moonset,05:05 AM,06:27 PM,21,26,26,24,15,43,80,0.1,1013,24,10,93,12
2019-12-04 03:00:00,26,24,0.0,12.0,6,1,48,11:34 AM,No moonset,05:05 AM,06:27 PM,21,26,26,24,17,86,82,0.4,1012,24,9,95,13
2019-12-04 06:00:00,26,24,0.0,12.0,6,1,48,11:34 AM,No moonset,05:05 AM,06:27 PM,20,26,26,24,14,85,79,0.6,1012,24,9,103,11
2019-12-04 09:00:00,26,24,0.0,12.0,6,6,48,11:34 AM,No moonset,05:05 AM,06:27 PM,20,27,27,25,13,83,70,0.3,1013,25,9,80,12
2019-12-04 12:00:00,26,24,0.0,12.0,6,7,48,11:34 AM,No moonset,05:05 AM,06:27 PM,19,27,27,26,11,55,65,0.2,1013,26,10,66,9
2019-12-04 15:00:00,26,24,0.0,12.0,6,7,48,11:34 AM,No moonset,05:05 AM,06:27 PM,18,27,27,26,7,21,63,0.0,1011,26,10,58,6
2019-12-04 18:00:00,26,24,0.0,12.0,6,1,48,11:34 AM,No moonset,05:05 AM,06:27 PM,18,27,27,25,5,39,64,0.0,1012,25,10,87,4
2019-12-04 21:00:00,26,24,0.0,12.0,6,1,48,11:34 AM,No moonset,05:05 AM,06:27 PM,19,26,26,25,5,26,68,0.0,1013,25,10,112,4
2019-12-05 00:00:00,26,24,0.0,10.8,7,1,55,12:24 PM,12:32 AM,05:05 AM,06:28 PM,19,26,26,24,8,20,73,0.0,1013,24,10,110,6
2019-12-05 03:00:00,26,24,0.0,10.8,7,1,55,12:24 PM,12:32 AM,05:05 AM,06:28 PM,20,26,26,24,10,38,76,0.0,1012,24,10,132,7
2019-12-05 06:00:00,26,24,0.0,10.8,7,1,55,12:24 PM,12:32 AM,05:05 AM,06:28 PM,20,26,26,24,11,83,76,0.1,1012,24,10,131,9
2019-12-05 09:00:00,26,24,0.0,10.8,7,6,55,12:24 PM,12:32 AM,05:05 AM,06:28 PM,20,27,27,26,12,84,72,0.1,1013,26,10,92,10
2019-12-05 12:00:00,26,24,0.0,10.8,7,7,55,12:24 PM,12:32 AM,05:05 AM,06:28 PM,20,28,28,26,12,72,70,0.1,1012,26,10,79,10
2019-12-05 15:00:00,26,24,0.0,10.8,7,7,55,12:24 PM,12:32 AM,05:05 AM,06:28 PM,20,28,28,26,13,46,67,0.0,1011,26,10,93,12
2019-12-05 18:00:00,26,24,0.0,10.8,7,1,55,12:24 PM,12:32 AM,05:05 AM,06:28 PM,20,27,27,26,16,34,71,0.0,1012,26,10,104,13
2019-12-05 21:00:00,26,24,0.0,10.8,7,1,55,12:24 PM,12:32 AM,05:05 AM,06:28 PM,21,27,27,25,19,35,77,0.0,1013,25,10,110,15
2019-12-06 00:00:00,26,24,0.0,13.2,6,1,62,01:13 PM,01:06 AM,05:06 AM,06:28 PM,21,27,27,25,21,46,80,0.1,1012,25,10,114,17
2019-12-06 03:00:00,26,24,0.0,13.2,6,1,62,01:13 PM,01:06 AM,05:06 AM,06:28 PM,21,26,26,24,21,71,82,0.3,1011,24,9,116,16
2019-12-06 06:00:00,26,24,0.0,13.2,6,1,62,01:13 PM,01:06 AM,05:06 AM,06:28 PM,21,26,26,24,20,59,81,0.3,1012,24,9,111,15
2019-12-06 09:00:00,26,24,0.0,13.2,6,7,62,01:13 PM,01:06 AM,05:06 AM,06:28 PM,21,27,27,26,19,24,74,0.0,1013,26,10,99,16
2019-12-06 12:00:00,26,24,0.0,13.2,6,7,62,01:13 PM,01:06 AM,05:06 AM,06:28 PM,21,28,28,26,20,2,72,0.0,1012,26,10,93,17
2019-12-06 15:00:00,26,24,0.0,13.2,6,7,62,01:13 PM,01:06 AM,05:06 AM,06:28 PM,21,28,28,26,20,15,75,0.0,1011,26,10,101,18
2019-12-06 18:00:00,26,24,0.0,13.2,6,1,62,01:13 PM,01:06 AM,05:06 AM,06:28 PM,21,27,27,25,23,30,78,0.0,1012,25,10,104,20
2019-12-06 21:00:00,26,24,0.0,13.2,6,1,62,01:13 PM,01:06 AM,05:06 AM,06:28 PM,21,27,27,25,24,23,81,0.0,1013,25,10,111,19
2019-12-07 00:00:00,27,24,0.0,13.2,7,1,70,02:02 PM,01:40 AM,05:06 AM,06:29 PM,21,26,26,24,18,25,82,0.0,1013,24,10,119,14
2019-12-07 03:00:00,27,24,0.0,13.2,7,1,70,02:02 PM,01:40 AM,05:06 AM,06:29 PM,21,26,26,24,14,29,81,0.0,1012,24,10,129,10
2019-12-07 06:00:00,27,24,0.0,13.2,7,1,70,02:02 PM,01:40 AM,05:06 AM,06:29 PM,21,27,27,25,13,47,78,0.0,1012,25,10,131,10
2019-12-07 09:00:00,27,24,0.0,13.2,7,7,70,02:02 PM,01:40 AM,05:06 AM,06:29 PM,21,29,29,26,13,46,73,0.0,1013,26,10,107,11
2019-12-07 12:00:00,27,24,0.0,13.2,7,7,70,02:02 PM,01:40 AM,05:06 AM,06:29 PM,22,29,29,27,14,19,77,0.0,1013,27,10,86,12
