date_time,Capel_maxtempC,Capel_mintempC,Capel_totalSnow_cm,Capel_sunHour,Capel_uvIndex,Capel_uvIndex,Capel_moon_illumination,Capel_moonrise,Capel_moonset,Capel_sunrise,Capel_sunset,Capel_DewPointC,Capel_FeelsLikeC,Capel_HeatIndexC,Capel_WindChillC,Capel_WindGustKmph,Capel_cloudcover,Capel_humidity,Capel_precipMM,Capel_pressure,Capel_tempC,Capel_visibility,Capel_winddirDegree,Capel_windspeedKmph
2019-12-04 00:00:00,8,4,0.0,5.8,3,1,48,02:56 PM,12:26 AM,09:31 AM,05:33 PM,2,2,5,2,16,14,82,0.0,1025,5,10,201,10
2019-12-04 03:00:00,8,4,0.0,5.8,3,1,48,02:56 PM,12:26 AM,09:31 AM,05:33 PM,2,2,4,2,16,16,86,0.0,1023,4,10,208,10
2019-12-04 06:00:00,8,4,0.0,5.8,3,1,48,02:56 PM,12:26 AM,09:31 AM,05:33 PM,2,2,4,2,15,12,87,0.0,1023,4,10,201,9
2019-12-04 09:00:00,8,4,0.0,5.8,3,2,48,02:56 PM,12:26 AM,09:31 AM,05:33 PM,2,2,4,2,13,9,87,0.0,1022,4,10,187,8
2019-12-04 12:00:00,8,4,0.0,5.8,3,3,48,02:56 PM,12:26 AM,09:31 AM,05:33 PM,3,5,6,5,8,6,79,0.0,1022,6,10,181,6
2019-12-04 15:00:00,8,4,0.0,5.8,3,3,48,02:56 PM,12:26 AM,09:31 AM,05:33 PM,4,7,7,7,4,5,78,0.0,1021,7,10,144,4
2019-12-04 18:00:00,8,4,0.0,5.8,3,3,48,02:56 PM,12:26 AM,09:31 AM,05:33 PM,4,7,7,7,2,6,82,0.0,1021,7,10,163,2
2019-12-04 21:00:00,8,4,0.0,5.8,3,1,48,02:56 PM,12:26 AM,09:31 AM,05:33 PM,4,6,6,6,4,4,84,0.0,1021,6,10,173,3
2019-12-05 00:00:00,6,3,0.0,5.8,2,1,55,03:13 PM,01:34 AM,09:32 AM,05:32 PM,2,4,5,4,9,10,85,0.0,1021,5,10,184,5
2019-12-05 03:00:00,6,3,0.0,5.8,2,1,55,03:13 PM,01:34 AM,09:32 AM,05:32 PM,2,2,4,2,14,14,87,0.0,1020,4,10,217,8
