date_time,Caralue_maxtempC,Caralue_mintempC,Caralue_totalSnow_cm,Caralue_sunHour,Caralue_uvIndex,Caralue_uvIndex,Caralue_moon_illumination,Caralue_moonrise,Caralue_moonset,Caralue_sunrise,Caralue_sunset,Caralue_DewPointC,Caralue_FeelsLikeC,Caralue_HeatIndexC,Caralue_WindChillC,Caralue_WindGustKmph,Caralue_cloudcover,Caralue_humidity,Caralue_precipMM,Caralue_pressure,Caralue_tempC,Caralue_visibility,Caralue_winddirDegree,Caralue_windspeedKmph
2019-12-04 00:00:00,31,9,0.0,14.1,6,1,48,11:54 AM,12:44 AM,05:08 AM,07:22 PM,9,10,10,10,9,12,93,0.0,1018,10,10,224,5
2019-12-04 03:00:00,31,9,0.0,14.1,6,1,48,11:54 AM,12:44 AM,05:08 AM,07:22 PM,9,9,9,9,2,23,94,0.0,1017,9,10,269,1
2019-12-04 06:00:00,31,9,0.0,14.1,6,1,48,11:54 AM,12:44 AM,05:08 AM,07:22 PM,9,11,11,11,4,16,85,0.0,1018,11,10,288,3
2019-12-04 09:00:00,31,9,0.0,14.1,6,6,48,11:54 AM,12:44 AM,05:08 AM,07:22 PM,5,22,24,22,1,0,33,0.0,1018,22,10,125,1
2019-12-04 12:00:00,31,9,0.0,14.1,6,7,48,11:54 AM,12:44 AM,05:08 AM,07:22 PM,-0,26,26,28,13,0,16,0.0,1017,28,10,275,12
2019-12-04 15:00:00,31,9,0.0,14.1,6,8,48,11:54 AM,12:44 AM,05:08 AM,07:22 PM,-1,29,29,31,26,0,12,0.0,1015,31,10,238,23
2019-12-04 18:00:00,31,9,0.0,14.1,6,1,48,11:54 AM,12:44 AM,05:08 AM,07:22 PM,3,30,30,28,28,0,25,0.0,1015,28,10,217,20
2019-12-04 21:00:00,31,9,0.0,14.1,6,1,48,11:54 AM,12:44 AM,05:08 AM,07:22 PM,7,28,28,25,17,0,55,0.0,1016,25,10,168,8
2019-12-05 00:00:00,32,14,0.0,14.2,7,1,55,12:48 PM,01:15 AM,05:08 AM,07:23 PM,7,15,14,15,8,2,62,0.0,1015,14,10,57,4
2019-12-05 03:00:00,32,14,0.0,14.2,7,1,55,12:48 PM,01:15 AM,05:08 AM,07:23 PM,5,14,14,14,10,3,55,0.0,1014,14,10,15,5
2019-12-05 06:00:00,32,14,0.0,14.2,7,1,55,12:48 PM,01:15 AM,05:08 AM,07:23 PM,2,17,17,17,6,0,37,0.0,1014,17,10,352,4
2019-12-05 09:00:00,32,14,0.0,14.2,7,7,55,12:48 PM,01:15 AM,05:08 AM,07:23 PM,-4,25,25,27,16,0,13,0.0,1015,27,10,244,14
2019-12-05 12:00:00,32,14,0.0,14.2,7,8,55,12:48 PM,01:15 AM,05:08 AM,07:23 PM,-0,30,30,32,25,3,12,0.0,1014,32,10,236,22
2019-12-05 15:00:00,32,14,0.0,14.2,7,8,55,12:48 PM,01:15 AM,05:08 AM,07:23 PM,-0,29,29,32,31,4,13,0.0,1013,32,10,230,27
2019-12-05 18:00:00,32,14,0.0,14.2,7,1,55,12:48 PM,01:15 AM,05:08 AM,07:23 PM,5,32,32,28,25,5,25,0.0,1014,28,10,204,19
2019-12-05 21:00:00,32,14,0.0,14.2,7,1,55,12:48 PM,01:15 AM,05:08 AM,07:23 PM,10,28,28,25,22,2,58,0.0,1015,25,10,192,12
2019-12-06 00:00:00,30,13,0.0,14.2,6,1,62,01:43 PM,01:44 AM,05:08 AM,07:24 PM,12,14,15,14,18,12,85,0.0,1015,15,10,142,12
2019-12-06 03:00:00,30,13,0.0,14.2,6,1,62,01:43 PM,01:44 AM,05:08 AM,07:24 PM,12,12,13,12,16,32,93,0.0,1014,13,10,145,10
2019-12-06 06:00:00,30,13,0.0,14.2,6,1,62,01:43 PM,01:44 AM,05:08 AM,07:24 PM,11,13,14,13,18,22,84,0.0,1016,14,10,155,14
2019-12-06 09:00:00,30,13,0.0,14.2,6,6,62,01:43 PM,01:44 AM,05:08 AM,07:24 PM,7,21,24,21,16,0,39,0.0,1017,21,10,151,14
2019-12-06 12:00:00,30,13,0.0,14.2,6,7,62,01:43 PM,01:44 AM,05:08 AM,07:24 PM,2,26,26,27,17,0,19,0.0,1016,27,10,168,15
2019-12-06 15:00:00,30,13,0.0,14.2,6,7,62,01:43 PM,01:44 AM,05:08 AM,07:24 PM,1,28,28,30,21,0,16,0.0,1015,30,10,179,18
2019-12-06 18:00:00,30,13,0.0,14.2,6,1,62,01:43 PM,01:44 AM,05:08 AM,07:24 PM,6,30,30,26,29,0,30,0.0,1016,26,10,170,20
2019-12-06 21:00:00,30,13,0.0,14.2,6,1,62,01:43 PM,01:44 AM,05:08 AM,07:24 PM,6,27,27,23,33,0,50,0.0,1017,23,10,131,21
2019-12-07 00:00:00,35,12,0.0,14.2,7,1,70,02:37 PM,02:12 AM,05:08 AM,07:25 PM,11,12,14,12,25,5,82,0.0,1017,14,10,126,16
2019-12-07 03:00:00,35,12,0.0,14.2,7,1,70,02:37 PM,02:12 AM,05:08 AM,07:25 PM,11,11,12,11,19,19,93,0.0,1016,12,10,117,10
2019-12-07 06:00:00,35,12,0.0,14.2,7,1,70,02:37 PM,02:12 AM,05:08 AM,07:25 PM,11,13,14,13,21,12,82,0.0,1016,14,10,99,16
2019-12-07 09:00:00,35,12,0.0,14.2,7,6,70,02:37 PM,02:12 AM,05:08 AM,07:25 PM,6,24,24,23,14,0,32,0.0,1016,23,10,82,13
