date_time,Childers_maxtempC,Childers_mintempC,Childers_totalSnow_cm,Childers_sunHour,Childers_uvIndex,Childers_uvIndex,Childers_moon_illumination,Childers_moonrise,Childers_moonset,Childers_sunrise,Childers_sunset,Childers_DewPointC,Childers_FeelsLikeC,Childers_HeatIndexC,Childers_WindChillC,Childers_WindGustKmph,Childers_cloudcover,Childers_humidity,Childers_precipMM,Childers_pressure,Childers_tempC,Childers_visibility,Childers_winddirDegree,Childers_windspeedKmph
2019-12-04 00:00:00,17,9,0.0,10.3,3,1,48,11:36 AM,12:41 AM,04:45 AM,07:26 PM,9,9,11,9,21,100,88,0.3,1007,11,10,262,15
2019-12-04 03:00:00,17,9,0.0,10.3,3,1,48,11:36 AM,12:41 AM,04:45 AM,07:26 PM,8,8,10,8,18,94,88,0.5,1007,10,10,264,12
2019-12-04 06:00:00,17,9,0.0,10.3,3,1,48,11:36 AM,12:41 AM,04:45 AM,07:26 PM,8,8,10,8,18,93,88,0.4,1008,10,10,268,13
2019-12-04 09:00:00,17,9,0.0,10.3,3,3,48,11:36 AM,12:41 AM,04:45 AM,07:26 PM,9,9,11,9,22,95,86,0.6,1009,11,10,278,15
2019-12-04 12:00:00,17,9,0.0,10.3,3,3,48,11:36 AM,12:41 AM,04:45 AM,07:26 PM,7,12,13,12,22,89,68,0.4,1009,13,10,277,18
2019-12-04 15:00:00,17,9,0.0,10.3,3,4,48,11:36 AM,12:41 AM,04:45 AM,07:26 PM,7,16,16,16,21,86,52,0.3,1009,16,10,267,18
2019-12-04 18:00:00,17,9,0.0,10.3,3,1,48,11:36 AM,12:41 AM,04:45 AM,07:26 PM,7,15,16,15,18,29,56,0.1,1009,16,10,256,14
2019-12-04 21:00:00,17,9,0.0,10.3,3,1,48,11:36 AM,12:41 AM,04:45 AM,07:26 PM,8,12,15,12,14,14,78,0.0,1010,12,10,268,9
2019-12-05 00:00:00,19,11,0.0,13.5,5,1,55,12:33 PM,01:10 AM,04:45 AM,07:27 PM,8,10,12,10,13,57,86,0.0,1009,11,10,277,8
2019-12-05 03:00:00,19,11,0.0,13.5,5,1,55,12:33 PM,01:10 AM,04:45 AM,07:27 PM,8,10,11,10,15,50,83,0.0,1007,11,10,281,10
2019-12-05 06:00:00,19,11,0.0,13.5,5,1,55,12:33 PM,01:10 AM,04:45 AM,07:27 PM,8,11,12,11,17,35,74,0.0,1007,12,10,276,14
2019-12-05 09:00:00,19,11,0.0,13.5,5,4,55,12:33 PM,01:10 AM,04:45 AM,07:27 PM,7,14,15,14,20,14,60,0.0,1007,15,10,265,17
2019-12-05 12:00:00,19,11,0.0,13.5,5,5,55,12:33 PM,01:10 AM,04:45 AM,07:27 PM,8,18,18,18,24,23,54,0.0,1006,18,10,266,21
2019-12-05 15:00:00,19,11,0.0,13.5,5,5,55,12:33 PM,01:10 AM,04:45 AM,07:27 PM,8,18,18,18,25,29,53,0.0,1005,18,10,267,22
2019-12-05 18:00:00,19,11,0.0,13.5,5,1,55,12:33 PM,01:10 AM,04:45 AM,07:27 PM,8,15,16,15,27,68,63,0.1,1006,16,10,267,20
2019-12-05 21:00:00,19,11,0.0,13.5,5,1,55,12:33 PM,01:10 AM,04:45 AM,07:27 PM,8,12,13,12,24,79,73,0.1,1008,13,10,266,16
2019-12-06 00:00:00,16,10,0.0,10.3,3,1,62,01:30 PM,01:37 AM,04:45 AM,07:28 PM,8,10,12,10,21,74,79,0.0,1008,12,10,268,14
