date_time,Cloncurry_maxtempC,Cloncurry_mintempC,Cloncurry_totalSnow_cm,Cloncurry_sunHour,Cloncurry_uvIndex,Cloncurry_uvIndex,Cloncurry_moon_illumination,Cloncurry_moonrise,Cloncurry_moonset,Cloncurry_sunrise,Cloncurry_sunset,Cloncurry_DewPointC,Cloncurry_FeelsLikeC,Cloncurry_HeatIndexC,Cloncurry_WindChillC,Cloncurry_WindGustKmph,Cloncurry_cloudcover,Cloncurry_humidity,Cloncurry_precipMM,Cloncurry_pressure,Cloncurry_tempC,Cloncurry_visibility,Cloncurry_winddirDegree,Cloncurry_windspeedKmph
2019-12-04 00:00:00,8,3,0.0,3.9,3,1,48,02:45 PM,12:11 AM,09:24 AM,05:12 PM,4,2,5,2,30,45,93,0.0,1018,5,10,186,16
2019-12-04 03:00:00,8,3,0.0,3.9,3,1,48,02:45 PM,12:11 AM,09:24 AM,05:12 PM,4,2,5,2,32,67,89,0.0,1016,5,10,190,17
2019-12-04 06:00:00,8,3,0.0,3.9,3,1,48,02:45 PM,12:11 AM,09:24 AM,05:12 PM,3,1,5,1,44,31,86,0.0,1015,5,10,195,23
2019-12-04 09:00:00,8,3,0.0,3.9,3,2,48,02:45 PM,12:11 AM,09:24 AM,05:12 PM,4,2,6,2,41,100,83,0.0,1015,6,10,201,24
2019-12-04 12:00:00,8,3,0.0,3.9,3,2,48,02:45 PM,12:11 AM,09:24 AM,05:12 PM,6,4,8,4,27,100,89,0.0,1017,8,10,227,19
2019-12-04 15:00:00,8,3,0.0,3.9,3,3,48,02:45 PM,12:11 AM,09:24 AM,05:12 PM,5,5,7,5,17,17,88,0.0,1017,7,10,246,11
2019-12-04 18:00:00,8,3,0.0,3.9,3,2,48,02:45 PM,12:11 AM,09:24 AM,05:12 PM,3,0,4,0,26,5,93,0.0,1019,4,10,224,13
2019-12-04 21:00:00,8,3,0.0,3.9,3,1,48,02:45 PM,12:11 AM,09:24 AM,05:12 PM,2,-1,3,-1,35,24,91,0.0,1019,3,10,227,17
2019-12-05 00:00:00,11,3,0.0,2.0,3,1,55,03:02 PM,01:20 AM,09:25 AM,05:12 PM,2,-1,3,-1,35,17,91,0.0,1020,3,10,223,18
2019-12-05 03:00:00,11,3,0.0,2.0,3,1,55,03:02 PM,01:20 AM,09:25 AM,05:12 PM,2,-1,3,-1,37,25,93,0.0,1017,3,10,216,19
2019-12-05 06:00:00,11,3,0.0,2.0,3,1,55,03:02 PM,01:20 AM,09:25 AM,05:12 PM,2,-1,4,-1,43,64,91,0.0,1017,4,10,208,23
2019-12-05 09:00:00,11,3,0.0,2.0,3,2,55,03:02 PM,01:20 AM,09:25 AM,05:12 PM,4,2,6,2,47,68,84,0.0,1013,6,10,206,30
2019-12-05 12:00:00,11,3,0.0,2.0,3,2,55,03:02 PM,01:20 AM,09:25 AM,05:12 PM,7,4,9,4,59,100,88,0.2,1011,9,2,215,39
2019-12-05 15:00:00,11,3,0.0,2.0,3,3,55,03:02 PM,01:20 AM,09:25 AM,05:12 PM,9,7,11,7,55,100,91,0.1,1007,11,10,222,35
2019-12-05 18:00:00,11,3,0.0,2.0,3,2,55,03:02 PM,01:20 AM,09:25 AM,05:12 PM,10,9,12,9,50,100,92,0.5,1006,9,2,237,32
2019-12-05 21:00:00,11,3,0.0,2.0,3,1,55,03:02 PM,01:20 AM,09:25 AM,05:12 PM,10,6,8,6,43,100,95,1.4,1006,6,9,238,27
2019-12-06 00:00:00,11,6,0.0,2.0,2,1,62,03:17 PM,02:27 AM,09:26 AM,05:11 PM,11,9,11,9,38,100,95,0.7,1005,11,2,238,24
2019-12-06 03:00:00,11,6,0.0,2.0,2,1,62,03:17 PM,02:27 AM,09:26 AM,05:11 PM,10,9,11,9,38,100,92,0.5,1001,11,2,237,24
2019-12-06 06:00:00,11,6,0.0,2.0,2,1,62,03:17 PM,02:27 AM,09:26 AM,05:11 PM,9,8,11,8,38,97,89,0.2,1001,11,2,245,24
2019-12-06 09:00:00,11,6,0.0,2.0,2,2,62,03:17 PM,02:27 AM,09:26 AM,05:11 PM,7,5,8,5,31,100,90,0.6,1000,8,10,245,20
2019-12-06 12:00:00,11,6,0.0,2.0,2,2,62,03:17 PM,02:27 AM,09:26 AM,05:11 PM,7,5,8,5,35,100,91,1.1,1001,8,9,272,23
2019-12-06 15:00:00,11,6,0.0,2.0,2,2,62,03:17 PM,02:27 AM,09:26 AM,05:11 PM,6,5,9,5,38,89,86,0.3,1003,9,10,276,25
2019-12-06 18:00:00,11,6,0.0,2.0,2,2,62,03:17 PM,02:27 AM,09:26 AM,05:11 PM,5,3,6,3,35,80,91,0.2,1006,6,9,275,19
2019-12-06 21:00:00,11,6,0.0,2.0,2,1,62,03:17 PM,02:27 AM,09:26 AM,05:11 PM,5,2,6,2,30,47,95,0.0,1009,6,10,253,16
2019-12-07 00:00:00,9,4,0.0,3.9,2,1,70,03:32 PM,03:36 AM,09:28 AM,05:11 PM,6,4,7,4,30,52,90,0.1,1010,7,10,255,18
2019-12-07 03:00:00,9,4,0.0,3.9,2,1,70,03:32 PM,03:36 AM,09:28 AM,05:11 PM,5,3,6,3,26,59,96,0.0,1010,6,10,238,14
2019-12-07 06:00:00,9,4,0.0,3.9,2,1,70,03:32 PM,03:36 AM,09:28 AM,05:11 PM,4,2,5,2,29,69,96,0.0,1011,5,10,216,15
2019-12-07 09:00:00,9,4,0.0,3.9,2,2,70,03:32 PM,03:36 AM,09:28 AM,05:11 PM,5,2,6,2,31,100,94,0.0,1010,6,10,200,18
2019-12-07 12:00:00,9,4,0.0,3.9,2,2,70,03:32 PM,03:36 AM,09:28 AM,05:11 PM,6,5,8,5,28,95,88,0.0,1009,8,10,195,18
2019-12-07 15:00:00,9,4,0.0,3.9,2,3,70,03:32 PM,03:36 AM,09:28 AM,05:11 PM,7,6,9,6,36,27,87,0.0,1005,9,10,195,22
2019-12-07 18:00:00,9,4,0.0,3.9,2,2,70,03:32 PM,03:36 AM,09:28 AM,05:11 PM,8,5,9,5,51,65,91,0.0,1001,9,10,195,32
2019-12-07 21:00:00,9,4,0.0,3.9,2,1,70,03:32 PM,03:36 AM,09:28 AM,05:11 PM,10,4,8,4,62,100,93,1.6,994,4,9,199,41
2019-12-08 00:00:00,6,-1,0.0,2.0,1,1,77,03:48 PM,04:45 AM,09:29 AM,05:11 PM,7,6,10,6,55,89,80,1.1,994,10,9,278,38
2019-12-08 03:00:00,6,-1,0.0,2.0,1,1,77,03:48 PM,04:45 AM,09:29 AM,05:11 PM,4,2,6,2,49,65,84,0.4,997,6,10,254,29
2019-12-08 06:00:00,6,-1,0.0,2.0,1,1,77,03:48 PM,04:45 AM,09:29 AM,05:11 PM,3,1,5,1,50,55,82,0.4,997,5,10,245,29
2019-12-08 09:00:00,6,-1,0.0,2.0,1,2,77,03:48 PM,04:45 AM,09:29 AM,05:11 PM,2,0,5,0,49,83,82,0.5,996,5,10,243,31
2019-12-08 12:00:00,6,-1,0.0,2.0,1,2,77,03:48 PM,04:45 AM,09:29 AM,05:11 PM,2,0,6,0,51,100,80,0.9,995,6,10,249,37
2019-12-08 15:00:00,6,-1,0.0,2.0,1,1,77,03:48 PM,04:45 AM,09:29 AM,05:11 PM,3,-1,5,-1,51,100,87,0.8,991,5,10,243,37
2019-12-08 18:00:00,6,-1,0.0,2.0,1,1,77,03:48 PM,04:45 AM,09:29 AM,05:11 PM,4,1,5,1,50,100,91,0.1,986,1,10,237,35
2019-12-08 21:00:00,6,-1,0.0,2.0,1,1,77,03:48 PM,04:45 AM,09:29 AM,05:11 PM,3,-1,2,-1,60,100,88,1.3,987,-1,9,276,40
2019-12-09 00:00:00,6,-1,0.0,5.8,1,1,84,04:06 PM,05:56 AM,09:30 AM,05:10 PM,3,1,6,1,59,100,81,0.8,996,6,9,306,37
2019-12-09 03:00:00,6,-1,0.0,5.8,1,1,84,04:06 PM,05:56 AM,09:30 AM,05:10 PM,3,1,6,1,53,75,80,0.2,1002,6,10,310,31
2019-12-09 06:00:00,6,-1,0.0,5.8,1,1,84,04:06 PM,05:56 AM,09:30 AM,05:10 PM,2,-0,4,-0,37,2,84,0.0,1011,4,10,309,19
2019-12-09 09:00:00,6,-1,0.0,5.8,1,2,84,04:06 PM,05:56 AM,09:30 AM,05:10 PM,1,-1,3,-1,30,3,84,0.0,1016,3,10,304,15
2019-12-09 12:00:00,6,-1,0.0,5.8,1,3,84,04:06 PM,05:56 AM,09:30 AM,05:10 PM,2,3,6,3,20,11,76,0.0,1020,6,10,301,14
2019-12-09 15:00:00,6,-1,0.0,5.8,1,3,84,04:06 PM,05:56 AM,09:30 AM,05:10 PM,3,4,6,4,15,14,83,0.0,1021,6,10,229,9
2019-12-09 18:00:00,6,-1,0.0,5.8,1,2,84,04:06 PM,05:56 AM,09:30 AM,05:10 PM,2,0,3,0,24,9,93,0.0,1021,3,10,184,12
