date_time,Cobar_maxtempC,Cobar_mintempC,Cobar_totalSnow_cm,Cobar_sunHour,Cobar_uvIndex,Cobar_uvIndex,Cobar_moon_illumination,Cobar_moonrise,Cobar_moonset,Cobar_sunrise,Cobar_sunset,Cobar_DewPointC,Cobar_FeelsLikeC,Cobar_HeatIndexC,Cobar_WindChillC,Cobar_WindGustKmph,Cobar_cloudcover,Cobar_humidity,Cobar_precipMM,Cobar_pressure,Cobar_tempC,Cobar_visibility,Cobar_winddirDegree,Cobar_windspeedKmph
2019-12-04 00:00:00,29,15,0.0,14.1,6,1,48,11:46 AM,12:31 AM,05:04 AM,07:09 PM,2,17,17,17,23,1,36,0.0,1012,17,10,211,11
2019-12-04 03:00:00,29,15,0.0,14.1,6,1,48,11:46 AM,12:31 AM,05:04 AM,07:09 PM,3,16,16,16,25,0,42,0.0,1012,16,10,211,12
2019-12-04 06:00:00,29,15,0.0,14.1,6,1,48,11:46 AM,12:31 AM,05:04 AM,07:09 PM,4,17,17,17,22,0,44,0.0,1014,17,10,200,16
2019-12-04 09:00:00,29,15,0.0,14.1,6,6,48,11:46 AM,12:31 AM,05:04 AM,07:09 PM,1,22,21,22,24,0,27,0.0,1015,22,10,214,21
2019-12-04 12:00:00,29,15,0.0,14.1,6,7,48,11:46 AM,12:31 AM,05:04 AM,07:09 PM,-2,25,25,26,31,0,15,0.0,1014,26,10,230,27
2019-12-04 15:00:00,29,15,0.0,14.1,6,7,48,11:46 AM,12:31 AM,05:04 AM,07:09 PM,-2,27,27,29,34,0,14,0.0,1012,29,10,231,30
2019-12-04 18:00:00,29,15,0.0,14.1,6,1,48,11:46 AM,12:31 AM,05:04 AM,07:09 PM,-1,25,25,26,33,0,17,0.0,1012,26,10,224,22
2019-12-04 21:00:00,29,15,0.0,14.1,6,1,48,11:46 AM,12:31 AM,05:04 AM,07:09 PM,-0,22,21,22,26,0,23,0.0,1013,22,10,210,13
2019-12-05 00:00:00,34,16,0.0,14.1,8,1,55,12:40 PM,01:04 AM,05:04 AM,07:10 PM,1,18,18,18,11,0,32,0.0,1013,18,10,219,5
2019-12-05 03:00:00,34,16,0.0,14.1,8,1,55,12:40 PM,01:04 AM,05:04 AM,07:10 PM,1,16,16,16,6,0,35,0.0,1012,16,10,259,3
2019-12-05 06:00:00,34,16,0.0,14.1,8,1,55,12:40 PM,01:04 AM,05:04 AM,07:10 PM,1,21,21,21,10,0,26,0.0,1013,21,10,311,8
2019-12-05 09:00:00,34,16,0.0,14.1,8,7,55,12:40 PM,01:04 AM,05:04 AM,07:10 PM,2,26,26,28,18,0,19,0.0,1012,28,10,293,16
2019-12-05 12:00:00,34,16,0.0,14.1,8,8,55,12:40 PM,01:04 AM,05:04 AM,07:10 PM,1,30,30,32,29,2,14,0.0,1011,32,10,271,25
2019-12-05 15:00:00,34,16,0.0,14.1,8,8,55,12:40 PM,01:04 AM,05:04 AM,07:10 PM,-1,32,32,34,35,1,10,0.0,1008,34,10,269,31
