date_time,Colac_maxtempC,Colac_mintempC,Colac_totalSnow_cm,Colac_sunHour,Colac_uvIndex,Colac_uvIndex,Colac_moon_illumination,Colac_moonrise,Colac_moonset,Colac_sunrise,Colac_sunset,Colac_DewPointC,Colac_FeelsLikeC,Colac_HeatIndexC,Colac_WindChillC,Colac_WindGustKmph,Colac_cloudcover,Colac_humidity,Colac_precipMM,Colac_pressure,Colac_tempC,Colac_visibility,Colac_winddirDegree,Colac_windspeedKmph
2019-12-04 00:00:00,14,9,0.0,10.3,3,1,48,11:46 AM,12:51 AM,04:56 AM,07:36 PM,8,8,10,8,24,100,90,0.4,1009,10,10,268,15
2019-12-04 03:00:00,14,9,0.0,10.3,3,1,48,11:46 AM,12:51 AM,04:56 AM,07:36 PM,8,7,9,7,25,100,93,0.5,1009,9,10,272,15
2019-12-04 06:00:00,14,9,0.0,10.3,3,1,48,11:46 AM,12:51 AM,04:56 AM,07:36 PM,9,8,10,8,24,96,92,0.3,1010,10,10,273,16
2019-12-04 09:00:00,14,9,0.0,10.3,3,3,48,11:46 AM,12:51 AM,04:56 AM,07:36 PM,8,10,12,10,25,90,78,0.5,1011,12,10,273,20
2019-12-04 12:00:00,14,9,0.0,10.3,3,3,48,11:46 AM,12:51 AM,04:56 AM,07:36 PM,7,12,14,12,23,85,66,0.3,1011,14,10,271,20
2019-12-04 15:00:00,14,9,0.0,10.3,3,3,48,11:46 AM,12:51 AM,04:56 AM,07:36 PM,8,13,14,13,24,56,64,0.0,1010,14,10,268,21
2019-12-04 18:00:00,14,9,0.0,10.3,3,1,48,11:46 AM,12:51 AM,04:56 AM,07:36 PM,8,12,13,12,25,62,70,0.0,1011,13,10,266,19
2019-12-04 21:00:00,14,9,0.0,10.3,3,1,48,11:46 AM,12:51 AM,04:56 AM,07:36 PM,9,11,12,11,23,83,77,0.0,1011,12,10,272,17
2019-12-05 00:00:00,14,10,0.0,9.3,3,1,55,12:43 PM,01:20 AM,04:55 AM,07:37 PM,8,9,11,9,24,80,81,0.0,1009,11,10,282,16
2019-12-05 03:00:00,14,10,0.0,9.3,3,1,55,12:43 PM,01:20 AM,04:55 AM,07:37 PM,7,8,10,8,27,87,81,0.0,1008,10,10,280,18
2019-12-05 06:00:00,14,10,0.0,9.3,3,1,55,12:43 PM,01:20 AM,04:55 AM,07:37 PM,7,8,11,8,26,95,80,0.0,1008,11,10,281,19
2019-12-05 09:00:00,14,10,0.0,9.3,3,3,55,12:43 PM,01:20 AM,04:55 AM,07:37 PM,8,10,12,10,25,99,78,0.0,1008,12,10,282,19
2019-12-05 12:00:00,14,10,0.0,9.3,3,3,55,12:43 PM,01:20 AM,04:55 AM,07:37 PM,10,11,13,11,27,100,79,0.2,1008,13,10,278,20
2019-12-05 15:00:00,14,10,0.0,9.3,3,3,55,12:43 PM,01:20 AM,04:55 AM,07:37 PM,10,12,14,12,27,90,74,0.2,1008,14,10,268,22
2019-12-05 18:00:00,14,10,0.0,9.3,3,1,55,12:43 PM,01:20 AM,04:55 AM,07:37 PM,9,12,13,12,28,76,75,0.2,1009,13,10,260,20
2019-12-05 21:00:00,14,10,0.0,9.3,3,1,55,12:43 PM,01:20 AM,04:55 AM,07:37 PM,8,9,11,9,24,79,82,0.1,1010,11,10,260,15
2019-12-06 00:00:00,16,9,0.0,9.3,3,1,62,01:40 PM,01:47 AM,04:55 AM,07:38 PM,7,7,9,7,21,75,84,0.0,1010,9,10,267,13
2019-12-06 03:00:00,16,9,0.0,9.3,3,1,62,01:40 PM,01:47 AM,04:55 AM,07:38 PM,7,7,10,7,22,88,84,0.0,1010,10,10,270,14
2019-12-06 06:00:00,16,9,0.0,9.3,3,1,62,01:40 PM,01:47 AM,04:55 AM,07:38 PM,8,8,11,8,23,94,83,0.1,1010,11,10,268,16
2019-12-06 09:00:00,16,9,0.0,9.3,3,3,62,01:40 PM,01:47 AM,04:55 AM,07:38 PM,8,10,12,10,24,94,77,0.1,1011,12,10,264,18
2019-12-06 12:00:00,16,9,0.0,9.3,3,3,62,01:40 PM,01:47 AM,04:55 AM,07:38 PM,8,14,14,14,25,98,65,0.1,1012,14,10,256,21
2019-12-06 15:00:00,16,9,0.0,9.3,3,3,62,01:40 PM,01:47 AM,04:55 AM,07:38 PM,7,13,14,13,24,77,64,0.2,1012,14,10,252,21
2019-12-06 18:00:00,16,9,0.0,9.3,3,1,62,01:40 PM,01:47 AM,04:55 AM,07:38 PM,7,10,12,10,22,72,69,0.1,1014,12,10,248,18
2019-12-06 21:00:00,16,9,0.0,9.3,3,1,62,01:40 PM,01:47 AM,04:55 AM,07:38 PM,6,9,10,9,19,77,74,0.1,1016,10,10,252,13
2019-12-07 00:00:00,20,7,0.0,14.5,4,1,70,02:37 PM,02:12 AM,04:55 AM,07:39 PM,6,6,8,6,19,72,85,0.0,1016,8,10,255,11
2019-12-07 03:00:00,20,7,0.0,14.5,4,1,70,02:37 PM,02:12 AM,04:55 AM,07:39 PM,6,6,7,6,19,71,91,0.0,1016,7,10,264,10
2019-12-07 06:00:00,20,7,0.0,14.5,4,1,70,02:37 PM,02:12 AM,04:55 AM,07:39 PM,7,8,9,8,17,56,83,0.0,1017,9,10,262,11
2019-12-07 09:00:00,20,7,0.0,14.5,4,4,70,02:37 PM,02:12 AM,04:55 AM,07:39 PM,7,14,15,14,15,22,60,0.0,1017,15,10,258,13
2019-12-07 12:00:00,20,7,0.0,14.5,4,5,70,02:37 PM,02:12 AM,04:55 AM,07:39 PM,6,19,19,19,17,7,43,0.0,1017,19,10,252,15
2019-12-07 15:00:00,20,7,0.0,14.5,4,5,70,02:37 PM,02:12 AM,04:55 AM,07:39 PM,7,19,19,19,19,4,43,0.0,1017,19,10,239,17
2019-12-07 18:00:00,20,7,0.0,14.5,4,1,70,02:37 PM,02:12 AM,04:55 AM,07:39 PM,8,17,19,17,17,6,64,0.0,1018,17,10,225,13
2019-12-07 21:00:00,20,7,0.0,14.5,4,1,70,02:37 PM,02:12 AM,04:55 AM,07:39 PM,8,14,16,14,11,27,89,0.0,1020,14,5,220,6
2019-12-08 00:00:00,26,7,0.0,14.5,5,1,77,03:36 PM,02:38 AM,04:55 AM,07:40 PM,7,9,10,9,4,79,97,0.0,1020,9,1,212,2
2019-12-08 03:00:00,26,7,0.0,14.5,5,1,77,03:36 PM,02:38 AM,04:55 AM,07:40 PM,7,7,7,7,6,43,97,0.0,1019,7,1,143,3
2019-12-08 06:00:00,26,7,0.0,14.5,5,1,77,03:36 PM,02:38 AM,04:55 AM,07:40 PM,8,10,10,10,7,8,86,0.0,1020,10,7,85,5
2019-12-08 09:00:00,26,7,0.0,14.5,5,5,77,03:36 PM,02:38 AM,04:55 AM,07:40 PM,8,17,17,17,11,4,57,0.0,1019,17,10,69,9
2019-12-08 12:00:00,26,7,0.0,14.5,5,6,77,03:36 PM,02:38 AM,04:55 AM,07:40 PM,8,23,23,23,12,5,39,0.0,1018,23,10,50,10
2019-12-08 15:00:00,26,7,0.0,14.5,5,7,77,03:36 PM,02:38 AM,04:55 AM,07:40 PM,9,25,25,25,10,3,36,0.0,1017,25,10,54,9
2019-12-08 18:00:00,26,7,0.0,14.5,5,1,77,03:36 PM,02:38 AM,04:55 AM,07:40 PM,10,26,26,24,17,2,51,0.0,1016,24,10,79,10
2019-12-08 21:00:00,26,7,0.0,14.5,5,1,77,03:36 PM,02:38 AM,04:55 AM,07:40 PM,8,21,24,21,20,3,63,0.0,1016,21,10,88,10
2019-12-09 00:00:00,33,13,0.0,14.5,7,1,84,04:35 PM,03:05 AM,04:55 AM,07:41 PM,8,15,17,15,22,7,68,0.0,1015,16,10,82,10
2019-12-09 03:00:00,33,13,0.0,14.5,7,1,84,04:35 PM,03:05 AM,04:55 AM,07:41 PM,7,14,14,14,18,34,64,0.0,1012,14,10,69,9
2019-12-09 06:00:00,33,13,0.0,14.5,7,1,84,04:35 PM,03:05 AM,04:55 AM,07:41 PM,7,19,19,19,15,39,47,0.0,1013,19,10,250,7
2019-12-09 09:00:00,33,13,0.0,14.5,7,7,84,04:35 PM,03:05 AM,04:55 AM,07:41 PM,6,25,25,27,20,15,29,0.0,1013,27,10,339,15
2019-12-09 12:00:00,33,13,0.0,14.5,7,8,84,04:35 PM,03:05 AM,04:55 AM,07:41 PM,5,30,30,32,24,34,19,0.0,1012,32,10,329,19
2019-12-09 15:00:00,33,13,0.0,14.5,7,7,84,04:35 PM,03:05 AM,04:55 AM,07:41 PM,8,27,27,28,24,30,30,0.0,1011,28,10,262,19
2019-12-09 18:00:00,33,13,0.0,14.5,7,1,84,04:35 PM,03:05 AM,04:55 AM,07:41 PM,11,26,26,23,22,41,62,0.1,1014,23,10,243,17
2019-12-09 21:00:00,33,13,0.0,14.5,7,1,84,04:35 PM,03:05 AM,04:55 AM,07:41 PM,12,19,22,19,24,61,87,0.3,1016,19,10,230,17
2019-12-10 00:00:00,20,11,0.0,13.5,4,1,92,05:37 PM,03:35 AM,04:55 AM,07:42 PM,12,14,15,14,18,82,92,0.1,1016,14,10,216,12
2019-12-10 03:00:00,20,11,0.0,13.5,4,1,92,05:37 PM,03:35 AM,04:55 AM,07:42 PM,11,12,13,12,13,95,88,0.0,1017,13,10,218,9
2019-12-10 06:00:00,20,11,0.0,13.5,4,1,92,05:37 PM,03:35 AM,04:55 AM,07:42 PM,10,12,13,12,12,91,83,0.1,1019,13,10,215,9
2019-12-10 09:00:00,20,11,0.0,13.5,4,3,92,05:37 PM,03:35 AM,04:55 AM,07:42 PM,8,15,15,15,11,40,64,0.0,1020,15,10,211,9
2019-12-10 12:00:00,20,11,0.0,13.5,4,5,92,05:37 PM,03:35 AM,04:55 AM,07:42 PM,6,18,18,18,14,15,45,0.0,1020,18,10,209,12
2019-12-10 15:00:00,20,11,0.0,13.5,4,5,92,05:37 PM,03:35 AM,04:55 AM,07:42 PM,6,18,18,18,15,32,43,0.0,1019,18,10,202,13
2019-12-10 18:00:00,20,11,0.0,13.5,4,1,92,05:37 PM,03:35 AM,04:55 AM,07:42 PM,6,16,18,16,15,26,60,0.0,1020,16,10,187,12
2019-12-10 21:00:00,20,11,0.0,13.5,4,1,92,05:37 PM,03:35 AM,04:55 AM,07:42 PM,7,12,15,12,12,24,86,0.0,1021,12,5,176,8
2019-12-11 00:00:00,21,7,0.0,13.5,4,1,99,06:40 PM,04:09 AM,04:55 AM,07:42 PM,7,8,9,8,10,76,97,0.0,1020,8,1,184,5
2019-12-11 03:00:00,21,7,0.0,13.5,4,1,99,06:40 PM,04:09 AM,04:55 AM,07:42 PM,7,7,8,7,9,92,94,0.0,1019,8,7,196,5
2019-12-11 06:00:00,21,7,0.0,13.5,4,1,99,06:40 PM,04:09 AM,04:55 AM,07:42 PM,7,10,10,10,8,60,83,0.0,1019,10,10,192,5
2019-12-11 09:00:00,21,7,0.0,13.5,4,5,99,06:40 PM,04:09 AM,04:55 AM,07:42 PM,7,16,16,16,10,19,57,0.0,1019,16,10,189,8
2019-12-11 12:00:00,21,7,0.0,13.5,4,6,99,06:40 PM,04:09 AM,04:55 AM,07:42 PM,7,20,22,20,13,10,42,0.0,1018,20,10,192,12
2019-12-11 15:00:00,21,7,0.0,13.5,4,6,99,06:40 PM,04:09 AM,04:55 AM,07:42 PM,7,21,22,21,16,12,41,0.0,1017,21,10,201,14
2019-12-11 18:00:00,21,7,0.0,13.5,4,1,99,06:40 PM,04:09 AM,04:55 AM,07:42 PM,7,19,22,19,15,11,55,0.0,1018,19,10,207,11
2019-12-11 21:00:00,21,7,0.0,13.5,4,1,99,06:40 PM,04:09 AM,04:55 AM,07:42 PM,8,16,19,16,13,22,84,0.0,1019,16,5,221,7
2019-12-12 00:00:00,17,9,0.0,11.4,3,1,100,07:44 PM,04:48 AM,04:55 AM,07:43 PM,8,10,12,10,12,76,97,0.0,1018,11,1,250,6
2019-12-12 03:00:00,17,9,0.0,11.4,3,1,100,07:44 PM,04:48 AM,04:55 AM,07:43 PM,10,10,11,10,13,93,95,0.0,1017,11,7,247,8
2019-12-12 06:00:00,17,9,0.0,11.4,3,1,100,07:44 PM,04:48 AM,04:55 AM,07:43 PM,10,10,12,10,16,65,88,0.1,1018,12,10,234,11
2019-12-12 09:00:00,17,9,0.0,11.4,3,3,100,07:44 PM,04:48 AM,04:55 AM,07:43 PM,9,12,14,12,18,73,73,0.2,1019,14,10,233,15
2019-12-12 12:00:00,17,9,0.0,11.4,3,4,100,07:44 PM,04:48 AM,04:55 AM,07:43 PM,7,16,16,16,19,80,54,0.2,1019,16,9,237,16
2019-12-12 15:00:00,17,9,0.0,11.4,3,4,100,07:44 PM,04:48 AM,04:55 AM,07:43 PM,6,16,16,16,19,30,52,0.1,1018,16,10,230,17
2019-12-12 18:00:00,17,9,0.0,11.4,3,1,100,07:44 PM,04:48 AM,04:55 AM,07:43 PM,6,13,13,13,18,29,63,0.0,1019,13,10,222,13
2019-12-12 21:00:00,17,9,0.0,11.4,3,1,100,07:44 PM,04:48 AM,04:55 AM,07:43 PM,6,10,13,10,15,39,85,0.0,1021,11,10,228,9
2019-12-13 00:00:00,15,7,0.0,9.3,4,1,87,08:46 PM,05:35 AM,04:56 AM,07:44 PM,6,7,9,7,13,78,94,0.0,1020,8,5,242,7
2019-12-13 03:00:00,15,7,0.0,9.3,4,1,87,08:46 PM,05:35 AM,04:56 AM,07:44 PM,6,6,7,6,13,95,93,0.0,1019,7,7,255,6
2019-12-13 06:00:00,15,7,0.0,9.3,4,1,87,08:46 PM,05:35 AM,04:56 AM,07:44 PM,7,8,10,8,14,98,83,0.0,1018,10,10,261,10
2019-12-13 09:00:00,15,7,0.0,9.3,4,3,87,08:46 PM,05:35 AM,04:56 AM,07:44 PM,8,12,13,12,15,100,70,0.0,1018,13,10,260,13
2019-12-13 12:00:00,15,7,0.0,9.3,4,3,87,08:46 PM,05:35 AM,04:56 AM,07:44 PM,9,14,15,14,17,94,68,0.0,1017,15,10,252,14
2019-12-13 15:00:00,15,7,0.0,9.3,4,3,87,08:46 PM,05:35 AM,04:56 AM,07:44 PM,10,13,14,13,20,97,75,0.0,1016,14,10,251,16
2019-12-13 18:00:00,15,7,0.0,9.3,4,1,87,08:46 PM,05:35 AM,04:56 AM,07:44 PM,11,13,14,13,21,100,83,0.0,1016,14,10,256,15
2019-12-13 21:00:00,15,7,0.0,9.3,4,1,87,08:46 PM,05:35 AM,04:56 AM,07:44 PM,11,12,14,12,22,98,86,0.0,1016,14,10,258,15
2019-12-14 00:00:00,16,12,0.0,9.3,3,1,79,09:44 PM,06:28 AM,04:56 AM,07:45 PM,11,12,13,12,22,99,87,0.1,1015,13,10,260,15
2019-12-14 03:00:00,16,12,0.0,9.3,3,1,79,09:44 PM,06:28 AM,04:56 AM,07:45 PM,10,11,12,11,21,92,88,0.1,1014,12,10,258,14
2019-12-14 06:00:00,16,12,0.0,9.3,3,1,79,09:44 PM,06:28 AM,04:56 AM,07:45 PM,11,12,13,12,18,92,87,0.0,1015,13,10,263,13
2019-12-14 09:00:00,16,12,0.0,9.3,3,3,79,09:44 PM,06:28 AM,04:56 AM,07:45 PM,11,14,15,14,16,98,80,0.0,1015,15,10,272,13
2019-12-14 12:00:00,16,12,0.0,9.3,3,4,79,09:44 PM,06:28 AM,04:56 AM,07:45 PM,11,15,15,15,15,100,78,0.1,1015,15,10,260,13
2019-12-14 15:00:00,16,12,0.0,9.3,3,4,79,09:44 PM,06:28 AM,04:56 AM,07:45 PM,12,16,16,16,15,92,76,0.0,1014,16,10,248,13
2019-12-14 18:00:00,16,12,0.0,9.3,3,1,79,09:44 PM,06:28 AM,04:56 AM,07:45 PM,12,15,15,15,13,76,79,0.0,1014,15,10,247,11
2019-12-14 21:00:00,16,12,0.0,9.3,3,1,79,09:44 PM,06:28 AM,04:56 AM,07:45 PM,11,13,13,13,10,90,92,0.0,1014,13,3,246,7
2019-12-15 00:00:00,23,11,0.0,13.5,4,1,72,10:35 PM,07:30 AM,04:56 AM,07:45 PM,11,11,11,11,9,100,98,0.0,1012,11,0,281,5
2019-12-15 03:00:00,23,11,0.0,13.5,4,1,72,10:35 PM,07:30 AM,04:56 AM,07:45 PM,11,11,11,11,12,100,97,0.0,1010,11,1,288,8
2019-12-15 06:00:00,23,11,0.0,13.5,4,1,72,10:35 PM,07:30 AM,04:56 AM,07:45 PM,10,11,12,11,13,78,90,0.0,1010,12,7,285,10
2019-12-15 09:00:00,23,11,0.0,13.5,4,4,72,10:35 PM,07:30 AM,04:56 AM,07:45 PM,9,16,17,16,17,59,61,0.0,1010,17,10,283,14
2019-12-15 12:00:00,23,11,0.0,13.5,4,6,72,10:35 PM,07:30 AM,04:56 AM,07:45 PM,6,21,22,21,22,49,38,0.0,1009,21,10,271,19
2019-12-15 15:00:00,23,11,0.0,13.5,4,6,72,10:35 PM,07:30 AM,04:56 AM,07:45 PM,5,21,21,21,25,36,36,0.0,1008,21,10,257,20
2019-12-15 18:00:00,23,11,0.0,13.5,4,1,72,10:35 PM,07:30 AM,04:56 AM,07:45 PM,6,17,17,17,22,14,48,0.0,1009,17,10,246,15
2019-12-15 21:00:00,23,11,0.0,13.5,4,1,72,10:35 PM,07:30 AM,04:56 AM,07:45 PM,9,14,16,14,18,27,81,0.0,1011,14,5,241,10
2019-12-16 00:00:00,25,11,0.0,13.5,5,1,65,11:20 PM,08:36 AM,04:56 AM,07:46 PM,10,11,12,11,12,75,96,0.0,1011,11,2,235,6
2019-12-16 03:00:00,25,11,0.0,13.5,5,1,65,11:20 PM,08:36 AM,04:56 AM,07:46 PM,10,11,11,11,6,98,98,0.0,1012,11,1,258,4
2019-12-16 06:00:00,25,11,0.0,13.5,5,1,65,11:20 PM,08:36 AM,04:56 AM,07:46 PM,11,12,12,12,2,89,90,0.0,1013,12,7,240,1
2019-12-16 09:00:00,25,11,0.0,13.5,5,4,65,11:20 PM,08:36 AM,04:56 AM,07:46 PM,11,19,21,19,2,32,62,0.0,1015,19,10,233,1
2019-12-16 12:00:00,25,11,0.0,13.5,5,6,65,11:20 PM,08:36 AM,04:56 AM,07:46 PM,10,25,25,24,4,10,43,0.0,1015,24,10,248,3
2019-12-16 15:00:00,25,11,0.0,13.5,5,6,65,11:20 PM,08:36 AM,04:56 AM,07:46 PM,11,25,25,24,10,3,42,0.0,1015,24,10,226,9
2019-12-16 18:00:00,25,11,0.0,13.5,5,1,65,11:20 PM,08:36 AM,04:56 AM,07:46 PM,11,26,26,23,9,1,58,0.0,1016,23,10,152,6
2019-12-16 21:00:00,25,11,0.0,13.5,5,1,65,11:20 PM,08:36 AM,04:56 AM,07:46 PM,11,21,24,21,11,0,85,0.0,1017,21,5,91,5
2019-12-17 00:00:00,31,10,0.0,14.5,6,1,58,11:59 PM,09:46 AM,04:57 AM,07:47 PM,10,14,15,14,11,17,95,0.0,1017,14,2,85,5
2019-12-17 03:00:00,31,10,0.0,14.5,6,1,58,11:59 PM,09:46 AM,04:57 AM,07:47 PM,10,10,11,10,10,9,95,0.0,1017,11,2,91,5
2019-12-17 06:00:00,31,10,0.0,14.5,6,1,58,11:59 PM,09:46 AM,04:57 AM,07:47 PM,10,14,14,14,8,7,79,0.0,1018,14,7,84,5
2019-12-17 09:00:00,31,10,0.0,14.5,6,6,58,11:59 PM,09:46 AM,04:57 AM,07:47 PM,10,22,22,22,7,7,48,0.0,1019,22,10,65,6
2019-12-17 12:00:00,31,10,0.0,14.5,6,7,58,11:59 PM,09:46 AM,04:57 AM,07:47 PM,9,28,28,29,4,10,29,0.0,1018,29,10,179,3
2019-12-17 15:00:00,31,10,0.0,14.5,6,8,58,11:59 PM,09:46 AM,04:57 AM,07:47 PM,9,29,29,30,4,17,27,0.0,1017,30,10,145,4
2019-12-17 18:00:00,31,10,0.0,14.5,6,1,58,11:59 PM,09:46 AM,04:57 AM,07:47 PM,10,28,28,27,15,28,41,0.0,1018,27,10,105,9
