date_time,Cooktown_maxtempC,Cooktown_mintempC,Cooktown_totalSnow_cm,Cooktown_sunHour,Cooktown_uvIndex,Cooktown_uvIndex,Cooktown_moon_illumination,Cooktown_moonrise,Cooktown_moonset,Cooktown_sunrise,Cooktown_sunset,Cooktown_DewPointC,Cooktown_FeelsLikeC,Cooktown_HeatIndexC,Cooktown_WindChillC,Cooktown_WindGustKmph,Cooktown_cloudcover,Cooktown_humidity,Cooktown_precipMM,Cooktown_pressure,Cooktown_tempC,Cooktown_visibility,Cooktown_winddirDegree,Cooktown_windspeedKmph
2019-12-04 00:00:00,33,23,0.0,13.0,8,1,48,12:06 PM,12:14 AM,05:39 AM,06:39 PM,23,27,27,24,8,26,93,0.0,1009,24,5,114,4
2019-12-04 03:00:00,33,23,0.0,13.0,8,1,48,12:06 PM,12:14 AM,05:39 AM,06:39 PM,22,26,26,23,5,45,95,0.0,1009,23,2,150,2
2019-12-04 06:00:00,33,23,0.0,13.0,8,1,48,12:06 PM,12:14 AM,05:39 AM,06:39 PM,23,29,29,26,3,56,87,0.0,1010,26,7,240,2
2019-12-04 09:00:00,33,23,0.0,13.0,8,8,48,12:06 PM,12:14 AM,05:39 AM,06:39 PM,23,35,35,31,9,29,64,0.0,1011,31,10,144,8
2019-12-04 12:00:00,33,23,0.0,13.0,8,8,48,12:06 PM,12:14 AM,05:39 AM,06:39 PM,22,38,38,33,16,12,52,0.0,1010,33,10,73,14
2019-12-04 15:00:00,33,23,0.0,13.0,8,8,48,12:06 PM,12:14 AM,05:39 AM,06:39 PM,22,36,36,32,17,60,58,0.1,1008,32,10,76,14
2019-12-04 18:00:00,33,23,0.0,13.0,8,6,48,12:06 PM,12:14 AM,05:39 AM,06:39 PM,22,32,32,29,15,47,75,0.0,1009,29,10,80,10
2019-12-04 21:00:00,33,23,0.0,13.0,8,1,48,12:06 PM,12:14 AM,05:39 AM,06:39 PM,23,28,28,25,11,57,89,0.0,1011,25,10,76,6
2019-12-05 00:00:00,33,24,0.0,11.9,7,1,55,12:53 PM,12:52 AM,05:40 AM,06:39 PM,23,27,27,24,11,76,92,0.1,1011,24,10,57,5
2019-12-05 03:00:00,33,24,0.0,11.9,7,1,55,12:53 PM,12:52 AM,05:40 AM,06:39 PM,23,27,27,24,8,73,92,0.1,1010,24,10,236,4
