date_time,Cooma_maxtempC,Cooma_mintempC,Cooma_totalSnow_cm,Cooma_sunHour,Cooma_uvIndex,Cooma_uvIndex,Cooma_moon_illumination,Cooma_moonrise,Cooma_moonset,Cooma_sunrise,Cooma_sunset,Cooma_DewPointC,Cooma_FeelsLikeC,Cooma_HeatIndexC,Cooma_WindChillC,Cooma_WindGustKmph,Cooma_cloudcover,Cooma_humidity,Cooma_precipMM,Cooma_pressure,Cooma_tempC,Cooma_visibility,Cooma_winddirDegree,Cooma_windspeedKmph
2019-12-04 00:00:00,22,5,0.0,14.5,5,1,48,11:26 AM,12:25 AM,04:39 AM,07:08 PM,2,5,8,5,24,12,76,0.0,1008,7,10,283,13
2019-12-04 03:00:00,22,5,0.0,14.5,5,1,48,11:26 AM,12:25 AM,04:39 AM,07:08 PM,2,3,5,3,19,8,79,0.0,1008,5,10,293,9
2019-12-04 06:00:00,22,5,0.0,14.5,5,1,48,11:26 AM,12:25 AM,04:39 AM,07:08 PM,1,8,9,8,12,6,60,0.0,1009,9,10,289,8
2019-12-04 09:00:00,22,5,0.0,14.5,5,5,48,11:26 AM,12:25 AM,04:39 AM,07:08 PM,1,15,16,15,13,5,37,0.0,1009,16,10,275,12
2019-12-04 12:00:00,22,5,0.0,14.5,5,6,48,11:26 AM,12:25 AM,04:39 AM,07:08 PM,-1,21,21,21,21,4,24,0.0,1008,21,10,275,18
2019-12-04 15:00:00,22,5,0.0,14.5,5,6,48,11:26 AM,12:25 AM,04:39 AM,07:08 PM,-0,20,20,20,27,4,26,0.0,1007,20,10,277,23
2019-12-04 18:00:00,22,5,0.0,14.5,5,1,48,11:26 AM,12:25 AM,04:39 AM,07:08 PM,2,18,20,18,30,3,42,0.0,1009,18,10,279,20
2019-12-04 21:00:00,22,5,0.0,14.5,5,1,48,11:26 AM,12:25 AM,04:39 AM,07:08 PM,2,15,17,15,29,3,55,0.0,1011,15,10,288,16
2019-12-05 00:00:00,23,9,0.0,14.5,6,1,55,12:22 PM,12:55 AM,04:39 AM,07:09 PM,2,9,11,9,27,5,58,0.0,1010,11,10,296,14
2019-12-05 03:00:00,23,9,0.0,14.5,6,1,55,12:22 PM,12:55 AM,04:39 AM,07:09 PM,2,8,10,8,30,2,57,0.0,1009,10,10,299,15
