date_time,Coonamble_maxtempC,Coonamble_mintempC,Coonamble_totalSnow_cm,Coonamble_sunHour,Coonamble_uvIndex,Coonamble_uvIndex,Coonamble_moon_illumination,Coonamble_moonrise,Coonamble_moonset,Coonamble_sunrise,Coonamble_sunset,Coonamble_DewPointC,Coonamble_FeelsLikeC,Coonamble_HeatIndexC,Coonamble_WindChillC,Coonamble_WindGustKmph,Coonamble_cloudcover,Coonamble_humidity,Coonamble_precipMM,Coonamble_pressure,Coonamble_tempC,Coonamble_visibility,Coonamble_winddirDegree,Coonamble_windspeedKmph
2019-12-04 00:00:00,32,19,0.0,14.0,7,1,48,11:36 AM,12:20 AM,04:55 AM,06:57 PM,2,22,22,22,30,0,29,0.0,1011,22,10,221,15
2019-12-04 03:00:00,32,19,0.0,14.0,7,1,48,11:36 AM,12:20 AM,04:55 AM,06:57 PM,3,19,19,19,26,0,34,0.0,1011,19,10,205,12
2019-12-04 06:00:00,32,19,0.0,14.0,7,1,48,11:36 AM,12:20 AM,04:55 AM,06:57 PM,4,20,22,20,19,0,33,0.0,1013,20,10,192,13
2019-12-04 09:00:00,32,19,0.0,14.0,7,6,48,11:36 AM,12:20 AM,04:55 AM,06:57 PM,3,24,24,25,19,0,25,0.0,1014,25,10,208,17
2019-12-04 12:00:00,32,19,0.0,14.0,7,7,48,11:36 AM,12:20 AM,04:55 AM,06:57 PM,-0,27,27,29,26,0,16,0.0,1013,29,10,227,23
2019-12-04 15:00:00,32,19,0.0,14.0,7,8,48,11:36 AM,12:20 AM,04:55 AM,06:57 PM,-3,29,29,31,30,0,11,0.0,1011,31,10,230,26
2019-12-04 18:00:00,32,19,0.0,14.0,7,1,48,11:36 AM,12:20 AM,04:55 AM,06:57 PM,-3,27,27,29,34,0,13,0.0,1011,29,10,220,22
2019-12-04 21:00:00,32,19,0.0,14.0,7,1,48,11:36 AM,12:20 AM,04:55 AM,06:57 PM,-2,24,24,25,32,0,17,0.0,1012,25,10,204,17
2019-12-05 00:00:00,34,20,0.0,14.0,7,1,55,12:29 PM,12:52 AM,04:55 AM,06:58 PM,1,23,23,22,27,0,24,0.0,1013,22,10,192,13
2019-12-05 03:00:00,34,20,0.0,14.0,7,1,55,12:29 PM,12:52 AM,04:55 AM,06:58 PM,2,20,21,20,22,0,31,0.0,1012,20,10,181,11
