date_time,Cootamundra_maxtempC,Cootamundra_mintempC,Cootamundra_totalSnow_cm,Cootamundra_sunHour,Cootamundra_uvIndex,Cootamundra_uvIndex,Cootamundra_moon_illumination,Cootamundra_moonrise,Cootamundra_moonset,Cootamundra_sunrise,Cootamundra_sunset,Cootamundra_DewPointC,Cootamundra_FeelsLikeC,Cootamundra_HeatIndexC,Cootamundra_WindChillC,Cootamundra_WindGustKmph,Cootamundra_cloudcover,Cootamundra_humidity,Cootamundra_precipMM,Cootamundra_pressure,Cootamundra_tempC,Cootamundra_visibility,Cootamundra_winddirDegree,Cootamundra_windspeedKmph
2019-12-04 00:00:00,21,7,0.0,14.5,5,1,48,11:33 AM,12:27 AM,04:48 AM,07:08 PM,6,7,8,7,6,13,89,0.0,1010,8,10,261,3
2019-12-04 03:00:00,21,7,0.0,14.5,5,1,48,11:33 AM,12:27 AM,04:48 AM,07:08 PM,6,7,7,7,2,18,92,0.0,1010,7,10,294,1
2019-12-04 06:00:00,21,7,0.0,14.5,5,1,48,11:33 AM,12:27 AM,04:48 AM,07:08 PM,6,9,10,9,8,14,77,0.0,1011,10,10,267,6
2019-12-04 09:00:00,21,7,0.0,14.5,5,5,48,11:33 AM,12:27 AM,04:48 AM,07:08 PM,6,15,15,15,17,11,54,0.0,1011,15,10,257,15
2019-12-04 12:00:00,21,7,0.0,14.5,5,5,48,11:33 AM,12:27 AM,04:48 AM,07:08 PM,5,20,20,20,22,11,39,0.0,1010,20,10,262,19
2019-12-04 15:00:00,21,7,0.0,14.5,5,6,48,11:33 AM,12:27 AM,04:48 AM,07:08 PM,5,21,23,21,23,8,35,0.0,1008,21,10,256,20
2019-12-04 18:00:00,21,7,0.0,14.5,5,1,48,11:33 AM,12:27 AM,04:48 AM,07:08 PM,6,19,21,19,17,5,47,0.0,1010,19,10,224,11
2019-12-04 21:00:00,21,7,0.0,14.5,5,1,48,11:33 AM,12:27 AM,04:48 AM,07:08 PM,5,15,18,15,13,3,60,0.0,1011,15,10,170,6
2019-12-05 00:00:00,26,9,0.0,14.5,6,1,55,12:28 PM,12:58 AM,04:48 AM,07:09 PM,4,11,12,11,10,5,66,0.0,1011,11,10,128,5
2019-12-05 03:00:00,26,9,0.0,14.5,6,1,55,12:28 PM,12:58 AM,04:48 AM,07:09 PM,4,10,10,10,8,5,68,0.0,1011,10,10,110,4
