date_time,Cringila_maxtempC,Cringila_mintempC,Cringila_totalSnow_cm,Cringila_sunHour,Cringila_uvIndex,Cringila_uvIndex,Cringila_moon_illumination,Cringila_moonrise,Cringila_moonset,Cringila_sunrise,Cringila_sunset,Cringila_DewPointC,Cringila_FeelsLikeC,Cringila_HeatIndexC,Cringila_WindChillC,Cringila_WindGustKmph,Cringila_cloudcover,Cringila_humidity,Cringila_precipMM,Cringila_pressure,Cringila_tempC,Cringila_visibility,Cringila_winddirDegree,Cringila_windspeedKmph
2019-12-04 00:00:00,27,14,0.0,14.2,6,1,48,11:22 AM,12:15 AM,04:37 AM,06:56 PM,7,17,17,17,18,0,54,0.0,1007,17,10,254,11
2019-12-04 03:00:00,27,14,0.0,14.2,6,1,48,11:22 AM,12:15 AM,04:37 AM,06:56 PM,6,14,15,14,19,0,58,0.0,1008,15,10,253,12
2019-12-04 06:00:00,27,14,0.0,14.2,6,1,48,11:22 AM,12:15 AM,04:37 AM,06:56 PM,7,17,17,17,15,0,51,0.0,1009,17,10,265,11
2019-12-04 09:00:00,27,14,0.0,14.2,6,6,48,11:22 AM,12:15 AM,04:37 AM,06:56 PM,8,23,23,23,6,1,39,0.0,1009,23,10,212,5
2019-12-04 12:00:00,27,14,0.0,14.2,6,7,48,11:22 AM,12:15 AM,04:37 AM,06:56 PM,9,26,26,26,6,1,34,0.0,1008,26,10,150,5
2019-12-04 15:00:00,27,14,0.0,14.2,6,6,48,11:22 AM,12:15 AM,04:37 AM,06:56 PM,11,25,25,25,12,0,44,0.0,1007,25,10,113,10
2019-12-04 18:00:00,27,14,0.0,14.2,6,1,48,11:22 AM,12:15 AM,04:37 AM,06:56 PM,14,20,21,20,10,2,66,0.0,1009,20,10,74,8
2019-12-04 21:00:00,27,14,0.0,14.2,6,1,48,11:22 AM,12:15 AM,04:37 AM,06:56 PM,13,18,18,18,9,1,72,0.0,1011,18,10,237,6
2019-12-05 00:00:00,30,16,0.0,13.4,7,1,55,12:16 PM,12:46 AM,04:37 AM,06:57 PM,8,17,17,17,15,0,57,0.0,1010,17,10,306,9
2019-12-05 03:00:00,30,16,0.0,13.4,7,1,55,12:16 PM,12:46 AM,04:37 AM,06:57 PM,4,16,16,16,19,1,45,0.0,1009,16,10,281,10
2019-12-05 06:00:00,30,16,0.0,13.4,7,1,55,12:16 PM,12:46 AM,04:37 AM,06:57 PM,6,20,21,20,13,3,40,0.0,1009,20,10,278,9
2019-12-05 09:00:00,30,16,0.0,13.4,7,7,55,12:16 PM,12:46 AM,04:37 AM,06:57 PM,9,26,26,26,9,3,35,0.0,1009,26,10,292,8
2019-12-05 12:00:00,30,16,0.0,13.4,7,7,55,12:16 PM,12:46 AM,04:37 AM,06:57 PM,8,28,28,29,21,67,26,0.0,1006,29,10,280,17
