date_time,Dalby_maxtempC,Dalby_mintempC,Dalby_totalSnow_cm,Dalby_sunHour,Dalby_uvIndex,Dalby_uvIndex,Dalby_moon_illumination,Dalby_moonrise,Dalby_moonset,Dalby_sunrise,Dalby_sunset,Dalby_DewPointC,Dalby_FeelsLikeC,Dalby_HeatIndexC,Dalby_WindChillC,Dalby_WindGustKmph,Dalby_cloudcover,Dalby_humidity,Dalby_precipMM,Dalby_pressure,Dalby_tempC,Dalby_visibility,Dalby_winddirDegree,Dalby_windspeedKmph
2019-12-04 00:00:00,31,17,0.0,13.9,7,1,48,11:29 AM,12:03 AM,04:52 AM,06:37 PM,2,20,20,20,30,0,31,0.0,1011,20,10,204,14
2019-12-04 03:00:00,31,17,0.0,13.9,7,1,48,11:29 AM,12:03 AM,04:52 AM,06:37 PM,2,17,17,17,21,0,36,0.0,1011,17,10,190,10
2019-12-04 06:00:00,31,17,0.0,13.9,7,1,48,11:29 AM,12:03 AM,04:52 AM,06:37 PM,3,20,21,20,8,0,33,0.0,1013,20,10,176,5
2019-12-04 09:00:00,31,17,0.0,13.9,7,7,48,11:29 AM,12:03 AM,04:52 AM,06:37 PM,3,25,25,25,10,1,24,0.0,1013,25,10,211,8
2019-12-04 12:00:00,31,17,0.0,13.9,7,7,48,11:29 AM,12:03 AM,04:52 AM,06:37 PM,-0,28,28,30,17,1,15,0.0,1011,30,10,242,15
2019-12-04 15:00:00,31,17,0.0,13.9,7,8,48,11:29 AM,12:03 AM,04:52 AM,06:37 PM,-2,29,29,31,26,0,12,0.0,1009,31,10,245,23
2019-12-04 18:00:00,31,17,0.0,13.9,7,1,48,11:29 AM,12:03 AM,04:52 AM,06:37 PM,-1,32,32,30,33,0,16,0.0,1010,30,10,235,20
2019-12-04 21:00:00,31,17,0.0,13.9,7,1,48,11:29 AM,12:03 AM,04:52 AM,06:37 PM,-1,31,31,27,28,0,19,0.0,1012,27,10,226,14
2019-12-05 00:00:00,33,18,0.0,13.9,7,1,55,12:20 PM,12:37 AM,04:52 AM,06:38 PM,-1,22,23,22,24,0,23,0.0,1012,22,10,210,12
2019-12-05 03:00:00,33,18,0.0,13.9,7,1,55,12:20 PM,12:37 AM,04:52 AM,06:38 PM,-1,18,18,18,17,0,28,0.0,1012,18,10,115,8
2019-12-05 06:00:00,33,18,0.0,13.9,7,1,55,12:20 PM,12:37 AM,04:52 AM,06:38 PM,-1,21,21,21,9,0,24,0.0,1013,21,10,139,5
2019-12-05 09:00:00,33,18,0.0,13.9,7,7,55,12:20 PM,12:37 AM,04:52 AM,06:38 PM,-2,25,25,27,12,0,16,0.0,1013,27,10,204,10
2019-12-05 12:00:00,33,18,0.0,13.9,7,8,55,12:20 PM,12:37 AM,04:52 AM,06:38 PM,-4,29,29,32,21,0,10,0.0,1011,32,10,244,18
2019-12-05 15:00:00,33,18,0.0,13.9,7,8,55,12:20 PM,12:37 AM,04:52 AM,06:38 PM,-4,31,31,33,25,0,9,0.0,1009,33,10,252,22
2019-12-05 18:00:00,33,18,0.0,13.9,7,1,55,12:20 PM,12:37 AM,04:52 AM,06:38 PM,-2,33,33,31,28,0,14,0.0,1010,31,10,237,17
