date_time,Dampier_maxtempC,Dampier_mintempC,Dampier_totalSnow_cm,Dampier_sunHour,Dampier_uvIndex,Dampier_uvIndex,Dampier_moon_illumination,Dampier_moonrise,Dampier_moonset,Dampier_sunrise,Dampier_sunset,Dampier_DewPointC,Dampier_FeelsLikeC,Dampier_HeatIndexC,Dampier_WindChillC,Dampier_WindGustKmph,Dampier_cloudcover,Dampier_humidity,Dampier_precipMM,Dampier_pressure,Dampier_tempC,Dampier_visibility,Dampier_winddirDegree,Dampier_windspeedKmph
2019-12-04 00:00:00,38,26,0.0,13.2,9,1,48,11:59 AM,12:17 AM,05:24 AM,06:42 PM,14,32,32,29,39,0,44,0.0,1009,29,10,230,19
2019-12-04 03:00:00,38,26,0.0,13.2,9,1,48,11:59 AM,12:17 AM,05:24 AM,06:42 PM,12,26,26,26,28,0,41,0.0,1008,26,10,233,13
2019-12-04 06:00:00,38,26,0.0,13.2,9,1,48,11:59 AM,12:17 AM,05:24 AM,06:42 PM,11,29,29,29,23,0,33,0.0,1008,29,10,218,12
2019-12-04 09:00:00,38,26,0.0,13.2,9,9,48,11:59 AM,12:17 AM,05:24 AM,06:42 PM,12,35,35,36,15,0,24,0.0,1009,36,10,245,12
2019-12-04 12:00:00,38,26,0.0,13.2,9,9,48,11:59 AM,12:17 AM,05:24 AM,06:42 PM,13,37,37,37,26,0,24,0.0,1009,37,10,352,21
2019-12-04 15:00:00,38,26,0.0,13.2,9,8,48,11:59 AM,12:17 AM,05:24 AM,06:42 PM,15,35,35,35,30,0,31,0.0,1007,35,10,343,25
2019-12-04 18:00:00,38,26,0.0,13.2,9,1,48,11:59 AM,12:17 AM,05:24 AM,06:42 PM,17,32,32,31,35,0,44,0.0,1008,31,10,313,23
2019-12-04 21:00:00,38,26,0.0,13.2,9,1,48,11:59 AM,12:17 AM,05:24 AM,06:42 PM,19,30,30,28,35,0,59,0.0,1010,28,10,273,17
2019-12-05 00:00:00,35,26,0.0,13.2,8,1,55,12:48 PM,12:53 AM,05:24 AM,06:43 PM,19,28,28,27,27,0,64,0.0,1010,27,10,258,13
2019-12-05 03:00:00,35,26,0.0,13.2,8,1,55,12:48 PM,12:53 AM,05:24 AM,06:43 PM,18,27,27,26,21,1,62,0.0,1009,26,10,262,10
2019-12-05 06:00:00,35,26,0.0,13.2,8,1,55,12:48 PM,12:53 AM,05:24 AM,06:43 PM,17,29,29,28,15,4,51,0.0,1010,28,10,281,8
2019-12-05 09:00:00,35,26,0.0,13.2,8,8,55,12:48 PM,12:53 AM,05:24 AM,06:43 PM,16,34,34,33,16,4,35,0.0,1010,33,10,326,13
2019-12-05 12:00:00,35,26,0.0,13.2,8,8,55,12:48 PM,12:53 AM,05:24 AM,06:43 PM,16,36,36,35,29,3,33,0.0,1009,35,10,324,25
2019-12-05 15:00:00,35,26,0.0,13.2,8,8,55,12:48 PM,12:53 AM,05:24 AM,06:43 PM,17,35,35,34,32,3,38,0.0,1008,34,10,318,27
2019-12-05 18:00:00,35,26,0.0,13.2,8,1,55,12:48 PM,12:53 AM,05:24 AM,06:43 PM,19,32,32,31,29,3,49,0.0,1008,31,10,295,21
2019-12-05 21:00:00,35,26,0.0,13.2,8,1,55,12:48 PM,12:53 AM,05:24 AM,06:43 PM,20,30,30,28,29,3,62,0.0,1010,28,10,260,15
2019-12-06 00:00:00,34,25,0.0,13.2,8,1,62,01:37 PM,01:28 AM,05:24 AM,06:44 PM,19,28,28,27,28,4,63,0.0,1010,27,10,240,14
2019-12-06 03:00:00,34,25,0.0,13.2,8,1,62,01:37 PM,01:28 AM,05:24 AM,06:44 PM,18,27,27,26,19,6,62,0.0,1009,26,10,264,9
2019-12-06 06:00:00,34,25,0.0,13.2,8,1,62,01:37 PM,01:28 AM,05:24 AM,06:44 PM,18,29,29,27,15,8,59,0.0,1009,27,10,315,8
2019-12-06 09:00:00,34,25,0.0,13.2,8,8,62,01:37 PM,01:28 AM,05:24 AM,06:44 PM,19,34,34,32,16,9,46,0.0,1010,32,10,322,13
2019-12-06 12:00:00,34,25,0.0,13.2,8,8,62,01:37 PM,01:28 AM,05:24 AM,06:44 PM,18,35,35,34,27,6,39,0.0,1009,34,10,300,23
2019-12-06 15:00:00,34,25,0.0,13.2,8,8,62,01:37 PM,01:28 AM,05:24 AM,06:44 PM,18,35,35,33,32,3,42,0.0,1008,33,10,290,27
2019-12-06 18:00:00,34,25,0.0,13.2,8,1,62,01:37 PM,01:28 AM,05:24 AM,06:44 PM,19,32,32,30,32,2,51,0.0,1009,30,10,276,24
2019-12-06 21:00:00,34,25,0.0,13.2,8,1,62,01:37 PM,01:28 AM,05:24 AM,06:44 PM,19,29,29,27,35,3,64,0.0,1010,27,10,265,18
