date_time,Darwin_maxtempC,Darwin_mintempC,Darwin_totalSnow_cm,Darwin_sunHour,Darwin_uvIndex,Darwin_uvIndex,Darwin_moon_illumination,Darwin_moonrise,Darwin_moonset,Darwin_sunrise,Darwin_sunset,Darwin_DewPointC,Darwin_FeelsLikeC,Darwin_HeatIndexC,Darwin_WindChillC,Darwin_WindGustKmph,Darwin_cloudcover,Darwin_humidity,Darwin_precipMM,Darwin_pressure,Darwin_tempC,Darwin_visibility,Darwin_winddirDegree,Darwin_windspeedKmph
2019-12-04 00:00:00,33,28,0.0,7.7,7,1,48,12:38 PM,12:40 AM,06:12 AM,07:01 PM,24,33,33,28,25,77,79,5.1,1009,28,7,270,13
2019-12-04 03:00:00,33,28,0.0,7.7,7,1,48,12:38 PM,12:40 AM,06:12 AM,07:01 PM,24,33,33,29,13,75,77,5.8,1008,29,7,354,7
2019-12-04 06:00:00,33,28,0.0,7.7,7,1,48,12:38 PM,12:40 AM,06:12 AM,07:01 PM,24,33,33,28,4,70,77,0.2,1009,28,9,80,2
2019-12-04 09:00:00,33,28,0.0,7.7,7,7,48,12:38 PM,12:40 AM,06:12 AM,07:01 PM,23,36,36,31,4,75,63,0.7,1011,31,10,131,3
2019-12-04 12:00:00,33,28,0.0,7.7,7,7,48,12:38 PM,12:40 AM,06:12 AM,07:01 PM,23,38,38,33,8,74,56,0.1,1010,33,10,14,7
2019-12-04 15:00:00,33,28,0.0,7.7,7,7,48,12:38 PM,12:40 AM,06:12 AM,07:01 PM,24,37,37,31,23,80,65,0.2,1008,31,9,347,18
2019-12-04 18:00:00,33,28,0.0,7.7,7,8,48,12:38 PM,12:40 AM,06:12 AM,07:01 PM,24,36,36,31,18,13,65,0.0,1008,31,10,288,13
2019-12-04 21:00:00,33,28,0.0,7.7,7,1,48,12:38 PM,12:40 AM,06:12 AM,07:01 PM,25,35,35,30,30,7,74,0.0,1010,30,10,290,19
2019-12-05 00:00:00,33,28,0.0,7.7,8,1,55,01:25 PM,01:19 AM,06:12 AM,07:02 PM,25,34,34,29,20,12,76,0.0,1010,29,10,313,13
2019-12-05 03:00:00,33,28,0.0,7.7,8,1,55,01:25 PM,01:19 AM,06:12 AM,07:02 PM,24,33,33,29,14,14,75,0.0,1009,29,10,344,9
2019-12-05 06:00:00,33,28,0.0,7.7,8,1,55,01:25 PM,01:19 AM,06:12 AM,07:02 PM,24,32,32,28,10,72,76,1.2,1011,28,9,334,6
2019-12-05 09:00:00,33,28,0.0,7.7,8,7,55,01:25 PM,01:19 AM,06:12 AM,07:02 PM,23,36,36,31,10,73,61,1.3,1012,31,9,326,7
2019-12-05 12:00:00,33,28,0.0,7.7,8,7,55,01:25 PM,01:19 AM,06:12 AM,07:02 PM,23,37,37,32,13,84,58,0.6,1011,32,9,277,11
2019-12-05 15:00:00,33,28,0.0,7.7,8,7,55,01:25 PM,01:19 AM,06:12 AM,07:02 PM,24,38,38,33,22,89,59,0.7,1008,33,10,270,18
2019-12-05 18:00:00,33,28,0.0,7.7,8,8,55,01:25 PM,01:19 AM,06:12 AM,07:02 PM,24,36,36,31,31,6,69,0.0,1007,31,10,265,22
2019-12-05 21:00:00,33,28,0.0,7.7,8,1,55,01:25 PM,01:19 AM,06:12 AM,07:02 PM,24,35,35,30,33,4,73,0.0,1008,30,10,257,22
2019-12-06 00:00:00,33,28,0.0,10.3,8,1,62,02:10 PM,01:56 AM,06:12 AM,07:02 PM,24,34,34,29,21,2,76,0.0,1009,29,10,262,13
2019-12-06 03:00:00,33,28,0.0,10.3,8,1,62,02:10 PM,01:56 AM,06:12 AM,07:02 PM,24,33,33,29,12,0,74,0.0,1008,29,10,247,8
2019-12-06 06:00:00,33,28,0.0,10.3,8,1,62,02:10 PM,01:56 AM,06:12 AM,07:02 PM,24,32,32,28,4,76,76,0.1,1009,28,10,64,2
2019-12-06 09:00:00,33,28,0.0,10.3,8,7,62,02:10 PM,01:56 AM,06:12 AM,07:02 PM,24,37,37,31,13,80,67,0.1,1011,31,10,263,11
2019-12-06 12:00:00,33,28,0.0,10.3,8,8,62,02:10 PM,01:56 AM,06:12 AM,07:02 PM,23,38,38,33,15,3,59,0.0,1009,33,10,295,13
2019-12-06 15:00:00,33,28,0.0,10.3,8,8,62,02:10 PM,01:56 AM,06:12 AM,07:02 PM,23,38,38,33,25,6,58,0.0,1007,33,10,280,21
2019-12-06 18:00:00,33,28,0.0,10.3,8,8,62,02:10 PM,01:56 AM,06:12 AM,07:02 PM,24,36,36,31,24,6,65,0.0,1007,31,10,272,17
2019-12-06 21:00:00,33,28,0.0,10.3,8,1,62,02:10 PM,01:56 AM,06:12 AM,07:02 PM,24,35,35,30,37,5,70,0.0,1009,30,10,294,25
2019-12-07 00:00:00,33,28,0.0,11.6,8,1,70,02:56 PM,02:33 AM,06:13 AM,07:03 PM,24,34,34,29,21,3,73,0.0,1008,29,10,305,13
2019-12-07 03:00:00,33,28,0.0,11.6,8,1,70,02:56 PM,02:33 AM,06:13 AM,07:03 PM,23,33,33,29,13,4,72,0.0,1008,29,10,13,8
2019-12-07 06:00:00,33,28,0.0,11.6,8,1,70,02:56 PM,02:33 AM,06:13 AM,07:03 PM,23,32,32,28,16,5,72,0.0,1010,28,10,33,10
2019-12-07 09:00:00,33,28,0.0,11.6,8,8,70,02:56 PM,02:33 AM,06:13 AM,07:03 PM,23,35,35,31,10,3,61,0.0,1011,31,10,287,9
2019-12-07 12:00:00,33,28,0.0,11.6,8,8,70,02:56 PM,02:33 AM,06:13 AM,07:03 PM,24,39,39,33,17,2,58,0.0,1009,33,10,287,14
2019-12-07 15:00:00,33,28,0.0,11.6,8,8,70,02:56 PM,02:33 AM,06:13 AM,07:03 PM,24,39,39,33,25,9,61,0.0,1007,33,10,283,22
