date_time,Deloraine_maxtempC,Deloraine_mintempC,Deloraine_totalSnow_cm,Deloraine_sunHour,Deloraine_uvIndex,Deloraine_uvIndex,Deloraine_moon_illumination,Deloraine_moonrise,Deloraine_moonset,Deloraine_sunrise,Deloraine_sunset,Deloraine_DewPointC,Deloraine_FeelsLikeC,Deloraine_HeatIndexC,Deloraine_WindChillC,Deloraine_WindGustKmph,Deloraine_cloudcover,Deloraine_humidity,Deloraine_precipMM,Deloraine_pressure,Deloraine_tempC,Deloraine_visibility,Deloraine_winddirDegree,Deloraine_windspeedKmph
2019-12-04 00:00:00,17,2,0.0,13.5,4,1,48,11:29 AM,12:44 AM,04:33 AM,07:34 PM,-1,1,4,1,23,7,70,0.0,1000,4,10,296,12
2019-12-04 03:00:00,17,2,0.0,13.5,4,1,48,11:29 AM,12:44 AM,04:33 AM,07:34 PM,-2,-1,2,-1,21,9,76,0.0,1001,2,10,305,10
2019-12-04 06:00:00,17,2,0.0,13.5,4,1,48,11:29 AM,12:44 AM,04:33 AM,07:34 PM,-0,4,6,4,19,29,64,0.0,1002,6,10,292,14
2019-12-04 09:00:00,17,2,0.0,13.5,4,4,48,11:29 AM,12:44 AM,04:33 AM,07:34 PM,1,9,11,9,22,79,51,0.0,1002,11,10,285,19
2019-12-04 12:00:00,17,2,0.0,13.5,4,4,48,11:29 AM,12:44 AM,04:33 AM,07:34 PM,2,14,15,14,25,50,41,0.0,1002,15,10,283,22
2019-12-04 15:00:00,17,2,0.0,13.5,4,5,48,11:29 AM,12:44 AM,04:33 AM,07:34 PM,2,16,16,16,24,25,40,0.0,1001,16,10,283,21
2019-12-04 18:00:00,17,2,0.0,13.5,4,1,48,11:29 AM,12:44 AM,04:33 AM,07:34 PM,2,13,16,13,25,53,53,0.0,1002,13,10,289,18
2019-12-04 21:00:00,17,2,0.0,13.5,4,1,48,11:29 AM,12:44 AM,04:33 AM,07:34 PM,3,9,11,9,24,79,62,0.0,1002,10,10,308,14
2019-12-05 00:00:00,16,7,0.0,9.4,3,1,55,12:27 PM,01:12 AM,04:33 AM,07:35 PM,3,7,9,7,24,52,67,0.0,1001,9,10,319,13
2019-12-05 03:00:00,16,7,0.0,9.4,3,1,55,12:27 PM,01:12 AM,04:33 AM,07:35 PM,4,6,8,6,23,56,78,0.0,1000,8,10,334,12
2019-12-05 06:00:00,16,7,0.0,9.4,3,1,55,12:27 PM,01:12 AM,04:33 AM,07:35 PM,6,9,11,9,20,81,72,0.0,999,11,10,320,14
2019-12-05 09:00:00,16,7,0.0,9.4,3,3,55,12:27 PM,01:12 AM,04:33 AM,07:35 PM,6,13,14,13,21,84,60,0.1,999,14,10,301,18
2019-12-05 12:00:00,16,7,0.0,9.4,3,4,55,12:27 PM,01:12 AM,04:33 AM,07:35 PM,7,15,15,15,22,94,57,0.2,998,15,10,293,19
2019-12-05 15:00:00,16,7,0.0,9.4,3,4,55,12:27 PM,01:12 AM,04:33 AM,07:35 PM,6,16,16,16,25,77,53,0.3,998,16,10,283,21
2019-12-05 18:00:00,16,7,0.0,9.4,3,1,55,12:27 PM,01:12 AM,04:33 AM,07:35 PM,4,12,13,12,23,75,55,0.1,998,13,10,289,16
2019-12-05 21:00:00,16,7,0.0,9.4,3,1,55,12:27 PM,01:12 AM,04:33 AM,07:35 PM,3,7,9,7,23,38,67,0.0,1000,9,10,313,12
2019-12-06 00:00:00,16,6,0.0,13.5,4,1,62,01:26 PM,01:37 AM,04:33 AM,07:36 PM,3,5,7,5,24,14,75,0.0,1000,7,10,313,12
2019-12-06 03:00:00,16,6,0.0,13.5,4,1,62,01:26 PM,01:37 AM,04:33 AM,07:36 PM,3,4,7,4,26,12,75,0.0,999,7,10,300,13
2019-12-06 06:00:00,16,6,0.0,13.5,4,1,62,01:26 PM,01:37 AM,04:33 AM,07:36 PM,3,8,10,8,26,22,62,0.0,1000,10,10,282,19
2019-12-06 09:00:00,16,6,0.0,13.5,4,4,62,01:26 PM,01:37 AM,04:33 AM,07:36 PM,3,12,14,12,26,39,46,0.0,1000,14,10,270,22
2019-12-06 12:00:00,16,6,0.0,13.5,4,5,62,01:26 PM,01:37 AM,04:33 AM,07:36 PM,2,15,16,15,28,44,41,0.0,1001,16,10,266,24
2019-12-06 15:00:00,16,6,0.0,13.5,4,4,62,01:26 PM,01:37 AM,04:33 AM,07:36 PM,3,13,14,13,27,69,46,0.0,1002,14,10,266,24
2019-12-06 18:00:00,16,6,0.0,13.5,4,1,62,01:26 PM,01:37 AM,04:33 AM,07:36 PM,2,8,11,8,27,56,54,0.0,1004,11,10,275,19
2019-12-06 21:00:00,16,6,0.0,13.5,4,1,62,01:26 PM,01:37 AM,04:33 AM,07:36 PM,1,5,8,5,29,43,65,0.0,1006,8,10,298,16
