date_time,Deniliquin_maxtempC,Deniliquin_mintempC,Deniliquin_totalSnow_cm,Deniliquin_sunHour,Deniliquin_uvIndex,Deniliquin_uvIndex,Deniliquin_moon_illumination,Deniliquin_moonrise,Deniliquin_moonset,Deniliquin_sunrise,Deniliquin_sunset,Deniliquin_DewPointC,Deniliquin_FeelsLikeC,Deniliquin_HeatIndexC,Deniliquin_WindChillC,Deniliquin_WindGustKmph,Deniliquin_cloudcover,Deniliquin_humidity,Deniliquin_precipMM,Deniliquin_pressure,Deniliquin_tempC,Deniliquin_visibility,Deniliquin_winddirDegree,Deniliquin_windspeedKmph
2019-12-04 00:00:00,25,10,0.0,14.5,6,1,48,11:45 AM,12:41 AM,04:58 AM,07:23 PM,6,11,13,11,31,0,64,0.0,1012,13,10,234,19
2019-12-04 03:00:00,25,10,0.0,14.5,6,1,48,11:45 AM,12:41 AM,04:58 AM,07:23 PM,6,9,11,9,24,7,73,0.0,1012,11,10,239,15
2019-12-04 06:00:00,25,10,0.0,14.5,6,1,48,11:45 AM,12:41 AM,04:58 AM,07:23 PM,6,10,12,10,21,36,66,0.0,1013,12,10,243,16
2019-12-04 09:00:00,25,10,0.0,14.5,6,5,48,11:45 AM,12:41 AM,04:58 AM,07:23 PM,4,16,17,16,20,16,45,0.0,1014,17,10,247,17
2019-12-04 12:00:00,25,10,0.0,14.5,6,6,48,11:45 AM,12:41 AM,04:58 AM,07:23 PM,3,22,22,22,23,3,28,0.0,1013,22,10,253,21
2019-12-04 15:00:00,25,10,0.0,14.5,6,6,48,11:45 AM,12:41 AM,04:58 AM,07:23 PM,3,24,24,25,27,3,24,0.0,1010,25,10,251,24
2019-12-04 18:00:00,25,10,0.0,14.5,6,1,48,11:45 AM,12:41 AM,04:58 AM,07:23 PM,3,24,24,23,26,1,27,0.0,1010,23,10,250,18
2019-12-04 21:00:00,25,10,0.0,14.5,6,1,48,11:45 AM,12:41 AM,04:58 AM,07:23 PM,4,20,20,20,24,3,37,0.0,1011,20,10,247,12
2019-12-05 00:00:00,29,13,0.0,14.5,6,1,55,12:40 PM,01:11 AM,04:58 AM,07:24 PM,7,17,17,17,23,5,53,0.0,1011,17,10,251,11
2019-12-05 03:00:00,29,13,0.0,14.5,6,1,55,12:40 PM,01:11 AM,04:58 AM,07:24 PM,7,14,14,14,20,3,64,0.0,1010,14,10,265,10
2019-12-05 06:00:00,29,13,0.0,14.5,6,1,55,12:40 PM,01:11 AM,04:58 AM,07:24 PM,6,15,15,15,21,2,58,0.0,1011,15,10,275,15
2019-12-05 09:00:00,29,13,0.0,14.5,6,6,55,12:40 PM,01:11 AM,04:58 AM,07:24 PM,5,20,21,20,25,4,38,0.0,1011,20,10,273,22
2019-12-05 12:00:00,29,13,0.0,14.5,6,7,55,12:40 PM,01:11 AM,04:58 AM,07:24 PM,4,25,25,26,30,6,24,0.0,1009,26,10,266,26
2019-12-05 15:00:00,29,13,0.0,14.5,6,7,55,12:40 PM,01:11 AM,04:58 AM,07:24 PM,4,27,27,29,34,6,21,0.0,1007,29,10,256,30
2019-12-05 18:00:00,29,13,0.0,14.5,6,1,55,12:40 PM,01:11 AM,04:58 AM,07:24 PM,5,25,25,26,34,7,27,0.0,1007,26,10,245,24
2019-12-05 21:00:00,29,13,0.0,14.5,6,1,55,12:40 PM,01:11 AM,04:58 AM,07:24 PM,7,25,25,24,32,7,42,0.0,1009,24,10,228,20
2019-12-06 00:00:00,27,12,0.0,14.5,6,1,62,01:36 PM,01:40 AM,04:58 AM,07:25 PM,8,17,18,17,25,10,60,0.0,1010,17,10,207,15
2019-12-06 03:00:00,27,12,0.0,14.5,6,1,62,01:36 PM,01:40 AM,04:58 AM,07:25 PM,8,12,13,12,17,70,71,0.0,1010,13,10,205,10
2019-12-06 06:00:00,27,12,0.0,14.5,6,1,62,01:36 PM,01:40 AM,04:58 AM,07:25 PM,7,13,13,13,14,54,66,0.0,1011,13,10,218,11
2019-12-06 09:00:00,27,12,0.0,14.5,6,5,62,01:36 PM,01:40 AM,04:58 AM,07:25 PM,5,19,20,19,17,60,43,0.0,1012,19,10,225,15
2019-12-06 12:00:00,27,12,0.0,14.5,6,5,62,01:36 PM,01:40 AM,04:58 AM,07:25 PM,3,24,24,25,23,27,25,0.0,1011,25,10,232,20
2019-12-06 15:00:00,27,12,0.0,14.5,6,7,62,01:36 PM,01:40 AM,04:58 AM,07:25 PM,2,25,25,27,28,3,20,0.0,1010,27,10,233,24
2019-12-06 18:00:00,27,12,0.0,14.5,6,1,62,01:36 PM,01:40 AM,04:58 AM,07:25 PM,3,24,24,24,30,4,26,0.0,1011,24,10,232,22
2019-12-06 21:00:00,27,12,0.0,14.5,6,1,62,01:36 PM,01:40 AM,04:58 AM,07:25 PM,5,19,20,19,27,1,39,0.0,1013,19,10,205,17
2019-12-07 00:00:00,29,11,0.0,14.5,6,1,70,02:31 PM,02:06 AM,04:58 AM,07:26 PM,6,14,15,14,23,0,54,0.0,1014,15,10,185,14
2019-12-07 03:00:00,29,11,0.0,14.5,6,1,70,02:31 PM,02:06 AM,04:58 AM,07:26 PM,5,10,12,10,21,3,65,0.0,1015,12,10,190,13
