date_time,Denmark_maxtempC,Denmark_mintempC,Denmark_totalSnow_cm,Denmark_sunHour,Denmark_uvIndex,Denmark_uvIndex,Denmark_moon_illumination,Denmark_moonrise,Denmark_moonset,Denmark_sunrise,Denmark_sunset,Denmark_DewPointC,Denmark_FeelsLikeC,Denmark_HeatIndexC,Denmark_WindChillC,Denmark_WindGustKmph,Denmark_cloudcover,Denmark_humidity,Denmark_precipMM,Denmark_pressure,Denmark_tempC,Denmark_visibility,Denmark_winddirDegree,Denmark_windspeedKmph
2019-12-04 00:00:00,7,6,0.0,5.8,2,1,48,02:32 PM,No moonset,09:19 AM,04:40 PM,6,3,6,3,41,88,91,0.0,1018,5,10,275,27
2019-12-04 03:00:00,7,6,0.0,5.8,2,1,48,02:32 PM,No moonset,09:19 AM,04:40 PM,6,3,7,3,40,100,89,0.1,1017,7,10,272,26
2019-12-04 06:00:00,7,6,0.0,5.8,2,2,48,02:32 PM,No moonset,09:19 AM,04:40 PM,5,3,7,3,38,85,85,0.2,1017,7,5,270,26
2019-12-04 09:00:00,7,6,0.0,5.8,2,2,48,02:32 PM,No moonset,09:19 AM,04:40 PM,4,3,7,3,34,76,83,0.1,1017,7,7,263,23
2019-12-04 12:00:00,7,6,0.0,5.8,2,2,48,02:32 PM,No moonset,09:19 AM,04:40 PM,5,4,7,4,30,48,83,0.0,1018,7,10,255,21
2019-12-04 15:00:00,7,6,0.0,5.8,2,3,48,02:32 PM,No moonset,09:19 AM,04:40 PM,5,4,7,4,30,24,86,0.0,1018,7,10,242,20
2019-12-04 18:00:00,7,6,0.0,5.8,2,3,48,02:32 PM,No moonset,09:19 AM,04:40 PM,5,3,7,3,33,25,90,0.0,1018,7,10,242,22
2019-12-04 21:00:00,7,6,0.0,5.8,2,1,48,02:32 PM,No moonset,09:19 AM,04:40 PM,5,2,6,2,38,31,91,0.0,1018,6,10,240,25
2019-12-05 00:00:00,7,-1,0.0,1.8,3,1,55,02:46 PM,12:53 AM,09:20 AM,04:40 PM,5,2,7,2,41,35,91,0.0,1017,7,10,240,28
2019-12-05 03:00:00,7,-1,0.0,1.8,3,1,55,02:46 PM,12:53 AM,09:20 AM,04:40 PM,5,2,7,2,42,60,91,0.0,1016,7,10,248,29
