date_time,Derby_maxtempC,Derby_mintempC,Derby_totalSnow_cm,Derby_sunHour,Derby_uvIndex,Derby_uvIndex,Derby_moon_illumination,Derby_moonrise,Derby_moonset,Derby_sunrise,Derby_sunset,Derby_DewPointC,Derby_FeelsLikeC,Derby_HeatIndexC,Derby_WindChillC,Derby_WindGustKmph,Derby_cloudcover,Derby_humidity,Derby_precipMM,Derby_pressure,Derby_tempC,Derby_visibility,Derby_winddirDegree,Derby_windspeedKmph
2019-12-04 00:00:00,7,3,0.0,5.8,3,1,48,02:29 PM,12:05 AM,09:01 AM,05:11 PM,2,1,4,1,20,1,87,0.0,1022,4,10,168,10
2019-12-04 03:00:00,7,3,0.0,5.8,3,1,48,02:29 PM,12:05 AM,09:01 AM,05:11 PM,1,1,4,1,25,0,86,0.0,1019,4,10,157,12
2019-12-04 06:00:00,7,3,0.0,5.8,3,2,48,02:29 PM,12:05 AM,09:01 AM,05:11 PM,1,1,3,1,15,13,87,0.0,1019,3,10,163,7
2019-12-04 09:00:00,7,3,0.0,5.8,3,2,48,02:29 PM,12:05 AM,09:01 AM,05:11 PM,2,2,4,2,19,29,87,0.0,1019,4,10,157,10
2019-12-04 12:00:00,7,3,0.0,5.8,3,3,48,02:29 PM,12:05 AM,09:01 AM,05:11 PM,4,7,7,7,7,11,79,0.0,1019,7,10,187,5
2019-12-04 15:00:00,7,3,0.0,5.8,3,3,48,02:29 PM,12:05 AM,09:01 AM,05:11 PM,4,6,7,6,9,30,84,0.0,1019,7,10,219,5
2019-12-04 18:00:00,7,3,0.0,5.8,3,1,48,02:29 PM,12:05 AM,09:01 AM,05:11 PM,2,3,5,3,12,69,86,0.0,1021,5,10,239,6
2019-12-04 21:00:00,7,3,0.0,5.8,3,1,48,02:29 PM,12:05 AM,09:01 AM,05:11 PM,3,2,4,2,17,43,88,0.0,1021,4,10,205,8
2019-12-05 00:00:00,9,4,0.0,2.0,2,1,55,02:47 PM,01:11 AM,09:02 AM,05:11 PM,3,2,5,2,20,85,90,0.0,1022,5,10,208,10
2019-12-05 03:00:00,9,4,0.0,2.0,2,1,55,02:47 PM,01:11 AM,09:02 AM,05:11 PM,5,4,7,4,19,87,92,0.1,1021,7,10,235,11
2019-12-05 06:00:00,9,4,0.0,2.0,2,2,55,02:47 PM,01:11 AM,09:02 AM,05:11 PM,4,4,6,4,22,73,85,0.1,1022,6,10,260,11
2019-12-05 09:00:00,9,4,0.0,2.0,2,3,55,02:47 PM,01:11 AM,09:02 AM,05:11 PM,4,3,6,3,30,18,88,0.0,1021,6,10,224,16
2019-12-05 12:00:00,9,4,0.0,2.0,2,2,55,02:47 PM,01:11 AM,09:02 AM,05:11 PM,6,6,9,6,39,98,82,0.0,1020,9,10,236,27
2019-12-05 15:00:00,9,4,0.0,2.0,2,2,55,02:47 PM,01:11 AM,09:02 AM,05:11 PM,6,5,9,5,47,94,83,0.0,1017,9,10,229,31
2019-12-05 18:00:00,9,4,0.0,2.0,2,2,55,02:47 PM,01:11 AM,09:02 AM,05:11 PM,7,6,10,6,54,100,85,0.0,1016,6,10,232,36
2019-12-05 21:00:00,9,4,0.0,2.0,2,1,55,02:47 PM,01:11 AM,09:02 AM,05:11 PM,9,4,7,4,57,100,91,0.1,1014,4,10,243,36
