date_time,Donnybrook_maxtempC,Donnybrook_mintempC,Donnybrook_totalSnow_cm,Donnybrook_sunHour,Donnybrook_uvIndex,Donnybrook_uvIndex,Donnybrook_moon_illumination,Donnybrook_moonrise,Donnybrook_moonset,Donnybrook_sunrise,Donnybrook_sunset,Donnybrook_DewPointC,Donnybrook_FeelsLikeC,Donnybrook_HeatIndexC,Donnybrook_WindChillC,Donnybrook_WindGustKmph,Donnybrook_cloudcover,Donnybrook_humidity,Donnybrook_precipMM,Donnybrook_pressure,Donnybrook_tempC,Donnybrook_visibility,Donnybrook_winddirDegree,Donnybrook_windspeedKmph
2019-12-04 00:00:00,32,19,0.0,14.5,7,1,48,11:48 AM,12:37 AM,04:59 AM,07:14 PM,11,22,23,22,27,33,52,0.0,1012,22,10,158,13
2019-12-04 03:00:00,32,19,0.0,14.5,7,1,48,11:48 AM,12:37 AM,04:59 AM,07:14 PM,11,20,20,20,24,71,55,0.0,1011,20,10,159,12
2019-12-04 06:00:00,32,19,0.0,14.5,7,1,48,11:48 AM,12:37 AM,04:59 AM,07:14 PM,11,21,21,21,19,19,54,0.0,1012,21,10,153,10
2019-12-04 09:00:00,32,19,0.0,14.5,7,7,48,11:48 AM,12:37 AM,04:59 AM,07:14 PM,12,28,28,28,17,4,38,0.0,1013,28,10,191,12
2019-12-04 12:00:00,32,19,0.0,14.5,7,8,48,11:48 AM,12:37 AM,04:59 AM,07:14 PM,12,31,31,32,28,3,30,0.0,1013,32,10,244,19
2019-12-04 15:00:00,32,19,0.0,14.5,7,8,48,11:48 AM,12:37 AM,04:59 AM,07:14 PM,13,31,31,32,44,1,32,0.0,1012,32,10,233,27
2019-12-04 18:00:00,32,19,0.0,14.5,7,1,48,11:48 AM,12:37 AM,04:59 AM,07:14 PM,11,31,31,30,49,0,34,0.0,1013,30,10,192,27
2019-12-04 21:00:00,32,19,0.0,14.5,7,1,48,11:48 AM,12:37 AM,04:59 AM,07:14 PM,10,31,31,27,41,0,46,0.0,1015,27,10,156,20
2019-12-05 00:00:00,32,16,0.0,14.5,7,1,55,12:43 PM,01:08 AM,04:59 AM,07:15 PM,11,24,24,23,33,0,57,0.0,1017,23,10,127,17
2019-12-05 03:00:00,32,16,0.0,14.5,7,1,55,12:43 PM,01:08 AM,04:59 AM,07:15 PM,11,17,17,17,30,1,68,0.0,1016,17,10,123,15
2019-12-05 06:00:00,32,16,0.0,14.5,7,1,55,12:43 PM,01:08 AM,04:59 AM,07:15 PM,12,19,19,19,24,2,66,0.0,1016,19,10,128,14
2019-12-05 09:00:00,32,16,0.0,14.5,7,7,55,12:43 PM,01:08 AM,04:59 AM,07:15 PM,12,27,27,27,13,2,42,0.0,1016,27,10,134,11
2019-12-05 12:00:00,32,16,0.0,14.5,7,8,55,12:43 PM,01:08 AM,04:59 AM,07:15 PM,13,31,31,32,17,2,31,0.0,1015,32,10,178,11
2019-12-05 15:00:00,32,16,0.0,14.5,7,8,55,12:43 PM,01:08 AM,04:59 AM,07:15 PM,13,31,31,32,40,1,32,0.0,1013,32,10,235,23
2019-12-05 18:00:00,32,16,0.0,14.5,7,1,55,12:43 PM,01:08 AM,04:59 AM,07:15 PM,13,30,30,30,49,0,35,0.0,1012,30,10,198,26
2019-12-05 21:00:00,32,16,0.0,14.5,7,1,55,12:43 PM,01:08 AM,04:59 AM,07:15 PM,13,26,26,26,50,1,45,0.0,1012,26,10,140,24
2019-12-06 00:00:00,32,19,0.0,14.5,7,1,62,01:37 PM,01:37 AM,04:59 AM,07:16 PM,13,24,24,23,41,2,52,0.0,1012,23,10,102,21
2019-12-06 03:00:00,32,19,0.0,14.5,7,1,62,01:37 PM,01:37 AM,04:59 AM,07:16 PM,11,21,21,21,34,3,52,0.0,1011,21,10,91,17
2019-12-06 06:00:00,32,19,0.0,14.5,7,1,62,01:37 PM,01:37 AM,04:59 AM,07:16 PM,10,23,23,23,37,4,44,0.0,1010,23,10,81,20
2019-12-06 09:00:00,32,19,0.0,14.5,7,7,62,01:37 PM,01:37 AM,04:59 AM,07:16 PM,12,28,28,29,30,8,36,0.0,1009,29,10,153,20
2019-12-06 12:00:00,32,19,0.0,14.5,7,8,62,01:37 PM,01:37 AM,04:59 AM,07:16 PM,14,31,31,31,24,12,34,0.0,1007,31,10,318,17
2019-12-06 15:00:00,32,19,0.0,14.5,7,7,62,01:37 PM,01:37 AM,04:59 AM,07:16 PM,15,30,30,30,28,6,41,0.0,1005,30,10,281,20
2019-12-06 18:00:00,32,19,0.0,14.5,7,1,62,01:37 PM,01:37 AM,04:59 AM,07:16 PM,15,26,26,25,29,11,55,0.0,1006,25,10,259,18
2019-12-06 21:00:00,32,19,0.0,14.5,7,1,62,01:37 PM,01:37 AM,04:59 AM,07:16 PM,14,20,23,20,21,19,68,0.0,1007,20,10,253,10
2019-12-07 00:00:00,23,15,0.0,12.3,6,1,70,02:31 PM,02:05 AM,04:59 AM,07:17 PM,14,18,18,18,14,11,78,0.0,1007,18,10,172,6
2019-12-07 03:00:00,23,15,0.0,12.3,6,1,70,02:31 PM,02:05 AM,04:59 AM,07:17 PM,15,18,18,18,15,6,82,0.0,1007,18,10,153,8
2019-12-07 06:00:00,23,15,0.0,12.3,6,1,70,02:31 PM,02:05 AM,04:59 AM,07:17 PM,15,20,20,20,28,7,76,0.0,1007,20,10,349,18
2019-12-07 09:00:00,23,15,0.0,12.3,6,5,70,02:31 PM,02:05 AM,04:59 AM,07:17 PM,16,25,25,23,37,26,69,0.2,1007,23,10,322,31
2019-12-07 12:00:00,23,15,0.0,12.3,6,5,70,02:31 PM,02:05 AM,04:59 AM,07:17 PM,16,25,25,22,49,67,69,0.9,1008,22,10,293,37
2019-12-07 15:00:00,23,15,0.0,12.3,6,6,70,02:31 PM,02:05 AM,04:59 AM,07:17 PM,13,21,23,21,46,66,62,1.0,1009,21,9,274,35
2019-12-07 18:00:00,23,15,0.0,12.3,6,1,70,02:31 PM,02:05 AM,04:59 AM,07:17 PM,13,19,19,19,36,58,70,0.1,1011,19,10,247,28
2019-12-07 21:00:00,23,15,0.0,12.3,6,1,70,02:31 PM,02:05 AM,04:59 AM,07:17 PM,13,16,16,16,32,75,82,0.1,1014,16,9,212,19
2019-12-08 00:00:00,22,13,0.0,14.5,6,1,77,03:27 PM,02:33 AM,04:59 AM,07:18 PM,12,14,15,14,25,52,83,0.0,1015,15,10,199,14
2019-12-08 03:00:00,22,13,0.0,14.5,6,1,77,03:27 PM,02:33 AM,04:59 AM,07:18 PM,10,13,13,13,18,16,82,0.0,1015,13,10,191,9
2019-12-08 06:00:00,22,13,0.0,14.5,6,1,77,03:27 PM,02:33 AM,04:59 AM,07:18 PM,11,14,15,14,24,36,78,0.0,1017,15,10,196,15
2019-12-08 09:00:00,22,13,0.0,14.5,6,5,77,03:27 PM,02:33 AM,04:59 AM,07:18 PM,10,20,20,20,19,36,55,0.0,1019,20,10,217,17
2019-12-08 12:00:00,22,13,0.0,14.5,6,6,77,03:27 PM,02:33 AM,04:59 AM,07:18 PM,10,22,24,22,20,0,45,0.0,1019,22,10,244,17
2019-12-08 15:00:00,22,13,0.0,14.5,6,6,77,03:27 PM,02:33 AM,04:59 AM,07:18 PM,11,24,24,22,33,6,48,0.0,1019,22,10,243,28
2019-12-08 18:00:00,22,13,0.0,14.5,6,1,77,03:27 PM,02:33 AM,04:59 AM,07:18 PM,10,21,22,21,37,13,49,0.0,1020,21,10,216,27
2019-12-08 21:00:00,22,13,0.0,14.5,6,1,77,03:27 PM,02:33 AM,04:59 AM,07:18 PM,9,16,16,16,37,0,62,0.0,1021,16,10,177,22
2019-12-09 00:00:00,25,11,0.0,14.5,6,1,84,04:24 PM,03:03 AM,04:59 AM,07:19 PM,9,12,13,12,32,0,73,0.0,1022,13,10,153,19
2019-12-09 03:00:00,25,11,0.0,14.5,6,1,84,04:24 PM,03:03 AM,04:59 AM,07:19 PM,8,10,12,10,28,0,78,0.0,1022,12,10,136,16
2019-12-09 06:00:00,25,11,0.0,14.5,6,1,84,04:24 PM,03:03 AM,04:59 AM,07:19 PM,8,12,13,12,22,0,72,0.0,1023,13,10,122,13
2019-12-09 09:00:00,25,11,0.0,14.5,6,6,84,04:24 PM,03:03 AM,04:59 AM,07:19 PM,8,20,20,20,13,0,47,0.0,1023,20,10,158,12
2019-12-09 12:00:00,25,11,0.0,14.5,6,6,84,04:24 PM,03:03 AM,04:59 AM,07:19 PM,9,25,25,25,18,0,38,0.0,1022,25,10,237,16
2019-12-09 15:00:00,25,11,0.0,14.5,6,6,84,04:24 PM,03:03 AM,04:59 AM,07:19 PM,12,25,25,24,34,0,46,0.0,1021,24,10,248,28
2019-12-09 18:00:00,25,11,0.0,14.5,6,1,84,04:24 PM,03:03 AM,04:59 AM,07:19 PM,12,23,23,22,38,0,52,0.0,1021,22,10,220,27
2019-12-09 21:00:00,25,11,0.0,14.5,6,1,84,04:24 PM,03:03 AM,04:59 AM,07:19 PM,11,18,18,18,39,21,61,0.0,1021,18,10,171,24
2019-12-10 00:00:00,29,15,0.0,14.2,7,1,92,05:24 PM,03:36 AM,05:00 AM,07:19 PM,11,16,16,16,35,48,68,0.0,1022,16,10,144,21
2019-12-10 03:00:00,29,15,0.0,14.2,7,1,92,05:24 PM,03:36 AM,05:00 AM,07:19 PM,9,15,15,15,30,14,68,0.0,1021,15,10,132,17
2019-12-10 06:00:00,29,15,0.0,14.2,7,1,92,05:24 PM,03:36 AM,05:00 AM,07:19 PM,8,17,18,17,24,3,55,0.0,1021,17,10,126,15
2019-12-10 09:00:00,29,15,0.0,14.2,7,6,92,05:24 PM,03:36 AM,05:00 AM,07:19 PM,8,25,25,23,15,2,38,0.0,1021,23,10,111,13
2019-12-10 12:00:00,29,15,0.0,14.2,7,7,92,05:24 PM,03:36 AM,05:00 AM,07:19 PM,10,28,28,28,12,4,33,0.0,1020,28,10,155,10
2019-12-10 15:00:00,29,15,0.0,14.2,7,7,92,05:24 PM,03:36 AM,05:00 AM,07:19 PM,12,28,28,29,27,7,35,0.0,1018,29,10,233,19
2019-12-10 18:00:00,29,15,0.0,14.2,7,1,92,05:24 PM,03:36 AM,05:00 AM,07:19 PM,12,27,27,27,46,6,40,0.0,1017,27,10,205,27
2019-12-10 21:00:00,29,15,0.0,14.2,7,1,92,05:24 PM,03:36 AM,05:00 AM,07:19 PM,11,23,23,23,56,2,48,0.0,1018,23,10,153,30
2019-12-11 00:00:00,33,17,0.0,14.2,7,1,99,06:25 PM,04:12 AM,05:00 AM,07:20 PM,10,19,19,19,48,2,54,0.0,1019,19,10,120,28
2019-12-11 03:00:00,33,17,0.0,14.2,7,1,99,06:25 PM,04:12 AM,05:00 AM,07:20 PM,8,17,17,17,40,0,55,0.0,1019,17,10,107,23
2019-12-11 06:00:00,33,17,0.0,14.2,7,1,99,06:25 PM,04:12 AM,05:00 AM,07:20 PM,8,19,19,19,32,0,50,0.0,1020,19,10,101,21
2019-12-11 09:00:00,33,17,0.0,14.2,7,7,99,06:25 PM,04:12 AM,05:00 AM,07:20 PM,9,26,26,25,25,0,36,0.0,1020,25,10,99,21
2019-12-11 12:00:00,33,17,0.0,14.2,7,8,99,06:25 PM,04:12 AM,05:00 AM,07:20 PM,10,30,30,31,20,1,27,0.0,1019,31,10,123,15
