date_time,Doonside_maxtempC,Doonside_mintempC,Doonside_totalSnow_cm,Doonside_sunHour,Doonside_uvIndex,Doonside_uvIndex,Doonside_moon_illumination,Doonside_moonrise,Doonside_moonset,Doonside_sunrise,Doonside_sunset,Doonside_DewPointC,Doonside_FeelsLikeC,Doonside_HeatIndexC,Doonside_WindChillC,Doonside_WindGustKmph,Doonside_cloudcover,Doonside_humidity,Doonside_precipMM,Doonside_pressure,Doonside_tempC,Doonside_visibility,Doonside_winddirDegree,Doonside_windspeedKmph
2019-12-04 00:00:00,32,19,0.0,14.2,7,1,48,11:23 AM,12:14 AM,04:38 AM,06:54 PM,8,21,22,21,5,1,44,0.0,1008,21,10,280,4
2019-12-04 03:00:00,32,19,0.0,14.2,7,1,48,11:23 AM,12:14 AM,04:38 AM,06:54 PM,9,19,19,19,4,0,51,0.0,1009,19,10,255,3
2019-12-04 06:00:00,32,19,0.0,14.2,7,1,48,11:23 AM,12:14 AM,04:38 AM,06:54 PM,8,21,22,21,5,0,44,0.0,1010,21,10,311,5
2019-12-04 09:00:00,32,19,0.0,14.2,7,7,48,11:23 AM,12:14 AM,04:38 AM,06:54 PM,5,26,26,27,4,0,27,0.0,1010,27,10,275,3
2019-12-04 12:00:00,32,19,0.0,14.2,7,8,48,11:23 AM,12:14 AM,04:38 AM,06:54 PM,-2,29,29,31,14,0,13,0.0,1008,31,10,241,12
2019-12-04 15:00:00,32,19,0.0,14.2,7,8,48,11:23 AM,12:14 AM,04:38 AM,06:54 PM,-1,28,28,30,19,0,13,0.0,1007,30,10,213,16
2019-12-04 18:00:00,32,19,0.0,14.2,7,1,48,11:23 AM,12:14 AM,04:38 AM,06:54 PM,7,29,29,28,15,3,37,0.0,1009,28,10,134,12
2019-12-04 21:00:00,32,19,0.0,14.2,7,1,48,11:23 AM,12:14 AM,04:38 AM,06:54 PM,13,28,28,26,6,2,57,0.0,1011,26,10,234,5
2019-12-05 00:00:00,34,18,0.0,14.2,8,1,55,12:17 PM,12:45 AM,04:38 AM,06:55 PM,11,21,22,21,5,0,58,0.0,1011,21,10,300,4
2019-12-05 03:00:00,34,18,0.0,14.2,8,1,55,12:17 PM,12:45 AM,04:38 AM,06:55 PM,7,18,18,18,5,0,48,0.0,1010,18,10,303,4
2019-12-05 06:00:00,34,18,0.0,14.2,8,1,55,12:17 PM,12:45 AM,04:38 AM,06:55 PM,4,20,21,20,6,2,34,0.0,1010,20,10,322,6
2019-12-05 09:00:00,34,18,0.0,14.2,8,7,55,12:17 PM,12:45 AM,04:38 AM,06:55 PM,3,27,27,28,8,4,21,0.0,1010,28,10,318,7
2019-12-05 12:00:00,34,18,0.0,14.2,8,8,55,12:17 PM,12:45 AM,04:38 AM,06:55 PM,-0,31,31,33,20,3,12,0.0,1007,33,10,281,17
2019-12-05 15:00:00,34,18,0.0,14.2,8,8,55,12:17 PM,12:45 AM,04:38 AM,06:55 PM,-0,32,32,34,26,3,11,0.0,1005,34,10,276,23
2019-12-05 18:00:00,34,18,0.0,14.2,8,1,55,12:17 PM,12:45 AM,04:38 AM,06:55 PM,-1,34,34,32,26,11,13,0.0,1006,32,10,270,17
2019-12-05 21:00:00,34,18,0.0,14.2,8,1,55,12:17 PM,12:45 AM,04:38 AM,06:55 PM,-1,33,33,29,19,6,18,0.0,1007,29,10,263,10
2019-12-06 00:00:00,34,18,0.0,12.2,8,1,62,01:12 PM,01:14 AM,04:38 AM,06:56 PM,4,24,24,22,10,63,34,0.0,1007,22,10,178,5
2019-12-06 03:00:00,34,18,0.0,12.2,8,1,62,01:12 PM,01:14 AM,04:38 AM,06:56 PM,10,18,18,18,8,73,58,0.0,1007,18,10,94,4
2019-12-06 06:00:00,34,18,0.0,12.2,8,1,62,01:12 PM,01:14 AM,04:38 AM,06:56 PM,12,23,23,23,5,21,51,0.0,1008,23,10,48,4
2019-12-06 09:00:00,34,18,0.0,12.2,8,7,62,01:12 PM,01:14 AM,04:38 AM,06:56 PM,7,28,28,29,5,66,28,0.0,1008,29,10,171,4
2019-12-06 12:00:00,34,18,0.0,12.2,8,7,62,01:12 PM,01:14 AM,04:38 AM,06:56 PM,-3,30,30,33,17,81,11,0.0,1006,33,10,253,15
2019-12-06 15:00:00,34,18,0.0,12.2,8,7,62,01:12 PM,01:14 AM,04:38 AM,06:56 PM,-5,31,31,33,24,29,8,0.0,1005,33,10,260,21
2019-12-06 18:00:00,34,18,0.0,12.2,8,1,62,01:12 PM,01:14 AM,04:38 AM,06:56 PM,1,33,33,32,23,5,17,0.0,1007,32,10,229,16
2019-12-06 21:00:00,34,18,0.0,12.2,8,1,62,01:12 PM,01:14 AM,04:38 AM,06:56 PM,11,32,32,29,18,16,60,0.0,1010,29,10,180,12
2019-12-07 00:00:00,35,17,0.0,14.2,7,1,70,02:06 PM,01:43 AM,04:38 AM,06:57 PM,15,21,22,21,12,52,82,0.0,1011,21,10,176,8
