date_time,Dorrigo_maxtempC,Dorrigo_mintempC,Dorrigo_totalSnow_cm,Dorrigo_sunHour,Dorrigo_uvIndex,Dorrigo_uvIndex,Dorrigo_moon_illumination,Dorrigo_moonrise,Dorrigo_moonset,Dorrigo_sunrise,Dorrigo_sunset,Dorrigo_DewPointC,Dorrigo_FeelsLikeC,Dorrigo_HeatIndexC,Dorrigo_WindChillC,Dorrigo_WindGustKmph,Dorrigo_cloudcover,Dorrigo_humidity,Dorrigo_precipMM,Dorrigo_pressure,Dorrigo_tempC,Dorrigo_visibility,Dorrigo_winddirDegree,Dorrigo_windspeedKmph
2019-12-04 00:00:00,26,17,0.0,14.0,6,1,48,11:19 AM,12:02 AM,04:39 AM,06:39 PM,9,18,18,18,21,0,58,0.0,1010,18,10,279,10
2019-12-04 03:00:00,26,17,0.0,14.0,6,1,48,11:19 AM,12:02 AM,04:39 AM,06:39 PM,6,17,17,17,23,0,48,0.0,1010,17,10,255,11
2019-12-04 06:00:00,26,17,0.0,14.0,6,1,48,11:19 AM,12:02 AM,04:39 AM,06:39 PM,7,20,22,20,14,0,42,0.0,1011,20,10,244,9
2019-12-04 09:00:00,26,17,0.0,14.0,6,6,48,11:19 AM,12:02 AM,04:39 AM,06:39 PM,9,25,25,25,10,0,36,0.0,1011,25,10,157,8
2019-12-04 12:00:00,26,17,0.0,14.0,6,7,48,11:19 AM,12:02 AM,04:39 AM,06:39 PM,10,26,26,26,18,0,37,0.0,1010,26,10,84,16
2019-12-04 15:00:00,26,17,0.0,14.0,6,6,48,11:19 AM,12:02 AM,04:39 AM,06:39 PM,12,26,26,25,20,0,44,0.0,1008,25,10,49,18
2019-12-04 18:00:00,26,17,0.0,14.0,6,1,48,11:19 AM,12:02 AM,04:39 AM,06:39 PM,13,22,22,22,26,0,58,0.0,1010,22,10,21,17
2019-12-04 21:00:00,26,17,0.0,14.0,6,1,48,11:19 AM,12:02 AM,04:39 AM,06:39 PM,12,19,19,19,27,0,65,0.0,1012,19,10,230,14
2019-12-05 00:00:00,26,17,0.0,14.0,6,1,55,12:12 PM,12:34 AM,04:39 AM,06:39 PM,10,18,18,18,23,0,59,0.0,1011,18,10,327,11
2019-12-05 03:00:00,26,17,0.0,14.0,6,1,55,12:12 PM,12:34 AM,04:39 AM,06:39 PM,5,17,17,17,17,0,44,0.0,1011,17,10,278,8
2019-12-05 06:00:00,26,17,0.0,14.0,6,1,55,12:12 PM,12:34 AM,04:39 AM,06:39 PM,5,21,22,21,11,0,36,0.0,1012,21,10,229,8
