date_time,Dunedin_maxtempC,Dunedin_mintempC,Dunedin_totalSnow_cm,Dunedin_sunHour,Dunedin_uvIndex,Dunedin_uvIndex,Dunedin_moon_illumination,Dunedin_moonrise,Dunedin_moonset,Dunedin_sunrise,Dunedin_sunset,Dunedin_DewPointC,Dunedin_FeelsLikeC,Dunedin_HeatIndexC,Dunedin_WindChillC,Dunedin_WindGustKmph,Dunedin_cloudcover,Dunedin_humidity,Dunedin_precipMM,Dunedin_pressure,Dunedin_tempC,Dunedin_visibility,Dunedin_winddirDegree,Dunedin_windspeedKmph
2019-12-04 00:00:00,18,12,0.0,11.7,3,1,48,11:41 AM,01:16 AM,04:43 AM,08:13 PM,7,9,12,9,39,76,70,1.2,993,12,10,325,23
2019-12-04 03:00:00,18,12,0.0,11.7,3,1,48,11:41 AM,01:16 AM,04:43 AM,08:13 PM,6,10,12,10,31,5,66,0.0,993,12,10,353,19
2019-12-04 06:00:00,18,12,0.0,11.7,3,1,48,11:41 AM,01:16 AM,04:43 AM,08:13 PM,7,9,12,9,37,6,70,0.0,992,12,10,3,24
2019-12-04 09:00:00,18,12,0.0,11.7,3,4,48,11:41 AM,01:16 AM,04:43 AM,08:13 PM,8,10,13,10,59,33,72,0.0,991,13,10,14,41
2019-12-04 12:00:00,18,12,0.0,11.7,3,4,48,11:41 AM,01:16 AM,04:43 AM,08:13 PM,10,15,15,15,60,66,71,0.2,988,15,10,20,30
2019-12-04 15:00:00,18,12,0.0,11.7,3,4,48,11:41 AM,01:16 AM,04:43 AM,08:13 PM,7,18,18,18,66,74,48,0.1,989,18,10,321,36
2019-12-04 18:00:00,18,12,0.0,11.7,3,1,48,11:41 AM,01:16 AM,04:43 AM,08:13 PM,5,15,15,15,48,85,50,0.1,991,15,10,294,28
2019-12-04 21:00:00,18,12,0.0,11.7,3,1,48,11:41 AM,01:16 AM,04:43 AM,08:13 PM,5,12,13,12,19,4,60,0.0,996,13,10,327,11
2019-12-05 00:00:00,17,12,0.0,13.6,4,1,55,12:43 PM,01:41 AM,04:42 AM,08:14 PM,3,10,12,10,29,2,55,0.0,997,12,10,325,19
2019-12-05 03:00:00,17,12,0.0,13.6,4,1,55,12:43 PM,01:41 AM,04:42 AM,08:14 PM,4,10,12,10,30,7,57,0.0,996,12,10,335,19
2019-12-05 06:00:00,17,12,0.0,13.6,4,1,55,12:43 PM,01:41 AM,04:42 AM,08:14 PM,4,9,12,9,41,49,59,0.0,996,12,10,331,29
2019-12-05 09:00:00,17,12,0.0,13.6,4,4,55,12:43 PM,01:41 AM,04:42 AM,08:14 PM,6,12,14,12,40,41,60,0.0,997,14,10,354,26
2019-12-05 12:00:00,17,12,0.0,13.6,4,3,55,12:43 PM,01:41 AM,04:42 AM,08:14 PM,8,14,15,14,15,81,63,0.0,997,15,10,229,8
