date_time,Dungog_maxtempC,Dungog_mintempC,Dungog_totalSnow_cm,Dungog_sunHour,Dungog_uvIndex,Dungog_uvIndex,Dungog_moon_illumination,Dungog_moonrise,Dungog_moonset,Dungog_sunrise,Dungog_sunset,Dungog_DewPointC,Dungog_FeelsLikeC,Dungog_HeatIndexC,Dungog_WindChillC,Dungog_WindGustKmph,Dungog_cloudcover,Dungog_humidity,Dungog_precipMM,Dungog_pressure,Dungog_tempC,Dungog_visibility,Dungog_winddirDegree,Dungog_windspeedKmph
2019-12-04 00:00:00,28,17,0.0,14.1,6,1,48,11:21 AM,12:08 AM,04:38 AM,06:47 PM,8,19,19,19,35,2,48,0.0,1008,19,10,285,18
2019-12-04 03:00:00,28,17,0.0,14.1,6,1,48,11:21 AM,12:08 AM,04:38 AM,06:47 PM,7,17,17,17,32,0,51,0.0,1009,17,10,291,17
2019-12-04 06:00:00,28,17,0.0,14.1,6,1,48,11:21 AM,12:08 AM,04:38 AM,06:47 PM,7,18,18,18,26,0,49,0.0,1010,18,10,284,17
2019-12-04 09:00:00,28,17,0.0,14.1,6,6,48,11:21 AM,12:08 AM,04:38 AM,06:47 PM,8,22,23,22,12,0,42,0.0,1010,22,10,256,9
2019-12-04 12:00:00,28,17,0.0,14.1,6,7,48,11:21 AM,12:08 AM,04:38 AM,06:47 PM,9,26,26,26,13,0,34,0.0,1008,26,10,286,9
2019-12-04 15:00:00,28,17,0.0,14.1,6,7,48,11:21 AM,12:08 AM,04:38 AM,06:47 PM,12,27,27,27,20,0,39,0.0,1007,27,10,167,14
2019-12-04 18:00:00,28,17,0.0,14.1,6,1,48,11:21 AM,12:08 AM,04:38 AM,06:47 PM,14,25,25,23,21,0,57,0.0,1008,23,10,91,12
2019-12-04 21:00:00,28,17,0.0,14.1,6,1,48,11:21 AM,12:08 AM,04:38 AM,06:47 PM,14,20,21,20,28,0,70,0.0,1010,20,10,205,14
2019-12-05 00:00:00,29,16,0.0,14.1,7,1,55,12:14 PM,12:40 AM,04:38 AM,06:48 PM,13,18,18,18,31,0,70,0.0,1010,18,10,257,16
2019-12-05 03:00:00,29,16,0.0,14.1,7,1,55,12:14 PM,12:40 AM,04:38 AM,06:48 PM,8,17,17,17,27,0,56,0.0,1010,17,10,276,14
2019-12-05 06:00:00,29,16,0.0,14.1,7,1,55,12:14 PM,12:40 AM,04:38 AM,06:48 PM,6,18,18,18,22,0,44,0.0,1011,18,10,296,14
2019-12-05 09:00:00,29,16,0.0,14.1,7,6,55,12:14 PM,12:40 AM,04:38 AM,06:48 PM,8,23,23,23,15,3,39,0.0,1011,23,10,307,11
2019-12-05 12:00:00,29,16,0.0,14.1,7,7,55,12:14 PM,12:40 AM,04:38 AM,06:48 PM,10,27,27,28,18,3,33,0.0,1008,28,10,113,11
2019-12-05 15:00:00,29,16,0.0,14.1,7,7,55,12:14 PM,12:40 AM,04:38 AM,06:48 PM,12,29,29,29,17,1,34,0.0,1006,29,10,19,9
2019-12-05 18:00:00,29,16,0.0,14.1,7,1,55,12:14 PM,12:40 AM,04:38 AM,06:48 PM,12,27,27,27,14,2,40,0.0,1006,27,10,206,7
2019-12-05 21:00:00,29,16,0.0,14.1,7,1,55,12:14 PM,12:40 AM,04:38 AM,06:48 PM,10,25,25,24,23,3,40,0.0,1007,24,10,276,11
2019-12-06 00:00:00,30,18,0.0,14.1,7,1,62,01:08 PM,01:10 AM,04:38 AM,06:49 PM,9,21,21,21,19,3,48,0.0,1008,21,10,243,9
2019-12-06 03:00:00,30,18,0.0,14.1,7,1,62,01:08 PM,01:10 AM,04:38 AM,06:49 PM,11,19,19,19,10,67,61,0.0,1007,19,10,257,5
2019-12-06 06:00:00,30,18,0.0,14.1,7,1,62,01:08 PM,01:10 AM,04:38 AM,06:49 PM,10,20,20,20,7,34,52,0.0,1008,20,10,294,5
2019-12-06 09:00:00,30,18,0.0,14.1,7,6,62,01:08 PM,01:10 AM,04:38 AM,06:49 PM,10,25,25,25,4,0,40,0.0,1008,25,10,104,3
2019-12-06 12:00:00,30,18,0.0,14.1,7,7,62,01:08 PM,01:10 AM,04:38 AM,06:49 PM,12,28,28,29,1,5,34,0.0,1006,29,10,74,1
2019-12-06 15:00:00,30,18,0.0,14.1,7,7,62,01:08 PM,01:10 AM,04:38 AM,06:49 PM,13,28,28,28,14,4,38,0.0,1005,28,10,97,8
2019-12-06 18:00:00,30,18,0.0,14.1,7,1,62,01:08 PM,01:10 AM,04:38 AM,06:49 PM,14,28,28,26,20,1,57,0.0,1007,26,10,84,10
2019-12-06 21:00:00,30,18,0.0,14.1,7,1,62,01:08 PM,01:10 AM,04:38 AM,06:49 PM,14,23,23,22,23,1,64,0.0,1009,22,10,171,11
2019-12-07 00:00:00,24,19,0.0,12.2,6,1,70,02:02 PM,01:39 AM,04:38 AM,06:50 PM,16,20,20,20,26,17,82,0.0,1010,20,10,194,15
2019-12-07 03:00:00,24,19,0.0,12.2,6,1,70,02:02 PM,01:39 AM,04:38 AM,06:50 PM,18,19,19,19,17,56,91,0.1,1011,19,10,168,11
2019-12-07 06:00:00,24,19,0.0,12.2,6,1,70,02:02 PM,01:39 AM,04:38 AM,06:50 PM,17,20,20,20,6,82,83,0.1,1013,20,10,180,5
2019-12-07 09:00:00,24,19,0.0,12.2,6,5,70,02:02 PM,01:39 AM,04:38 AM,06:50 PM,16,23,23,22,8,86,67,0.2,1013,22,10,139,6
2019-12-07 12:00:00,24,19,0.0,12.2,6,5,70,02:02 PM,01:39 AM,04:38 AM,06:50 PM,16,25,25,24,17,32,62,0.1,1012,24,10,112,14
2019-12-07 15:00:00,24,19,0.0,12.2,6,6,70,02:02 PM,01:39 AM,04:38 AM,06:50 PM,16,25,25,23,25,4,66,0.0,1010,23,10,99,19
2019-12-07 18:00:00,24,19,0.0,12.2,6,1,70,02:02 PM,01:39 AM,04:38 AM,06:50 PM,17,21,22,21,22,4,77,0.0,1012,21,10,85,15
2019-12-07 21:00:00,24,19,0.0,12.2,6,1,70,02:02 PM,01:39 AM,04:38 AM,06:50 PM,17,20,20,20,20,9,86,0.0,1016,20,10,103,12
2019-12-08 00:00:00,23,19,0.0,12.2,6,1,77,02:57 PM,02:07 AM,04:38 AM,06:51 PM,17,19,19,19,23,55,89,0.1,1018,19,10,110,13
2019-12-08 03:00:00,23,19,0.0,12.2,6,1,77,02:57 PM,02:07 AM,04:38 AM,06:51 PM,17,19,19,19,26,75,88,0.2,1018,19,10,95,15
2019-12-08 06:00:00,23,19,0.0,12.2,6,1,77,02:57 PM,02:07 AM,04:38 AM,06:51 PM,16,20,20,20,28,72,80,0.2,1019,20,10,73,19
2019-12-08 09:00:00,23,19,0.0,12.2,6,5,77,02:57 PM,02:07 AM,04:38 AM,06:51 PM,16,21,23,21,28,64,70,0.1,1019,21,10,69,21
2019-12-08 12:00:00,23,19,0.0,12.2,6,5,77,02:57 PM,02:07 AM,04:38 AM,06:51 PM,16,25,25,23,28,27,66,0.0,1018,23,10,82,23
2019-12-08 15:00:00,23,19,0.0,12.2,6,6,77,02:57 PM,02:07 AM,04:38 AM,06:51 PM,16,25,25,22,31,3,68,0.0,1018,22,10,83,25
2019-12-08 18:00:00,23,19,0.0,12.2,6,1,77,02:57 PM,02:07 AM,04:38 AM,06:51 PM,16,21,22,21,36,7,74,0.0,1020,21,10,69,25
2019-12-08 21:00:00,23,19,0.0,12.2,6,1,77,02:57 PM,02:07 AM,04:38 AM,06:51 PM,16,20,20,20,36,22,81,0.0,1022,20,10,56,23
2019-12-09 00:00:00,26,19,0.0,14.1,6,1,84,03:54 PM,02:37 AM,04:38 AM,06:51 PM,17,19,19,19,31,31,85,0.0,1021,19,10,52,19
2019-12-09 03:00:00,26,19,0.0,14.1,6,1,84,03:54 PM,02:37 AM,04:38 AM,06:51 PM,17,19,19,19,28,30,88,0.0,1021,19,10,55,17
2019-12-09 06:00:00,26,19,0.0,14.1,6,1,84,03:54 PM,02:37 AM,04:38 AM,06:51 PM,17,20,23,20,24,41,82,0.0,1022,20,10,47,17
2019-12-09 09:00:00,26,19,0.0,14.1,6,6,84,03:54 PM,02:37 AM,04:38 AM,06:51 PM,17,25,25,23,26,16,69,0.0,1021,23,10,56,21
2019-12-09 12:00:00,26,19,0.0,14.1,6,7,84,03:54 PM,02:37 AM,04:38 AM,06:51 PM,18,27,27,26,32,0,64,0.0,1019,26,10,65,27
2019-12-09 15:00:00,26,19,0.0,14.1,6,6,84,03:54 PM,02:37 AM,04:38 AM,06:51 PM,19,26,26,25,44,0,68,0.0,1016,25,10,64,34
2019-12-09 18:00:00,26,19,0.0,14.1,6,1,84,03:54 PM,02:37 AM,04:38 AM,06:51 PM,19,25,25,23,47,0,76,0.0,1016,23,10,52,32
2019-12-09 21:00:00,26,19,0.0,14.1,6,1,84,03:54 PM,02:37 AM,04:38 AM,06:51 PM,19,22,24,22,35,2,85,0.0,1016,22,10,38,21
2019-12-10 00:00:00,30,19,0.0,14.1,7,1,92,04:52 PM,03:10 AM,04:39 AM,06:52 PM,19,20,21,20,21,10,91,0.0,1015,20,10,25,12
2019-12-10 03:00:00,30,19,0.0,14.1,7,1,92,04:52 PM,03:10 AM,04:39 AM,06:52 PM,18,19,19,19,16,21,94,0.0,1014,19,5,11,9
2019-12-10 06:00:00,30,19,0.0,14.1,7,1,92,04:52 PM,03:10 AM,04:39 AM,06:52 PM,18,21,23,21,12,10,83,0.0,1014,21,7,224,7
2019-12-10 09:00:00,30,19,0.0,14.1,7,7,92,04:52 PM,03:10 AM,04:39 AM,06:52 PM,18,29,29,27,15,1,57,0.0,1014,27,10,118,8
2019-12-10 12:00:00,30,19,0.0,14.1,7,8,92,04:52 PM,03:10 AM,04:39 AM,06:52 PM,17,31,31,30,32,0,45,0.0,1011,30,10,47,17
2019-12-10 15:00:00,30,19,0.0,14.1,7,7,92,04:52 PM,03:10 AM,04:39 AM,06:52 PM,18,30,30,29,49,0,50,0.0,1010,29,10,67,24
2019-12-10 18:00:00,30,19,0.0,14.1,7,1,92,04:52 PM,03:10 AM,04:39 AM,06:52 PM,19,29,29,26,48,43,75,0.0,1011,26,10,147,28
2019-12-10 21:00:00,30,19,0.0,14.1,7,1,92,04:52 PM,03:10 AM,04:39 AM,06:52 PM,19,22,23,22,43,88,86,0.0,1014,22,10,189,30
2019-12-11 00:00:00,21,18,0.0,11.1,5,1,99,05:53 PM,03:47 AM,04:39 AM,06:53 PM,17,20,20,20,39,100,84,0.1,1015,20,10,195,28
2019-12-11 03:00:00,21,18,0.0,11.1,5,1,99,05:53 PM,03:47 AM,04:39 AM,06:53 PM,16,19,19,19,33,100,80,0.1,1015,19,10,198,24
2019-12-11 06:00:00,21,18,0.0,11.1,5,1,99,05:53 PM,03:47 AM,04:39 AM,06:53 PM,16,19,19,19,26,87,79,0.1,1015,19,10,200,19
2019-12-11 09:00:00,21,18,0.0,11.1,5,4,99,05:53 PM,03:47 AM,04:39 AM,06:53 PM,15,20,20,20,23,76,76,0.2,1015,20,7,200,18
2019-12-11 12:00:00,21,18,0.0,11.1,5,5,99,05:53 PM,03:47 AM,04:39 AM,06:53 PM,16,20,20,20,22,57,74,0.1,1013,20,8,174,19
2019-12-11 15:00:00,21,18,0.0,11.1,5,6,99,05:53 PM,03:47 AM,04:39 AM,06:53 PM,16,21,21,21,21,61,74,0.0,1011,21,10,143,18
2019-12-11 18:00:00,21,18,0.0,11.1,5,1,99,05:53 PM,03:47 AM,04:39 AM,06:53 PM,16,20,20,20,22,25,80,0.0,1012,20,10,149,16
2019-12-11 21:00:00,21,18,0.0,11.1,5,1,99,05:53 PM,03:47 AM,04:39 AM,06:53 PM,17,19,19,19,23,34,88,0.0,1014,19,10,194,15
2019-12-12 00:00:00,22,18,0.0,12.2,5,1,100,06:54 PM,04:28 AM,04:39 AM,06:54 PM,16,18,18,18,23,59,88,0.0,1013,18,10,212,15
2019-12-12 03:00:00,22,18,0.0,12.2,5,1,100,06:54 PM,04:28 AM,04:39 AM,06:54 PM,16,18,18,18,21,82,88,0.1,1013,18,10,203,14
2019-12-12 06:00:00,22,18,0.0,12.2,5,1,100,06:54 PM,04:28 AM,04:39 AM,06:54 PM,16,18,18,18,24,93,86,0.1,1013,18,10,193,17
2019-12-12 09:00:00,22,18,0.0,12.2,5,4,100,06:54 PM,04:28 AM,04:39 AM,06:54 PM,15,19,19,19,18,78,78,0.2,1013,19,10,184,14
2019-12-12 12:00:00,22,18,0.0,12.2,5,5,100,06:54 PM,04:28 AM,04:39 AM,06:54 PM,14,21,23,21,17,47,67,0.1,1012,21,10,160,14
