date_time,Eaton_maxtempC,Eaton_mintempC,Eaton_totalSnow_cm,Eaton_sunHour,Eaton_uvIndex,Eaton_uvIndex,Eaton_moon_illumination,Eaton_moonrise,Eaton_moonset,Eaton_sunrise,Eaton_sunset,Eaton_DewPointC,Eaton_FeelsLikeC,Eaton_HeatIndexC,Eaton_WindChillC,Eaton_WindGustKmph,Eaton_cloudcover,Eaton_humidity,Eaton_precipMM,Eaton_pressure,Eaton_tempC,Eaton_visibility,Eaton_winddirDegree,Eaton_windspeedKmph
2019-12-04 00:00:00,6,2,0.1,3.5,2,1,48,01:57 PM,12:18 AM,08:02 AM,05:30 PM,-3,-4,1,-4,33,46,73,0.0,1003,1,10,284,23
2019-12-04 03:00:00,6,2,0.1,3.5,2,1,48,01:57 PM,12:18 AM,08:02 AM,05:30 PM,-2,-3,2,-3,28,65,79,0.0,1003,2,10,280,20
2019-12-04 06:00:00,6,2,0.1,3.5,2,1,48,01:57 PM,12:18 AM,08:02 AM,05:30 PM,-1,-3,2,-3,26,90,81,0.0,1003,2,10,273,19
2019-12-04 09:00:00,6,2,0.1,3.5,2,1,48,01:57 PM,12:18 AM,08:02 AM,05:30 PM,-0,-3,2,-3,27,75,84,0.0,1003,2,10,263,20
2019-12-04 12:00:00,6,2,0.1,3.5,2,1,48,01:57 PM,12:18 AM,08:02 AM,05:30 PM,0,-1,4,-1,24,90,80,0.0,1002,4,10,258,19
2019-12-04 15:00:00,6,2,0.1,3.5,2,2,48,01:57 PM,12:18 AM,08:02 AM,05:30 PM,0,1,5,1,25,100,70,0.0,1001,5,10,261,19
2019-12-04 18:00:00,6,2,0.1,3.5,2,2,48,01:57 PM,12:18 AM,08:02 AM,05:30 PM,0,2,5,2,28,94,71,0.0,1000,5,10,265,19
2019-12-04 21:00:00,6,2,0.1,3.5,2,1,48,01:57 PM,12:18 AM,08:02 AM,05:30 PM,2,0,4,0,26,88,83,0.1,1001,4,7,258,18
2019-12-05 00:00:00,5,2,0.3,8.7,1,1,55,02:22 PM,01:17 AM,08:03 AM,05:30 PM,2,-1,3,-1,26,96,90,0.3,1001,3,4,266,18
2019-12-05 03:00:00,5,2,0.3,8.7,1,1,55,02:22 PM,01:17 AM,08:03 AM,05:30 PM,0,-2,3,-2,30,84,81,0.1,1001,3,8,277,21
2019-12-05 06:00:00,5,2,0.3,8.7,1,1,55,02:22 PM,01:17 AM,08:03 AM,05:30 PM,-1,-3,2,-3,32,72,79,0.0,1003,2,10,285,23
2019-12-05 09:00:00,5,2,0.3,8.7,1,2,55,02:22 PM,01:17 AM,08:03 AM,05:30 PM,-2,-2,3,-2,36,48,73,0.0,1007,3,10,292,27
2019-12-05 12:00:00,5,2,0.3,8.7,1,2,55,02:22 PM,01:17 AM,08:03 AM,05:30 PM,-3,-2,4,-2,40,16,61,0.0,1009,4,10,296,32
2019-12-05 15:00:00,5,2,0.3,8.7,1,1,55,02:22 PM,01:17 AM,08:03 AM,05:30 PM,-3,-1,5,-1,41,44,57,0.0,1011,5,10,292,32
2019-12-05 18:00:00,5,2,0.3,8.7,1,2,55,02:22 PM,01:17 AM,08:03 AM,05:30 PM,-2,-1,4,-1,38,60,62,0.0,1014,4,10,288,28
2019-12-05 21:00:00,5,2,0.3,8.7,1,1,55,02:22 PM,01:17 AM,08:03 AM,05:30 PM,-2,-2,4,-2,39,49,66,0.0,1017,4,10,294,27
2019-12-06 00:00:00,9,2,0.0,7.0,3,1,62,02:47 PM,02:14 AM,08:04 AM,05:30 PM,-3,-2,3,-2,36,55,66,0.1,1020,3,9,296,26
2019-12-06 03:00:00,9,2,0.0,7.0,3,1,62,02:47 PM,02:14 AM,08:04 AM,05:30 PM,-3,-3,2,-3,26,8,68,0.0,1021,2,10,293,18
