date_time,Eltham_maxtempC,Eltham_mintempC,Eltham_totalSnow_cm,Eltham_sunHour,Eltham_uvIndex,Eltham_uvIndex,Eltham_moon_illumination,Eltham_moonrise,Eltham_moonset,Eltham_sunrise,Eltham_sunset,Eltham_DewPointC,Eltham_FeelsLikeC,Eltham_HeatIndexC,Eltham_WindChillC,Eltham_WindGustKmph,Eltham_cloudcover,Eltham_humidity,Eltham_precipMM,Eltham_pressure,Eltham_tempC,Eltham_visibility,Eltham_winddirDegree,Eltham_windspeedKmph
2019-12-04 00:00:00,18,15,0.0,13.5,5,1,48,11:37 AM,12:48 AM,04:49 AM,07:37 PM,13,16,16,16,35,4,84,0.0,1009,16,10,301,21
2019-12-04 03:00:00,18,15,0.0,13.5,5,1,48,11:37 AM,12:48 AM,04:49 AM,07:37 PM,12,15,15,15,31,86,81,0.1,1010,15,10,302,19
2019-12-04 06:00:00,18,15,0.0,13.5,5,1,48,11:37 AM,12:48 AM,04:49 AM,07:37 PM,12,15,15,15,30,80,81,0.2,1010,15,9,308,19
2019-12-04 09:00:00,18,15,0.0,13.5,5,5,48,11:37 AM,12:48 AM,04:49 AM,07:37 PM,13,18,18,18,21,0,71,0.0,1010,18,10,324,18
2019-12-04 12:00:00,18,15,0.0,13.5,5,5,48,11:37 AM,12:48 AM,04:49 AM,07:37 PM,13,18,18,18,24,3,72,0.0,1009,18,10,339,21
2019-12-04 15:00:00,18,15,0.0,13.5,5,5,48,11:37 AM,12:48 AM,04:49 AM,07:37 PM,13,18,18,18,22,4,72,0.0,1009,18,10,328,19
2019-12-04 18:00:00,18,15,0.0,13.5,5,1,48,11:37 AM,12:48 AM,04:49 AM,07:37 PM,14,17,17,17,22,2,80,0.0,1008,17,10,325,17
2019-12-04 21:00:00,18,15,0.0,13.5,5,1,48,11:37 AM,12:48 AM,04:49 AM,07:37 PM,14,15,15,15,26,75,92,0.2,1010,15,9,338,15
2019-12-05 00:00:00,18,14,0.0,9.3,4,1,55,12:34 PM,01:16 AM,04:49 AM,07:37 PM,14,15,15,15,29,67,92,0.7,1010,15,10,334,17
2019-12-05 03:00:00,18,14,0.0,9.3,4,1,55,12:34 PM,01:16 AM,04:49 AM,07:37 PM,14,15,15,15,27,74,93,0.8,1009,15,9,326,16
2019-12-05 06:00:00,18,14,0.0,9.3,4,1,55,12:34 PM,01:16 AM,04:49 AM,07:37 PM,15,16,16,16,24,82,93,1.3,1009,16,9,332,15
2019-12-05 09:00:00,18,14,0.0,9.3,4,4,55,12:34 PM,01:16 AM,04:49 AM,07:37 PM,15,17,17,17,30,77,89,1.4,1010,17,9,327,20
2019-12-05 12:00:00,18,14,0.0,9.3,4,4,55,12:34 PM,01:16 AM,04:49 AM,07:37 PM,16,18,18,18,36,70,88,2.3,1010,18,9,327,23
2019-12-05 15:00:00,18,14,0.0,9.3,4,4,55,12:34 PM,01:16 AM,04:49 AM,07:37 PM,16,18,18,18,23,89,85,1.0,1011,18,9,312,18
2019-12-05 18:00:00,18,14,0.0,9.3,4,1,55,12:34 PM,01:16 AM,04:49 AM,07:37 PM,15,17,17,17,18,62,86,1.7,1010,17,10,279,13
2019-12-05 21:00:00,18,14,0.0,9.3,4,1,55,12:34 PM,01:16 AM,04:49 AM,07:37 PM,12,14,14,14,15,1,85,0.0,1013,14,10,261,8
2019-12-06 00:00:00,19,13,0.0,14.5,5,1,62,01:32 PM,01:43 AM,04:49 AM,07:38 PM,11,13,13,13,14,9,86,0.0,1012,13,10,273,8
2019-12-06 03:00:00,19,13,0.0,14.5,5,1,62,01:32 PM,01:43 AM,04:49 AM,07:38 PM,11,13,13,13,14,0,87,0.0,1013,13,10,300,8
2019-12-06 06:00:00,19,13,0.0,14.5,5,1,62,01:32 PM,01:43 AM,04:49 AM,07:38 PM,12,14,14,14,10,0,84,0.0,1013,14,10,317,6
2019-12-06 09:00:00,19,13,0.0,14.5,5,5,62,01:32 PM,01:43 AM,04:49 AM,07:38 PM,12,17,17,17,13,23,68,0.0,1014,17,10,344,11
2019-12-06 12:00:00,19,13,0.0,14.5,5,5,62,01:32 PM,01:43 AM,04:49 AM,07:38 PM,12,18,18,18,15,1,64,0.0,1013,18,10,343,13
2019-12-06 15:00:00,19,13,0.0,14.5,5,5,62,01:32 PM,01:43 AM,04:49 AM,07:38 PM,13,19,19,19,13,1,71,0.0,1013,19,10,339,12
2019-12-06 18:00:00,19,13,0.0,14.5,5,1,62,01:32 PM,01:43 AM,04:49 AM,07:38 PM,15,18,18,18,12,34,79,0.0,1013,18,10,346,9
2019-12-06 21:00:00,19,13,0.0,14.5,5,1,62,01:32 PM,01:43 AM,04:49 AM,07:38 PM,15,16,16,16,15,37,93,0.0,1015,16,10,3,8
2019-12-07 00:00:00,18,16,0.0,9.3,5,1,70,02:29 PM,02:07 AM,04:49 AM,07:39 PM,15,16,16,16,23,47,94,0.0,1015,16,10,10,14
2019-12-07 03:00:00,18,16,0.0,9.3,5,1,70,02:29 PM,02:07 AM,04:49 AM,07:39 PM,15,16,16,16,24,32,93,0.0,1015,16,10,18,15
