date_time,Enmore_maxtempC,Enmore_mintempC,Enmore_totalSnow_cm,Enmore_sunHour,Enmore_uvIndex,Enmore_uvIndex,Enmore_moon_illumination,Enmore_moonrise,Enmore_moonset,Enmore_sunrise,Enmore_sunset,Enmore_DewPointC,Enmore_FeelsLikeC,Enmore_HeatIndexC,Enmore_WindChillC,Enmore_WindGustKmph,Enmore_cloudcover,Enmore_humidity,Enmore_precipMM,Enmore_pressure,Enmore_tempC,Enmore_visibility,Enmore_winddirDegree,Enmore_windspeedKmph
2019-12-04 00:00:00,31,23,0.0,7.3,6,1,48,12:22 PM,No moonset,05:50 AM,05:35 PM,22,25,25,23,6,50,97,0.0,1012,23,1,56,3
2019-12-04 03:00:00,31,23,0.0,7.3,6,1,48,12:22 PM,No moonset,05:50 AM,05:35 PM,22,25,25,23,6,94,97,0.2,1011,23,3,52,3
2019-12-04 06:00:00,31,23,0.0,7.3,6,5,48,12:22 PM,No moonset,05:50 AM,05:35 PM,23,27,27,24,6,77,94,0.9,1011,24,9,73,4
2019-12-04 09:00:00,31,23,0.0,7.3,6,6,48,12:22 PM,No moonset,05:50 AM,05:35 PM,24,31,31,27,11,75,87,2.6,1013,27,8,85,7
2019-12-04 12:00:00,31,23,0.0,7.3,6,6,48,12:22 PM,No moonset,05:50 AM,05:35 PM,23,33,33,29,17,80,73,3.5,1012,29,7,83,10
2019-12-04 15:00:00,31,23,0.0,7.3,6,7,48,12:22 PM,No moonset,05:50 AM,05:35 PM,20,32,32,30,19,51,58,2.5,1010,30,8,70,11
2019-12-04 18:00:00,31,23,0.0,7.3,6,1,48,12:22 PM,No moonset,05:50 AM,05:35 PM,22,28,28,26,12,13,80,0.0,1010,26,7,56,6
2019-12-04 21:00:00,31,23,0.0,7.3,6,1,48,12:22 PM,No moonset,05:50 AM,05:35 PM,23,26,26,23,8,47,97,0.0,1012,23,1,48,4
2019-12-05 00:00:00,32,23,0.0,8.8,6,1,55,01:01 PM,12:33 AM,05:50 AM,05:35 PM,22,25,25,23,7,100,98,0.0,1012,23,0,61,4
2019-12-05 03:00:00,32,23,0.0,8.8,6,1,55,01:01 PM,12:33 AM,05:50 AM,05:35 PM,22,25,25,23,6,100,98,0.0,1011,23,0,91,3
2019-12-05 06:00:00,32,23,0.0,8.8,6,5,55,01:01 PM,12:33 AM,05:50 AM,05:35 PM,23,27,27,24,6,100,92,0.0,1012,24,3,108,4
2019-12-05 09:00:00,32,23,0.0,8.8,6,7,55,01:01 PM,12:33 AM,05:50 AM,05:35 PM,23,32,32,29,9,69,71,0.0,1014,29,10,92,7
2019-12-05 12:00:00,32,23,0.0,8.8,6,8,55,01:01 PM,12:33 AM,05:50 AM,05:35 PM,21,35,35,32,12,16,54,0.0,1013,32,10,73,11
2019-12-05 15:00:00,32,23,0.0,8.8,6,8,55,01:01 PM,12:33 AM,05:50 AM,05:35 PM,21,33,33,30,14,31,61,0.0,1010,30,10,54,11
2019-12-05 18:00:00,32,23,0.0,8.8,6,1,55,01:01 PM,12:33 AM,05:50 AM,05:35 PM,23,29,29,26,12,29,81,0.0,1011,26,10,48,7
2019-12-05 21:00:00,32,23,0.0,8.8,6,1,55,01:01 PM,12:33 AM,05:50 AM,05:35 PM,23,26,26,24,9,37,95,0.0,1013,24,7,49,5
2019-12-06 00:00:00,28,23,0.0,5.9,6,1,62,01:40 PM,01:17 AM,05:51 AM,05:36 PM,23,26,26,23,8,58,97,0.1,1012,23,5,37,4
