date_time,Esperance_maxtempC,Esperance_mintempC,Esperance_totalSnow_cm,Esperance_sunHour,Esperance_uvIndex,Esperance_uvIndex,Esperance_moon_illumination,Esperance_moonrise,Esperance_moonset,Esperance_sunrise,Esperance_sunset,Esperance_DewPointC,Esperance_FeelsLikeC,Esperance_HeatIndexC,Esperance_WindChillC,Esperance_WindGustKmph,Esperance_cloudcover,Esperance_humidity,Esperance_precipMM,Esperance_pressure,Esperance_tempC,Esperance_visibility,Esperance_winddirDegree,Esperance_windspeedKmph
2019-12-04 00:00:00,32,17,0.0,12.2,7,1,48,11:23 AM,12:13 AM,04:34 AM,06:51 PM,10,21,23,21,41,3,49,0.0,1013,21,10,46,21
2019-12-04 03:00:00,32,17,0.0,12.2,7,1,48,11:23 AM,12:13 AM,04:34 AM,06:51 PM,9,20,20,20,27,5,50,0.0,1012,20,10,44,13
2019-12-04 06:00:00,32,17,0.0,12.2,7,1,48,11:23 AM,12:13 AM,04:34 AM,06:51 PM,7,22,21,22,24,30,40,0.0,1012,22,10,23,14
2019-12-04 09:00:00,32,17,0.0,12.2,7,6,48,11:23 AM,12:13 AM,04:34 AM,06:51 PM,7,27,27,29,30,73,25,0.2,1012,29,10,77,22
2019-12-04 12:00:00,32,17,0.0,12.2,7,7,48,11:23 AM,12:13 AM,04:34 AM,06:51 PM,11,30,30,31,26,78,30,0.5,1012,31,10,204,21
2019-12-04 15:00:00,32,17,0.0,12.2,7,7,48,11:23 AM,12:13 AM,04:34 AM,06:51 PM,13,27,27,26,27,56,44,0.3,1012,26,10,175,21
2019-12-04 18:00:00,32,17,0.0,12.2,7,1,48,11:23 AM,12:13 AM,04:34 AM,06:51 PM,14,23,23,22,27,6,61,0.0,1014,22,10,169,18
2019-12-04 21:00:00,32,17,0.0,12.2,7,1,48,11:23 AM,12:13 AM,04:34 AM,06:51 PM,15,19,19,19,24,5,78,0.0,1016,19,10,167,14
2019-12-05 00:00:00,21,14,0.0,14.2,6,1,55,12:17 PM,12:44 AM,04:34 AM,06:51 PM,15,17,17,17,26,22,91,0.0,1017,17,10,175,15
2019-12-05 03:00:00,21,14,0.0,14.2,6,1,55,12:17 PM,12:44 AM,04:34 AM,06:51 PM,15,16,16,16,24,53,93,0.0,1016,16,10,162,15
2019-12-05 06:00:00,21,14,0.0,14.2,6,1,55,12:17 PM,12:44 AM,04:34 AM,06:51 PM,15,17,17,17,19,51,85,0.0,1018,17,10,153,15
2019-12-05 09:00:00,21,14,0.0,14.2,6,5,55,12:17 PM,12:44 AM,04:34 AM,06:51 PM,14,20,21,20,18,36,72,0.0,1018,20,10,153,15
2019-12-05 12:00:00,21,14,0.0,14.2,6,6,55,12:17 PM,12:44 AM,04:34 AM,06:51 PM,14,21,24,21,22,6,63,0.0,1018,21,10,156,19
2019-12-05 15:00:00,21,14,0.0,14.2,6,6,55,12:17 PM,12:44 AM,04:34 AM,06:51 PM,14,21,23,21,27,3,67,0.0,1017,21,10,144,24
2019-12-05 18:00:00,21,14,0.0,14.2,6,1,55,12:17 PM,12:44 AM,04:34 AM,06:51 PM,14,18,18,18,28,8,78,0.0,1018,18,10,125,22
2019-12-05 21:00:00,21,14,0.0,14.2,6,1,55,12:17 PM,12:44 AM,04:34 AM,06:51 PM,13,14,15,14,27,26,90,0.0,1018,15,10,104,18
2019-12-06 00:00:00,30,13,0.0,14.2,7,1,62,01:12 PM,01:13 AM,04:34 AM,06:52 PM,13,13,14,13,27,31,93,0.0,1018,14,10,82,16
2019-12-06 03:00:00,30,13,0.0,14.2,7,1,62,01:12 PM,01:13 AM,04:34 AM,06:52 PM,12,12,13,12,30,31,93,0.0,1016,13,10,61,18
