date_time,Eulomogo_maxtempC,Eulomogo_mintempC,Eulomogo_totalSnow_cm,Eulomogo_sunHour,Eulomogo_uvIndex,Eulomogo_uvIndex,Eulomogo_moon_illumination,Eulomogo_moonrise,Eulomogo_moonset,Eulomogo_sunrise,Eulomogo_sunset,Eulomogo_DewPointC,Eulomogo_FeelsLikeC,Eulomogo_HeatIndexC,Eulomogo_WindChillC,Eulomogo_WindGustKmph,Eulomogo_cloudcover,Eulomogo_humidity,Eulomogo_precipMM,Eulomogo_pressure,Eulomogo_tempC,Eulomogo_visibility,Eulomogo_winddirDegree,Eulomogo_windspeedKmph
2019-12-04 00:00:00,28,12,0.0,14.5,6,1,48,11:34 AM,12:21 AM,04:51 AM,07:00 PM,4,16,17,16,19,1,47,0.0,1011,16,10,248,9
2019-12-04 03:00:00,28,12,0.0,14.5,6,1,48,11:34 AM,12:21 AM,04:51 AM,07:00 PM,4,13,13,13,14,0,55,0.0,1011,13,10,228,7
2019-12-04 06:00:00,28,12,0.0,14.5,6,1,48,11:34 AM,12:21 AM,04:51 AM,07:00 PM,5,16,16,16,12,0,50,0.0,1013,16,10,221,9
2019-12-04 09:00:00,28,12,0.0,14.5,6,6,48,11:34 AM,12:21 AM,04:51 AM,07:00 PM,3,22,21,22,19,0,31,0.0,1013,22,10,239,16
2019-12-04 12:00:00,28,12,0.0,14.5,6,7,48,11:34 AM,12:21 AM,04:51 AM,07:00 PM,-0,25,25,26,26,0,18,0.0,1012,26,10,251,23
2019-12-04 15:00:00,28,12,0.0,14.5,6,7,48,11:34 AM,12:21 AM,04:51 AM,07:00 PM,-1,26,26,28,28,0,15,0.0,1010,28,10,249,24
2019-12-04 18:00:00,28,12,0.0,14.5,6,1,48,11:34 AM,12:21 AM,04:51 AM,07:00 PM,-0,26,26,26,28,0,21,0.0,1011,26,10,240,18
2019-12-04 21:00:00,28,12,0.0,14.5,6,1,48,11:34 AM,12:21 AM,04:51 AM,07:00 PM,0,25,25,22,21,0,29,0.0,1013,22,10,226,10
2019-12-05 00:00:00,33,13,0.0,14.5,7,1,55,12:27 PM,12:53 AM,04:51 AM,07:00 PM,0,17,18,17,12,0,35,0.0,1013,17,10,223,6
2019-12-05 03:00:00,33,13,0.0,14.5,7,1,55,12:27 PM,12:53 AM,04:51 AM,07:00 PM,0,14,14,14,5,0,40,0.0,1013,14,10,200,3
2019-12-05 06:00:00,33,13,0.0,14.5,7,1,55,12:27 PM,12:53 AM,04:51 AM,07:00 PM,1,18,18,18,3,0,33,0.0,1013,18,10,277,3
2019-12-05 09:00:00,33,13,0.0,14.5,7,7,55,12:27 PM,12:53 AM,04:51 AM,07:00 PM,2,24,24,25,12,1,23,0.0,1013,25,10,294,10
