date_time,Federal_maxtempC,Federal_mintempC,Federal_totalSnow_cm,Federal_sunHour,Federal_uvIndex,Federal_uvIndex,Federal_moon_illumination,Federal_moonrise,Federal_moonset,Federal_sunrise,Federal_sunset,Federal_DewPointC,Federal_FeelsLikeC,Federal_HeatIndexC,Federal_WindChillC,Federal_WindGustKmph,Federal_cloudcover,Federal_humidity,Federal_precipMM,Federal_pressure,Federal_tempC,Federal_visibility,Federal_winddirDegree,Federal_windspeedKmph
2019-12-04 00:00:00,9,7,0.0,3.3,2,1,48,02:22 PM,12:27 AM,08:39 AM,05:20 PM,7,3,5,3,10,67,90,0.1,1015,3,10,171,6
2019-12-04 03:00:00,9,7,0.0,3.3,2,1,48,02:22 PM,12:27 AM,08:39 AM,05:20 PM,7,7,8,7,9,97,92,0.2,1014,8,7,202,6
2019-12-04 06:00:00,9,7,0.0,3.3,2,1,48,02:22 PM,12:27 AM,08:39 AM,05:20 PM,7,7,8,7,8,95,94,0.6,1012,8,2,204,5
2019-12-04 09:00:00,9,7,0.0,3.3,2,2,48,02:22 PM,12:27 AM,08:39 AM,05:20 PM,7,7,7,7,8,100,96,1.7,1011,7,4,180,5
2019-12-04 12:00:00,9,7,0.0,3.3,2,2,48,02:22 PM,12:27 AM,08:39 AM,05:20 PM,7,8,8,8,3,100,98,3.4,1011,8,8,190,2
2019-12-04 15:00:00,9,7,0.0,3.3,2,2,48,02:22 PM,12:27 AM,08:39 AM,05:20 PM,8,9,9,9,1,100,98,2.7,1011,9,8,211,1
2019-12-04 18:00:00,9,7,0.0,3.3,2,2,48,02:22 PM,12:27 AM,08:39 AM,05:20 PM,8,8,9,8,4,100,98,2.2,1011,9,5,344,3
2019-12-04 21:00:00,9,7,0.0,3.3,2,1,48,02:22 PM,12:27 AM,08:39 AM,05:20 PM,8,8,8,8,9,100,97,0.4,1012,8,2,356,6
2019-12-05 00:00:00,9,6,0.0,3.3,2,1,55,02:43 PM,01:31 AM,08:40 AM,05:20 PM,7,7,8,7,8,99,93,0.3,1013,8,5,246,6
2019-12-05 03:00:00,9,6,0.0,3.3,2,1,55,02:43 PM,01:31 AM,08:40 AM,05:20 PM,6,7,7,7,8,95,92,0.0,1014,7,10,129,6
2019-12-05 06:00:00,9,6,0.0,3.3,2,1,55,02:43 PM,01:31 AM,08:40 AM,05:20 PM,6,6,7,6,6,94,94,0.0,1015,7,7,247,4
2019-12-05 09:00:00,9,6,0.0,3.3,2,2,55,02:43 PM,01:31 AM,08:40 AM,05:20 PM,6,7,7,7,3,96,94,0.0,1016,7,5,148,2
2019-12-05 12:00:00,9,6,0.0,3.3,2,2,55,02:43 PM,01:31 AM,08:40 AM,05:20 PM,6,8,8,8,3,87,89,0.0,1016,8,10,240,2
2019-12-05 15:00:00,9,6,0.0,3.3,2,2,55,02:43 PM,01:31 AM,08:40 AM,05:20 PM,7,9,9,9,3,89,86,0.0,1016,9,10,39,2
2019-12-05 18:00:00,9,6,0.0,3.3,2,2,55,02:43 PM,01:31 AM,08:40 AM,05:20 PM,7,9,9,9,2,89,89,0.0,1016,9,10,91,1
2019-12-05 21:00:00,9,6,0.0,3.3,2,1,55,02:43 PM,01:31 AM,08:40 AM,05:20 PM,7,8,8,8,4,72,91,0.0,1017,8,10,71,2
2019-12-06 00:00:00,11,2,0.0,6.9,2,1,62,03:03 PM,02:33 AM,08:41 AM,05:19 PM,6,7,7,7,5,65,88,0.0,1016,7,10,68,3
2019-12-06 03:00:00,11,2,0.0,6.9,2,1,62,03:03 PM,02:33 AM,08:41 AM,05:19 PM,5,7,7,7,8,83,86,0.0,1015,7,10,53,4
2019-12-06 06:00:00,11,2,0.0,6.9,2,1,62,03:03 PM,02:33 AM,08:41 AM,05:19 PM,4,6,7,6,8,65,86,0.0,1015,7,10,57,4
2019-12-06 09:00:00,11,2,0.0,6.9,2,3,62,03:03 PM,02:33 AM,08:41 AM,05:19 PM,4,7,7,7,3,71,84,0.0,1014,7,10,135,1
2019-12-06 12:00:00,11,2,0.0,6.9,2,3,62,03:03 PM,02:33 AM,08:41 AM,05:19 PM,5,9,9,9,1,19,76,0.0,1014,9,10,120,1
2019-12-06 15:00:00,11,2,0.0,6.9,2,4,62,03:03 PM,02:33 AM,08:41 AM,05:19 PM,5,10,10,10,1,40,72,0.0,1012,10,10,87,1
2019-12-06 18:00:00,11,2,0.0,6.9,2,2,62,03:03 PM,02:33 AM,08:41 AM,05:19 PM,6,8,9,8,6,55,79,0.2,1012,8,8,137,4
2019-12-06 21:00:00,11,2,0.0,6.9,2,1,62,03:03 PM,02:33 AM,08:41 AM,05:19 PM,7,5,8,5,10,74,83,0.5,1011,5,4,108,6
2019-12-07 00:00:00,11,8,0.0,3.3,2,1,70,03:24 PM,03:37 AM,08:42 AM,05:19 PM,7,4,6,4,2,100,87,0.9,1010,4,4,172,1
2019-12-07 03:00:00,11,8,0.0,3.3,2,1,70,03:24 PM,03:37 AM,08:42 AM,05:19 PM,7,8,8,8,5,100,91,3.5,1008,8,8,125,3
2019-12-07 06:00:00,11,8,0.0,3.3,2,1,70,03:24 PM,03:37 AM,08:42 AM,05:19 PM,8,8,8,8,8,100,96,5.8,1007,8,6,103,5
2019-12-07 09:00:00,11,8,0.0,3.3,2,2,70,03:24 PM,03:37 AM,08:42 AM,05:19 PM,7,8,8,8,5,100,94,2.5,1007,8,8,106,3
2019-12-07 12:00:00,11,8,0.0,3.3,2,2,70,03:24 PM,03:37 AM,08:42 AM,05:19 PM,8,10,10,10,3,100,90,1.8,1007,10,5,155,2
2019-12-07 15:00:00,11,8,0.0,3.3,2,3,70,03:24 PM,03:37 AM,08:42 AM,05:19 PM,9,11,10,11,4,94,90,0.7,1007,10,4,181,3
