date_time,Finley_maxtempC,Finley_mintempC,Finley_totalSnow_cm,Finley_sunHour,Finley_uvIndex,Finley_uvIndex,Finley_moon_illumination,Finley_moonrise,Finley_moonset,Finley_sunrise,Finley_sunset,Finley_DewPointC,Finley_FeelsLikeC,Finley_HeatIndexC,Finley_WindChillC,Finley_WindGustKmph,Finley_cloudcover,Finley_humidity,Finley_precipMM,Finley_pressure,Finley_tempC,Finley_visibility,Finley_winddirDegree,Finley_windspeedKmph
2019-12-04 00:00:00,24,9,0.0,14.5,5,1,48,11:42 AM,12:39 AM,04:55 AM,07:21 PM,6,10,11,10,26,9,72,0.0,1011,11,10,245,13
2019-12-04 03:00:00,24,9,0.0,14.5,5,1,48,11:42 AM,12:39 AM,04:55 AM,07:21 PM,6,7,9,7,26,0,78,0.0,1011,9,10,252,14
2019-12-04 06:00:00,24,9,0.0,14.5,5,1,48,11:42 AM,12:39 AM,04:55 AM,07:21 PM,5,10,12,10,25,7,65,0.0,1012,12,10,253,19
2019-12-04 09:00:00,24,9,0.0,14.5,5,5,48,11:42 AM,12:39 AM,04:55 AM,07:21 PM,5,16,16,16,23,17,47,0.0,1013,16,10,251,21
2019-12-04 12:00:00,24,9,0.0,14.5,5,6,48,11:42 AM,12:39 AM,04:55 AM,07:21 PM,4,21,22,21,24,17,33,0.0,1012,21,10,258,21
2019-12-04 15:00:00,24,9,0.0,14.5,5,6,48,11:42 AM,12:39 AM,04:55 AM,07:21 PM,4,24,24,24,26,9,28,0.0,1010,24,10,263,22
2019-12-04 18:00:00,24,9,0.0,14.5,5,1,48,11:42 AM,12:39 AM,04:55 AM,07:21 PM,4,21,21,21,24,5,33,0.0,1010,21,10,275,15
2019-12-04 21:00:00,24,9,0.0,14.5,5,1,48,11:42 AM,12:39 AM,04:55 AM,07:21 PM,4,18,18,18,28,8,39,0.0,1011,18,10,274,14
2019-12-05 00:00:00,28,12,0.0,14.5,6,1,55,12:37 PM,01:09 AM,04:55 AM,07:22 PM,5,15,15,15,24,7,52,0.0,1011,15,10,256,11
2019-12-05 03:00:00,28,12,0.0,14.5,6,1,55,12:37 PM,01:09 AM,04:55 AM,07:22 PM,7,12,13,12,15,4,67,0.0,1010,13,10,264,7
2019-12-05 06:00:00,28,12,0.0,14.5,6,1,55,12:37 PM,01:09 AM,04:55 AM,07:22 PM,8,14,15,14,15,1,64,0.0,1010,15,10,279,12
2019-12-05 09:00:00,28,12,0.0,14.5,6,6,55,12:37 PM,01:09 AM,04:55 AM,07:22 PM,5,20,21,20,21,2,40,0.0,1010,20,10,279,18
2019-12-05 12:00:00,28,12,0.0,14.5,6,7,55,12:37 PM,01:09 AM,04:55 AM,07:22 PM,3,25,25,25,28,5,24,0.0,1008,25,10,269,24
2019-12-05 15:00:00,28,12,0.0,14.5,6,7,55,12:37 PM,01:09 AM,04:55 AM,07:22 PM,5,26,26,27,34,7,24,0.0,1006,27,10,262,30
2019-12-05 18:00:00,28,12,0.0,14.5,6,1,55,12:37 PM,01:09 AM,04:55 AM,07:22 PM,6,25,25,24,36,8,32,0.0,1006,24,10,245,26
2019-12-05 21:00:00,28,12,0.0,14.5,6,1,55,12:37 PM,01:09 AM,04:55 AM,07:22 PM,7,21,23,21,34,6,47,0.0,1008,21,10,220,21
2019-12-06 00:00:00,25,10,0.0,12.4,6,1,62,01:33 PM,01:37 AM,04:55 AM,07:22 PM,8,14,16,14,27,17,65,0.0,1009,15,10,217,16
2019-12-06 03:00:00,25,10,0.0,12.4,6,1,62,01:33 PM,01:37 AM,04:55 AM,07:22 PM,8,10,11,10,23,74,78,0.0,1009,11,10,222,13
2019-12-06 06:00:00,25,10,0.0,12.4,6,1,62,01:33 PM,01:37 AM,04:55 AM,07:22 PM,7,11,12,11,19,90,69,0.0,1011,12,10,228,14
2019-12-06 09:00:00,25,10,0.0,12.4,6,4,62,01:33 PM,01:37 AM,04:55 AM,07:22 PM,5,17,18,17,21,95,45,0.0,1011,18,10,234,18
2019-12-06 12:00:00,25,10,0.0,12.4,6,5,62,01:33 PM,01:37 AM,04:55 AM,07:22 PM,4,23,23,23,26,57,29,0.0,1010,23,10,244,23
2019-12-06 15:00:00,25,10,0.0,12.4,6,6,62,01:33 PM,01:37 AM,04:55 AM,07:22 PM,4,24,24,24,31,23,26,0.0,1009,24,10,234,27
2019-12-06 18:00:00,25,10,0.0,12.4,6,1,62,01:33 PM,01:37 AM,04:55 AM,07:22 PM,4,21,21,21,30,10,33,0.0,1010,21,10,220,21
2019-12-06 21:00:00,25,10,0.0,12.4,6,1,62,01:33 PM,01:37 AM,04:55 AM,07:22 PM,5,18,21,18,26,2,49,0.0,1013,18,10,198,15
2019-12-07 00:00:00,27,10,0.0,14.5,6,1,70,02:28 PM,02:04 AM,04:55 AM,07:23 PM,5,12,15,12,26,8,60,0.0,1014,13,10,203,15
2019-12-07 03:00:00,27,10,0.0,14.5,6,1,70,02:28 PM,02:04 AM,04:55 AM,07:23 PM,5,8,10,8,28,6,69,0.0,1014,10,10,218,17
2019-12-07 06:00:00,27,10,0.0,14.5,6,1,70,02:28 PM,02:04 AM,04:55 AM,07:23 PM,4,9,11,9,24,4,63,0.0,1016,11,10,219,18
2019-12-07 09:00:00,27,10,0.0,14.5,6,5,70,02:28 PM,02:04 AM,04:55 AM,07:23 PM,4,17,18,17,22,5,41,0.0,1015,18,10,217,19
2019-12-07 12:00:00,27,10,0.0,14.5,6,6,70,02:28 PM,02:04 AM,04:55 AM,07:23 PM,4,23,23,24,23,4,28,0.0,1014,24,10,225,20
2019-12-07 15:00:00,27,10,0.0,14.5,6,7,70,02:28 PM,02:04 AM,04:55 AM,07:23 PM,5,25,25,26,23,5,25,0.0,1013,26,10,225,20
2019-12-07 18:00:00,27,10,0.0,14.5,6,1,70,02:28 PM,02:04 AM,04:55 AM,07:23 PM,5,24,24,24,17,5,30,0.0,1014,24,10,187,11
2019-12-07 21:00:00,27,10,0.0,14.5,6,1,70,02:28 PM,02:04 AM,04:55 AM,07:23 PM,5,20,22,20,22,2,41,0.0,1016,20,10,178,10
2019-12-08 00:00:00,32,12,0.0,14.5,7,1,77,03:25 PM,02:31 AM,04:55 AM,07:24 PM,6,16,17,16,22,0,54,0.0,1017,16,10,199,10
2019-12-08 03:00:00,32,12,0.0,14.5,7,1,77,03:25 PM,02:31 AM,04:55 AM,07:24 PM,6,12,13,12,17,7,65,0.0,1017,13,10,198,8
2019-12-08 06:00:00,32,12,0.0,14.5,7,1,77,03:25 PM,02:31 AM,04:55 AM,07:24 PM,6,15,15,15,10,3,56,0.0,1017,15,10,165,7
2019-12-08 09:00:00,32,12,0.0,14.5,7,6,77,03:25 PM,02:31 AM,04:55 AM,07:24 PM,5,22,22,23,6,4,33,0.0,1018,23,10,193,5
2019-12-08 12:00:00,32,12,0.0,14.5,7,7,77,03:25 PM,02:31 AM,04:55 AM,07:24 PM,3,27,27,29,6,2,18,0.0,1016,29,10,247,5
2019-12-08 15:00:00,32,12,0.0,14.5,7,8,77,03:25 PM,02:31 AM,04:55 AM,07:24 PM,2,29,29,32,10,2,15,0.0,1014,32,10,245,8
2019-12-08 18:00:00,32,12,0.0,14.5,7,1,77,03:25 PM,02:31 AM,04:55 AM,07:24 PM,3,27,27,29,11,4,19,0.0,1015,29,10,210,7
2019-12-08 21:00:00,32,12,0.0,14.5,7,1,77,03:25 PM,02:31 AM,04:55 AM,07:24 PM,3,24,24,24,13,4,24,0.0,1016,24,10,187,6
2019-12-09 00:00:00,38,19,0.0,14.5,8,1,84,04:23 PM,03:00 AM,04:55 AM,07:25 PM,4,21,21,21,19,3,31,0.0,1016,21,10,128,9
2019-12-09 03:00:00,38,19,0.0,14.5,8,1,84,04:23 PM,03:00 AM,04:55 AM,07:25 PM,4,19,19,19,28,4,37,0.0,1016,19,10,81,14
2019-12-09 06:00:00,38,19,0.0,14.5,8,1,84,04:23 PM,03:00 AM,04:55 AM,07:25 PM,10,21,23,21,27,6,50,0.0,1016,21,10,55,18
2019-12-09 09:00:00,38,19,0.0,14.5,8,7,84,04:23 PM,03:00 AM,04:55 AM,07:25 PM,10,28,28,28,22,6,35,0.0,1017,28,10,27,19
2019-12-09 12:00:00,38,19,0.0,14.5,8,8,84,04:23 PM,03:00 AM,04:55 AM,07:25 PM,4,33,33,35,18,6,16,0.0,1015,35,10,230,15
2019-12-09 15:00:00,38,19,0.0,14.5,8,9,84,04:23 PM,03:00 AM,04:55 AM,07:25 PM,0,36,36,37,14,6,10,0.0,1012,37,10,314,13
2019-12-09 18:00:00,38,19,0.0,14.5,8,1,84,04:23 PM,03:00 AM,04:55 AM,07:25 PM,1,39,39,36,10,6,12,0.0,1011,36,10,148,7
2019-12-09 21:00:00,38,19,0.0,14.5,8,1,84,04:23 PM,03:00 AM,04:55 AM,07:25 PM,-0,38,38,34,15,16,15,0.0,1012,34,10,250,8
2019-12-10 00:00:00,32,21,0.0,14.5,7,1,92,05:24 PM,03:31 AM,04:55 AM,07:26 PM,4,28,28,27,29,15,27,0.0,1012,27,10,219,15
2019-12-10 03:00:00,32,21,0.0,14.5,7,1,92,05:24 PM,03:31 AM,04:55 AM,07:26 PM,7,24,24,22,32,12,38,0.0,1012,22,10,209,17
2019-12-10 06:00:00,32,21,0.0,14.5,7,1,92,05:24 PM,03:31 AM,04:55 AM,07:26 PM,10,21,22,21,22,8,48,0.0,1014,21,10,226,16
2019-12-10 09:00:00,32,21,0.0,14.5,7,7,92,05:24 PM,03:31 AM,04:55 AM,07:26 PM,11,26,26,26,19,6,38,0.0,1014,26,10,231,16
2019-12-10 12:00:00,32,21,0.0,14.5,7,8,92,05:24 PM,03:31 AM,04:55 AM,07:26 PM,8,29,29,31,26,2,24,0.0,1012,31,10,243,22
2019-12-10 15:00:00,32,21,0.0,14.5,7,8,92,05:24 PM,03:31 AM,04:55 AM,07:26 PM,5,29,29,31,31,1,19,0.0,1011,31,10,234,27
2019-12-10 18:00:00,32,21,0.0,14.5,7,1,92,05:24 PM,03:31 AM,04:55 AM,07:26 PM,5,31,31,29,33,1,25,0.0,1012,29,10,225,24
2019-12-10 21:00:00,32,21,0.0,14.5,7,1,92,05:24 PM,03:31 AM,04:55 AM,07:26 PM,3,30,30,27,34,20,33,0.0,1014,27,10,225,21
2019-12-11 00:00:00,29,12,0.0,14.5,6,1,99,06:25 PM,04:06 AM,04:55 AM,07:27 PM,3,17,19,17,28,14,43,0.0,1015,18,10,225,16
2019-12-11 03:00:00,29,12,0.0,14.5,6,1,99,06:25 PM,04:06 AM,04:55 AM,07:27 PM,5,12,13,12,22,2,59,0.0,1014,13,10,220,12
2019-12-11 06:00:00,29,12,0.0,14.5,6,1,99,06:25 PM,04:06 AM,04:55 AM,07:27 PM,6,14,15,14,15,0,58,0.0,1014,15,10,203,10
2019-12-11 09:00:00,29,12,0.0,14.5,6,6,99,06:25 PM,04:06 AM,04:55 AM,07:27 PM,6,21,21,21,12,4,39,0.0,1014,21,10,225,10
2019-12-11 12:00:00,29,12,0.0,14.5,6,7,99,06:25 PM,04:06 AM,04:55 AM,07:27 PM,3,26,26,27,17,10,21,0.0,1012,27,10,242,15
2019-12-11 15:00:00,29,12,0.0,14.5,6,7,99,06:25 PM,04:06 AM,04:55 AM,07:27 PM,2,27,27,29,28,5,18,0.0,1010,29,10,236,24
2019-12-11 18:00:00,29,12,0.0,14.5,6,1,99,06:25 PM,04:06 AM,04:55 AM,07:27 PM,6,27,27,27,39,13,30,0.0,1011,27,10,228,29
2019-12-11 21:00:00,29,12,0.0,14.5,6,1,99,06:25 PM,04:06 AM,04:55 AM,07:27 PM,7,27,27,24,41,13,46,0.0,1013,24,10,223,26
2019-12-12 00:00:00,26,13,0.0,14.5,6,1,100,07:28 PM,04:46 AM,04:55 AM,07:27 PM,8,17,19,17,37,8,59,0.0,1014,18,10,216,23
2019-12-12 03:00:00,26,13,0.0,14.5,6,1,100,07:28 PM,04:46 AM,04:55 AM,07:27 PM,8,12,13,12,29,8,72,0.0,1014,13,10,215,17
2019-12-12 06:00:00,26,13,0.0,14.5,6,1,100,07:28 PM,04:46 AM,04:55 AM,07:27 PM,8,14,15,14,22,3,65,0.0,1014,15,10,210,16
2019-12-12 09:00:00,26,13,0.0,14.5,6,6,100,07:28 PM,04:46 AM,04:55 AM,07:27 PM,6,21,21,21,24,0,40,0.0,1014,21,10,216,21
2019-12-12 12:00:00,26,13,0.0,14.5,6,7,100,07:28 PM,04:46 AM,04:55 AM,07:27 PM,4,25,25,25,31,1,25,0.0,1013,25,10,222,27
2019-12-12 15:00:00,26,13,0.0,14.5,6,7,100,07:28 PM,04:46 AM,04:55 AM,07:27 PM,4,25,25,26,36,0,23,0.0,1011,26,10,216,31
2019-12-12 18:00:00,26,13,0.0,14.5,6,1,100,07:28 PM,04:46 AM,04:55 AM,07:27 PM,4,26,26,24,42,7,31,0.0,1013,24,10,212,32
2019-12-12 21:00:00,26,13,0.0,14.5,6,1,100,07:28 PM,04:46 AM,04:55 AM,07:27 PM,5,20,24,20,48,9,45,0.0,1016,20,10,216,32
2019-12-13 00:00:00,26,11,0.0,14.5,6,1,87,08:29 PM,05:34 AM,04:55 AM,07:28 PM,4,14,16,14,46,14,51,0.0,1016,15,10,214,30
2019-12-13 03:00:00,26,11,0.0,14.5,6,1,87,08:29 PM,05:34 AM,04:55 AM,07:28 PM,4,9,11,9,32,14,60,0.0,1016,11,10,209,20
2019-12-13 06:00:00,26,11,0.0,14.5,6,1,87,08:29 PM,05:34 AM,04:55 AM,07:28 PM,3,11,12,11,19,14,55,0.0,1016,12,10,203,14
2019-12-13 09:00:00,26,11,0.0,14.5,6,5,87,08:29 PM,05:34 AM,04:55 AM,07:28 PM,-1,18,18,18,16,17,30,0.0,1016,18,10,208,14
2019-12-13 12:00:00,26,11,0.0,14.5,6,6,87,08:29 PM,05:34 AM,04:55 AM,07:28 PM,0,23,23,24,27,21,21,0.0,1013,24,10,223,23
2019-12-13 15:00:00,26,11,0.0,14.5,6,7,87,08:29 PM,05:34 AM,04:55 AM,07:28 PM,5,25,25,26,33,26,26,0.0,1012,26,10,217,29
2019-12-13 18:00:00,26,11,0.0,14.5,6,1,87,08:29 PM,05:34 AM,04:55 AM,07:28 PM,7,24,24,24,30,20,35,0.0,1012,24,10,203,22
2019-12-13 21:00:00,26,11,0.0,14.5,6,1,87,08:29 PM,05:34 AM,04:55 AM,07:28 PM,9,20,23,20,26,20,52,0.0,1014,20,10,193,15
2019-12-14 00:00:00,27,14,0.0,14.5,6,1,79,09:27 PM,06:28 AM,04:56 AM,07:29 PM,10,17,18,17,24,13,64,0.0,1014,17,10,202,13
2019-12-14 03:00:00,27,14,0.0,14.5,6,1,79,09:27 PM,06:28 AM,04:56 AM,07:29 PM,10,14,14,14,22,9,76,0.0,1014,14,10,221,12
2019-12-14 06:00:00,27,14,0.0,14.5,6,1,79,09:27 PM,06:28 AM,04:56 AM,07:29 PM,11,15,16,15,22,18,72,0.0,1014,16,10,227,17
2019-12-14 09:00:00,27,14,0.0,14.5,6,6,79,09:27 PM,06:28 AM,04:56 AM,07:29 PM,8,21,22,21,23,11,47,0.0,1014,21,10,228,21
2019-12-14 12:00:00,27,14,0.0,14.5,6,7,79,09:27 PM,06:28 AM,04:56 AM,07:29 PM,8,25,25,25,26,6,33,0.0,1012,25,10,222,22
