date_time,Gatton_maxtempC,Gatton_mintempC,Gatton_totalSnow_cm,Gatton_sunHour,Gatton_uvIndex,Gatton_uvIndex,Gatton_moon_illumination,Gatton_moonrise,Gatton_moonset,Gatton_sunrise,Gatton_sunset,Gatton_DewPointC,Gatton_FeelsLikeC,Gatton_HeatIndexC,Gatton_WindChillC,Gatton_WindGustKmph,Gatton_cloudcover,Gatton_humidity,Gatton_precipMM,Gatton_pressure,Gatton_tempC,Gatton_visibility,Gatton_winddirDegree,Gatton_windspeedKmph
2019-12-04 00:00:00,31,13,0.0,13.9,7,1,48,11:24 AM,No moonset,04:47 AM,06:34 PM,0,16,18,16,22,0,36,0.0,1011,17,10,231,10
2019-12-04 03:00:00,31,13,0.0,13.9,7,1,48,11:24 AM,No moonset,04:47 AM,06:34 PM,1,14,14,14,14,0,42,0.0,1011,14,10,220,7
2019-12-04 06:00:00,31,13,0.0,13.9,7,1,48,11:24 AM,No moonset,04:47 AM,06:34 PM,2,18,18,18,8,0,35,0.0,1012,18,10,220,5
2019-12-04 09:00:00,31,13,0.0,13.9,7,6,48,11:24 AM,No moonset,04:47 AM,06:34 PM,3,24,24,25,14,0,24,0.0,1013,25,10,228,12
2019-12-04 12:00:00,31,13,0.0,13.9,7,7,48,11:24 AM,No moonset,04:47 AM,06:34 PM,-0,27,27,29,21,0,15,0.0,1011,29,10,240,18
2019-12-04 15:00:00,31,13,0.0,13.9,7,8,48,11:24 AM,No moonset,04:47 AM,06:34 PM,-1,28,28,31,24,0,13,0.0,1009,31,10,239,21
2019-12-04 18:00:00,31,13,0.0,13.9,7,1,48,11:24 AM,No moonset,04:47 AM,06:34 PM,-1,29,29,28,23,0,18,0.0,1010,28,10,225,14
2019-12-04 21:00:00,31,13,0.0,13.9,7,1,48,11:24 AM,No moonset,04:47 AM,06:34 PM,-2,28,28,25,19,0,24,0.0,1012,25,10,243,9
2019-12-05 00:00:00,32,15,0.0,13.9,7,1,55,12:16 PM,12:33 AM,04:47 AM,06:35 PM,-1,19,19,19,13,0,29,0.0,1012,19,10,230,6
2019-12-05 03:00:00,32,15,0.0,13.9,7,1,55,12:16 PM,12:33 AM,04:47 AM,06:35 PM,-2,15,15,15,7,0,32,0.0,1012,15,10,229,3
2019-12-05 06:00:00,32,15,0.0,13.9,7,1,55,12:16 PM,12:33 AM,04:47 AM,06:35 PM,-1,20,20,20,8,0,26,0.0,1013,20,10,242,5
2019-12-05 09:00:00,32,15,0.0,13.9,7,7,55,12:16 PM,12:33 AM,04:47 AM,06:35 PM,-1,26,26,27,15,0,17,0.0,1013,27,10,241,13
2019-12-05 12:00:00,32,15,0.0,13.9,7,8,55,12:16 PM,12:33 AM,04:47 AM,06:35 PM,-3,29,29,31,20,0,11,0.0,1011,31,10,245,17
2019-12-05 15:00:00,32,15,0.0,13.9,7,8,55,12:16 PM,12:33 AM,04:47 AM,06:35 PM,-3,29,29,32,23,0,10,0.0,1009,32,10,239,20
