date_time,Gayabaru_maxtempC,Gayabaru_mintempC,Gayabaru_totalSnow_cm,Gayabaru_sunHour,Gayabaru_uvIndex,Gayabaru_uvIndex,Gayabaru_moon_illumination,Gayabaru_moonrise,Gayabaru_moonset,Gayabaru_sunrise,Gayabaru_sunset,Gayabaru_DewPointC,Gayabaru_FeelsLikeC,Gayabaru_HeatIndexC,Gayabaru_WindChillC,Gayabaru_WindGustKmph,Gayabaru_cloudcover,Gayabaru_humidity,Gayabaru_precipMM,Gayabaru_pressure,Gayabaru_tempC,Gayabaru_visibility,Gayabaru_winddirDegree,Gayabaru_windspeedKmph
2019-12-04 00:00:00,30,24,0.0,6.0,6,1,48,12:33 PM,12:04 AM,06:15 AM,06:12 PM,23,27,27,24,10,76,91,1.9,1011,24,10,162,5
2019-12-04 03:00:00,30,24,0.0,6.0,6,1,48,12:33 PM,12:04 AM,06:15 AM,06:12 PM,22,26,26,24,10,79,92,0.7,1009,24,10,156,5
2019-12-04 06:00:00,30,24,0.0,6.0,6,1,48,12:33 PM,12:04 AM,06:15 AM,06:12 PM,22,26,26,24,11,75,92,0.1,1010,24,10,162,6
2019-12-04 09:00:00,30,24,0.0,6.0,6,6,48,12:33 PM,12:04 AM,06:15 AM,06:12 PM,23,31,31,27,6,82,78,0.2,1011,27,9,177,4
2019-12-04 12:00:00,30,24,0.0,6.0,6,6,48,12:33 PM,12:04 AM,06:15 AM,06:12 PM,24,34,34,29,7,86,72,1.4,1010,29,9,94,5
2019-12-04 15:00:00,30,24,0.0,6.0,6,6,48,12:33 PM,12:04 AM,06:15 AM,06:12 PM,25,34,34,29,9,86,79,3.2,1008,29,8,51,5
2019-12-04 18:00:00,30,24,0.0,6.0,6,6,48,12:33 PM,12:04 AM,06:15 AM,06:12 PM,24,30,30,27,5,69,87,5.5,1009,27,7,62,3
2019-12-04 21:00:00,30,24,0.0,6.0,6,1,48,12:33 PM,12:04 AM,06:15 AM,06:12 PM,23,28,28,25,5,61,91,4.0,1011,25,7,216,3
2019-12-05 00:00:00,31,23,0.0,7.4,6,1,55,01:14 PM,12:48 AM,06:15 AM,06:12 PM,23,27,27,24,10,71,93,3.1,1011,24,7,271,5
2019-12-05 03:00:00,31,23,0.0,7.4,6,1,55,01:14 PM,12:48 AM,06:15 AM,06:12 PM,23,26,26,24,12,84,95,1.3,1010,24,8,268,6
