date_time,Gayndah_maxtempC,Gayndah_mintempC,Gayndah_totalSnow_cm,Gayndah_sunHour,Gayndah_uvIndex,Gayndah_uvIndex,Gayndah_moon_illumination,Gayndah_moonrise,Gayndah_moonset,Gayndah_sunrise,Gayndah_sunset,Gayndah_DewPointC,Gayndah_FeelsLikeC,Gayndah_HeatIndexC,Gayndah_WindChillC,Gayndah_WindGustKmph,Gayndah_cloudcover,Gayndah_humidity,Gayndah_precipMM,Gayndah_pressure,Gayndah_tempC,Gayndah_visibility,Gayndah_winddirDegree,Gayndah_windspeedKmph
2019-12-04 00:00:00,34,19,0.0,13.8,8,1,48,11:29 AM,No moonset,04:54 AM,06:33 PM,7,23,23,22,9,3,41,0.0,1011,22,10,156,4
2019-12-04 03:00:00,34,19,0.0,13.8,8,1,48,11:29 AM,No moonset,04:54 AM,06:33 PM,5,19,19,19,9,3,40,0.0,1011,19,10,194,4
2019-12-04 06:00:00,34,19,0.0,13.8,8,1,48,11:29 AM,No moonset,04:54 AM,06:33 PM,5,22,22,22,7,3,33,0.0,1012,22,10,202,5
2019-12-04 09:00:00,34,19,0.0,13.8,8,7,48,11:29 AM,No moonset,04:54 AM,06:33 PM,3,26,26,28,8,1,22,0.0,1013,28,10,203,7
2019-12-04 12:00:00,34,19,0.0,13.8,8,8,48,11:29 AM,No moonset,04:54 AM,06:33 PM,2,30,30,32,13,0,15,0.0,1011,32,10,235,12
2019-12-04 15:00:00,34,19,0.0,13.8,8,8,48,11:29 AM,No moonset,04:54 AM,06:33 PM,1,31,31,34,17,0,13,0.0,1009,34,10,255,14
2019-12-04 18:00:00,34,19,0.0,13.8,8,1,48,11:29 AM,No moonset,04:54 AM,06:33 PM,1,33,33,32,16,0,18,0.0,1010,32,10,221,9
2019-12-04 21:00:00,34,19,0.0,13.8,8,1,48,11:29 AM,No moonset,04:54 AM,06:33 PM,3,32,32,30,12,0,28,0.0,1012,30,10,144,6
2019-12-05 00:00:00,35,18,0.0,13.8,8,1,55,12:20 PM,12:34 AM,04:54 AM,06:33 PM,7,23,23,23,8,0,43,0.0,1012,23,10,141,4
2019-12-05 03:00:00,35,18,0.0,13.8,8,1,55,12:20 PM,12:34 AM,04:54 AM,06:33 PM,8,18,18,18,6,0,51,0.0,1012,18,10,191,3
2019-12-05 06:00:00,35,18,0.0,13.8,8,1,55,12:20 PM,12:34 AM,04:54 AM,06:33 PM,8,23,23,22,4,0,39,0.0,1013,22,10,224,3
2019-12-05 09:00:00,35,18,0.0,13.8,8,7,55,12:20 PM,12:34 AM,04:54 AM,06:33 PM,2,28,28,30,5,0,19,0.0,1013,30,10,221,5
2019-12-05 12:00:00,35,18,0.0,13.8,8,8,55,12:20 PM,12:34 AM,04:54 AM,06:33 PM,-2,32,32,34,12,0,10,0.0,1011,34,10,246,10
2019-12-05 15:00:00,35,18,0.0,13.8,8,8,55,12:20 PM,12:34 AM,04:54 AM,06:33 PM,-2,33,33,35,17,0,9,0.0,1009,35,10,253,14
2019-12-05 18:00:00,35,18,0.0,13.8,8,1,55,12:20 PM,12:34 AM,04:54 AM,06:33 PM,-2,34,34,33,15,0,14,0.0,1009,33,10,238,9
2019-12-05 21:00:00,35,18,0.0,13.8,8,1,55,12:20 PM,12:34 AM,04:54 AM,06:33 PM,4,33,33,30,10,0,30,0.0,1011,30,10,118,5
2019-12-06 00:00:00,37,19,0.0,13.8,8,1,62,01:11 PM,01:07 AM,04:54 AM,06:34 PM,10,24,24,23,5,0,53,0.0,1011,23,10,243,3
2019-12-06 03:00:00,37,19,0.0,13.8,8,1,62,01:11 PM,01:07 AM,04:54 AM,06:34 PM,12,19,19,19,3,0,63,0.0,1011,19,10,264,1
2019-12-06 06:00:00,37,19,0.0,13.8,8,1,62,01:11 PM,01:07 AM,04:54 AM,06:34 PM,12,23,23,23,4,0,49,0.0,1012,23,10,271,3
2019-12-06 09:00:00,37,19,0.0,13.8,8,8,62,01:11 PM,01:07 AM,04:54 AM,06:34 PM,8,30,30,31,7,0,26,0.0,1012,31,10,310,6
2019-12-06 12:00:00,37,19,0.0,13.8,8,9,62,01:11 PM,01:07 AM,04:54 AM,06:34 PM,5,35,35,36,12,2,14,0.0,1009,36,10,290,10
2019-12-06 15:00:00,37,19,0.0,13.8,8,9,62,01:11 PM,01:07 AM,04:54 AM,06:34 PM,4,36,36,37,13,3,13,0.0,1007,37,10,275,11
2019-12-06 18:00:00,37,19,0.0,13.8,8,1,62,01:11 PM,01:07 AM,04:54 AM,06:34 PM,9,35,35,34,13,4,27,0.0,1008,34,10,120,8
2019-12-06 21:00:00,37,19,0.0,13.8,8,1,62,01:11 PM,01:07 AM,04:54 AM,06:34 PM,15,34,34,31,9,1,54,0.0,1010,31,10,24,4
2019-12-07 00:00:00,39,22,0.0,13.8,8,1,70,02:02 PM,01:39 AM,04:55 AM,06:35 PM,18,28,28,25,8,0,68,0.0,1010,25,10,225,4
2019-12-07 03:00:00,39,22,0.0,13.8,8,1,70,02:02 PM,01:39 AM,04:55 AM,06:35 PM,17,25,25,22,9,0,71,0.0,1010,22,10,333,4
2019-12-07 06:00:00,39,22,0.0,13.8,8,1,70,02:02 PM,01:39 AM,04:55 AM,06:35 PM,16,26,26,25,12,1,57,0.0,1011,25,10,331,9
2019-12-07 09:00:00,39,22,0.0,13.8,8,8,70,02:02 PM,01:39 AM,04:55 AM,06:35 PM,15,32,32,32,14,3,38,0.0,1012,32,10,311,12
2019-12-07 12:00:00,39,22,0.0,13.8,8,9,70,02:02 PM,01:39 AM,04:55 AM,06:35 PM,9,37,37,37,14,5,20,0.0,1009,37,10,290,12
2019-12-07 15:00:00,39,22,0.0,13.8,8,9,70,02:02 PM,01:39 AM,04:55 AM,06:35 PM,6,38,38,38,10,4,14,0.0,1008,38,10,327,9
2019-12-07 18:00:00,39,22,0.0,13.8,8,1,70,02:02 PM,01:39 AM,04:55 AM,06:35 PM,14,38,38,35,21,1,38,0.0,1009,35,10,122,13
