date_time,Gilgai_maxtempC,Gilgai_mintempC,Gilgai_totalSnow_cm,Gilgai_sunHour,Gilgai_uvIndex,Gilgai_uvIndex,Gilgai_moon_illumination,Gilgai_moonrise,Gilgai_moonset,Gilgai_sunrise,Gilgai_sunset,Gilgai_DewPointC,Gilgai_FeelsLikeC,Gilgai_HeatIndexC,Gilgai_WindChillC,Gilgai_WindGustKmph,Gilgai_cloudcover,Gilgai_humidity,Gilgai_precipMM,Gilgai_pressure,Gilgai_tempC,Gilgai_visibility,Gilgai_winddirDegree,Gilgai_windspeedKmph
2019-12-04 00:00:00,28,11,0.0,14.0,6,1,48,11:27 AM,12:08 AM,04:47 AM,06:44 PM,2,13,14,13,12,1,49,0.0,1012,13,10,195,6
2019-12-04 03:00:00,28,11,0.0,14.0,6,1,48,11:27 AM,12:08 AM,04:47 AM,06:44 PM,2,11,11,11,12,0,51,0.0,1012,11,10,176,6
2019-12-04 06:00:00,28,11,0.0,14.0,6,1,48,11:27 AM,12:08 AM,04:47 AM,06:44 PM,3,16,16,16,13,0,42,0.0,1013,16,10,195,10
2019-12-04 09:00:00,28,11,0.0,14.0,6,6,48,11:27 AM,12:08 AM,04:47 AM,06:44 PM,2,22,22,22,17,0,28,0.0,1013,22,10,221,14
2019-12-04 12:00:00,28,11,0.0,14.0,6,7,48,11:27 AM,12:08 AM,04:47 AM,06:44 PM,1,25,25,27,18,0,19,0.0,1011,27,10,249,16
2019-12-04 15:00:00,28,11,0.0,14.0,6,7,48,11:27 AM,12:08 AM,04:47 AM,06:44 PM,0,26,26,27,21,0,17,0.0,1009,27,10,258,19
2019-12-04 18:00:00,28,11,0.0,14.0,6,1,48,11:27 AM,12:08 AM,04:47 AM,06:44 PM,1,27,27,24,21,0,25,0.0,1011,24,10,263,13
2019-12-04 21:00:00,28,11,0.0,14.0,6,1,48,11:27 AM,12:08 AM,04:47 AM,06:44 PM,0,20,24,20,14,0,33,0.0,1013,20,10,203,6
2019-12-05 00:00:00,29,12,0.0,14.0,7,1,55,12:19 PM,12:40 AM,04:47 AM,06:45 PM,-2,15,16,15,11,0,34,0.0,1013,15,10,168,5
2019-12-05 03:00:00,29,12,0.0,14.0,7,1,55,12:19 PM,12:40 AM,04:47 AM,06:45 PM,-2,12,12,12,12,0,37,0.0,1013,12,10,154,6
2019-12-05 06:00:00,29,12,0.0,14.0,7,1,55,12:19 PM,12:40 AM,04:47 AM,06:45 PM,1,17,17,17,11,0,34,0.0,1014,17,10,170,8
2019-12-05 09:00:00,29,12,0.0,14.0,7,6,55,12:19 PM,12:40 AM,04:47 AM,06:45 PM,-0,23,23,23,13,0,22,0.0,1013,23,10,213,12
2019-12-05 12:00:00,29,12,0.0,14.0,7,7,55,12:19 PM,12:40 AM,04:47 AM,06:45 PM,-2,26,26,28,16,0,15,0.0,1011,28,10,243,14
2019-12-05 15:00:00,29,12,0.0,14.0,7,7,55,12:19 PM,12:40 AM,04:47 AM,06:45 PM,-1,27,27,29,17,0,14,0.0,1009,29,10,260,14
2019-12-05 18:00:00,29,12,0.0,14.0,7,1,55,12:19 PM,12:40 AM,04:47 AM,06:45 PM,2,28,28,28,12,0,26,0.0,1010,28,10,263,8
2019-12-05 21:00:00,29,12,0.0,14.0,7,1,55,12:19 PM,12:40 AM,04:47 AM,06:45 PM,3,28,28,26,4,1,35,0.0,1011,26,10,174,2
2019-12-06 00:00:00,32,15,0.0,14.0,7,1,62,01:12 PM,01:11 AM,04:47 AM,06:46 PM,2,19,20,19,6,1,38,0.0,1011,19,10,103,3
2019-12-06 03:00:00,32,15,0.0,14.0,7,1,62,01:12 PM,01:11 AM,04:47 AM,06:46 PM,2,16,16,16,10,0,39,0.0,1010,16,10,71,5
2019-12-06 06:00:00,32,15,0.0,14.0,7,1,62,01:12 PM,01:11 AM,04:47 AM,06:46 PM,3,20,21,20,7,0,33,0.0,1011,20,10,27,5
2019-12-06 09:00:00,32,15,0.0,14.0,7,7,62,01:12 PM,01:11 AM,04:47 AM,06:46 PM,2,27,27,28,17,0,20,0.0,1011,28,10,188,14
2019-12-06 12:00:00,32,15,0.0,14.0,7,8,62,01:12 PM,01:11 AM,04:47 AM,06:46 PM,-0,29,29,32,24,0,13,0.0,1008,32,10,276,21
