date_time,Gladstone_maxtempC,Gladstone_mintempC,Gladstone_totalSnow_cm,Gladstone_sunHour,Gladstone_uvIndex,Gladstone_uvIndex,Gladstone_moon_illumination,Gladstone_moonrise,Gladstone_moonset,Gladstone_sunrise,Gladstone_sunset,Gladstone_DewPointC,Gladstone_FeelsLikeC,Gladstone_HeatIndexC,Gladstone_WindChillC,Gladstone_WindGustKmph,Gladstone_cloudcover,Gladstone_humidity,Gladstone_precipMM,Gladstone_pressure,Gladstone_tempC,Gladstone_visibility,Gladstone_winddirDegree,Gladstone_windspeedKmph
2019-12-04 00:00:00,30,20,0.0,13.7,7,1,48,11:33 AM,No moonset,04:59 AM,06:30 PM,20,22,24,22,12,8,90,0.0,1010,22,10,162,6
2019-12-04 03:00:00,30,20,0.0,13.7,7,1,48,11:33 AM,No moonset,04:59 AM,06:30 PM,19,21,22,21,16,4,89,0.0,1010,21,10,193,8
2019-12-04 06:00:00,30,20,0.0,13.7,7,1,48,11:33 AM,No moonset,04:59 AM,06:30 PM,16,24,24,23,13,2,68,0.0,1011,23,10,160,8
2019-12-04 09:00:00,30,20,0.0,13.7,7,7,48,11:33 AM,No moonset,04:59 AM,06:30 PM,16,28,28,28,17,3,49,0.0,1012,28,10,109,15
2019-12-04 12:00:00,30,20,0.0,13.7,7,7,48,11:33 AM,No moonset,04:59 AM,06:30 PM,15,30,30,30,22,2,42,0.0,1011,30,10,67,19
2019-12-04 15:00:00,30,20,0.0,13.7,7,7,48,11:33 AM,No moonset,04:59 AM,06:30 PM,18,30,30,29,22,3,52,0.0,1009,29,10,39,19
2019-12-04 18:00:00,30,20,0.0,13.7,7,1,48,11:33 AM,No moonset,04:59 AM,06:30 PM,21,27,27,25,15,3,76,0.0,1010,25,10,244,10
2019-12-04 21:00:00,30,20,0.0,13.7,7,1,48,11:33 AM,No moonset,04:59 AM,06:30 PM,21,25,25,23,13,4,88,0.0,1012,23,10,342,7
2019-12-05 00:00:00,32,21,0.0,13.7,7,1,55,12:23 PM,12:34 AM,04:59 AM,06:31 PM,21,22,25,22,12,20,92,0.0,1012,22,10,286,6
2019-12-05 03:00:00,32,21,0.0,13.7,7,1,55,12:23 PM,12:34 AM,04:59 AM,06:31 PM,20,21,22,21,9,32,94,0.0,1012,21,5,234,5
