date_time,Glenorie_maxtempC,Glenorie_mintempC,Glenorie_totalSnow_cm,Glenorie_sunHour,Glenorie_uvIndex,Glenorie_uvIndex,Glenorie_moon_illumination,Glenorie_moonrise,Glenorie_moonset,Glenorie_sunrise,Glenorie_sunset,Glenorie_DewPointC,Glenorie_FeelsLikeC,Glenorie_HeatIndexC,Glenorie_WindChillC,Glenorie_WindGustKmph,Glenorie_cloudcover,Glenorie_humidity,Glenorie_precipMM,Glenorie_pressure,Glenorie_tempC,Glenorie_visibility,Glenorie_winddirDegree,Glenorie_windspeedKmph
2019-12-04 00:00:00,32,16,0.0,14.2,7,1,48,11:22 AM,12:13 AM,04:38 AM,06:53 PM,6,19,20,19,7,4,49,0.0,1008,19,10,107,4
2019-12-04 03:00:00,32,16,0.0,14.2,7,1,48,11:22 AM,12:13 AM,04:38 AM,06:53 PM,7,16,16,16,4,1,56,0.0,1009,16,10,224,3
2019-12-04 06:00:00,32,16,0.0,14.2,7,1,48,11:22 AM,12:13 AM,04:38 AM,06:53 PM,7,20,21,20,5,0,44,0.0,1010,20,10,327,4
2019-12-04 09:00:00,32,16,0.0,14.2,7,7,48,11:22 AM,12:13 AM,04:38 AM,06:53 PM,4,26,26,27,5,0,24,0.0,1010,27,10,271,4
2019-12-04 12:00:00,32,16,0.0,14.2,7,8,48,11:22 AM,12:13 AM,04:38 AM,06:53 PM,-1,29,29,31,14,0,13,0.0,1008,31,10,249,12
2019-12-04 15:00:00,32,16,0.0,14.2,7,8,48,11:22 AM,12:13 AM,04:38 AM,06:53 PM,-2,29,29,31,18,0,12,0.0,1007,31,10,245,16
2019-12-04 18:00:00,32,16,0.0,14.2,7,1,48,11:22 AM,12:13 AM,04:38 AM,06:53 PM,6,31,31,30,12,0,33,0.0,1009,30,10,156,10
2019-12-04 21:00:00,32,16,0.0,14.2,7,1,48,11:22 AM,12:13 AM,04:38 AM,06:53 PM,11,29,29,26,6,0,56,0.0,1011,26,10,228,5
2019-12-05 00:00:00,34,16,0.0,14.2,8,1,55,12:16 PM,12:44 AM,04:38 AM,06:54 PM,9,20,20,20,7,0,55,0.0,1011,20,10,297,5
2019-12-05 03:00:00,34,16,0.0,14.2,8,1,55,12:16 PM,12:44 AM,04:38 AM,06:54 PM,5,16,16,16,6,0,48,0.0,1010,16,10,313,4
2019-12-05 06:00:00,34,16,0.0,14.2,8,1,55,12:16 PM,12:44 AM,04:38 AM,06:54 PM,4,20,21,20,5,2,35,0.0,1011,20,10,343,4
2019-12-05 09:00:00,34,16,0.0,14.2,8,7,55,12:16 PM,12:44 AM,04:38 AM,06:54 PM,3,28,28,29,8,4,20,0.0,1010,29,10,300,7
2019-12-05 12:00:00,34,16,0.0,14.2,8,8,55,12:16 PM,12:44 AM,04:38 AM,06:54 PM,0,31,31,34,19,2,12,0.0,1008,34,10,268,17
2019-12-05 15:00:00,34,16,0.0,14.2,8,8,55,12:16 PM,12:44 AM,04:38 AM,06:54 PM,0,32,32,34,23,3,12,0.0,1005,34,10,273,20
2019-12-05 18:00:00,34,16,0.0,14.2,8,1,55,12:16 PM,12:44 AM,04:38 AM,06:54 PM,0,34,34,32,22,8,15,0.0,1006,32,10,270,14
2019-12-05 21:00:00,34,16,0.0,14.2,8,1,55,12:16 PM,12:44 AM,04:38 AM,06:54 PM,-1,33,33,30,18,15,20,0.0,1007,30,10,270,9
2019-12-06 00:00:00,34,17,0.0,12.2,8,1,62,01:11 PM,01:14 AM,04:38 AM,06:55 PM,0,23,23,22,7,63,28,0.0,1008,22,10,243,3
2019-12-06 03:00:00,34,17,0.0,12.2,8,1,62,01:11 PM,01:14 AM,04:38 AM,06:55 PM,4,17,17,17,4,49,41,0.0,1007,17,10,100,2
2019-12-06 06:00:00,34,17,0.0,12.2,8,1,62,01:11 PM,01:14 AM,04:38 AM,06:55 PM,7,22,22,23,4,11,38,0.0,1008,23,10,37,2
2019-12-06 09:00:00,34,17,0.0,12.2,8,7,62,01:11 PM,01:14 AM,04:38 AM,06:55 PM,5,28,28,30,8,67,22,0.0,1008,30,10,182,7
2019-12-06 12:00:00,34,17,0.0,12.2,8,7,62,01:11 PM,01:14 AM,04:38 AM,06:55 PM,-3,31,31,33,18,100,11,0.0,1006,33,10,259,16
2019-12-06 15:00:00,34,17,0.0,12.2,8,7,62,01:11 PM,01:14 AM,04:38 AM,06:55 PM,-4,31,31,33,22,34,9,0.0,1005,33,10,259,19
2019-12-06 18:00:00,34,17,0.0,12.2,8,1,62,01:11 PM,01:14 AM,04:38 AM,06:55 PM,-1,31,31,31,21,1,14,0.0,1008,31,10,254,14
2019-12-06 21:00:00,34,17,0.0,12.2,8,1,62,01:11 PM,01:14 AM,04:38 AM,06:55 PM,10,32,32,29,17,14,63,0.0,1010,29,10,213,9
2019-12-07 00:00:00,34,16,0.0,14.2,7,1,70,02:05 PM,01:42 AM,04:38 AM,06:56 PM,15,20,21,20,11,52,91,0.0,1011,20,10,210,6
2019-12-07 03:00:00,34,16,0.0,14.2,7,1,70,02:05 PM,01:42 AM,04:38 AM,06:56 PM,14,16,16,16,8,47,90,0.0,1012,16,10,255,5
2019-12-07 06:00:00,34,16,0.0,14.2,7,1,70,02:05 PM,01:42 AM,04:38 AM,06:56 PM,14,19,19,19,6,17,72,0.0,1013,19,10,326,5
2019-12-07 09:00:00,34,16,0.0,14.2,7,7,70,02:05 PM,01:42 AM,04:38 AM,06:56 PM,10,26,26,28,5,2,38,0.0,1013,28,10,176,4
2019-12-07 12:00:00,34,16,0.0,14.2,7,8,70,02:05 PM,01:42 AM,04:38 AM,06:56 PM,6,31,31,33,8,1,19,0.0,1011,33,10,88,7
2019-12-07 15:00:00,34,16,0.0,14.2,7,7,70,02:05 PM,01:42 AM,04:38 AM,06:56 PM,10,29,29,29,19,2,32,0.0,1010,29,10,100,17
2019-12-07 18:00:00,34,16,0.0,14.2,7,1,70,02:05 PM,01:42 AM,04:38 AM,06:56 PM,14,27,27,25,14,3,55,0.0,1013,25,10,109,12
2019-12-07 21:00:00,34,16,0.0,14.2,7,1,70,02:05 PM,01:42 AM,04:38 AM,06:56 PM,15,22,25,22,6,28,80,0.0,1016,22,10,149,4
2019-12-08 00:00:00,27,16,0.0,12.2,6,1,77,03:01 PM,02:10 AM,04:38 AM,06:57 PM,15,18,19,18,3,59,91,0.1,1018,18,10,159,1
2019-12-08 03:00:00,27,16,0.0,12.2,6,1,77,03:01 PM,02:10 AM,04:38 AM,06:57 PM,15,16,16,16,4,68,92,0.3,1018,16,10,97,3
2019-12-08 06:00:00,27,16,0.0,12.2,6,1,77,03:01 PM,02:10 AM,04:38 AM,06:57 PM,16,18,18,18,8,76,86,0.4,1019,18,10,56,6
2019-12-08 09:00:00,27,16,0.0,12.2,6,5,77,03:01 PM,02:10 AM,04:38 AM,06:57 PM,15,24,24,23,11,79,62,0.7,1019,23,10,47,9
2019-12-08 12:00:00,27,16,0.0,12.2,6,6,77,03:01 PM,02:10 AM,04:38 AM,06:57 PM,14,26,26,26,14,51,47,0.3,1018,26,10,78,12
2019-12-08 15:00:00,27,16,0.0,12.2,6,7,77,03:01 PM,02:10 AM,04:38 AM,06:57 PM,14,27,27,26,19,33,46,0.0,1017,26,10,94,17
2019-12-08 18:00:00,27,16,0.0,12.2,6,1,77,03:01 PM,02:10 AM,04:38 AM,06:57 PM,15,27,27,24,17,14,61,0.0,1019,24,10,73,13
2019-12-08 21:00:00,27,16,0.0,12.2,6,1,77,03:01 PM,02:10 AM,04:38 AM,06:57 PM,15,21,24,21,8,39,83,0.0,1021,21,10,28,5
2019-12-09 00:00:00,34,17,0.0,13.4,7,1,84,03:58 PM,02:39 AM,04:38 AM,06:57 PM,15,18,19,18,4,77,90,0.0,1021,18,10,5,2
2019-12-09 03:00:00,34,17,0.0,13.4,7,1,84,03:58 PM,02:39 AM,04:38 AM,06:57 PM,15,17,17,17,2,88,88,0.0,1021,17,10,28,1
2019-12-09 06:00:00,34,17,0.0,13.4,7,1,84,03:58 PM,02:39 AM,04:38 AM,06:57 PM,16,20,20,20,4,82,78,0.0,1021,20,10,32,3
2019-12-09 09:00:00,34,17,0.0,13.4,7,6,84,03:58 PM,02:39 AM,04:38 AM,06:57 PM,15,26,26,26,9,26,54,0.0,1020,26,10,24,8
2019-12-09 12:00:00,34,17,0.0,13.4,7,8,84,03:58 PM,02:39 AM,04:38 AM,06:57 PM,15,32,32,32,11,0,36,0.0,1018,32,10,37,10
2019-12-09 15:00:00,34,17,0.0,13.4,7,8,84,03:58 PM,02:39 AM,04:38 AM,06:57 PM,16,33,33,33,19,2,37,0.0,1015,33,10,68,17
2019-12-09 18:00:00,34,17,0.0,13.4,7,1,84,03:58 PM,02:39 AM,04:38 AM,06:57 PM,18,33,33,30,14,5,60,0.0,1015,30,10,72,11
2019-12-09 21:00:00,34,17,0.0,13.4,7,1,84,03:58 PM,02:39 AM,04:38 AM,06:57 PM,19,32,32,28,4,4,84,0.0,1015,28,10,131,3
2019-12-10 00:00:00,43,19,0.0,14.2,9,1,92,04:57 PM,03:12 AM,04:39 AM,06:58 PM,19,22,23,22,2,6,92,0.0,1015,22,10,240,1
2019-12-10 03:00:00,43,19,0.0,14.2,9,1,92,04:57 PM,03:12 AM,04:39 AM,06:58 PM,17,19,19,19,3,4,90,0.0,1013,19,10,317,2
2019-12-10 06:00:00,43,19,0.0,14.2,9,1,92,04:57 PM,03:12 AM,04:39 AM,06:58 PM,16,25,25,25,5,1,60,0.0,1014,25,10,129,4
2019-12-10 09:00:00,43,19,0.0,14.2,9,9,92,04:57 PM,03:12 AM,04:39 AM,06:58 PM,9,38,38,38,5,0,23,0.0,1013,38,10,222,4
2019-12-10 12:00:00,43,19,0.0,14.2,9,10,92,04:57 PM,03:12 AM,04:39 AM,06:58 PM,3,44,44,43,6,21,9,0.0,1011,43,10,241,5
2019-12-10 15:00:00,43,19,0.0,14.2,9,8,92,04:57 PM,03:12 AM,04:39 AM,06:58 PM,11,34,34,34,15,30,32,0.0,1010,34,10,157,13
2019-12-10 18:00:00,43,19,0.0,14.2,9,1,92,04:57 PM,03:12 AM,04:39 AM,06:58 PM,15,30,30,28,18,35,64,0.0,1012,28,10,149,14
2019-12-10 21:00:00,43,19,0.0,14.2,9,1,92,04:57 PM,03:12 AM,04:39 AM,06:58 PM,14,30,30,26,15,32,77,0.0,1015,26,10,178,10
2019-12-11 00:00:00,28,15,0.0,13.4,6,1,99,05:58 PM,03:48 AM,04:39 AM,06:59 PM,13,19,20,19,13,26,81,0.0,1016,19,10,203,8
2019-12-11 03:00:00,28,15,0.0,13.4,6,1,99,05:58 PM,03:48 AM,04:39 AM,06:59 PM,13,15,15,15,9,13,86,0.0,1015,15,10,213,5
2019-12-11 06:00:00,28,15,0.0,13.4,6,1,99,05:58 PM,03:48 AM,04:39 AM,06:59 PM,12,17,17,17,8,47,73,0.0,1016,17,10,185,6
2019-12-11 09:00:00,28,15,0.0,13.4,6,5,99,05:58 PM,03:48 AM,04:39 AM,06:59 PM,12,23,23,22,9,28,54,0.0,1015,22,10,129,8
2019-12-11 12:00:00,28,15,0.0,13.4,6,7,99,05:58 PM,03:48 AM,04:39 AM,06:59 PM,13,27,27,27,14,5,43,0.0,1013,27,10,111,12
